Date,Open,High,Low,Close,Volume
2025-05-29,1140.12,1176.0,1140.0,1140.0,10.9208
2025-05-30,1140.0,1140.0,1140.0,1140.0,3.42916
2025-06-02,1182.0,1199.88,1182.0,1199.88,0.549166
2025-06-04,1200.0,1200.0,1187.16,1198.8,2.03249
2025-06-06,972.0,1198.8,972.0,1080.0,11.5883
2025-06-09,1080.0,1106.4,1080.0,1080.0,4.75083
2025-06-10,1092.0,1125.6,1050.0,1080.0,8.20833
2025-06-11,1185.6,1185.6,1185.6,1185.6,0.149999
2025-06-12,1079.88,1102.56,1056.0,1056.0,0.550833
2025-06-13,1020.0,1200.0,1020.0,1055.16,12.1324
2025-06-16,1032.0,1160.4,1032.0,1120.8,1.77916
2025-06-17,1057.2,1057.2,1057.2,1057.2,0.152499
2025-06-18,1117.2,1117.2,1047.0,1047.0,0.304999
2025-06-20,1032.0,1080.0,1032.0,1032.0,0.344166
2025-06-23,1057.8,1110.0,1032.0,1032.0,1.91999
2025-06-24,1041.48,1041.48,1041.48,1041.48,7.70999
2025-06-25,1044.0,1044.0,981.0,1004.52,2.92999
2025-06-26,1012.8,1026.0,1008.0,1008.0,1.08666
2025-06-27,1008.0,1008.12,1008.0,1008.0,1.67833
2025-07-01,995.999,1180.2,995.999,1111.2,11.8158
2025-07-02,1099.8,1111.8,1099.8,1100.4,5.49833
2025-07-03,1079.88,1080.0,1079.88,1080.0,2.28916
2025-07-07,1080.12,1131.12,1080.0,1080.12,8.19499
2025-07-09,1111.8,1118.76,1020.0,1066.92,3.78666
2025-07-10,1176.0,1180.68,981.6,1085.88,4.68749
2025-07-11,1163.28,1163.28,1092.0,1092.0,10.8316
2025-07-14,1139.88,1139.88,1096.08,1096.08,7.51833
2025-07-15,981.6,1045.44,981.6,1002.36,4.06249
2025-07-16,999.0,1003.32,999.0,1003.32,3.54166
2025-07-17,1102.56,1103.88,1023.0,1043.88,11.5766
2025-07-18,1020.0,1020.0,1008.0,1008.0,3.27916
2025-07-21,1008.0,1032.0,1008.0,1008.0,6.42583
2025-07-22,1020.0,1045.08,1020.0,1045.08,6.23166
2025-07-23,1119.0,1200.0,1101.6,1182.0,11.9399
2025-07-24,1140.0,1170.0,1140.0,1143.0,5.41249
2025-07-25,1152.0,1152.0,1056.0,1056.24,2.72499
2025-07-28,972.0,1056.0,852.6,939.84,2.08916
2025-07-29,936.0,984.0,936.0,936.0,7.59583
2025-07-31,1008.0,1248.0,852.0,1212.0,15.3874
2025-08-01,1200.0,1200.0,1044.0,1080.0,11.1924
2025-08-04,1085.04,1150.08,1085.04,1150.08,0.293333
2025-08-06,1176.24,1176.24,909.24,909.24,23.5299
2025-08-07,900.0,1080.0,852.0,862.8,5.81083
2025-08-08,948.0,960.0,935.999,935.999,2.05499
2025-08-11,984.0,984.0,854.4,854.4,1.96249
2025-08-12,840.0,959.999,840.0,959.999,1.77749
2025-08-13,893.941,935.88,893.941,930.0,5.50999
2025-08-14,920.76,924.0,906.0,906.0,2.70833
2025-08-15,923.88,923.88,923.88,923.88,0.0916666
2025-08-18,923.88,923.88,912.96,918.0,2.81249
2025-08-19,852.0,876.24,852.0,875.999,3.49666
2025-08-20,864.0,864.0,855.84,855.84,2.11499
2025-08-21,840.0,852.0,840.0,852.0,1.78916
