Date,Open,High,Low,Close,Volume
2025-06-09,4.98,5.07,4.89,4.955,513468
2025-06-10,4.93,5.08,4.8984,4.99,369423
2025-06-11,5.1,5.1,4.8,4.85,284658
2025-06-12,4.79,5.07,4.7209,5.05,347438
2025-06-13,4.85,5.05,4.845,4.86,411691
2025-06-16,4.94,5.135,4.9001,5.125,394452
2025-06-17,5.18,5.2,5.05,5.09,280693
2025-06-18,5.08,5.3,5.045,5.12,339827
2025-06-20,5.2,5.57,5.1611,5.45,1028706
2025-06-23,5.46,6.24,5.42,5.9,1968011
2025-06-24,6.15,6.53,6.11,6.41,1389603
2025-06-25,6.41,6.75,6.33,6.4,1226783
2025-06-26,6.5,7.0,6.35,6.83,1195076
2025-06-27,6.86,7.25,6.77,7.1,1691914
2025-06-30,7.14,7.24,6.78,7.2,1148105
2025-07-01,7.17,7.6,7.11,7.38,2058953
2025-07-02,7.56,7.78,7.12,7.76,1097370
2025-07-03,7.85,8.1,7.67,8.1,638296
2025-07-07,8.1,8.28,7.84,8.26,1050260
2025-07-08,8.32,8.44,7.97,8.01,1007715
2025-07-09,8.07,8.57,7.9833,8.5,1085175
2025-07-10,8.46,8.48,7.44,7.81,2116245
2025-07-11,7.59,7.9933,7.51,7.85,946566
2025-07-14,7.8,7.815,7.48,7.66,880694
2025-07-15,7.67,7.928,7.59,7.65,571747
2025-07-16,7.66,7.93,7.46,7.89,830584
2025-07-17,7.9,7.9697,7.6605,7.75,663883
2025-07-18,7.76,7.865,7.5916,7.71,498993
2025-07-21,7.69,8.21,7.66,7.74,953929
2025-07-22,7.75,8.18,7.55,8.13,1103064
2025-07-23,8.13,8.56,8.13,8.47,1195760
2025-07-24,8.56,8.88,8.43,8.56,1352411
2025-07-25,8.58,8.65,7.76,8.15,1130544
2025-07-28,8.15,8.3,7.65,7.73,761477
2025-07-29,7.72,7.95,7.52,7.69,840261
2025-07-30,7.76,7.8164,7.46,7.53,469837
2025-07-31,7.55,7.65,7.38,7.44,544836
2025-08-01,7.23,7.29,6.96,7.14,1085431
2025-08-04,7.22,7.25,6.92,7.16,950031
2025-08-05,7.16,7.2799,6.56,7.12,1241987
2025-08-06,6.0,6.1,5.09,5.22,2663252
2025-08-07,5.3,6.0,5.26,5.895,1878906
2025-08-08,5.9,5.91,5.4423,5.61,1285322
2025-08-11,5.61,5.73,5.488,5.61,831165
2025-08-12,5.61,5.6286,5.35,5.44,725927
2025-08-13,5.55,5.585,5.395,5.54,538976
2025-08-14,5.49,5.53,5.23,5.32,480171
2025-08-15,5.34,5.46,5.23,5.42,585983
2025-08-18,5.39,5.56,5.28,5.39,893632
2025-08-19,5.4,5.4,5.1,5.23,633000
2025-08-20,5.17,5.23,5.05,5.18,366347
