Date,Open,High,Low,Close,Volume
2025-06-09,1.54,1.61,1.46,1.52,199424
2025-06-10,1.51,1.513,1.435,1.5,118734
2025-06-11,1.5,1.5,1.42,1.45,172441
2025-06-12,1.42,1.47,1.4,1.47,82398
2025-06-13,1.46,1.46,1.4,1.43,57606
2025-06-16,1.465,1.49,1.39,1.49,79768
2025-06-17,1.44,1.4495,1.37,1.41,151932
2025-06-18,1.4,1.47,1.375,1.47,287643
2025-06-20,1.49,1.49,1.37,1.45,319024
2025-06-23,1.41,1.45,1.33,1.39,161764
2025-06-24,1.44,1.44,1.34,1.39,155157
2025-06-25,1.42,1.42,1.35,1.36,166484
2025-06-26,1.38,1.38,1.26,1.28,301018
2025-06-27,1.32,1.32,1.1,1.15,2150340
2025-06-30,1.14,1.15,1.11,1.11,297717
2025-07-01,1.12,1.12,1.05,1.09,392409
2025-07-02,1.11,1.225,1.09,1.21,310291
2025-07-03,1.21,1.27,1.21,1.22,152259
2025-07-07,1.23,1.26,1.07,1.11,408813
2025-07-08,1.13,1.1893,1.13,1.16,511694
2025-07-09,1.15,1.19,1.14,1.18,351256
2025-07-10,1.17,1.28,1.17,1.25,210088
2025-07-11,1.24,1.29,1.2116,1.26,262380
2025-07-14,1.27,1.3,1.2169,1.29,259443
2025-07-15,1.29,1.32,1.22,1.24,136956
2025-07-16,1.26,1.29,1.2202,1.28,100857
2025-07-17,1.29,1.35,1.28,1.35,249590
2025-07-18,1.36,1.4195,1.32,1.35,148826
2025-07-21,1.36,1.41,1.31,1.32,330399
2025-07-22,1.32,1.41,1.32,1.4,103088
2025-07-23,1.41,1.47,1.4,1.46,235665
2025-07-24,1.45,1.45,1.37,1.44,140678
2025-07-25,1.45,1.46,1.3905,1.45,105037
2025-07-28,1.45,1.45,1.425,1.43,172273
2025-07-29,1.45,1.45,1.34,1.38,79161
2025-07-30,1.41,1.43,1.31,1.38,114673
2025-07-31,1.38,1.39,1.29,1.37,123018
2025-08-01,1.33,1.36,1.2701,1.32,64082
2025-08-04,1.32,1.37,1.27,1.33,96740
2025-08-05,1.35,1.39,1.3,1.32,107234
2025-08-06,1.32,1.43,1.25,1.37,135871
2025-08-07,1.37,1.43,1.19,1.19,871857
2025-08-08,1.18,1.21,1.06,1.07,298638
2025-08-11,1.1,1.1,1.01,1.01,362314
2025-08-12,1.05,1.14,1.01,1.14,469341
2025-08-13,1.14,1.22,1.09,1.13,1179936
2025-08-14,1.15,1.3795,1.1356,1.29,921100
2025-08-15,1.33,1.37,1.26,1.29,319696
2025-08-18,1.3,1.33,1.2,1.3,553480
2025-08-19,1.31,1.3457,1.23,1.24,78045
2025-08-20,1.24,1.29,1.215,1.23,188144
2025-08-21,1.23,1.27,1.2,1.25,268048
2025-08-22,1.27,1.35,1.25,1.32,241290
2025-08-25,1.32,1.3599,1.2805,1.31,214828
2025-08-26,1.26,1.32,1.25,1.27,135717
