Date,Open,High,Low,Close,Volume
2026-01-21,9.45,10.28,6.35,7.36,18170
2026-01-22,6.15,6.349,5.81,5.98,50180
2026-01-23,5.97,7.26,5.91,5.92,25272
2026-01-26,6.0,6.3,5.95,6.15,17227
2026-01-27,6.28,6.85,6.0,6.21,22329
2026-01-28,6.3,6.44,5.91,6.3,23000
2026-01-29,6.4,6.54,6.0101,6.05,50053
2026-01-30,6.03,6.03,5.5687,5.85,5794
2026-02-02,6.08,6.26,6.07,6.13,6655
2026-02-03,6.07,6.1,6.07,6.1,1015
2026-02-04,6.2319,6.2319,6.063,6.063,2023
2026-02-05,5.96,5.96,5.7,5.7,7669
2026-02-06,5.7,5.78,5.7,5.75,6705
2026-02-09,5.8,5.89,5.6,5.7999,4191
2026-02-11,5.6,6.1,5.49,5.79,7359
2026-02-12,5.67,5.71,5.5,5.6,7259
2026-02-13,6.12,6.13,5.57,5.6,9245
2026-02-17,5.54,5.7,5.1,5.1,3651
2026-02-18,5.35,5.515,5.15,5.2603,6659
2026-02-19,5.33,5.33,5.1,5.24,2969
2026-02-20,5.24,5.25,5.2,5.25,1790
2026-02-23,4.93,4.93,4.93,4.93,3800
2026-02-24,4.875,5.05,4.6,5.05,7006
2026-02-25,4.85,5.37,4.85,5.03,9436
2026-02-26,4.75,4.91,4.5,4.6,11024
2026-02-27,4.71,4.71,4.36,4.43,5010
2026-03-02,4.3913,4.3913,4.205,4.205,3160
2026-03-03,4.02,4.3043,4.02,4.3043,1557
2026-03-04,4.24,4.49,3.96,4.26,6700
2026-03-05,4.24,4.24,4.24,4.24,235
2026-03-06,4.25,4.28,4.22,4.25,3120
2026-03-09,4.08,4.19,3.7,4.01,7356
2026-03-10,4.19,4.57,4.19,4.34,8026
2026-03-11,4.1,5.0,3.7,4.6,24201
2026-03-12,4.7,4.7,4.67,4.7,1342
2026-03-13,4.4,4.4,4.1,4.34,10797
2026-03-16,3.95,4.48,3.71,4.3,17943
2026-03-17,4.16,4.28,4.05,4.2,2331
2026-03-18,4.1,4.18,3.81,4.15,7908
2026-03-19,4.16,4.2,4.15,4.2,2561
2026-03-23,4.0,4.3,3.7,4.03,25618
2026-03-24,4.01,4.1002,3.68,3.99,18409
