Date,Open,High,Low,Close,Volume
2025-06-09,0.9983,1.265,0.99,1.22,141742439
2025-06-10,1.415,1.53,1.26,1.28,214223487
2025-06-11,1.32,1.52,1.27,1.38,136917365
2025-06-12,1.365,1.47,1.29,1.3,93595332
2025-06-13,1.245,1.34,1.21,1.29,60562073
2025-06-16,1.33,1.4,1.28,1.31,60215441
2025-06-17,1.26,1.27,1.05,1.09,94351961
2025-06-18,1.11,1.18,1.11,1.14,51273226
2025-06-20,1.165,1.19,1.09,1.11,71434738
2025-06-23,1.08,1.13,1.03,1.09,52652044
2025-06-24,1.13,1.2,1.1,1.16,83314165
2025-06-25,1.18,1.19,1.09,1.09,50442199
2025-06-26,1.105,1.27,1.1,1.22,102697128
2025-06-27,1.23,1.25,1.13,1.16,60434653
2025-06-30,1.3,1.57,1.235,1.49,250792363
2025-07-01,1.45,1.45,1.34,1.41,94951011
2025-07-02,1.42,1.49,1.39,1.4,67680728
2025-07-03,1.425,1.55,1.39,1.47,81632524
2025-07-07,1.475,1.51,1.35,1.37,71603301
2025-07-08,1.39,1.47,1.39,1.42,50271506
2025-07-09,1.445,1.85,1.4346,1.78,231504730
2025-07-10,1.76,1.8,1.65,1.68,88659770
2025-07-11,1.66,1.69,1.59,1.62,56882273
2025-07-14,1.65,1.65,1.5,1.57,61823319
2025-07-15,1.66,1.68,1.52,1.53,61336208
2025-07-16,1.55,1.56,1.46,1.52,46961517
2025-07-17,1.54,1.69,1.53,1.65,72718825
2025-07-18,1.68,1.83,1.67,1.79,102719996
2025-07-21,1.88,2.03,1.82,1.82,142891458
2025-07-22,1.835,1.92,1.75,1.84,76057330
2025-07-23,1.865,1.91,1.74,1.81,68101261
2025-07-24,1.81,1.99,1.74,1.77,102908916
2025-07-25,1.81,1.87,1.72,1.84,65031440
2025-07-28,1.88,1.93,1.73,1.77,68785022
2025-07-29,1.75,1.76,1.59,1.59,61887690
2025-07-30,1.605,1.62,1.54,1.55,33632964
2025-07-31,1.53,1.58,1.47,1.5,44462130
2025-08-01,1.42,1.48,1.39,1.4,55834744
2025-08-04,1.45,1.48,1.4,1.45,33367678
2025-08-05,1.47,1.57,1.45,1.54,35634296
2025-08-06,1.53,1.54,1.45,1.46,30525892
2025-08-07,1.5,1.56,1.46,1.51,30629229
2025-08-08,1.54,1.565,1.5,1.51,23469390
2025-08-11,1.55,1.62,1.53,1.58,53352503
2025-08-12,1.56,1.56,1.43,1.54,74301919
2025-08-13,1.52,1.72,1.52,1.66,75619696
2025-08-14,1.61,1.68,1.58,1.65,37505869
