Date,Open,High,Low,Close,Volume
2025-07-11,50.6,51.8,48.2,48.2,256.2
2025-07-14,48.2,54.4,48.2,50.6,995.15
2025-07-15,50.6,50.81,42.4,44.18,22003.75
2025-07-16,43.4,46.3,42.2,45.0,15962.8
2025-07-17,46.0,48.8,45.4,47.4,11741.55
2025-07-18,48.2,51.4,48.2,48.8,10589.5
2025-07-21,45.0,59.6,43.8,57.2,11860.8
2025-07-22,60.782,64.3,59.5,62.0,12115.5
2025-07-23,64.0,64.0,60.0,62.6,11401.3
2025-07-24,60.2,67.0,60.0,60.0,30727.800000000003
2025-07-25,60.0,67.4,59.8,66.4,20908.6
2025-07-28,67.2,85.8,67.0,82.0,19917.2
2025-07-29,87.4,87.4,70.0,76.4,9064.2
2025-07-30,77.0,83.8,67.0,74.0,8346.45
2025-07-31,73.0,76.8,70.6,71.7,10729.25
2025-08-01,71.4,71.4,64.6,66.0,2406.8
2025-08-04,64.0,71.1,59.202,68.0,5111.35
2025-08-05,68.6,71.4,64.0,69.0,12741.6
2025-08-06,63.0,70.4,58.6,59.8,14826.4
2025-08-07,59.0,60.0,42.2,49.6,31142.75
2025-08-08,59.2,59.2,46.6,48.0,13850.9
2025-08-11,48.6,50.4,36.9,38.0,7902.85
2025-08-12,37.2,37.8,33.2,36.0,4349.95
2025-08-13,37.6,51.8,37.2,42.6,14872.45
2025-08-14,42.0,42.0,30.2,30.4,28252.65
2025-08-15,30.4,30.4,24.4,24.8,21648.0
2025-08-18,24.4,25.2,22.0,23.6,53647.100000000006
2025-08-19,23.6,24.998,22.4,22.4,21407.75
2025-08-20,21.8,22.6,19.0,19.014,29510.4
2025-08-21,18.02,22.6,17.504,20.9,11402.35
2025-08-22,21.2,23.2,20.4,22.4,3286.6000000000004
2025-08-25,22.2,22.6,21.6,22.566,2572.3
2025-08-26,22.4,23.56,21.544,22.2,3018.4500000000003
2025-08-27,22.2,23.8,21.2,21.8,2747.9
2025-08-28,22.0,22.0,20.2,20.2,3271.3
2025-08-29,20.2,20.8,18.534,18.534,2558.4500000000003
2025-09-02,20.0,20.0,19.202,19.246,419.7000000000001
2025-09-03,18.61,23.6,18.6,20.798,9717.05
2025-09-04,21.4,26.198,19.28,20.6,160419.45
2025-09-05,18.8,19.8,17.2,19.004,18661.7
2025-09-08,18.0,18.99,17.22,17.998,7906.650000000001
2025-09-09,18.002,19.2,17.8,18.954,8170.650000000001
2025-09-10,19.4,20.6,19.022,20.2,14045.55
2025-09-11,21.4,21.4,19.462,20.0,4752.8
2025-09-12,19.58,20.4,16.44,18.0,25402.050000000003
2025-09-15,18.2,18.2,16.8,17.6,6506.200000000001
2025-09-16,17.76,18.4,16.946,17.692,6082.150000000001
2025-09-17,18.2,18.2,17.202,17.244,3489.75
2025-09-18,17.6,17.88,16.998,17.018,3136.05
2025-09-19,16.94,17.0,15.7,15.802,7635.0
2025-09-22,16.16,16.16,13.4,14.56,14377.9
2025-09-23,14.124,14.4,12.804,13.0079,8447.800000000001
2025-09-24,13.434,14.14,12.792,13.39,2928.2000000000003
2025-09-25,13.8,14.6,13.314,13.5,2469.4500000000003
2025-09-26,13.7,15.8,13.024,13.026,5854.8
2025-09-29,12.9,13.988,12.62,12.832,1947.5
