Date,Open,High,Low,Close,Volume
2025-07-11,25.2,25.4,24.0,24.0,641.9
2025-07-14,24.1,25.4,24.1,25.3,1781.5
2025-07-15,24.5,25.399,24.5,24.8,1228.7
2025-07-16,25.3,25.3,24.5,25.1,1396.1
2025-07-17,25.0,26.0,24.606,25.3,1033.8
2025-07-18,24.8,26.2,24.8,26.0,922.7
2025-07-21,26.0,28.3,25.713,27.75,7996.5
2025-07-22,28.2,28.227,26.9,27.3,1138.4
2025-07-23,29.0,29.0,26.4,27.5,10484.4
2025-07-24,26.6,27.3,24.712,26.2,451350.0
2025-07-25,24.1,25.3,22.3,23.3,15688.7
2025-07-28,23.6,23.792,22.2,22.5,5918.0
2025-07-29,22.0,22.3,21.05,21.2,10364.2
2025-07-30,20.7,22.4,20.7,20.8,9126.9
2025-07-31,20.85,22.3,20.85,21.6,2690.1
2025-08-01,21.0,22.7,20.8,21.7,3121.5
2025-08-04,21.4,23.5,21.35,22.1,4476.4
2025-08-05,21.85,23.25,21.7,22.6,2465.1
2025-08-06,22.3,23.05,21.435,21.5,3803.8
2025-08-07,21.3,21.564,21.101,21.5,1035.8
2025-08-08,22.199,22.199,20.9,21.3,1137.0
2025-08-11,21.3,23.051,21.0,22.0,2442.9
2025-08-12,21.3,22.7,21.3,22.5,1603.1
2025-08-13,21.107,22.9,21.107,22.3,1523.7
2025-08-14,21.6,23.7,21.6,23.1,1399.6
2025-08-15,23.0,24.0,22.1,23.1,969.2
2025-08-18,22.0,23.4,21.6,22.7,2325.0
2025-08-19,22.101,23.098,21.201,22.6,1256.9
2025-08-20,21.7,22.4,21.7,22.2,842.4
2025-08-21,22.25,22.8,21.8,22.7,970.4
2025-08-22,21.7,24.0,21.7,22.95,1851.2
2025-08-25,22.1,23.2,22.1,22.1,2274.7
2025-08-26,22.8,23.2,22.0,22.1,1047.7
2025-08-27,21.9,22.8,21.9,22.2,1073.9
2025-08-28,22.276,23.6,21.6,22.7,2856.7
2025-08-29,22.0,22.0,19.4,19.9,8946.4
2025-09-02,19.4,19.4,14.0,14.2,47117.2
2025-09-03,14.2,14.893,12.7,14.2,30593.7
2025-09-04,8.793,9.15312,7.15,7.8,4729600.0
2025-09-05,7.52,7.52,5.95,6.6,321949.0
2025-09-08,6.21,6.289,5.9,5.99,154543.0
2025-09-09,5.9,6.3,5.7,5.925,95092.7
2025-09-10,6.092,6.3,5.501,5.612,120618.0
2025-09-11,5.765,5.9,5.326,5.7,69311.0
2025-09-12,5.9,5.9,5.5,5.705,49956.5
2025-09-15,5.8,5.8,5.555,5.65401,42670.8
2025-09-16,5.75,6.09,5.7,6.027,62339.3
2025-09-17,6.192,6.257,5.82,6.051,60269.6
2025-09-18,5.961,6.2,5.7725,5.978,35163.5
2025-09-19,6.1,6.15,5.8,5.83,44411.4
2025-09-22,5.8,5.8,5.628,5.673,22971.9
2025-09-23,5.812,5.812,5.67,5.797,17879.4
2025-09-24,5.7,5.85,5.597,5.829,16893.1
2025-09-25,5.8,5.83,5.528,5.775,23339.3
2025-09-26,5.66,6.18,5.64,5.995,38066.1
2025-09-29,6.0,6.0,5.7,5.895,19476.5
2025-09-30,5.8,5.845,5.65,5.742,11965.7
2025-10-01,5.82,5.98,5.655,5.86,22911.9
2025-10-02,5.982,6.0,5.706,5.707,28555.6
2025-10-03,5.9,5.938,5.711,5.938,14289.5
2025-10-06,6.055,6.2,5.95,6.094,20701.7
2025-10-07,5.932,6.088,5.613,5.808,23233.8
2025-10-08,5.71,5.889,5.623,5.754,16189.6
2025-10-09,5.84,6.454,5.801,6.19,68200.2
2025-10-10,6.3,6.3,5.87,5.9,49683.8
2025-10-13,6.04,6.291,5.901,6.132,35584.2
2025-10-14,6.002,6.3,5.901,6.002,21535.8
2025-10-15,6.1,6.6,6.1,6.422,33494.3
2025-10-16,6.492,6.492,6.06,6.184,11656.7
2025-10-17,6.17,6.173,5.833,6.079,15819.5
2025-10-20,6.089,6.089,5.76,5.7775,20824.5
2025-10-21,5.7,5.899,5.63001,5.755,11583.5
2025-10-22,5.76,5.888,5.725,5.83,13275.0
2025-10-23,5.9,6.06,5.768,5.773,6926.7
2025-10-24,5.8,6.099,5.8,5.9,23000.3
2025-10-27,5.966,6.0,5.846,5.952,12962.3
2025-10-28,6.0,6.0,5.741,5.83,19638.0
2025-10-29,10.7,14.1,8.63,10.6,41728394.0
2025-10-30,9.2,10.3,8.52,9.399,1266223.0
2025-10-31,8.8,9.105,7.534,7.851,370352.0
2025-11-03,7.8,8.799,7.659,8.61,237943.0
2025-11-04,8.113,8.958,8.012,8.581,135653.0
2025-11-05,8.46,9.099,7.907,8.075,72134.1
