Date,Open,High,Low,Close,Volume
2024-01-02,2.3,2.34,2.1754,2.23,129805.0
2024-01-03,2.23,2.3,2.1902,2.25,119025.0
2024-01-04,2.3,2.38,2.25,2.33,189151.0
2024-01-05,2.33,2.38,2.25,2.35,85000.0
2024-01-08,2.37,2.37,2.2301,2.25,82704.0
2024-01-09,2.27,2.27,2.195,2.24,67788.0
2024-01-10,2.25,2.2884,2.19,2.25,47484.0
2024-01-11,2.35,2.35,2.1,2.14,180188.0
2024-01-12,2.16,2.22,2.135,2.21,62213.0
2024-01-16,2.25,2.2697,2.15,2.16,73399.0
2024-01-17,2.18,2.18,1.96,2.09,267683.0
2024-01-18,2.07,2.09,2.0,2.03,114528.0
2024-01-19,1.98,2.08,1.98,2.04,55560.0
2024-01-22,2.04,2.0499,1.96,1.97,130524.0
2024-01-23,2.0,2.01,1.9,1.96,68690.0
2024-01-24,2.0,2.0119,1.93,1.99,77835.0
2024-01-25,1.98,2.01,1.92,1.93,103898.0
2024-01-26,1.92,2.09,1.92,1.96,59150.0
2024-01-29,2.02,2.0485,1.95,2.01,67887.0
2024-01-30,2.01,2.01,1.85,1.92,125089.0
2024-01-31,1.9,1.95,1.87,1.88,84528.0
2024-02-01,1.92,1.9465,1.7501,1.86,119801.0
2024-02-02,1.86,1.9,1.8,1.85,84397.0
2024-02-05,1.87,1.87,1.77,1.78,81959.0
2024-02-06,1.84,1.84,1.76,1.81,61808.0
2024-02-07,1.79,1.8,1.73,1.77,64836.0
2024-02-08,1.74,1.79,1.7,1.74,76565.0
2024-02-09,1.77,1.78,1.71,1.78,36498.0
2024-02-12,1.78,1.89,1.78,1.87,35642.0
2024-02-13,1.83,1.853,1.7696,1.84,50682.0
2024-02-14,1.84,1.93,1.79,1.92,41886.0
2024-02-15,1.89,2.0,1.89,1.96,97313.0
2024-02-16,1.98,2.0,1.91,1.94,21909.0
2024-02-20,1.93,1.94,1.8237,1.88,39889.0
2024-02-21,1.89,1.9697,1.8509,1.885,34012.0
2024-02-22,1.89,1.92,1.86,1.875,46686.0
2024-02-23,1.9,1.92,1.83,1.88,36248.0
2024-02-26,1.88,1.95,1.857,1.9,50434.0
2024-02-27,1.9,1.9,1.87,1.9,18249.0
2024-02-28,1.88,1.91,1.86,1.88,30379.0
2024-02-29,1.85,1.93,1.85,1.87,39575.0
2024-03-01,1.86,1.89,1.85,1.86,44712.0
2024-03-04,1.86,1.86,1.75,1.79,94208.0
2024-03-05,1.81,1.82,1.74,1.79,71489.0
2024-03-06,1.77,1.78,1.75,1.76,47366.0
2024-03-07,1.85,1.89,1.77,1.86,177907.0
2024-03-08,1.88,1.94,1.8701,1.9,124446.0
2024-03-11,1.9,1.94,1.7953,1.9,141294.0
2024-03-12,1.88,1.97,1.85,1.93,175984.0
2024-03-13,1.93,1.98,1.93,1.96,121821.0
2024-03-14,1.96,1.96,1.9,1.91,100392.0
2024-03-15,1.88,1.91,1.88,1.88,23499.0
2024-03-18,1.93,1.9646,1.85,1.85,39076.0
2024-03-19,1.85,1.89,1.83,1.83,131654.0
2024-03-20,1.86,1.9,1.84,1.89,76664.0
2024-03-21,1.87,1.95,1.87,1.91,69253.0
2024-03-22,1.91,1.9283,1.85,1.87,69759.0
2024-03-25,1.9,1.91,1.85,1.88,77522.0
2024-03-26,1.98,1.98,1.86,1.88,57800.0
2024-03-27,1.9,1.915,1.86,1.9,75017.0
2024-03-28,1.92,1.93,1.87,1.89,48220.0
2024-04-01,1.89,1.9199,1.848,1.89,70263.0
2024-04-02,1.88,1.95,1.87,1.95,108333.0
2024-04-03,1.95,2.0999,1.913,1.995,238335.0
2024-04-04,2.07,2.21,2.04,2.21,245782.0
2024-04-05,2.2,2.23,2.02,2.15,114682.0
2024-04-08,2.15,2.2249,2.15,2.17,141507.0
2024-04-09,2.21,2.21,2.15,2.19,60037.0
2024-04-10,2.18,2.23,2.16,2.23,117516.0
2024-04-11,2.18,2.28,2.18,2.26,111966.0
2024-04-12,2.25,2.28,2.17,2.21,71526.0
2024-04-15,2.3,2.35,2.13,2.16,236810.0
2024-04-16,2.14,2.19,2.1,2.16,93677.0
2024-04-17,2.19,2.19,2.08,2.105,57826.0
2024-04-18,2.1,2.1,1.9,1.99,116075.0
2024-04-19,2.01,2.0299,1.9427,1.97,63542.0
2024-04-22,1.99,2.0036,1.92,1.95,63044.0
2024-04-23,1.95,2.06,1.95,2.05,53086.0
2024-04-24,2.07,2.1,1.9873,2.01,36771.0
2024-04-25,2.0,2.0572,1.975,2.035,30633.0
2024-04-26,2.06,2.08,1.98,2.04,80896.0
2024-04-29,2.06,2.07,2.02,2.05,50006.0
2024-04-30,2.01,2.15,2.01,2.15,120489.0
2024-05-01,2.14,2.16,2.09,2.13,48209.0
2024-05-02,2.11,2.15,2.1,2.115,51263.0
2024-05-03,2.22,2.22,2.0901,2.17,21924.0
2024-05-06,2.23,2.25,2.1601,2.2,78289.0
2024-05-07,2.19,2.23,2.1301,2.15,69791.0
2024-05-08,2.16,2.27,2.15,2.26,108298.0
2024-05-09,2.26,2.32,2.23,2.27,68042.0
2024-05-10,2.24,2.29,2.12,2.17,145596.0
2024-05-13,2.18,2.19,2.13,2.16,35389.0
2024-05-14,2.13,2.21,2.13,2.2,24784.0
2024-05-15,2.19,2.19,2.14,2.14,42754.0
2024-05-16,2.2,2.2,2.03,2.13,150579.0
2024-05-17,2.13,2.17,2.12,2.15,59602.0
2024-05-20,2.13,2.17,2.11,2.15,47174.0
2024-05-21,2.15,2.18,2.14,2.16,139988.0
2024-05-22,2.15,2.15,2.11,2.14,40234.0
2024-05-23,2.13,2.14,2.07,2.11,48609.0
2024-05-24,2.1,2.235,2.0998,2.2,156069.0
2024-05-28,2.2,2.46,2.2,2.43,379345.0
2024-05-29,2.47,2.49,2.24,2.31,200541.0
2024-05-30,2.36,2.44,2.29,2.38,151966.0
2024-05-31,2.36,2.4301,2.31,2.4,163608.0
2024-06-03,2.45,2.58,2.35,2.39,324833.0
2024-06-04,2.37,2.46,2.22,2.23,141912.0
2024-06-05,2.27,2.35,2.24,2.302,109621.0
2024-06-06,2.34,2.34,2.2,2.24,116661.0
2024-06-07,2.25,2.26,2.2,2.23,61190.0
2024-06-10,2.3,2.3,2.14,2.145,164579.0
2024-06-11,2.18,2.19,2.125,2.19,75497.0
2024-06-12,2.16,2.19,2.13,2.16,118655.0
2024-06-13,2.13,2.25,2.13,2.21,160462.0
2024-06-14,2.2,2.2498,2.18,2.21,37069.0
2024-06-17,2.28,2.28,2.15,2.24,59383.0
2024-06-18,2.22,2.25,2.18,2.2,53663.0
2024-06-20,2.2,2.2,2.15,2.18,40968.0
2024-06-21,2.17,2.19,2.1503,2.19,33440.0
2024-06-24,2.15,2.204,2.07,2.07,107400.0
2024-06-25,2.08,2.14,2.01,2.13,97516.0
2024-06-26,2.17,2.17,2.12,2.13,50899.0
2024-06-27,2.11,2.13,2.03,2.04,96707.0
2024-06-28,2.06,2.18,2.01,2.16,83808.0
2024-07-01,2.14,2.17,2.061,2.08,44574.0
2024-07-02,2.14,2.1401,2.08,2.09,44957.0
2024-07-03,2.1,2.13,2.08,2.085,21301.0
2024-07-05,2.0799,2.09,2.01,2.01,33730.0
2024-07-08,2.01,2.0197,1.96,2.0,187953.0
2024-07-09,1.97,2.065,1.9698,2.03,37593.0
2024-07-10,2.0,2.0599,2.0,2.03,20537.0
2024-07-11,2.1,2.1,2.0117,2.03,21580.0
2024-07-12,2.09,2.09,2.0101,2.05,33575.0
2024-07-15,2.05,2.08,2.05,2.07,28845.0
2024-07-16,2.21,2.21,2.0458,2.09,59274.0
2024-07-17,2.1,2.2,2.1,2.14,99127.0
2024-07-18,2.16,2.1883,2.0901,2.13,55112.0
2024-07-19,2.14,2.2,2.0939,2.13,39187.0
2024-07-22,2.28,2.28,2.09,2.16,177304.0
2024-07-23,2.16,2.16,2.13,2.16,14739.0
2024-07-24,2.11,2.195,2.11,2.16,85076.0
2024-07-25,2.2,2.21,2.14,2.19,64254.0
2024-07-26,2.22,2.22,2.17,2.21,26585.0
2024-07-29,2.15,2.2,2.12,2.12,81234.0
2024-07-30,2.15,2.15,2.06,2.09,61837.0
2024-07-31,2.0687,2.11,2.03,2.09,36272.0
2024-08-01,2.09,2.09,2.03,2.035,30874.0
2024-08-02,2.04,2.04,1.95,1.955,137776.0
2024-08-05,1.95,1.97,1.86,1.9,131172.0
2024-08-06,1.92,1.93,1.8901,1.92,107167.0
2024-08-07,1.935,2.07,1.9,1.98,59761.0
2024-08-08,1.94,1.965,1.91,1.95,31460.0
2024-08-09,1.93,1.98,1.93,1.96,42619.0
2024-08-12,1.96,1.96,1.9206,1.95,19027.0
2024-08-13,1.95,2.0099,1.9145,1.99,36466.0
2024-08-14,1.98,2.04,1.96,2.04,48848.0
2024-08-15,2.03,2.03,1.96,1.985,38284.0
2024-08-16,1.9953,2.0112,1.96,1.97,16535.0
2024-08-19,2.0,2.0,1.902,1.94,58968.0
2024-08-20,1.945,1.95,1.905,1.95,49277.0
2024-08-21,1.94,2.0,1.92,1.97,25806.0
2024-08-22,2.03,2.03,1.9702,2.0,31372.0
2024-08-23,2.0,2.05,1.97,1.97,33578.0
2024-08-26,2.02,2.02,1.95,1.98,43093.0
2024-08-27,2.0,2.0683,1.9601,2.0574,23658.0
2024-08-28,2.1,2.1,1.965,1.97,63363.0
2024-08-29,1.9701,2.0799,1.9701,2.0,20822.0
2024-08-30,1.975,1.9907,1.96,1.98,39427.0
2024-09-03,1.98,1.98,1.93,1.955,49336.0
2024-09-04,1.95,1.96,1.93,1.96,12645.0
2024-09-05,1.95,2.03,1.9376,1.965,60561.0
2024-09-06,1.99,1.99,1.95,1.98,9973.0
2024-09-09,1.98,1.98,1.88,1.91,32252.0
2024-09-10,1.91,1.945,1.87,1.8955,30148.0
2024-09-11,1.91,1.91,1.75,1.85,40948.0
2024-09-12,1.91,1.94,1.865,1.865,65908.0
2024-09-13,1.91,1.93,1.85,1.905,46737.0
2024-09-16,1.93,1.93,1.85,1.86,34053.0
2024-09-17,1.86,1.92,1.8,1.9,31664.0
2024-09-18,1.95,1.97,1.95,1.95,136923.0
2024-09-19,1.96,1.98,1.9,1.96,18383.0
2024-09-20,1.92,1.96,1.9,1.9114,49907.0
2024-09-23,1.9,1.9105,1.86,1.8708,48545.0
2024-09-24,1.87,1.9,1.85,1.9,20320.0
2024-09-25,1.89,1.9706,1.8862,1.93,47587.0
2024-09-26,1.97,1.97,1.88,1.92,26638.0
2024-09-27,1.94,1.94,1.9,1.905,10592.0
2024-09-30,1.9,1.93,1.87,1.88,66326.0
2024-10-01,1.88,1.92,1.86,1.87,71869.0
2024-10-02,1.89,1.89,1.82,1.84,28001.0
2024-10-03,1.8417,1.87,1.83,1.865,44127.0
2024-10-04,1.84,1.8888,1.83,1.8888,26848.0
2024-10-07,1.88,1.92,1.872,1.8875,19114.0
2024-10-08,1.87,1.87,1.82,1.85,34537.0
2024-10-09,1.89,1.9544,1.8606,1.9,69364.0
2024-10-10,1.94,1.94,1.8892,1.925,20401.0
2024-10-11,1.89,1.92,1.8499,1.92,34599.0
2024-10-14,1.93,1.93,1.87,1.89,10905.0
2024-10-15,1.91,1.91,1.85,1.865,32479.0
2024-10-16,1.87,1.91,1.84,1.8593,47553.0
2024-10-17,1.9,1.9027,1.84,1.88,28378.0
2024-10-18,1.9,1.9,1.85,1.88,28818.0
2024-10-21,1.88,1.94,1.7405,1.89,171149.0
2024-10-22,1.8952,2.08,1.87,2.04,215128.0
2024-10-23,2.04,2.05,1.97,2.05,90432.0
2024-10-24,2.04,2.11,2.0,2.06,100493.0
2024-10-25,2.1,2.12,2.0401,2.07,48423.0
2024-10-28,2.1,2.1399,2.01,2.07,62111.0
2024-10-29,2.07,2.1399,2.03,2.08,152352.0
2024-10-30,2.09,2.09,1.97,2.0001,48987.0
2024-10-31,1.99,2.08,1.9501,2.07,92366.0
2024-11-01,2.07,2.07,1.9501,1.99,27612.0
2024-11-04,1.9906,2.03,1.97,1.97,10547.0
2024-11-05,1.952,2.0299,1.92,1.9501,26638.0
2024-11-06,2.01,2.02,1.9501,1.98,12169.0
2024-11-07,1.99,1.99,1.94,1.95,12703.0
2024-11-08,1.97,2.0,1.96,1.99,62271.0
2024-11-11,2.04,2.04,1.95,1.9694,102954.0
2024-11-12,1.97,2.01,1.96,1.975,27818.0
2024-11-13,1.97,1.97,1.92,1.96,66929.0
2024-11-14,1.94,1.96,1.9,1.96,26784.0
2024-11-15,1.95,1.95,1.82,1.94,62067.0
2024-11-18,1.89,1.94,1.8604,1.87,62270.0
2024-11-19,1.87,1.93,1.85,1.8687,51899.0
2024-11-20,1.87,1.87,1.8301,1.8501,50518.0
2024-11-21,1.85,1.855,1.82,1.85,43271.0
2024-11-22,1.8,1.845,1.8,1.8,60375.0
2024-11-25,1.83,1.85,1.78,1.82,100709.0
2024-11-26,1.81,1.84,1.78,1.78,21769.0
2024-11-27,1.81,1.85,1.76,1.795,137073.0
2024-11-29,1.79,1.823715,1.76,1.79,31728.0
2024-12-02,1.8,1.8,1.73,1.75,98392.0
2024-12-03,1.74,1.85,1.73,1.74,109881.0
2024-12-04,1.77,1.95,1.75,1.9,165386.0
2024-12-05,1.89,1.89,1.75,1.77,54507.0
2024-12-06,1.802,1.8291,1.75,1.76,63249.0
2024-12-09,1.76,1.7898,1.72,1.72,43104.0
2024-12-10,1.73,1.76,1.7,1.71,36375.0
2024-12-11,1.71,1.75,1.68,1.6801,65943.0
2024-12-12,1.69,1.7,1.61,1.635,59982.0
2024-12-13,1.66,1.67,1.61,1.635,116233.0
2024-12-16,1.64,1.78,1.64,1.71,106629.0
2024-12-17,1.71,1.9161,1.71,1.86,162931.0
2024-12-18,1.8899,1.96,1.77,1.77,94158.0
2024-12-19,1.8,1.82,1.71,1.71,43796.0
2024-12-20,1.74,1.8,1.694,1.76,27542.0
2024-12-23,1.76,1.76,1.71,1.73,37938.0
2024-12-24,1.74,1.83,1.732,1.79,18468.0
2024-12-26,1.8,1.87,1.76,1.81,33738.0
2024-12-27,1.78,1.85,1.75,1.825,66292.0
2024-12-30,1.82,1.91,1.82,1.87,103052.0
2024-12-31,1.82,1.9282,1.82,1.86,100439.0
2025-01-02,1.87,1.95,1.87,1.9,63234.0
2025-01-03,1.9,1.91,1.84,1.85,52966.0
2025-01-06,1.862,1.89,1.8,1.82,31425.0
2025-01-07,1.8,1.8,1.75,1.7501,20797.0
2025-01-08,1.87,1.885,1.74,1.845,117285.0
2025-01-10,1.91,1.935,1.84,1.89,82400.0
2025-01-13,1.86,1.9,1.8,1.84,55411.0
2025-01-14,1.85,1.87,1.75,1.86,64373.0
2025-01-15,1.9,1.92,1.8,1.85,39048.0
2025-01-16,1.85,1.87,1.78,1.79,38710.0
2025-01-17,1.81,1.84,1.7,1.72,114808.0
2025-01-21,1.73,1.82,1.73,1.8,48215.0
2025-01-22,1.82,1.82,1.75,1.76,39582.0
2025-01-23,1.76,1.785,1.75,1.77,44682.0
2025-01-24,1.79,1.8,1.72,1.73,56270.0
2025-01-27,1.74,1.78,1.71,1.7476,89986.0
2025-01-28,1.72,1.75,1.71,1.74,20440.0
2025-01-29,1.8,1.8,1.71,1.73,81375.0
2025-01-30,1.75,1.77,1.7,1.76,67114.0
2025-01-31,1.76,1.76,1.67,1.69,80753.0
2025-02-03,1.67,1.67,1.6307,1.65,47845.0
2025-02-04,1.65,1.674,1.53,1.57,120334.0
2025-02-05,1.57,1.57,1.51,1.54,54608.0
2025-02-06,1.61,1.68,1.55,1.64,269321.0
2025-02-07,1.64,1.662,1.6,1.63,63470.0
2025-02-10,1.62,1.629,1.575,1.61,84288.0
2025-02-11,1.63,1.63,1.56,1.58,82809.0
2025-02-12,1.58,1.6,1.55,1.57,79026.0
2025-02-13,1.57,1.5769,1.53,1.55,77953.0
2025-02-14,1.57,1.7,1.56,1.62,134077.0
2025-02-18,1.63,1.66,1.62,1.65,38313.0
2025-02-19,1.64,1.66,1.63,1.63,15594.0
2025-02-20,1.64,1.68,1.62,1.68,56815.0
2025-02-21,1.65,1.656,1.62,1.635,77204.0
2025-02-24,1.63,1.68,1.615,1.66,38638.0
2025-02-25,1.63,1.672,1.5801,1.66,67490.0
2025-02-26,1.6695,1.68,1.63,1.64,13135.0
2025-02-27,1.6332,1.64,1.6,1.61,34852.0
2025-02-28,1.6,1.61,1.5807,1.59,20070.0
2025-03-03,1.64,1.64,1.56,1.565,34352.0
2025-03-04,1.56,1.56,1.48,1.48,76123.0
2025-03-05,1.52,1.52,1.4808,1.5001,15650.0
2025-03-06,1.49,1.5145,1.49,1.51,36169.0
2025-03-07,1.5,1.54,1.495,1.535,31263.0
2025-03-10,1.53,1.5397,1.48,1.4804,39511.0
2025-03-11,1.5,1.53,1.49,1.51,22077.0
