Date,Open,High,Low,Close,Volume
2024-01-02,2.13,2.3499,2.03,2.04,848237
2024-01-03,2.14,2.15,1.89,1.95,645881
2024-01-04,1.96,2.09,1.95,2.0,263161
2024-01-05,2.08,2.21,1.88,2.14,542937
2024-01-08,2.16,2.25,2.007,2.19,388837
2024-01-09,2.14,2.31,2.0603,2.13,447246
2024-01-10,2.12,2.12,1.9208,1.99,436987
2024-01-11,2.0,2.0,1.79,1.81,436634
2024-01-12,1.79,1.83,1.7,1.74,371040
2024-01-16,1.75,1.7703,1.55,1.65,993285
2024-01-17,1.59,1.77,1.59,1.75,982383
2024-01-18,1.79,1.81,1.61,1.62,327356
2024-01-19,1.63,1.65,1.5,1.5,571076
2024-01-22,1.5,1.67,1.5,1.61,432030
2024-01-23,1.63,1.76,1.6057,1.63,259136
2024-01-24,1.65,1.665,1.57,1.57,233150
2024-01-25,1.61,1.61,1.44,1.5,423816
2024-01-26,1.49,1.54,1.37,1.37,531135
2024-01-29,1.37,1.55,1.37,1.53,469917
2024-01-30,1.54,1.54,1.39,1.4,285089
2024-01-31,1.4,1.45,1.33,1.34,335567
2024-02-01,1.36,1.4,1.28,1.29,378565
2024-02-02,1.3,1.33,1.24,1.32,431750
2024-02-05,1.31,1.35,1.22,1.24,353491
2024-02-06,1.21,1.28,1.2,1.24,388768
2024-02-07,1.24,1.25,1.14,1.15,321440
2024-02-08,1.14,1.19,1.12,1.17,372354
2024-02-09,1.19,1.255,1.19,1.2,255441
2024-02-12,1.18,1.37,1.18,1.34,590444
2024-02-13,1.29,1.31,1.15,1.19,491911
2024-02-14,1.25,1.3039,1.17,1.195,367716
2024-02-15,1.24,1.4,1.24,1.32,452888
2024-02-16,1.27,1.3892,1.25,1.36,433173
2024-02-20,1.33,1.38,1.23,1.26,355131
2024-02-21,1.24,1.26,1.1901,1.23,216656
2024-02-22,1.24,1.31,1.22,1.25,163899
2024-02-23,1.26,1.335,1.21,1.28,233400
2024-02-26,1.31,1.52,1.3,1.5,458698
2024-02-27,1.55,1.6,1.38,1.5,478392
2024-02-28,1.44,1.5,1.41,1.46,311168
2024-02-29,1.32,1.63,1.31,1.55,811874
2024-03-01,1.6,1.74,1.545,1.69,487108
2024-03-04,1.73,1.8,1.65,1.74,564263
2024-03-05,1.75,1.76,1.625,1.7,544338
2024-03-06,1.78,1.8,1.68,1.75,406551
2024-03-07,1.74,1.78,1.57,1.68,584277
2024-03-08,1.72,1.78,1.59,1.65,406353
2024-03-11,1.64,1.78,1.64,1.72,395176
2024-03-12,1.73,1.75,1.65,1.73,380804
2024-03-13,1.69,1.8,1.645,1.69,340975
2024-03-14,1.71,1.71,1.52,1.58,502812
2024-03-15,1.56,1.6491,1.56,1.61,225918
2024-03-18,1.62,1.6596,1.59,1.63,229842
2024-03-19,1.62,1.65,1.53,1.62,201700
2024-03-20,1.59,1.6,1.31,1.51,981268
2024-03-21,1.49,1.55,1.46,1.46,218291
2024-03-22,1.48,1.48,1.39,1.42,246629
2024-03-25,1.44,1.475,1.41,1.44,156637
2024-03-26,1.5,1.53,1.42,1.43,172706
2024-03-27,1.45,1.47,1.4,1.45,205458
2024-03-28,1.48,1.535,1.46,1.49,266348
2024-04-01,1.5,1.54,1.41,1.43,402003
2024-04-02,1.42,1.43,1.36,1.37,183106
2024-04-03,1.38,1.39,1.34,1.35,190340
2024-04-04,1.39,1.47,1.38,1.4,277811
2024-04-05,1.42,1.42,1.37,1.39,178575
2024-04-08,1.41,1.42,1.3701,1.41,80931
2024-04-09,1.45,1.4699,1.41,1.45,126700
2024-04-10,1.42,1.42,1.35,1.38,179712
2024-04-11,1.38,1.4,1.36,1.37,130877
2024-04-12,1.38,1.38,1.26,1.275,454975
2024-04-15,1.32,1.32,1.24,1.26,274548
2024-04-16,1.27,1.28,1.22,1.24,252835
2024-04-17,1.28,1.32,1.19,1.2,359699
2024-04-18,1.22,1.27,1.18,1.21,288579
2024-04-19,1.2,1.31,1.2,1.31,270289
2024-04-22,1.28,1.3062,1.23,1.26,203197
2024-04-23,1.26,1.4199,1.255,1.38,176072
2024-04-24,1.38,1.38,1.3,1.3,162172
2024-04-25,1.28,1.28,1.18,1.25,147326
2024-04-26,1.25,1.28,1.24,1.265,49108
2024-04-29,1.26,1.37,1.26,1.36,149792
2024-04-30,1.37,1.56,1.34,1.47,308144
2024-05-01,1.44,1.59,1.415,1.55,237193
2024-05-02,1.57,1.62,1.5097,1.6,332843
2024-05-03,1.62,1.85,1.53,1.54,356039
2024-05-06,1.54,1.75,1.5324,1.59,307980
2024-05-07,1.58,1.73,1.56,1.58,190594
2024-05-08,1.57,1.6593,1.51,1.565,189703
2024-05-09,1.71,1.7501,1.57,1.65,419860
2024-05-10,1.64,1.685,1.52,1.57,134137
2024-05-13,1.56,1.63,1.53,1.54,260708
2024-05-14,1.55,1.69,1.5,1.52,264181
2024-05-15,1.54,1.57,1.42,1.43,225346
2024-05-16,1.47,1.47,1.32,1.395,172093
2024-05-17,1.36,1.41,1.35,1.4,156733
2024-05-20,1.41,1.47,1.37,1.46,162035
2024-05-21,1.46,1.49,1.42,1.45,144488
2024-05-22,1.47,1.67,1.38,1.555,468922
2024-05-23,1.56,1.56,1.39,1.44,224232
2024-05-24,1.42,1.42,1.32,1.34,147067
2024-05-28,1.35,1.35,1.27,1.29,242589
2024-05-29,1.26,1.32,1.26,1.305,98543
2024-05-30,1.28,1.38,1.28,1.31,122785
2024-05-31,1.32,1.39,1.29,1.3,192483
