Date,Open,High,Low,Close,Volume
2024-01-02,5.05,5.26,5.02,5.19,264937
2024-01-03,5.15,5.19,5.06,5.08,140397
2024-01-04,5.12,5.13,5.02,5.05,200811
2024-01-05,5.02,5.09,5.0,5.06,252305
2024-01-08,5.07,5.09,4.99,5.01,167665
2024-01-09,4.98,5.0,4.89,4.94,116889
2024-01-10,4.95,4.95,4.72,4.81,201576
2024-01-11,4.81,4.81,4.61,4.71,246677
2024-01-12,4.75,4.79,4.66,4.67,158106
2024-01-16,4.63,4.6716,4.53,4.6,153731
2024-01-17,4.52,4.6191,4.515,4.56,121144
2024-01-18,4.63,4.63,4.52,4.59,86704
2024-01-19,4.64,4.64,4.53,4.58,117799
2024-01-22,4.62,4.72,4.61,4.65,173663
2024-01-23,4.65,4.68,4.615,4.65,105652
2024-01-24,4.7,4.74,4.54,4.58,149140
2024-01-25,4.65,4.66,4.52,4.59,157968
2024-01-26,4.63,4.66,4.525,4.54,72994
2024-01-29,4.52,4.66,4.52,4.64,233738
2024-01-30,4.61,4.67,4.61,4.66,46396
2024-01-31,4.67,4.86,4.645,4.7,162311
2024-02-01,4.73,4.99,4.69,4.97,194984
2024-02-02,4.92,4.962,4.79,4.79,195388
2024-02-05,4.75,4.79,4.6,4.63,122641
2024-02-06,4.7,4.7,4.61,4.66,80552
2024-02-07,4.72,4.72,4.62,4.66,58052
2024-02-08,4.68,4.68,4.585,4.605,72007
2024-02-09,4.6,4.685,4.6,4.67,66781
2024-02-12,4.68,4.935,4.68,4.91,99965
2024-02-13,4.83,4.9,4.69,4.7,137066
2024-02-14,4.71,4.94,4.69,4.9,118709
2024-02-15,4.98,4.98,4.32,4.5,438093
2024-02-16,4.44,4.55,4.34,4.46,228008
2024-02-20,4.51,4.53,4.42,4.48,270003
2024-02-21,4.46,4.57,4.4,4.51,122317
2024-02-22,4.5,4.58,4.46,4.5,141901
2024-02-23,4.45,4.477,4.39,4.44,85168
2024-02-26,4.42,4.42,4.23,4.26,158958
2024-02-27,4.31,4.39,4.2,4.33,50541
2024-02-28,4.3,4.33,4.18,4.25,86335
2024-02-29,4.33,4.33,4.26,4.29,69739
2024-03-01,4.29,4.31,4.17,4.2,54654
2024-03-04,4.26,4.26,4.05,4.06,198472
2024-03-05,4.06,4.1,3.9,4.1,206785
2024-03-06,4.14,4.17,4.09,4.15,71564
2024-03-07,4.19,4.2011,4.1,4.13,55125
2024-03-08,4.18,4.29,4.1201,4.27,74026
2024-03-11,4.26,4.428,4.13,4.16,68756
2024-03-12,4.16,4.17,4.11,4.155,61987
2024-03-13,4.18,4.18,4.0584,4.11,108885
2024-03-14,4.16,4.16,3.97,4.03,108842
2024-03-15,3.99,4.22,3.98,4.13,221785
2024-03-18,4.12,4.21,4.11,4.16,63975
2024-03-19,4.18,4.265,4.13,4.22,75983
2024-03-20,4.2,4.31,4.15,4.28,119582
2024-03-21,4.23,4.35,4.23,4.32,130985
2024-03-22,4.34,4.34,4.3,4.32,74656
2024-03-25,4.34,4.35,4.24,4.32,84324
2024-03-26,4.21,4.35,4.21,4.32,102274
2024-03-27,4.32,4.35,4.3,4.34,191293
2024-03-28,4.32,4.43,4.32,4.37,79362
2024-04-01,4.41,4.41,4.3,4.38,357805
2024-04-02,4.34,4.35,4.21,4.21,103651
2024-04-03,4.22,4.23,4.11,4.21,152542
2024-04-04,4.17,4.23,4.09,4.11,120390
2024-04-05,4.13,4.13,4.04,4.05,98422
2024-04-08,4.1,4.1,4.04,4.05,108478
2024-04-09,4.09,4.09,4.01,4.02,44491
2024-04-10,3.95,3.98,3.89,3.97,145182
2024-04-11,3.97,4.02,3.93,3.95,67756
2024-04-12,3.94,3.97,3.81,3.84,87775
2024-04-15,3.78,3.88,3.78,3.78,76132
2024-04-16,3.79,3.79,3.69,3.71,90831
2024-04-17,3.71,3.73,3.59,3.61,246237
2024-04-18,3.62,3.62,3.47,3.48,308982
2024-04-19,3.47,3.505,3.42,3.47,241193
2024-04-22,3.56,3.75,3.45,3.75,403551
2024-04-23,3.8,3.895,3.69,3.85,215186
2024-04-24,3.82,3.89,3.785,3.84,129821
2024-04-25,3.78,3.78,3.66,3.66,106068
2024-04-26,3.67,3.7189,3.63,3.66,97997
2024-04-29,3.68,3.695,3.5701,3.62,60702
2024-04-30,3.62,3.65,3.54,3.6,219757
2024-05-01,3.62,3.72,3.61,3.65,73367
2024-05-02,3.85,4.03,3.81,4.01,258145
2024-05-03,4.09,4.09,3.83,3.95,241071
2024-05-06,3.97,4.17,3.91,3.92,389909
2024-05-07,3.92,4.09,3.9,4.01,149355
2024-05-08,4.0,4.09,4.0,4.07,101425
2024-05-09,4.08,4.09,4.0,4.03,117178
2024-05-10,4.02,4.08,4.0023,4.03,109406
2024-05-13,4.0,4.08,3.965,4.04,92344
2024-05-14,4.08,4.13,3.985,4.04,140724
2024-05-15,4.1,4.17,3.93,3.97,287236
2024-05-16,3.77,3.805,3.3417,3.4,902006
2024-05-17,3.38,3.38,3.1,3.15,933663
2024-05-20,3.15,3.24,2.96,3.23,613681
2024-05-21,3.16,3.205,3.08,3.18,336399
2024-05-22,3.13,3.23,3.08,3.21,614695
2024-05-23,3.22,3.22,3.075,3.13,293055
2024-05-24,3.15,3.19,3.09,3.19,445056
2024-05-28,3.13,3.38,3.13,3.35,223022
2024-05-29,3.28,3.35,3.24,3.31,262490
2024-05-30,3.32,3.44,3.32,3.43,137513
2024-05-31,3.45,3.48,3.31,3.36,106248
2024-06-03,3.35,3.4,3.34,3.365,150834
2024-06-04,3.36,3.4,3.35,3.37,95669
2024-06-05,3.38,3.39,3.3,3.31,91629
2024-06-06,3.3,3.3,3.19,3.23,117330
2024-06-07,3.21,3.27,3.18,3.2,207714
2024-06-10,3.2,3.25,3.16,3.21,148629
2024-06-11,3.19,3.265,3.1801,3.26,101023
2024-06-12,3.3,3.41,3.275,3.33,148123
2024-06-13,3.36,3.4,3.27,3.31,195419
2024-06-14,3.3,3.35,3.2099,3.26,117061
2024-06-17,3.25,3.3,3.17,3.27,113520
2024-06-18,3.29,3.33,3.235,3.28,129969
2024-06-20,3.3,3.31,3.24,3.29,102830
2024-06-21,3.29,3.315,3.24,3.26,133669
2024-06-24,3.25,3.29,3.085,3.11,478480
2024-06-25,3.07,3.12,3.0,3.05,260404
2024-06-26,3.03,3.14,3.03,3.12,116335
2024-06-27,3.13,3.145,3.085,3.11,147467
2024-06-28,3.14,3.24,3.1,3.22,1609897
2024-07-01,3.23,3.23,3.14,3.18,115975
2024-07-02,3.16,3.188,3.12,3.12,66221
2024-07-03,3.13,3.145,3.05,3.05,61132
2024-07-05,3.05,3.05,2.96,3.0,248438
2024-07-08,3.0,3.04,2.94,3.0,209489
2024-07-09,3.0,3.0,2.845,2.95,200454
2024-07-10,2.96,3.03,2.92,3.03,111601
2024-07-11,3.04,3.1,2.975,3.01,276904
2024-07-12,3.0,3.01,2.89,2.97,214061
2024-07-15,3.02,3.09,3.01,3.09,380025
2024-07-16,3.12,3.45,3.0,3.44,290476
2024-07-17,3.42,3.5,3.39,3.48,269512
2024-07-18,3.49,3.53,3.36,3.38,126791
2024-07-19,3.28,3.48,3.28,3.44,85238
2024-07-22,3.47,3.47,3.4,3.44,99474
2024-07-23,3.42,3.58,3.4,3.57,178051
2024-07-24,3.57,3.75,3.55,3.69,348628
2024-07-25,3.7,3.8,3.67,3.76,177256
2024-07-26,3.79,3.79,3.6601,3.79,242134
2024-07-29,3.83,3.92,3.78,3.91,228923
2024-07-30,3.93,3.93,3.76,3.93,201678
2024-07-31,3.97,4.07,3.85,3.86,203178
2024-08-01,3.87,3.95,3.72,3.82,143465
2024-08-02,3.69,3.75,3.62,3.74,183331
2024-08-05,3.59,3.7,3.36,3.53,177293
2024-08-06,3.51,3.52,3.39,3.41,128378
2024-08-07,3.44,3.44,3.265,3.29,136920
2024-08-08,3.33,3.35,3.26,3.31,93269
2024-08-09,3.295,3.3,3.2,3.26,72302
2024-08-12,3.22,3.3,3.02,3.12,229897
2024-08-13,3.16,3.37,3.14,3.28,205530
2024-08-14,3.35,3.35,3.24,3.34,250468
2024-08-15,3.07,3.15,2.72,2.74,1223603
2024-08-16,2.8,3.0,2.76,2.95,496928
2024-08-19,2.98,3.09,2.72,2.77,656775
2024-08-20,2.8,2.8,2.61,2.71,1009247
2024-08-21,2.74,2.78,2.69,2.71,236104
2024-08-22,2.67,2.785,2.62,2.75,427242
2024-08-23,2.77,2.9,2.74,2.86,257116
2024-08-26,2.9,3.02,2.9,2.97,266205
2024-08-27,2.94,3.02,2.81,2.87,294110
2024-08-28,2.89,2.89,2.75,2.79,132260
2024-08-29,2.82,2.88,2.7801,2.79,117504
2024-08-30,2.81,2.88,2.77,2.86,160687
2024-09-03,2.88,2.9,2.75,2.75,159935
2024-09-04,2.73,2.79,2.71,2.75,93291
2024-09-05,2.76,2.76,2.5952,2.72,226712
2024-09-06,2.73,2.73,2.675,2.7,134418
2024-09-09,2.74,2.74,2.695,2.71,164530
2024-09-10,2.71,2.75,2.68,2.735,150748
2024-09-11,2.72,2.755,2.6831,2.75,105159
2024-09-12,2.75,2.8,2.71,2.79,145827
2024-09-13,2.82,2.9,2.8,2.82,111256
2024-09-16,2.85,2.87,2.8,2.83,75616
2024-09-17,2.81,2.96,2.81,2.89,251807
2024-09-18,2.89,2.94,2.85,2.88,90141
2024-09-19,2.95,2.95,2.81,2.83,93957
2024-09-20,2.82,2.835,2.71,2.73,433548
2024-09-23,2.77,2.79,2.65,2.65,347653
2024-09-24,2.66,2.725,2.62,2.69,229943
2024-09-25,2.68,2.8,2.67,2.78,188793
2024-09-26,2.83,2.87,2.77,2.82,214303
2024-09-27,2.83,2.89,2.79,2.8,110083
2024-09-30,2.77,2.935,2.77,2.92,181903
2024-10-01,2.87,2.94,2.74,2.76,127170
2024-10-02,2.78,2.84,2.74,2.81,107664
2024-10-03,2.77,2.88,2.745,2.76,93572
2024-10-04,2.81,2.85,2.78,2.8,87954
2024-10-07,2.8,2.81,2.725,2.78,103212
2024-10-08,2.82,2.82,2.7,2.72,95384
2024-10-09,2.69,2.74,2.66,2.68,104946
2024-10-10,2.68,2.7284,2.66,2.71,108149
2024-10-11,2.72,2.78,2.67,2.77,89868
2024-10-14,2.8,2.98,2.8,2.92,128130
2024-10-15,2.92,2.96,2.85,2.94,127747
2024-10-16,2.96,3.09,2.96,3.04,165050
2024-10-17,3.05,3.06,2.985,3.02,101626
2024-10-18,3.02,3.05,2.92,2.92,112639
2024-10-21,2.9283,2.9283,2.795,2.85,92538
2024-10-22,2.86,2.875,2.805,2.81,109975
2024-10-23,2.81,2.8149,2.665,2.68,191995
2024-10-24,2.74,2.848,2.66,2.66,48822
2024-10-25,2.64,2.8,2.64,2.71,218430
2024-10-28,2.75,2.81,2.7101,2.78,177419
2024-10-29,2.78,2.8,2.71,2.71,82364
2024-10-30,2.7,2.7499,2.67,2.68,83708
2024-10-31,2.7,2.705,2.62,2.62,68199
2024-11-01,2.65,2.68,2.5653,2.63,68205
2024-11-04,2.63,2.65,2.6,2.62,121148
2024-11-05,2.65,2.65,2.61,2.62,72296
2024-11-06,2.69,2.78,2.61,2.74,223328
2024-11-07,2.8,2.8,2.68,2.72,96069
2024-11-08,2.7,2.705,2.64,2.7,108209
2024-11-11,2.72,2.7699,2.7,2.72,111164
2024-11-12,2.73,2.79,2.7,2.7,232564
2024-11-13,2.74,2.81,2.7,2.76,246195
2024-11-14,2.76,2.76,2.695,2.75,142691
2024-11-15,2.77,2.77,2.535,2.56,274188
2024-11-18,2.57,2.61,2.445,2.45,250691
2024-11-19,2.45,2.475,2.43,2.45,94811
2024-11-20,2.43,2.44,2.345,2.42,174381
2024-11-21,2.42,2.435,2.34,2.36,99902
2024-11-22,2.38,2.41,2.35,2.41,152168
2024-11-25,2.41,2.4899,2.4,2.4,115312
2024-11-26,2.4,2.5,2.4,2.47,109471
2024-11-27,2.5,2.51,2.42,2.45,79383
2024-11-29,2.47,2.68,2.47,2.68,111366
2024-12-02,2.7,2.7,2.6,2.64,114729
2024-12-03,2.62,2.725,2.61,2.69,125023
2024-12-04,2.66,2.78,2.65,2.78,111193
2024-12-05,2.84,2.84,2.735,2.8,79727
2024-12-06,2.8,2.8,2.67,2.69,78186
2024-12-09,2.69,2.78,2.67,2.74,81815
2024-12-10,2.77,2.86,2.69,2.82,126436
2024-12-11,2.85,2.85,2.765,2.82,76492
2024-12-12,2.79,2.82,2.745,2.75,79983
2024-12-13,2.77,3.02,2.68,3.01,236981
2024-12-16,3.12,3.16,2.97,3.07,365380
2024-12-17,2.67,2.82,2.56,2.605,730374
2024-12-18,2.6,2.67,2.39,2.41,400863
2024-12-19,2.48,2.48,2.3038,2.41,394076
2024-12-20,2.41,2.62,2.39,2.49,493842
2024-12-23,2.48,2.54,2.3106,2.41,515911
2024-12-24,2.41,2.46,2.35,2.45,459880
2024-12-26,2.48,2.52,2.35,2.5,353649
2024-12-27,2.49,2.63,2.472,2.6,305434
2024-12-30,2.57,2.81,2.57,2.8,439874
2024-12-31,2.85,3.06,2.8,3.05,543839
2025-01-02,3.05,3.05,2.86,2.9,171223
2025-01-03,2.9,3.06,2.9,3.05,281942
2025-01-06,3.04,3.08,2.92,2.99,260790
2025-01-07,3.0,3.01,2.8924,2.95,118124
2025-01-08,2.92,3.175,2.9,3.09,302324
2025-01-10,3.01,3.07,2.85,3.0,227635
2025-01-13,2.92,3.07,2.9045,3.06,146595
2025-01-14,3.09,3.09,2.9701,3.05,114858
2025-01-15,3.07,3.13,2.94,2.98,119703
2025-01-16,2.96,2.98,2.865,2.93,70078
2025-01-17,2.94,3.03,2.8,3.02,243799
2025-01-21,3.05,3.08,2.95,2.96,128152
2025-01-22,2.96,2.99,2.91,2.94,139868
2025-01-23,2.94,2.96,2.83,2.95,158522
2025-01-24,2.93,3.01,2.88,2.99,146812
2025-01-27,3.0,3.096543,2.95,2.98,84173
2025-01-28,2.99,3.25,2.96,3.18,147676
2025-01-29,3.18,3.23,3.12,3.14,104911
2025-01-30,3.13,3.27,3.13,3.17,59314
2025-01-31,3.18,3.27,3.12,3.23,77257
2025-02-03,3.2,3.2,3.03,3.05,88747
2025-02-04,3.04,3.2,2.94,2.94,108465
2025-02-05,2.95,2.98,2.82,2.96,125352
2025-02-06,2.9,3.01,2.87,2.95,97718
2025-02-07,2.95,3.01,2.925,2.97,157016
2025-02-10,3.0,3.1399,2.95,3.02,276542
2025-02-11,2.95,3.0,2.84,2.95,481328
2025-02-12,2.9,2.92,2.775,2.9,169942
2025-02-13,2.91,3.0,2.86,3.0,83767
2025-02-14,3.0,3.0,2.92,2.97,52739
2025-02-18,2.87,2.96,2.68,2.7,151349
2025-02-19,2.7,2.7978,2.63,2.66,110009
2025-02-20,2.63,2.71,2.585,2.6,78273
2025-02-21,2.64,2.64,2.52,2.54,118891
2025-02-24,2.57,2.73,2.52,2.64,95348
2025-02-25,2.64,2.8,2.61,2.73,161291
2025-02-26,2.7,2.75,2.7,2.74,106496
2025-02-27,2.73,2.76,2.67,2.67,114639
2025-02-28,2.53,2.67,2.53,2.64,112920
2025-03-03,2.5,2.62,2.38,2.4,150007
2025-03-04,2.4,2.5,2.35,2.39,139190
2025-03-05,2.39,2.54,2.39,2.47,135198
2025-03-06,2.46,2.58,2.445,2.57,71572
2025-03-07,2.55,2.63,2.515,2.58,95966
2025-03-10,2.54,2.58,2.47,2.57,181194
2025-03-11,2.59,2.59,2.45,2.5,158877
2025-03-12,2.54,2.54,2.39,2.41,210403
2025-03-13,2.43,2.43,2.31,2.33,113331
2025-03-14,2.32,2.37,2.32,2.36,91480
2025-03-17,2.37,2.3959,2.33,2.37,103724
2025-03-18,2.38,2.42,2.32,2.33,92287
2025-03-19,2.3423,2.375,2.31,2.36,81428
2025-03-20,2.4,2.4,2.3,2.305,114342
2025-03-21,2.29,2.37,2.23,2.37,488715
2025-03-24,2.36,2.4,2.315,2.34,70838
2025-03-25,2.34,2.34,2.25,2.28,115657
2025-03-26,2.3,2.3473,2.25,2.28,73850
2025-03-27,2.28,2.41,2.28,2.38,81007
2025-03-28,2.42,2.42,2.29,2.32,97664
2025-03-31,2.31,2.39,2.274,2.33,109956
2025-04-01,2.34,2.34,2.22,2.25,80759
2025-04-02,2.25,2.27,2.225,2.25,99879
2025-04-03,2.2,2.231,2.15,2.2,188186
2025-04-04,2.17,2.205,2.01,2.04,191997
2025-04-07,1.98,2.115,1.86,2.1,220372
2025-04-08,2.12,2.16,1.96,1.97,199305
2025-04-09,1.98,2.21,1.95,2.12,179154
2025-04-10,2.06,2.1,1.97,2.0,138668
