Date,Open,High,Low,Close,Volume
2025-06-09,4.23,4.53,4.215,4.35,18657254
2025-06-10,4.4,4.41,4.22,4.33,8942872
2025-06-11,4.42,4.7,4.395,4.62,20091518
2025-06-12,4.5,4.61,4.47,4.49,10008112
2025-06-13,4.32,4.47,4.28,4.34,8643331
2025-06-16,4.42,4.6,4.405,4.48,8926087
2025-06-17,4.42,4.4298,4.23,4.23,9215643
2025-06-18,4.22,4.5,4.205,4.38,9874840
2025-06-20,4.4,4.425,4.26,4.29,10829360
2025-06-23,4.27,4.3199,4.16,4.24,7425338
2025-06-24,4.335,4.4,4.28,4.33,22403337
2025-06-25,6.01,6.35,5.31,5.67,178809258
2025-06-26,5.69,7.71,5.6,7.65,196271348
2025-06-27,7.54,7.72,6.4321,6.62,108565938
2025-06-30,6.68,7.07,6.51,6.72,51201516
2025-07-01,6.5,6.54,6.14,6.36,36876163
2025-07-02,6.3,6.855,6.28,6.8,32691474
2025-07-03,6.78,7.09,6.75,7.02,19903407
2025-07-07,6.8,7.04,6.65,7.01,17667646
2025-07-08,7.13,8.44,7.13,8.18,73200507
2025-07-09,8.115,8.785,7.93,8.36,49356268
2025-07-10,8.315,9.15,8.295,9.09,52371323
2025-07-11,8.815,9.77,8.71,9.23,55750335
2025-07-14,9.13,10.05,9.09,10.05,47977739
2025-07-15,10.455,11.15,10.19,10.85,85170301
2025-07-16,10.93,11.57,10.47,11.35,79479621
2025-07-17,11.46,13.79,11.45,13.6,111427838
2025-07-18,14.05,15.03,13.43,14.64,148449720
2025-07-21,14.03,14.09,11.56,12.52,131226036
2025-07-22,11.24,14.03,11.24,13.8,104170950
2025-07-23,13.21,13.59,12.42,12.83,78357319
2025-07-24,12.48,13.58,12.36,12.63,65511502
2025-07-25,12.355,12.6,11.11,11.97,57811181
2025-07-28,11.84,12.28,10.722,10.98,57335589
2025-07-29,10.84,11.045,9.2,9.28,73326200
2025-07-30,9.305,9.31,8.48,8.78,61129093
2025-07-31,8.8,9.05,8.585,8.6,37738659
2025-08-01,8.1608,8.49,8.1,8.26,31166728
2025-08-04,8.37,8.4777,8.115,8.3,23176877
2025-08-05,9.0,9.11,8.43,8.69,54206414
2025-08-06,8.46,8.745,8.205,8.28,28528636
2025-08-07,8.31,9.26,8.31,9.24,38848003
2025-08-08,9.49,9.6,8.7101,8.76,34527936
2025-08-11,8.87,9.26,8.816,9.08,23752156
2025-08-12,9.0,9.4,8.96,9.35,25199658
2025-08-13,9.43,9.7,9.14,9.44,21309637
2025-08-14,9.26,9.69,8.85,9.09,27697813
2025-08-15,9.16,9.26,8.8,9.03,14441681
2025-08-18,8.985,9.11,8.55,8.8,16805871
2025-08-19,8.8,8.85,7.83,7.91,24514150
2025-08-20,7.85,7.96,7.65,7.91,13718370
2025-08-21,7.89,8.0099,7.755,7.87,10890252
2025-08-22,7.87,8.23,7.78,8.16,14821011
2025-08-25,8.05,8.22,7.8,8.05,12485234
2025-08-26,8.12,8.56,8.11,8.33,17287128
2025-08-27,8.171,8.315,7.995,8.04,10768398
2025-08-28,8.13,8.23,8.022,8.1,8620133
2025-08-29,8.19,8.19,7.75,7.93,12270611
2025-09-02,7.77,7.8399,7.55,7.73,11386657
2025-09-03,7.8,8.15,7.695,7.78,12274145
2025-09-04,7.66,7.6965,7.4,7.65,12595835
2025-09-05,7.81,7.9438,7.64,7.84,9675403
2025-09-08,10.06,10.68,9.26,9.49,102502681
2025-09-09,9.625,9.65,8.3,8.53,52713197
2025-09-10,8.6,8.61,8.21,8.35,22368574
2025-09-11,8.34,9.29,8.29,8.85,37105945
2025-09-12,8.88,9.96,8.7149,9.95,39084991
2025-09-15,10.05,10.525,9.41,10.36,41060196
2025-09-16,10.3,10.725,9.88,10.15,41376794
2025-09-17,9.91,10.64,9.8535,10.26,41686502
2025-09-18,10.38,12.265,10.225,12.13,66639519
2025-09-19,12.155,13.44,11.94,13.42,74324763
2025-09-22,13.07,14.1,12.63,13.44,52301417
2025-09-23,13.43,14.1679,13.05,13.53,43548647
2025-09-24,13.79,14.02,12.335,12.49,43754319
2025-09-25,11.97,12.845,11.49,12.5,39952546
2025-09-26,12.5,12.93,12.0902,12.66,29247406
2025-09-29,13.075,13.41,12.13,12.38,37097102
2025-09-30,13.0,13.62,12.05,12.32,50852499
