Date,Open,High,Low,Close,Volume
2024-01-02,46.8,46.8,45.2,46.8,1441.675
2024-01-03,46.4,46.8,45.6,46.0,924.7
2024-01-04,46.0,46.8,42.0,42.8,2434.05
2024-01-05,44.8,45.2,43.6,44.8,996.375
2024-01-08,46.0,46.4,44.0,46.0,1655.575
2024-01-09,46.8,47.196,42.4,44.0,4256.05
2024-01-10,48.0,48.0,44.78,47.6,3175.25
2024-01-11,46.8,47.6,45.2,46.8,1503.025
2024-01-12,47.6,48.8,44.4,47.8,1825.1
2024-01-16,48.0,48.0,44.0,47.2,2070.825
2024-01-17,45.6,45.6,42.8,43.6,1455.625
2024-01-18,42.8,44.4,42.0,42.8,2014.65
2024-01-19,47.6,47.6,42.0,43.2,1458.7
2024-01-22,42.8,43.8,40.4,43.2,2568.825
2024-01-23,41.6,42.4,40.4,42.0,1300.975
2024-01-24,41.2,43.6,39.8,42.4,4241.1
2024-01-25,40.8,42.032,40.0,40.8,2240.4
2024-01-26,40.4,42.0,40.0,40.8,2148.875
2024-01-29,40.4,41.6,40.0,40.8,1408.9
2024-01-30,40.8,42.0,40.4,40.424,1281.975
2024-01-31,40.8,41.6,38.0,38.8,2437.75
2024-02-01,38.4,39.6,38.0,38.0,914.875
2024-02-02,38.0,38.0,34.0,35.0,7291.375
2024-02-05,37.94,37.94,35.2,35.292,1936.525
2024-02-06,37.088,37.088,34.0,35.2,2029.025
2024-02-07,36.0,37.6,34.8,36.68,3677.225
2024-02-08,36.8,46.0,36.8,46.0,6360.875
2024-02-09,47.6,48.8,38.048,42.8,9126.4
2024-02-12,42.0,42.8,40.4,40.8,1224.85
2024-02-13,40.0,42.0,40.0,40.0,1274.95
2024-02-14,40.8,41.2,40.0,40.8,979.9
2024-02-15,42.0,42.0,38.536,40.0,1391.575
2024-02-16,40.0,40.8,38.16,40.4,991.325
2024-02-20,41.2,41.2,38.8,40.4,859.1
2024-02-21,40.4,41.6,38.8,39.2,1176.575
2024-02-22,41.2,41.2,38.0,38.052,2822.7
2024-02-23,39.332,39.332,36.0,37.4,4316.9
2024-02-26,40.0,40.8,36.16,38.208,2854.8
2024-02-27,38.4,38.4,35.66,36.032,2728.375
2024-02-28,36.0,37.6,35.64,37.004,1937.275
2024-02-29,38.0,38.34,35.24,35.368,2376.725
2024-03-01,35.6,37.24,34.184,37.24,4241.025
2024-03-04,36.0,36.8,34.456,35.6,1556.2
2024-03-05,36.8,37.748,34.884,37.2,1960.075
2024-03-06,41.2,41.2,36.04,38.972,2788.2
2024-03-07,39.3,41.2,36.084,37.672,3323.1
2024-03-08,38.208,40.0,37.216,38.956,1003.675
2024-03-11,39.952,43.576,39.2,42.4,3088.55
2024-03-12,44.0,45.6,40.0,42.8,3388.45
2024-03-13,42.8,42.8,40.0,41.2,828.525
2024-03-14,42.8,42.8,39.2,40.8,2413.675
2024-03-15,42.8,42.8,39.2,41.6,839.675
2024-03-18,39.2,43.2,39.2,40.0,1831.875
2024-03-19,41.2,44.0,39.2,41.2,1897.825
2024-03-20,40.0,44.0,40.0,43.6,1339.05
2024-03-21,44.0,44.0,41.604,41.828,1129.1
2024-03-22,42.4,42.8,40.4,41.2,382.925
2024-03-25,41.6,42.6,40.8,41.2,570.225
2024-03-26,40.8,41.996,38.08,40.4,1353.95
2024-03-27,40.4,40.672,39.6,39.604,396.425
2024-03-28,41.2,41.2,40.264,41.2,898.975
2024-04-01,42.4,42.4,40.0,40.8,413.45
2024-04-02,40.8,45.2,39.2,45.2,3350.625
2024-04-03,44.4,45.2,41.6,43.2,1499.075
2024-04-04,42.4,45.2,40.4,43.2,1588.1
2024-04-05,42.4,44.8,40.4,43.6,1273.95
2024-04-08,43.18,43.6,42.2,43.2,777.2
2024-04-09,43.6,45.2,39.6,39.6,2593.9
2024-04-10,41.6,43.2,39.644,42.0,2236.95
2024-04-11,41.2,41.6,39.802,40.2,1668.5
2024-04-12,40.0,41.6,38.8,38.8,1948.325
2024-04-15,40.0,40.0,38.0,39.2,1440.825
2024-04-16,38.0,39.2,36.8,38.136,646.5
2024-04-17,36.0,39.0,36.0,37.248,564.375
2024-04-18,36.8,37.6,36.0,36.16,1301.225
2024-04-19,35.6,38.0,35.2,36.2,1563.475
2024-04-22,36.0,37.6,34.4,34.82,1659.35
2024-04-23,35.996,37.112,34.0,34.76,1898.575
2024-04-24,35.52,36.0,34.312,35.948,1620.35
2024-04-25,40.0,43.2,32.4,34.272,27133.2
2024-04-26,34.0,35.176,31.2,32.724,7739.675
2024-04-29,32.716,36.42,31.6,34.68,8688.575
2024-04-30,35.16,36.0,34.68,35.196,1128.15
2024-05-01,35.2,35.2,29.408,30.0,3514.25
2024-05-02,31.4,32.6,30.04,30.604,4856.275
2024-05-03,31.636,31.8,28.8,29.468,4239.1
2024-05-06,29.6,31.8,29.6,29.6,1583.675
2024-05-07,30.404,32.0,28.0,31.368,7721.0
2024-05-08,31.2,31.88,28.196,28.8,4729.6
2024-05-09,28.8,29.948,26.0,26.36,4377.075
2024-05-10,25.76,26.792,25.748,26.4,1416.15
2024-05-13,27.2,28.0,26.604,26.8,944.475
2024-05-14,28.0,28.2,24.0,25.14,5458.825
2024-05-15,25.24,25.956,24.4,25.52,5681.025
2024-05-16,25.288,27.396,24.064,25.68,6729.85
2024-05-17,25.196,28.4,24.8,27.196,2091.75
2024-05-20,25.644,28.2,24.42,24.74,5675.725
2024-05-21,24.94,26.02,22.8,23.24,5037.875
2024-05-22,22.944,24.7804,22.4,23.4,4619.9
2024-05-23,23.596,24.0,22.432,22.512,1034.575
2024-05-24,22.4,23.2,22.004,22.868,2090.475
2024-05-28,24.728,30.4,24.6,30.4,10318.525
2024-05-29,32.0,33.2,28.0,29.604,17203.225
2024-05-30,29.6,31.088,28.48,28.88,1236.775
2024-05-31,28.8,40.4,28.8,34.768,19965.75
2024-06-03,35.6,35.6,31.8,34.72,6597.575
2024-06-04,32.672,32.672,28.0,29.04,8748.0
2024-06-05,29.18,30.4,27.12,27.2,6236.575
2024-06-06,28.0,33.996,27.8,30.8,5705.2
2024-06-07,32.4,32.8,30.0,31.92,4550.125
2024-06-10,32.4,32.4,28.0,28.4,7596.65
2024-06-11,29.596,29.6,26.0,26.412,6050.475
2024-06-12,26.0,28.0,24.132,27.6,10224.925
2024-06-13,26.4,28.0,25.2,26.4,1834.75
2024-06-14,26.56,26.56,23.2,25.0,6830.725
2024-06-17,24.992,25.58,23.6,24.0,4911.825
2024-06-18,25.24,25.6,20.2,23.008,11822.2
2024-06-20,22.8,22.8,21.6,22.4,2024.95
2024-06-21,22.4,23.2,17.2,17.96,19955.5
2024-06-24,18.04,18.8,15.26,15.64,15936.8
2024-06-25,17.32,18.484,14.084,15.0,18997.95
2024-06-26,15.2,16.796,14.82,15.84,5494.45
2024-06-27,15.96,18.8,15.6618,18.644,5599.3
2024-06-28,19.36,19.36,13.632,16.04,19539.05
2024-07-01,15.6,15.79,12.6,13.808,15056.0
2024-07-02,14.8,15.876,12.824,13.56,14210.4
2024-07-03,13.556,14.8,13.2,13.404,5106.175
2024-07-05,14.8,15.6,14.08,15.52,10400.95
2024-07-08,17.036,22.396,16.38,19.08,93808.825
2024-07-09,21.2,22.138,15.6,19.204,307025.2
2024-07-10,18.76,18.76,16.0,16.224,36522.525
2024-07-11,16.192,19.4,16.0,18.536,21789.1
2024-07-12,18.8,20.08,17.0,19.112,29036.6
2024-07-15,17.6,18.196,15.644,17.28,28587.775
2024-07-16,17.384,18.36,16.4,17.112,19131.225
2024-07-17,16.664,17.56,16.044,16.976,13211.275
2024-07-18,17.004,17.2,14.82,15.2,20410.025
2024-07-19,15.2,15.76,13.6,13.96,18356.1
2024-07-22,14.936,15.772,14.2,15.24,11059.475
2024-07-23,14.8,15.28,13.636,14.196,19471.85
2024-07-24,14.32,15.164,13.808,14.4,11118.775
2024-07-25,14.668,15.196,13.6,14.16,31058.375
2024-07-26,13.836,14.4,12.856,13.432,30266.675
2024-07-29,13.96,14.4,12.24,13.996,33879.15
2024-07-30,14.004,14.244,12.6,13.7,19205.45
2024-07-31,13.516,19.004,13.2,18.664,123873.55
