Date,Open,High,Low,Close,Volume
2025-06-04,4.96,5.5,4.8,5.14,19412
2025-06-05,5.14,5.14,4.77,4.7907,6848
2025-06-06,5.14,5.14,4.905,4.905,13330
2025-06-09,4.85,5.38,4.8,4.84,12564
2025-06-10,4.85,5.45,4.75,4.97,26610
2025-06-11,5.47,5.47,4.68,4.68,34610
2025-06-12,5.12,5.44,4.8139,5.33,62503
2025-06-13,5.5,5.69,5.05,5.05,28119
2025-06-16,5.25,5.4177,5.01,5.1231,8420
2025-06-17,5.0,5.44,4.7045,5.44,11308
2025-06-18,5.095,5.15,4.63,5.05,6830
2025-06-20,4.83,4.88,4.05,4.51,27080
2025-06-23,4.68,4.68,4.1,4.39,33227
2025-06-24,4.32,5.014,4.32,4.64,14648
2025-06-25,4.47,4.91,4.35,4.655,17540
2025-06-26,4.59,5.04,4.5,4.7,23443
2025-06-27,4.56,4.98,4.55,4.7188,21501
2025-06-30,4.8,4.8,4.5705,4.64,9193
2025-07-01,4.6,4.9,4.17,4.287,24773
2025-07-02,4.4,4.95,4.03,4.06,17274
2025-07-03,4.125,4.18,3.8,3.9766,59760
2025-07-07,4.06,4.06,3.81,3.84,10071
2025-07-08,3.945,4.06,3.86,4.05,8663
2025-07-09,4.0,4.24,3.84,4.17,10037
2025-07-10,3.97,4.375,3.97,4.2,19560
2025-07-11,4.08,4.8,4.08,4.14,18106
2025-07-14,4.3,4.4882,4.2046,4.2046,5026
2025-07-15,4.07,4.84,4.07,4.2218,19093
2025-07-16,4.19,4.6899,4.19,4.45,25733
2025-07-17,4.75,4.75,4.2,4.27,28891
2025-07-18,4.28,4.7113,4.25,4.434,4328
2025-07-21,4.55,4.59,4.28,4.31,15410
2025-07-22,4.3,4.5499,4.3,4.41,3884
2025-07-23,4.6,4.7,4.3,4.6342,11913
2025-07-24,4.5066,5.0,4.43,4.77,24051
2025-07-25,4.618,4.7499,4.51,4.71,6109
2025-07-28,4.83,4.865,4.4,4.7487,48791
2025-07-29,4.6235,5.04,4.62,4.8091,13812
2025-07-30,4.8,4.8,4.58,4.6398,12296
2025-07-31,4.64,4.99,4.64,4.7,22868
2025-08-01,4.59,5.9,4.4439,5.35,124516
2025-08-04,5.65,5.75,4.99,5.025,23965
2025-08-05,4.934,5.5697,4.82,5.25,29316
2025-08-06,4.75,5.0488,4.59,5.0488,18474
2025-08-07,4.9625,5.5,4.67,4.85,14832
2025-08-08,5.2889,5.2889,4.63,4.675,8310
2025-08-11,4.63,4.9,4.62,4.71,11028
2025-08-12,4.6,5.215,4.545,5.215,50035
2025-08-13,5.33,5.73,5.21,5.38,12242
2025-08-14,5.0,5.2496,4.72,5.015,22920
2025-08-15,5.0,5.0,4.8,4.89,6475
2025-08-18,4.945,5.425,4.9286,5.175,6789
2025-08-19,5.0758,5.5,4.8001,5.02,55488
2025-08-20,5.4,7.28,5.0,6.67,413625
2025-08-21,6.23,6.37,5.58,5.65,75289
2025-08-22,5.11,5.86,5.11,5.67,13951
2025-08-25,5.86,5.86,5.21,5.6,8532
2025-08-26,5.83,5.83,5.4547,5.5,10389
2025-08-27,5.7,5.92,5.49,5.64,25744
2025-08-28,5.7999,5.8,5.3805,5.7,10679
2025-08-29,5.74,5.74,5.49,5.49,6872
2025-09-02,5.12,5.6,4.91,5.4,19170
2025-09-03,5.41,5.87,5.41,5.5,22765
2025-09-04,5.41,5.7499,5.41,5.6,13619
2025-09-05,5.695,6.0,5.68,5.75,15927
2025-09-08,6.0,6.0,5.62,5.8,10941
2025-09-09,5.52,5.9,5.208,5.62,11127
2025-09-10,5.4285,6.84,5.4285,5.8,18741
2025-09-11,6.4581,6.75,6.11,6.25,37904
2025-09-12,6.56,6.99,6.2,6.5,21626
2025-09-15,6.37,7.29,6.37,6.75,84926
2025-09-16,6.54,7.7,6.4541,7.0,57476
2025-09-17,7.01,7.7399,6.6034,7.1,38221
2025-09-18,7.1,7.2,6.79,6.79,8101
2025-09-19,6.51,6.926,6.3935,6.49,12800
2025-09-22,6.49,6.49,5.98,6.05,18408
2025-09-23,6.59,7.0601,6.15,6.2,15289
2025-09-24,6.195,6.2,5.95,5.95,9333
2025-09-25,6.0,6.9,5.6218,5.7501,78349
2025-09-26,5.7,5.75,4.97,5.75,31568
2025-09-29,5.83,5.83,5.43,5.8,13668
2025-09-30,5.59,5.6,5.51,5.52,17154
2025-10-01,5.5292,5.9551,5.525,5.74,55265
2025-10-02,5.75,6.17,5.75,6.06,18227
2025-10-03,6.24,6.3,6.0,6.2,5746
2025-10-06,6.8499,7.67,6.0209,7.09,63131
2025-10-07,7.13,7.25,6.6606,7.04,11910
2025-10-08,7.0469,7.6799,7.0,7.5356,97377
2025-10-09,7.54,7.69,7.295,7.45,21125
2025-10-10,7.45,7.6264,6.69,7.03,27946
2025-10-13,7.08,7.71,6.81,7.1,9256
2025-10-14,7.09,7.44,6.805,7.11,32461
2025-10-20,5.89,6.0,5.2069,5.7,65537
2025-10-21,5.85,7.0,5.85,6.06,41243
2025-10-22,5.82,5.9001,5.29,5.405,33439
2025-10-23,5.5,5.92,5.36,5.56,19383
2025-10-24,5.56,5.7946,5.33,5.33,22355
2025-10-27,5.26,5.5,5.01,5.275,60439
2025-10-28,5.15,5.29,4.7901,5.27,136411
2025-10-29,5.32,5.33,5.0,5.01,15807
2025-10-30,5.0,5.435,4.95,5.17,22261
2025-10-31,5.3,5.3062,4.98,5.26,16239
2025-11-03,5.24,5.24,4.85,4.88,6765
2025-11-04,4.85,4.9487,4.8,4.9487,15089
2025-11-05,4.93,4.9392,4.85,4.87,4783
2025-11-06,4.8,5.0177,4.53,4.53,14381
2025-11-07,4.58,4.9958,4.58,4.9958,5928
2025-11-10,4.86,4.96,4.3094,4.96,16065
2025-11-11,4.87,4.87,4.59,4.592,10815
2025-11-12,4.75,4.8,4.6822,4.6822,1647
2025-11-13,4.76,4.81,4.4,4.54,61813
2025-11-14,4.76,4.76,4.4,4.4,11682
2025-11-17,4.63,4.63,4.235,4.515,17553
2025-11-18,4.4,4.5,4.15,4.3,10154
2025-11-19,4.24,4.62,4.2,4.62,7134
2025-11-20,4.85,5.3736,4.44,4.49,33701
2025-11-21,4.53,4.675,4.5,4.55,5841
2025-11-24,4.6699,4.915,4.571,4.571,14998
2025-11-25,4.5472,4.97,4.445,4.67,44158
2025-11-26,4.61,4.8374,4.61,4.64,3534
2025-11-28,4.64,4.64,4.4851,4.56,2491
2025-12-01,4.69,4.705,4.5,4.66,4356
2025-12-02,4.6,4.6,4.05,4.23,43666
2025-12-03,4.48,4.5,4.222,4.485,2761
2025-12-04,4.57,4.85,4.3756,4.59,4628
2025-12-05,4.77,4.92,4.6493,4.75,4784
2025-12-08,4.84,4.95,4.37,4.392,10140
2025-12-09,4.64,4.95,4.16,4.23,43594
2025-12-10,4.25,4.28,3.62,4.28,66381
2025-12-11,4.1694,4.28,3.78,4.28,9849
2025-12-12,4.0666,4.26,4.0666,4.26,842
2025-12-15,13.91,16.25,8.91,10.63,37694452
2025-12-16,6.355,6.45,5.6001,5.99,2825502
2025-12-17,6.17,6.17,5.151,5.34,704486
2025-12-18,5.12,5.9899,5.12,5.49,478839
2025-12-19,5.52,5.56,5.17,5.19,279320
2025-12-22,5.35,5.663,4.7701,5.24,322036
2025-12-23,5.59,5.73,5.1505,5.35,159198
2025-12-24,5.46,5.6,5.08,5.49,179554
2025-12-26,5.4,5.8099,5.4,5.5,99946
2025-12-29,5.5,5.5,5.2701,5.37,70854
2025-12-30,5.36,5.3878,5.15,5.16,68458
2025-12-31,5.15,5.31,5.15,5.22,45943
2026-01-02,5.26,5.2987,5.03,5.16,60401
2026-01-05,5.2,5.23,5.1,5.1,54289
2026-01-06,5.03,5.0384,4.7701,4.8,92820
2026-01-07,4.82,4.99,4.67,4.86,74589
2026-01-08,4.85,4.9103,4.68,4.79,46035
2026-01-09,4.8,5.28,4.8,5.15,134815
2026-01-12,5.16,5.2299,4.96,5.15,45696
2026-01-13,5.1,5.25,5.0643,5.17,48695
2026-01-14,5.07,5.29,4.94,5.2,43520
2026-01-15,5.2,5.3,4.9801,5.15,52755
2026-01-16,5.06,5.225,5.03,5.14,25108
2026-01-20,4.99,5.19,4.99,5.01,71810
2026-01-21,5.0,5.12,4.87,4.88,45224
2026-01-22,4.85,5.06,4.85,5.05,26432
2026-01-23,4.95,5.0,4.88,4.93,13753
2026-01-26,4.89,4.9899,4.87,4.96,14504
2026-01-27,5.01,5.05,4.85,4.92,15148
2026-01-28,4.91,5.0899,4.89,5.03,28836
2026-01-29,5.08,5.08,4.89,4.98,42860
2026-01-30,4.98,5.05,4.82,5.05,35752
2026-02-02,4.83,5.456,4.83,5.15,79572
2026-02-03,5.0,5.1099,4.69,4.87,112746
2026-02-04,4.83,4.93,4.72,4.9,39599
2026-02-05,4.7796,5.1499,4.75,4.86,100360
2026-02-06,4.87,5.11,4.69,4.97,70521
2026-02-09,4.99,5.12,4.92,5.12,85232
2026-02-10,5.2,5.2,4.96,5.04,65239
2026-02-11,5.0001,5.1199,4.9,5.07,32201
2026-02-12,4.96,5.06,4.7,5.0,76767
2026-02-13,4.87,4.97,4.84,4.9,37472
2026-02-17,4.9,4.97,4.7601,4.79,23745
2026-02-18,4.81,5.19,4.79,4.89,31895
2026-02-19,4.89,5.06,4.89,5.02,53933
2026-02-20,5.0099,5.0099,4.8,4.98,34608
2026-02-23,5.05,5.05,4.8,4.95,18600
2026-02-24,4.98,5.08,4.97,5.07,27071
2026-02-25,5.03,5.5479,4.8362,5.16,70652
2026-02-26,5.03,5.055,4.8532,4.94,22051
2026-02-27,4.95,5.0,4.8748,4.94,21452
2026-03-02,4.93,5.025,4.9,4.95,48313
2026-03-03,4.86,4.95,4.68,4.85,55324
2026-03-04,4.7,4.98,4.655,4.77,18763
2026-03-05,4.88,4.88,4.64,4.67,58377
2026-03-06,4.64,5.12,4.64,4.99,129732
2026-03-09,4.89,4.98,4.7374,4.92,134908
2026-03-10,5.0,5.0999,4.92,4.92,55218
2026-03-11,4.8,5.0,4.8,4.95,18438
2026-03-12,4.85,4.9999,4.85,4.89,18468
2026-03-13,4.83,4.9,4.75,4.75,12362
2026-03-16,4.85,4.94,4.75,4.88,11268
2026-03-17,4.97,4.98,4.76,4.86,15332
2026-03-18,4.85,4.8699,4.62,4.7,34558
2026-03-19,4.64,4.85,4.5,4.72,19954
2026-03-20,4.51,4.94,4.4414,4.795,43203
2026-03-23,4.69,4.77,4.56,4.64,19144
2026-03-24,4.62,4.66,4.12,4.14,7101656
2026-03-25,3.9,4.365,3.9,4.33,227784
2026-03-26,4.05,4.39,4.05,4.25,111338
2026-03-27,4.2,4.39,4.1,4.25,84002
2026-03-30,4.2,4.45,4.11,4.34,70532
2026-03-31,4.35,4.4,4.19,4.3,35083
2026-04-01,4.25,4.3964,4.1401,4.32,35984
2026-04-02,4.19,4.4,4.16,4.4,24167
2026-04-06,4.41,4.44,4.3001,4.42,43026
2026-04-07,4.32,4.39,4.25,4.35,148792
2026-04-08,4.3491,4.63,4.31,4.48,30924
2026-04-09,4.3001,4.67,4.3001,4.67,29417
2026-04-10,4.64,4.67,4.51,4.66,41540
2026-04-13,4.43,4.65,4.43,4.49,14032
2026-04-14,4.48,4.6,4.43,4.6,22241
2026-04-15,4.6,4.65,4.41,4.65,11406
2026-04-16,4.54,4.64,4.491,4.64,29650
2026-04-17,4.59,4.65,4.52,4.58,32609
