Date,Open,High,Low,Close,Volume
2024-01-02,3.32,3.52,3.25,3.37,90632
2024-01-03,3.35,3.3938,3.09,3.17,87417
2024-01-04,3.3,3.46,3.12,3.14,212438
2024-01-05,3.14,3.2455,2.93,2.98,73886
2024-01-08,3.07,3.07,2.82,3.0,83652
2024-01-09,2.96,3.18,2.96,3.14,40707
2024-01-10,3.14,3.32,3.07,3.29,87112
2024-01-11,3.31,3.35,3.25,3.31,33959
2024-01-12,3.25,3.42,3.25,3.4,49417
2024-01-16,3.54,3.78,3.43,3.49,231553
2024-01-17,3.54,3.57,3.31,3.39,40256
2024-01-18,3.37,3.72,3.345,3.48,104709
2024-01-19,3.5,3.58,3.37,3.45,36873
2024-01-22,3.5,3.6,3.3052,3.44,64370
2024-01-23,3.48,3.68,3.44,3.67,51054
2024-01-24,3.69,3.8,3.6713,3.79,140169
2024-01-25,3.79,3.79,3.6,3.66,129011
2024-01-26,3.62,3.65,3.52,3.58,35683
2024-01-29,3.58,3.62,3.52,3.59,30823
2024-01-30,3.55,3.64,3.45,3.45,88376
2024-01-31,3.46,3.6399,3.38,3.46,28541
2024-02-01,3.5,3.55,3.4,3.45,47569
2024-02-02,3.43,3.55,3.36,3.49,26656
2024-02-05,3.51,3.75,3.3501,3.69,180780
2024-02-06,3.8,3.8,3.7,3.76,170814
2024-02-07,3.8,3.95,3.65,3.79,201064
2024-02-08,3.78,3.815,3.7,3.795,70904
2024-02-09,3.8,3.8,3.7027,3.79,39901
2024-02-12,3.8,3.8,3.57,3.57,61137
2024-02-13,3.57,3.67,3.201,3.39,105958
2024-02-14,3.46,3.46,3.13,3.325,41875
2024-02-15,3.31,3.5,3.26,3.4,39017
2024-02-16,3.41,3.48,3.31,3.43,29629
2024-02-20,3.42,3.4477,3.26,3.28,40169
2024-02-21,3.3,3.38,3.2,3.27,42690
2024-02-22,3.35,3.4154,3.2,3.26,46599
2024-02-23,3.17,3.52,3.1677,3.31,29255
2024-02-26,3.43,3.59,3.2365,3.45,43609
2024-02-27,3.5,3.5,3.37,3.42,65398
2024-02-28,3.43,3.46,3.3591,3.43,217767
2024-02-29,3.45,3.8,3.38,3.74,47778
2024-03-01,3.77,3.8,3.6261,3.69,139498
2024-03-04,3.72,3.72,3.61,3.71,54469
2024-03-05,3.67,3.75,3.61,3.75,39472
2024-03-06,3.74,3.75,3.64,3.71,56367
2024-03-07,3.72,3.74,3.5101,3.67,136231
2024-03-08,3.75,3.8,3.65,3.79,96113
2024-03-11,3.78,3.79,3.39,3.4,80989
2024-03-12,3.36,3.45,3.0201,3.08,150727
2024-03-13,3.08,3.36,3.08,3.33,57400
2024-03-14,3.25,3.28,3.11,3.12,47636
2024-03-15,3.33,3.41,3.18,3.315,22285
2024-03-18,3.23,3.4275,3.1,3.34,62663
2024-03-19,3.31,3.59,3.25,3.55,95505
2024-03-20,3.46,3.6,3.4,3.57,40490
2024-03-21,3.6,3.6,3.23,3.6,71419
2024-03-22,3.55,3.55,3.24,3.26,75628
2024-03-25,3.22,3.4,3.1101,3.235,91598
2024-03-26,3.3,3.3,2.85,3.18,128765
2024-03-27,3.03,3.29,2.9705,3.03,50323
2024-03-28,3.08,3.25,3.03,3.11,128133
2024-04-01,3.13,3.15,3.045,3.13,102321
2024-04-02,3.08,3.2,3.0686,3.14,31507
2024-04-03,3.2,3.45,3.1,3.31,91008
2024-04-04,3.35,3.8,3.3,3.76,274026
2024-04-05,3.7,3.71,3.6,3.7,41045
2024-04-08,3.7,3.78,3.52,3.7,53723
2024-04-09,3.75,4.05,3.6038,4.0,145002
2024-04-10,4.03,4.2,3.85,4.16,76124
2024-04-11,4.15,4.47,3.87,4.47,61894
2024-04-12,4.49,5.6687,4.4283,5.4,489419
2024-04-15,5.4,5.7951,5.28,5.76,220362
2024-04-16,5.99,6.89,5.75,6.87,389711
2024-04-17,7.6,8.75,7.06,7.85,1403877
2024-04-18,7.59,7.81,5.9,6.05,586977
2024-04-19,5.76,7.195,5.61,7.13,207650
2024-04-22,7.0,7.65,6.5,6.67,194736
2024-04-23,6.66,6.94,6.33,6.69,92585
2024-04-24,6.76,7.34,6.3501,6.99,138491
2024-04-25,7.02,7.2274,6.24,6.56,189613
2024-04-26,6.48,6.7,6.2946,6.68,42500
2024-04-29,6.61,6.7,6.5285,6.7,60421
2024-04-30,6.6,6.6,6.16,6.38,74296
2024-05-01,6.28,6.55,5.8,6.37,151586
2024-05-02,6.39,6.4,6.18,6.37,324125
2024-05-03,6.39,7.25,6.24,7.15,477912
2024-05-06,7.08,7.7199,6.9,7.56,253705
2024-05-07,7.55,7.88,7.165,7.46,148065
2024-05-08,7.5,7.68,6.98,7.15,99095
2024-05-09,7.23,7.47,6.68,6.78,224578
2024-05-10,6.65,6.65,6.01,6.31,112320
2024-05-13,6.36,6.9,6.11,6.11,60685
