Date,Open,High,Low,Close,Volume
2025-06-09,3.99,4.09,3.87,3.97,1301581
2025-06-10,3.97,4.07,3.92,3.98,845831
2025-06-11,4.0,4.07,3.9,3.91,662252
2025-06-12,3.9,3.97,3.89,3.94,552817
2025-06-13,3.84,3.89,3.74,3.74,468822
2025-06-16,3.8,3.905,3.76,3.86,387484
2025-06-17,3.84,3.94,3.82,3.89,441711
2025-06-18,3.89,4.01,3.85,3.86,788783
2025-06-20,3.91,3.9253,3.805,3.88,797565
2025-06-23,3.87,3.945,3.79,3.94,429785
2025-06-24,3.99,4.08,3.94,4.04,505520
2025-06-25,4.04,4.1,4.01,4.05,392058
2025-06-26,4.07,4.09,4.005,4.03,507744
2025-06-27,4.02,4.03,3.92,3.95,885266
2025-06-30,3.98,4.09,3.955,4.01,528657
2025-07-01,4.0,4.24,3.99,4.18,828302
2025-07-02,4.15,4.1799,4.01,4.14,477651
2025-07-03,4.15,4.24,4.13,4.19,236649
2025-07-07,4.15,4.2,4.07,4.08,415276
2025-07-08,4.11,4.13,4.03,4.05,305603
2025-07-09,4.08,4.1785,4.04,4.07,254690
2025-07-10,4.05,4.1,4.025,4.07,290164
2025-07-11,4.035,4.035,3.97,4.01,376828
2025-07-14,4.0,4.06,3.98,4.03,307680
2025-07-15,4.05,4.0699,3.87,3.88,412550
2025-07-16,3.94,3.95,3.825,3.94,448616
2025-07-17,3.95,4.075,3.95,3.99,422040
2025-07-18,4.06,4.07,3.9847,4.06,418394
2025-07-21,4.12,4.13,3.995,4.07,430823
2025-07-22,4.1,4.1,4.01,4.03,661142
2025-07-23,4.07,4.29,4.06,4.25,814989
2025-07-24,4.22,4.23,3.6,3.89,1553412
2025-07-25,3.89,3.89,3.79,3.825,528194
2025-07-28,3.84,3.85,3.76,3.83,772029
2025-07-29,3.76,3.925,3.76,3.87,696591
2025-07-30,3.87,3.9,3.77,3.8,640894
2025-07-31,3.75,3.8,3.7206,3.76,490532
2025-08-01,3.7,3.72,3.6,3.6,656507
2025-08-04,3.63,3.685,3.58,3.63,617752
2025-08-05,3.66,3.7,3.57,3.58,399921
2025-08-06,3.58,3.805,3.565,3.79,456595
2025-08-07,3.83,3.8464,3.73,3.78,361078
2025-08-08,3.79,3.825,3.74,3.79,236829
2025-08-11,3.8,4.035,3.79,4.02,948072
2025-08-12,4.04,4.105,4.0,4.06,685176
2025-08-13,4.07,4.105,3.97,4.08,531807
2025-08-14,3.99,4.07,3.875,3.95,474545
2025-08-15,3.96,3.96,3.82,3.87,492722
2025-08-18,3.86,3.94,3.86,3.9,256796
2025-08-19,3.9,3.925,3.73,3.74,403392
2025-08-20,3.72,3.72,3.625,3.71,606097
2025-08-21,3.72,3.7589,3.68,3.74,253008
2025-08-22,3.77,3.99,3.7569,3.97,508049
2025-08-25,3.96,3.995,3.92,3.93,351701
2025-08-26,3.93,4.005,3.92,3.95,479703
2025-08-27,3.94,4.01,3.93,3.99,359180
2025-08-28,4.0,4.12,3.975,4.11,814507
2025-08-29,4.11,4.14,3.99,4.08,474431
