Date,Open,High,Low,Close,Volume
2024-01-05,0.208684,0.236316,0.208684,0.232895,66044
2024-01-08,0.234211,0.256842,0.234211,0.256842,54074
2024-01-12,0.264211,0.264211,0.264211,0.264211,12274
2024-01-17,0.220526,0.238816,0.220526,0.236858,65474
2024-01-24,0.215789,0.215789,0.214211,0.214737,43434
2024-01-25,0.216053,0.216053,0.215789,0.215789,23218
2024-01-29,0.214474,0.214474,0.214474,0.214474,16416
2024-01-30,0.213158,0.25,0.210526,0.213158,105944
2024-01-31,0.225,0.225,0.208158,0.208158,55556
2024-02-01,0.207895,0.207895,0.207895,0.207895,6384
2024-02-05,0.210789,0.210789,0.210789,0.210789,4788
2024-02-06,0.208421,0.208421,0.208421,0.208421,12198
2024-02-07,0.209737,0.221053,0.205,0.205526,102524
2024-02-09,0.184211,0.195421,0.184211,0.195421,18962
2024-02-12,0.197368,0.197368,0.197368,0.197368,36366
2024-02-13,0.185,0.196316,0.185,0.196316,11248
2024-02-15,0.203947,0.203947,0.197368,0.197368,27360
2024-02-16,0.207105,0.217105,0.204474,0.210526,139004
2024-02-20,0.205208,0.205208,0.205,0.205,15276
2024-02-22,0.199211,0.199211,0.199211,0.199211,5852
2024-02-26,0.180526,0.194211,0.168289,0.188158,160246
2024-02-27,0.180789,0.194211,0.180526,0.191316,28424
2024-02-28,0.197368,0.197368,0.185789,0.185789,29678
2024-02-29,0.191579,0.199211,0.177634,0.177634,50274
2024-03-01,0.191316,0.191316,0.172105,0.172105,52972
2024-03-04,0.168421,0.168421,0.157895,0.157895,25080
2024-03-05,0.157895,0.163132,0.137105,0.151842,181830
2024-03-07,0.132632,0.132632,0.131053,0.131053,207062
2024-03-08,0.122368,0.122368,0.118421,0.118421,35036
2024-03-13,0.147368,0.174474,0.144739,0.147632,1223752
2024-03-14,0.138421,0.140921,0.126908,0.128684,256348
2024-03-15,0.121579,0.122368,0.118421,0.121711,98230
2024-03-18,0.12,0.12,0.118421,0.118421,65436
2024-03-19,0.107105,0.110532,0.0959763,0.106579,369968
2024-03-20,0.108947,0.108947,0.105,0.105,59432
2024-03-21,0.108155,0.108155,0.101053,0.101053,88046
2024-03-22,0.0971053,0.0971053,0.0921053,0.0921053,43928
2024-03-25,0.0921053,0.100263,0.0884237,0.0973684,183464
2024-03-26,0.117895,0.117895,0.0831579,0.0907895,389424
2024-03-27,0.0989474,0.0989474,0.0913158,0.0913158,29488
2024-03-28,0.0952632,0.131458,0.0833421,0.118421,2139552
2024-04-01,0.100526,0.110521,0.100526,0.102632,180044
2024-04-02,0.110263,0.115526,0.103158,0.105263,158232
2024-04-03,0.111842,0.111842,0.0947368,0.101711,109402
2024-04-04,0.105261,0.105261,0.0931579,0.0978947,272346
2024-04-05,0.102632,0.102632,0.0973684,0.102629,79876
2024-04-09,0.0952632,0.102105,0.0934211,0.0997368,524324
2024-04-10,0.100263,0.100263,0.0965789,0.0965789,54796
2024-04-11,0.0934211,0.1,0.0934211,0.1,17556
2024-04-12,0.0934211,0.109737,0.0931579,0.100263,53618
2024-04-15,0.101316,0.106563,0.0973684,0.0976316,108566
2024-04-17,0.0915789,0.126316,0.0915789,0.124671,324178
2024-04-18,0.121842,0.161839,0.119876,0.137368,426284
2024-04-19,0.137105,0.146053,0.135529,0.146053,50806
2024-04-22,0.157895,0.169474,0.148711,0.169474,119016
2024-04-23,0.167105,0.226316,0.132895,0.15,1039832
2024-04-24,0.134737,0.148158,0.134211,0.134211,99142
2024-04-25,0.131579,0.140789,0.131579,0.140789,43586
2024-04-29,0.128947,0.128947,0.114474,0.122368,191026
2024-04-30,0.122105,0.138684,0.122105,0.138684,45448
2024-05-02,0.141053,0.170789,0.141053,0.170789,171608
2024-05-03,0.163421,0.166053,0.127634,0.140263,200716
2024-05-07,0.121053,0.157368,0.121053,0.157368,60838
2024-05-08,0.176053,0.176053,0.163684,0.163689,80446
2024-05-09,0.133421,0.146316,0.133421,0.146316,36860
2024-05-13,0.132632,0.156316,0.132632,0.144737,47196
2024-05-14,0.131842,0.133668,0.131842,0.133668,32224
2024-05-15,0.137053,0.137053,0.137053,0.137053,4978
2024-05-17,0.122132,0.137355,0.122132,0.137105,268242
2024-05-20,0.123684,0.141579,0.123684,0.133158,85500
2024-05-21,0.122368,0.143947,0.122368,0.143947,37278
2024-05-22,0.143684,0.143684,0.143684,0.143684,14592
2024-05-23,0.131579,0.133421,0.131579,0.131579,92226
2024-05-24,0.131842,0.131842,0.131842,0.131842,11514
2024-05-29,0.123684,0.123684,0.118684,0.123684,42332
2024-06-03,0.114737,0.120789,0.114737,0.120789,20482
2024-06-05,0.119737,0.122895,0.119737,0.122895,15162
2024-06-06,0.129737,0.130526,0.118274,0.118274,86108
2024-06-07,0.116579,0.123855,0.116579,0.123855,42332
2024-06-10,0.116842,0.128421,0.115084,0.115084,55746
2024-06-11,0.121711,0.126316,0.121711,0.125526,33060
2024-06-17,0.123421,0.125263,0.107371,0.107371,281352
2024-06-18,0.112237,0.112237,0.107632,0.107632,21280
2024-06-20,0.105266,0.105266,0.105266,0.105266,11552
2024-06-24,0.102632,0.105263,0.0900579,0.0900579,64980
2024-06-25,0.0923684,0.101579,0.0923684,0.0978947,44878
2024-06-27,0.0926316,0.0926316,0.0926316,0.0926316,22382
2024-06-28,0.0926316,0.0926316,0.0881579,0.0884211,62586
2024-07-01,0.0823684,0.0868421,0.0823684,0.0844737,17974
2024-07-05,0.0878947,0.125,0.0878947,0.0955263,231230
2024-07-08,0.0939474,0.0947368,0.0860526,0.0860526,64752
2024-07-09,0.0828947,0.0915763,0.0828947,0.0915763,37050
2024-07-10,0.0915789,0.0960526,0.0834211,0.0907895,146414
2024-07-11,0.0859211,0.0921053,0.0859211,0.0921053,83638
2024-07-15,0.0913158,0.0923684,0.0857895,0.0881579,44156
2024-07-16,0.0843053,0.0843053,0.0843053,0.0843053,12996
2024-07-17,0.0844737,0.0844737,0.0844737,0.0844737,13338
2024-07-19,0.0913158,0.0913158,0.09,0.09,13072
2024-07-22,0.0868421,0.0886842,0.0797368,0.0886842,64030
