Date,Open,High,Low,Close,Volume
2025-07-11,0.6835,0.6835,0.61,0.61,90193
2025-07-14,0.61,0.64,0.61,0.6275,69942
2025-07-15,0.614,0.6485,0.61,0.632,110068
2025-07-16,0.633,0.6631,0.603481,0.6063,260214
2025-07-17,0.608,0.633,0.5943,0.5951,94992
2025-07-18,0.5951,0.6198,0.5612,0.577,215190
2025-07-21,0.57,0.624,0.561,0.614,259162
2025-07-22,0.5956,0.64,0.5818,0.6255,254450
2025-07-23,0.64,0.74,0.6302,0.719,872251
2025-07-24,0.7156,0.7189,0.6012,0.6652,460256
2025-07-25,0.65,0.694,0.64,0.6467,83458
2025-07-28,0.672,0.6857,0.6301,0.6404,134775
2025-07-29,0.6212,0.644437,0.6043,0.6254,52749
2025-07-30,0.611,0.6664,0.6011,0.6401,88895
2025-07-31,0.638,0.6497,0.62,0.6224,64707
2025-08-01,0.61,0.629,0.5898,0.5904,328069
2025-08-04,0.598,0.6189,0.59,0.615,140830
2025-08-05,0.5966,0.61,0.5671,0.569,195377
2025-08-06,0.5757,0.6008,0.57,0.599,67587
2025-08-07,0.6012,0.6299,0.59,0.6019,66356
2025-08-08,0.595,0.6026,0.575,0.5874,80901
2025-08-11,0.578,0.589999,0.55,0.5631,141657
2025-08-12,0.651,0.6569,0.5562,0.588,445880
2025-08-13,0.59,0.59,0.5558,0.5682,208586
2025-08-14,0.5635,0.61,0.5601,0.6072,150750
2025-08-15,0.61,0.661,0.5902,0.6461,182089
2025-08-18,0.6461,0.688,0.6255,0.664,119255
2025-08-19,0.67,0.69,0.59,0.6211,197990
2025-08-20,0.6151,0.623,0.5946,0.6125,24060
2025-08-21,0.61,0.6398,0.59,0.61,68594
2025-08-22,0.608,0.639899,0.6011,0.627,98595
2025-08-25,0.627,0.64,0.605,0.624,71520
2025-08-26,0.608001,0.6614,0.595,0.6614,244613
2025-08-27,0.652,0.6912,0.612001,0.6695,328956
2025-08-28,0.68,0.8199,0.630301,0.775,2058819
2025-08-29,0.83,1.19,0.8224,1.12,16776036
2025-09-02,1.13,1.5684,1.06,1.42,5849680
2025-09-03,1.47,1.74,1.33,1.47,2318763
2025-09-04,1.46,1.4748,1.13,1.37,1219888
2025-09-05,1.34,1.69,1.3,1.65,1139243
2025-09-08,1.65,1.68,1.44,1.6,680365
2025-09-09,1.62,1.65,1.5,1.56,240919
2025-09-10,1.56,1.72,1.52,1.61,469100
2025-09-11,1.64,1.66,1.44,1.52,434027
2025-09-12,1.52,1.6,1.46,1.59,426151
2025-09-15,1.58,1.68,1.51,1.67,485550
2025-09-16,1.7,1.9346,1.4516,1.6,2149211
2025-09-17,1.63,1.6494,1.5,1.51,268517
2025-09-18,1.53,1.68,1.52,1.65,427950
2025-09-19,1.65,1.7,1.5,1.53,317465
2025-09-22,1.53,1.67,1.47,1.65,397506
2025-09-23,1.65,1.75,1.5947,1.67,313692
2025-09-24,1.66,1.705,1.56,1.65,173283
2025-09-25,1.64,1.68,1.525,1.66,245300
2025-09-26,1.658,1.81,1.62,1.81,350877
2025-09-29,1.88,2.05,1.78,1.88,390129
2025-09-30,1.9,2.09,1.9,2.01,453281
2025-10-01,2.04,2.19,1.97,2.16,405880
2025-10-02,2.24,2.8,2.16,2.66,921330
2025-10-03,2.75,2.84,2.13,2.32,973261
2025-10-06,2.36,2.419,1.89,2.08,658960
2025-10-07,2.12,2.1683,1.92,1.99,259560
2025-10-08,1.99,2.14,1.96,2.13,294439
2025-10-09,2.06,2.27,2.06,2.2,365190
2025-10-10,2.24,2.24,1.97,2.04,218739
2025-10-13,2.05,2.08,1.92,2.02,151430
2025-10-14,1.98,2.03,1.8701,1.93,171578
2025-10-15,1.93,2.14,1.93,2.07,298870
2025-10-16,2.07,2.1,1.9,2.01,201390
2025-10-17,1.98,2.01,1.8033,2.01,224847
2025-10-20,1.98,2.26,1.9674,2.26,246299
2025-10-21,2.22,2.2694,2.09,2.24,124643
2025-10-22,2.26,2.26,1.98,2.14,166970
2025-10-23,2.08,2.23,2.0194,2.21,76489
2025-10-24,2.21,2.27,2.07,2.1,103260
2025-10-27,2.26,2.42,2.25,2.33,323645
2025-10-28,2.3,2.49,2.3,2.45,177774
2025-10-29,2.46,2.63,2.4,2.45,235167
2025-10-30,2.44,2.46,2.2601,2.32,81088
2025-10-31,2.31,2.37,2.19,2.26,54777
2025-11-03,2.22,2.2812,2.15,2.2,93741
2025-11-04,2.21,2.81,2.19,2.77,22692162
2025-11-05,2.55,2.84,2.43,2.51,978113
2025-11-06,2.85,2.86,2.42,2.61,1070126
2025-11-07,2.6,2.72,2.42,2.65,1051947
2025-11-10,2.65,3.08,2.65,3.01,1611518
2025-11-11,3.03,3.71,2.9701,3.29,1275499
2025-11-12,3.33,3.945,3.3216,3.91,1954796
2025-11-13,3.84,4.28,3.745,3.88,1169033
2025-11-14,3.542,4.34,3.31,3.95,2301237
2025-11-17,3.93,4.32,3.9006,3.97,957833
2025-11-18,3.935,4.39,3.7249,4.27,753501
2025-11-19,4.495,5.12,4.065,4.18,2464062
2025-11-20,4.27,4.55,4.14,4.32,1182550
2025-11-21,4.3,4.3728,3.81,4.27,1176445
2025-11-24,4.27,4.345,4.05,4.3,718170
2025-11-25,4.37,4.38,3.99,4.26,787708
2025-11-26,4.3,4.3,3.859,4.19,761441
2025-11-28,4.19,4.56,4.15,4.51,341233
2025-12-01,4.5,4.5,3.95,4.42,902414
2025-12-02,4.39,4.46,3.93,4.04,1390697
2025-12-03,4.05,4.25,3.7,4.06,1521582
2025-12-04,4.04,4.07,3.83,4.0,878539
2025-12-05,4.03,4.31,3.99,4.24,637302
2025-12-08,4.28,4.35,3.95,4.17,883344
2025-12-09,4.17,4.6,3.995,4.14,1228579
2025-12-10,4.15,4.505,4.125,4.42,583880
2025-12-11,4.4,4.72,4.17,4.19,1793246
2025-12-12,4.22,4.585,4.01,4.06,1621941
2025-12-15,4.12,4.45,4.01,4.36,635459
2025-12-16,4.33,4.79,4.33,4.5,1229319
2025-12-17,4.56,4.58,3.98,4.01,960655
2025-12-18,4.03,4.3,4.015,4.15,569263
2025-12-19,4.16,4.41,4.15,4.35,3414060
2025-12-22,4.6,4.63,4.38,4.49,913446
2025-12-23,4.51,4.598,4.44,4.49,511252
2025-12-24,4.49,4.75,4.33,4.6,335397
2025-12-26,4.57,4.69,4.4299,4.51,236674
2025-12-29,4.46,4.618,4.28,4.45,407215
2025-12-30,4.46,4.6,4.33,4.53,439580
2025-12-31,4.53,4.84,4.44,4.83,809976
2026-01-02,4.91,4.9899,4.2,4.37,983472
2026-01-05,4.37,4.48,3.98,4.23,561781
2026-01-06,4.23,4.27,4.045,4.08,380419
2026-01-07,4.08,4.35,4.05,4.32,601983
2026-01-08,4.3,4.49,4.2101,4.43,410856
2026-01-09,4.45,4.47,4.25,4.31,282270
2026-01-12,4.31,4.4499,4.0725,4.11,497563
2026-01-13,4.09,4.21,3.91,4.06,608176
2026-01-14,4.04,4.06,3.77,3.84,413957
2026-01-15,3.87,3.9709,3.75,3.8,515949
2026-01-16,3.8,3.8,3.66,3.74,541562
2026-01-20,3.67,4.0799,3.59,3.94,829005
2026-01-21,3.98,3.98,3.7,3.81,369602
2026-01-22,3.83,4.07,3.78,3.96,434825
2026-01-23,4.31,4.53,3.9,3.9,909530
2026-01-26,3.91,4.08,3.7801,3.97,624720
2026-01-27,3.97,4.18,3.97,4.1,687537
2026-01-28,4.1,4.1,3.86,3.95,425957
2026-01-29,3.95,4.01,3.89,3.91,357610
2026-01-30,3.89,3.9127,3.535,3.55,381716
