Date,Open,High,Low,Close,Volume
2025-06-03,2.1584,2.1584,2.12,2.12,838
2025-06-05,1.9105,2.12,1.76,1.76,148070
2025-06-06,1.95,2.12,1.72,1.755,24081
2025-06-09,1.7802,1.8,1.7,1.74,18606
2025-06-10,1.75,2.15,1.75,2.01,110424
2025-06-11,2.14,2.14,1.9105,2.0,21051
2025-06-12,2.1542,2.1542,1.9945,2.02,9980
2025-06-13,1.975,2.03,1.9668,2.0002,9155
2025-06-16,2.18,2.2699,2.0391,2.11,15542
2025-06-17,2.17,2.3112,2.03,2.27,19187
2025-06-18,2.27,2.39,2.13,2.13,25754
2025-06-20,2.2,2.2283,2.1349,2.185,5721
2025-06-23,2.1368,2.155,2.13,2.14,1967
2025-06-24,2.13,2.23,2.0133,2.05,12912
2025-06-25,2.03,2.25,2.03,2.18,11579
2025-06-26,2.3416,2.6392,2.32,2.56,86218
2025-06-27,2.0,2.02,1.74,1.93,1631992
2025-06-30,1.83,1.905,1.8103,1.88,73158
2025-07-01,1.8585,1.92,1.8,1.83,27504
2025-07-02,1.9,1.93,1.8007,1.88,34236
2025-07-03,1.94,1.94,1.87,1.92,7414
2025-07-07,1.94,1.94,1.87,1.905,8580
2025-07-08,1.865,1.9124,1.865,1.91,9002
2025-07-09,1.87,1.93,1.87,1.905,7728
2025-07-10,1.88,1.93,1.8101,1.93,9013
2025-07-11,1.8641,1.93,1.861,1.93,2275
2025-07-14,1.87,1.93,1.87,1.92,9651
2025-07-15,1.88,1.88,1.88,1.88,549
2025-07-16,1.93,1.95,1.89,1.9,4723
2025-07-17,1.88,1.89,1.82,1.87,2578
2025-07-18,1.8529,1.8529,1.81,1.84,2781
2025-07-21,1.81,1.87,1.8,1.84,9588
2025-07-22,1.83,1.889,1.82,1.88,8764
2025-07-23,1.86,2.42,1.84,2.3022,769482
2025-07-24,2.4,2.74,1.9501,2.61,308124
2025-07-25,2.71,3.18,2.62,2.99,613434
2025-07-28,3.12,3.4,2.08,2.4,488824
2025-07-29,2.38,2.38,1.83,2.06,177422
2025-07-30,2.05,2.25,1.8,1.88,145975
2025-07-31,1.89,1.96,1.7301,1.78,97353
2025-08-01,1.76,1.9297,1.53,1.55,70775
2025-08-04,1.6,1.7188,1.43,1.49,133457
2025-08-05,1.51,1.74,1.41,1.66,116290
2025-08-06,1.77,3.88,1.7676,2.31,43987945
2025-08-07,2.06,2.1,1.7,2.01,1099371
2025-08-08,2.06,2.28,2.03,2.03,411270
2025-08-11,1.98,2.51,1.93,2.21,362004
2025-08-12,2.16,2.99,2.16,2.74,740500
2025-08-13,2.75,2.86,2.45,2.65,143489
2025-08-14,2.61,2.9536,2.59,2.88,148252
2025-08-15,2.75,3.48,2.7201,3.31,314707
2025-08-18,3.26,3.47,3.13,3.4,113804
2025-08-19,3.33,4.7,3.33,4.58,558124
2025-08-20,4.65,5.3257,4.44,5.21,288737
2025-08-21,5.32,5.46,2.12,4.15,1309170
2025-08-22,3.96,3.96,3.16,3.23,163235
2025-08-25,3.05,3.4414,3.05,3.22,74427
2025-08-26,3.16,3.63,3.15,3.34,78803
2025-08-27,3.25,3.445,3.2075,3.28,17827
2025-08-28,3.27,3.38,3.15,3.23,32056
2025-08-29,3.23,3.23,2.6,2.8,33286
2025-09-02,2.8,2.93,2.62,2.67,36480
2025-09-03,2.62,2.78,2.56,2.68,22253
2025-09-04,2.62,2.81,2.5,2.585,15764
2025-09-05,2.55,2.79,2.52,2.62,28767
2025-09-08,2.65,3.11,2.52,2.87,185372
2025-09-09,3.0489,3.0489,2.7793,2.89,18690
2025-09-10,2.83,2.9099,2.51,2.57,53465
2025-09-11,2.64,2.93,2.41,2.92,38746
2025-09-12,2.83,3.14,2.73,3.01,44039
2025-09-15,3.01,3.283,2.6201,2.7,38010
2025-09-16,2.7,2.99,2.7,2.87,5465
2025-09-17,2.81,2.86,2.663,2.86,11107
2025-09-18,2.88,2.96,2.78,2.875,13802
2025-09-19,2.81,2.8665,2.76,2.81,6435
2025-09-22,2.76,2.89,2.62,2.66,28621
2025-09-23,2.61,2.76,2.61,2.61,8116
2025-09-24,2.61,2.65,2.55,2.55,10811
2025-09-25,2.52,2.555,2.5,2.5,1628
2025-09-26,2.53,2.5799,2.51,2.51,2655
2025-09-29,2.55,2.55,2.46,2.55,5022
2025-09-30,2.4,2.55,2.23,2.4101,13172
2025-10-01,2.42,2.42,2.2001,2.2625,12303
2025-10-02,2.12,2.1949,1.97,2.07,26188
2025-10-03,2.07,2.35,2.07,2.19,29295
2025-10-06,2.22,2.33,2.1879,2.2,8887
2025-10-07,2.2,2.2201,2.08,2.08,6977
2025-10-08,2.11,2.11,1.93,2.0,16832
2025-10-09,2.04,2.06,1.86,1.86,96268
2025-10-10,1.81,2.18,1.7,2.02,1178221
2025-10-13,1.87,1.95,1.7,1.8,67178
2025-10-14,1.73,1.94,1.73,1.87,51758
2025-10-15,1.9,2.88,1.87,2.64,1299486
2025-10-16,2.65,3.45,2.6008,3.2,641146
2025-10-17,3.06,3.1301,2.18,2.42,193030
2025-10-20,2.31,2.46,2.22,2.24,54514
2025-10-21,2.41,2.44,2.23,2.36,15499
2025-10-22,2.27,2.32,2.1101,2.26,36035
2025-10-23,2.36,2.36,2.0999,2.27,32342
2025-10-24,2.24,2.4099,2.19,2.32,31004
2025-10-27,2.32,2.55,2.2714,2.48,61298
2025-10-28,2.4,2.54,2.37,2.52,20837
2025-10-29,2.45,2.47,2.35,2.38,5349
2025-10-30,2.4,2.4,2.26,2.35,19035
2025-10-31,2.37,2.37,2.2501,2.33,10287
2025-11-03,2.2501,2.2738,2.16,2.16,16219
2025-11-04,2.16,2.335,2.05,2.14,9570
2025-11-05,2.03,2.2,2.002,2.03,14832
2025-11-06,2.01,2.0603,2.0,2.06,14866
2025-11-07,2.04,2.05,2.0,2.01,3757
2025-11-10,2.07,2.1468,2.0,2.039,21805
2025-11-11,2.0572,2.12,2.02,2.03,5230
2025-11-12,2.115,2.17,2.065,2.12,3645
2025-11-13,2.01,2.1,2.0077,2.1,6393
2025-11-14,1.99,2.119,1.99,2.0845,15792
2025-11-17,2.0108,2.0624,2.0,2.008,26110
2025-11-18,1.98,2.03,1.9001,1.96,29646
2025-11-19,1.96,1.96,1.77,1.77,9033
2025-11-20,1.8,1.8,1.6,1.6,37506
2025-11-21,1.5628,1.645,1.5557,1.58,10905
2025-11-24,1.63,1.98,1.58,1.74,77866
2025-11-25,1.89,1.91,1.82,1.84,9105
2025-11-26,1.9599,2.07,1.7946,2.07,13536
2025-11-28,2.2,2.2,2.07,2.15,1382
2025-12-01,1.98,2.15,1.98,2.02,4435
2025-12-02,2.02,2.03,1.96,1.96,2122
2025-12-05,1.9347,1.9347,1.9347,1.9347,733
2025-12-08,1.95,2.1216,1.95,2.1,4634
2025-12-09,2.08,2.16,2.01,2.01,3024
2025-12-11,2.0099,2.01,1.8,2.0,6994
2025-12-12,1.86,2.15,1.86,1.9801,22593
2025-12-15,2.03,2.16,1.8801,1.93,13427
2025-12-16,2.01,2.01,1.71,1.71,21906
2025-12-17,1.82,1.89,1.64,1.64,13077
2025-12-18,1.7557,1.85,1.5301,1.55,52348
2025-12-19,1.63,1.67,1.56,1.57,37005
2025-12-22,1.63,1.87,1.57,1.61,20407
2025-12-23,1.61,1.61,1.55,1.56,5065
2025-12-24,1.55,1.55,1.39,1.4,22237
2025-12-26,1.46,1.46,1.38,1.42,18338
2025-12-29,1.4838,1.4838,1.345,1.4,20966
2025-12-30,1.43,1.46,1.39,1.46,10452
2025-12-31,1.39,1.41,1.35,1.35,7666
2026-01-02,1.35,1.38,1.35,1.36,17807
2026-01-05,1.42,1.535,1.34,1.41,7568
2026-01-06,1.41,1.4799,1.4,1.418,11133
2026-01-07,1.41,1.59,1.39,1.44,95671
2026-01-08,1.4,1.48,1.3801,1.43,45666
2026-01-09,1.46,1.7939,1.41,1.465,377123
2026-01-12,1.43,1.43,1.19,1.22,78852
2026-01-13,1.205,1.22,1.09,1.1901,27253
2026-01-14,1.14,1.3394,1.12,1.25,14935
2026-01-15,1.25,1.44,1.2,1.44,58719
2026-01-16,1.42,1.4392,1.1816,1.27,61498
2026-01-20,1.25,1.6489,1.25,1.52,165938
2026-01-21,1.51,1.62,1.3306,1.47,80648
2026-01-22,1.47,1.47,1.2,1.24,123035
2026-01-23,1.26,1.3103,1.14,1.22,100664
2026-01-26,1.23,1.25,1.16,1.16,21312
2026-01-27,1.215,1.215,1.09,1.13,44136
2026-01-28,1.1317,1.155,0.99,1.02,95111
2026-01-29,1.1,1.1,0.8629,0.8732,67189
2026-01-30,0.887,0.97,0.701,0.701,76766
2026-02-02,0.7,0.7901,0.6241,0.6304,108517
2026-02-03,0.66,0.702,0.6424,0.66,21293
2026-02-04,0.684,0.7299,0.6664,0.6664,17839
2026-02-05,0.7,0.779,0.663,0.71,132882
2026-02-06,0.7,0.7028,0.6803,0.6912,27089
2026-02-09,0.675,0.7541,0.675,0.698,35871
2026-02-10,0.7457,0.869,0.7016,0.8152,75232
2026-02-11,0.8138,0.8138,0.705,0.7331,36679
2026-02-12,0.74,0.8004,0.7,0.7001,58020
2026-02-13,0.7501,0.7501,0.601,0.6055,55965
2026-02-17,0.684,0.75,0.6103,0.6103,25390
2026-02-18,0.59,0.6095,0.59,0.6,7375
2026-02-19,0.6,0.645,0.591,0.592,27233
2026-02-20,0.601001,1.05,0.592,0.8892,30865816
2026-02-23,0.87,0.8799,0.667,0.7074,791100
2026-02-24,0.644,0.6799,0.602201,0.6517,166223
2026-02-25,0.6387,0.73,0.6328,0.7179,66905
2026-02-26,0.6975,0.719,0.67,0.699,75353
2026-02-27,0.68,0.7,0.64,0.6652,51629
2026-03-02,0.593,0.6715,0.5913,0.612,64740
2026-03-03,0.5703,0.59,0.5016,0.57,61169
2026-03-04,0.55,0.58,0.5402,0.5749,32714
2026-03-05,0.5201,0.5641,0.5201,0.5495,7072
2026-03-06,0.53,0.56,0.5148,0.56,29642
2026-03-09,0.5151,0.56,0.5151,0.5492,21517
2026-03-10,0.5768,0.578,0.531,0.548,47245
2026-03-11,0.531,0.56,0.5301,0.56,22668
2026-03-12,0.5301,0.555,0.4081,0.4515,201869
2026-03-13,0.46,0.4738,0.4022,0.4361,64695
2026-03-16,0.37,0.42,0.37,0.4118,11388
2026-03-17,0.4299,0.4839,0.4002,0.475,58473
2026-03-18,0.4794,0.486,0.410001,0.4175,44441
2026-03-19,0.474,0.474,0.423,0.4739,9921
2026-03-20,0.46,0.46,0.4105,0.445,17929
2026-03-23,0.4021,0.438,0.4002,0.4247,18134
2026-03-24,0.4011,0.41,0.3315,0.3472,68263
2026-03-25,0.7201,0.88999,0.5786,0.64,253370362
2026-03-26,0.56,0.6613,0.56,0.6342,4670073
2026-03-27,0.6263,0.6791,0.6119,0.63,1333196
2026-03-30,0.575,0.6973,0.575,0.6305,1196615
2026-03-31,0.66,0.69,0.6335,0.636,719386
2026-04-01,0.6449,0.66,0.619,0.619,334914
2026-04-02,0.6214,0.6517,0.46,0.4835,381661
2026-04-06,0.4749,0.5011,0.3827,0.4007,207011
2026-04-07,0.4,0.52,0.4,0.465,460044
2026-04-08,0.4704,0.4819,0.432,0.4752,119439
2026-04-09,0.4657,0.4657,0.4101,0.4286,32240
2026-04-10,0.4346,0.47,0.4272,0.4695,3727087
2026-04-13,0.9465,2.73,0.9137,2.7,461512178
2026-04-14,2.8,3.33,2.12,2.4,51810040
2026-04-15,1.83,2.04,1.55,1.79,3650481
2026-04-16,1.77,3.35,1.62,2.55,48762137
2026-04-17,2.41,3.3,2.41,2.71,7991343
2026-04-20,2.53,3.78,2.505,2.99,8503035
2026-04-21,2.86,2.9899,1.94,2.4,1150906
2026-04-22,2.57,2.6,2.0401,2.25,640958
2026-04-23,2.18,2.25,1.82,1.95,545821
2026-04-24,1.92,1.965,1.65,1.84,425232
2026-04-27,1.79,1.79,1.3386,1.42,1298872
2026-04-28,1.58,1.65,1.2901,1.45,1304734
2026-04-29,1.42,1.435,1.27,1.38,304433
2026-04-30,1.44,1.56,1.37,1.55,336316
2026-05-01,1.49,1.5188,1.35,1.4,255583
2026-05-04,1.43,1.43,1.2432,1.36,127623
2026-05-05,1.34,1.415,1.3,1.39,110513
2026-05-06,1.36,1.37,1.26,1.32,108398
2026-05-07,1.7,1.86,1.53,1.79,32700464
2026-05-08,1.63,1.6981,1.3,1.38,1280286
2026-05-11,1.4,1.4,1.24,1.38,312690
2026-05-12,1.31,1.5,1.291,1.47,227364
2026-05-13,1.42,1.51,1.27,1.44,254441
2026-05-14,1.37,1.384,1.26,1.27,276791
2026-05-15,1.27,1.34,1.25,1.29,79303
2026-05-18,1.27,1.29,1.14,1.21,244521
2026-05-19,1.21,1.2138,1.14,1.15,98673
2026-05-20,1.13,1.26,1.13,1.22,92137
2026-05-21,1.2,1.2428,1.19,1.21,59077
2026-05-22,1.190000057220459,1.253000020980835,1.1699999570846558,1.1950000524520874,57500
2026-05-26,1.1699999570846558,1.190000057220459,0.8100000023841858,0.8799999952316284,592300
2026-05-27,0.8270000219345093,0.8399999737739563,0.6499999761581421,0.7960000038146973,268900
2026-05-28,0.7200000286102295,0.8399999737739563,0.7200000286102295,0.8109999895095825,144200
2026-05-29,0.8299999833106995,1.0199999809265137,0.796999990940094,0.9229999780654908,213900
2026-06-01,0.8999999761581421,1.0449999570846558,0.8299999833106995,1.0,113100
2026-06-02,0.9700000286102296,1.034000039100647,0.9300000071525574,0.949999988079071,54400
2026-06-03,0.925000011920929,0.949999988079071,0.8560000061988831,0.890999972820282,70900
2026-06-04,0.8830000162124634,1.1699999570846558,0.8700000047683716,1.100000023841858,32919700
2026-06-05,3.265000104904175,3.900000095367432,1.7100000381469729,1.830000042915344,199975100
2026-06-08,1.3899999856948853,1.6100000143051147,0.4600000083446502,0.7680000066757202,24437900
2026-06-09,0.6970000267028809,0.8399999737739563,0.6650000214576721,0.7129999995231628,2664700
2026-06-10,0.7059999704360962,0.7480000257492065,0.6600000262260437,0.6819999814033508,962400
2026-06-11,0.6700000166893005,0.7020000219345093,0.6200000047683716,0.6309999823570251,959500
2026-06-12,0.6100000143051147,0.6399999856948853,0.5799999833106995,0.6079999804496765,845000
2026-06-15,0.6299999952316284,0.6499999761581421,0.5950000286102295,0.6100000143051147,424700
2026-06-16,0.5879999995231628,0.6079999804496765,0.550000011920929,0.5630000233650208,595200
2026-06-17,0.5590000152587891,0.6700000166893005,0.5460000038146973,0.6010000109672546,1200300
2026-06-18,0.6200000047683716,0.6359999775886536,0.5690000057220459,0.5899999737739563,632400
