Date,Open,High,Low,Close,Volume
2024-01-02,2.6,2.63,2.58,2.5814,4680
2024-01-03,2.58,2.77,2.53,2.69,40420
2024-01-04,2.61,2.61,2.54,2.59,16596
2024-01-05,2.555,2.75,2.555,2.75,48901
2024-01-08,2.75,2.9,2.63,2.89,78381
2024-01-09,2.84,2.84,2.66,2.685,91618
2024-01-10,2.64,2.64,2.59,2.5901,12926
2024-01-11,2.57,2.602,2.57,2.6,9687
2024-01-12,2.53,2.6,2.47,2.57,7127
2024-01-16,2.6,2.6,2.4901,2.53,2603
2024-01-17,2.48,2.605,2.48,2.58,5230
2024-01-18,2.59,2.64,2.4901,2.52,29752
2024-01-19,2.49,2.605,2.49,2.57,5383
2024-01-22,2.5,2.82,2.5,2.64,75784
2024-01-23,2.64,2.75,2.64,2.7,22855
2024-01-24,2.7,2.99,2.6966,2.81,58583
2024-01-25,2.82,2.82,2.71,2.71,15592
2024-01-26,2.8,2.89,2.72,2.76,17693
2024-01-29,2.72,2.7642,2.6012,2.65,19035
2024-01-30,2.6,2.81,2.5987,2.7,25275
2024-01-31,2.63,2.73,2.6,2.61,14625
2024-02-01,2.705,2.77,2.685,2.77,11763
2024-02-02,2.76,2.79,2.76,2.79,32931
2024-02-05,2.79,2.79,2.64,2.66,9440
2024-02-06,2.56,2.7,2.56,2.7,7979
2024-02-07,2.7,2.86,2.7,2.76,28172
2024-02-08,2.84,2.91,2.62,2.88,48613
2024-02-09,2.9,2.9,2.75,2.8,32095
2024-02-12,2.87,2.87,2.67,2.67,8655
2024-02-13,2.75,2.99,2.6823,2.83,79204
2024-02-14,2.95,2.99,2.88,2.91,33626
2024-02-15,2.99,3.04,2.91,2.96,51469
2024-02-16,2.97,2.9703,2.91,2.92,7640
2024-02-20,3.04,3.04,2.93,2.96,61906
2024-02-21,2.99,2.995,2.8031,2.83,35121
2024-02-22,2.97,2.9854,2.83,2.84,95144
2024-02-23,2.97,2.97,2.83,2.94,32053
2024-02-26,2.82,2.99,2.82,2.99,83614
2024-02-27,2.89,3.2,2.858,3.19,96888
2024-02-28,3.19,3.1999,2.9962,3.14,19249
2024-02-29,3.15,3.19,3.06,3.12,48322
2024-03-01,3.06,3.2,3.06,3.12,28499
2024-03-04,3.2,3.44,3.15,3.43,147963
2024-03-05,3.4,3.45,3.29,3.31,39978
2024-03-06,3.31,3.46,3.3,3.4,55450
2024-03-07,3.4,3.5,3.35,3.4,31841
2024-03-08,3.45,3.45,3.2508,3.29,65887
2024-03-11,3.29,3.4899,3.14,3.145,82079
2024-03-12,3.16,3.16,2.97,2.99,52800
2024-03-13,2.98,3.02,2.9,2.9,22042
2024-03-14,2.94,3.0037,2.91,2.92,32931
2024-03-15,2.88,3.2,2.88,3.08,97030
2024-03-18,2.97,3.09,2.88,2.95,93012
2024-03-19,2.93,3.1942,2.9,2.93,141425
2024-03-20,2.95,3.0999,2.85,2.85,90682
2024-03-21,2.9,2.9445,2.8104,2.85,95889
2024-03-22,2.85,2.89,2.75,2.845,45211
2024-03-25,2.85,2.8999,2.72,2.85,464806
2024-03-26,2.86,3.4831,2.86,3.28,333809
2024-03-27,3.3,3.31,3.04,3.2,79306
2024-03-28,3.18,3.27,3.13,3.16,39413
2024-04-01,3.09,3.1,3.01,3.06,17902
2024-04-02,3.06,3.202,2.93,3.08,48978
