Date,Open,High,Low,Close,Volume
2024-01-02,4.5,4.5,4.31,4.34,1258526
2024-01-03,4.34,4.38,4.15,4.31,1062038
2024-01-04,4.34,4.39,4.26,4.34,942013
2024-01-05,4.36,4.3881,4.25,4.31,1032409
2024-01-08,4.3,4.37,4.25,4.32,850350
2024-01-09,4.3,4.33,4.1,4.13,1491798
2024-01-10,4.18,4.18,3.91,4.03,1692190
2024-01-11,3.99,4.03,3.69,3.71,2361839
2024-01-12,3.71,3.77,3.33,3.39,3308923
2024-01-16,3.51,4.0,3.48,3.92,3639893
2024-01-17,3.91,3.91,3.525,3.61,2612865
2024-01-18,3.66,3.7,3.37,3.47,1525102
2024-01-19,3.51,3.64,3.39,3.59,1817096
2024-01-22,4.02,4.97,3.8,4.89,23577541
2024-01-23,5.98,7.0199,5.13,6.5,89798792
2024-01-24,6.37,6.44,5.33,5.68,30391132
2024-01-25,5.93,5.99,5.25,5.415,10876641
2024-01-26,5.48,6.3756,5.36,6.04,18658434
2024-01-29,6.09,6.69,6.0501,6.49,10820369
2024-01-30,6.38,6.4,5.82,6.09,6727503
2024-01-31,6.02,7.15,5.945,6.85,11706382
2024-02-01,7.17,7.6,6.43,6.92,12013301
2024-02-02,6.82,7.32,6.66,6.91,6008964
2024-02-05,6.81,7.335,6.55,7.1,8832161
2024-02-06,7.14,7.98,6.9801,7.73,10598542
2024-02-07,7.7,8.21,7.255,8.06,9276841
2024-02-08,8.0,8.36,7.7999,7.97,7162288
2024-02-09,8.0,8.15,7.63,7.89,4414220
2024-02-12,7.89,8.14,7.25,7.42,5002370
2024-02-13,7.11,7.27,6.7524,6.9,3820669
2024-02-14,7.11,7.18,6.91,7.13,2843252
2024-02-15,7.45,8.02,7.3,7.61,4770049
2024-02-16,7.49,7.96,7.325,7.52,5214116
2024-02-20,7.5,7.5,6.93,7.05,3271783
2024-02-21,7.03,7.32,6.92,7.2,2619392
2024-02-22,7.16,7.29,7.01,7.19,2220957
2024-02-23,7.12,7.16,6.68,6.7,2487574
2024-02-26,6.97,6.99,6.73,6.83,1797148
2024-02-27,6.82,7.12,6.795,6.82,1662739
2024-02-28,6.76,6.77,6.215,6.37,2746020
2024-02-29,6.42,6.72,6.35,6.53,2224897
2024-03-01,6.64,6.73,6.49,6.61,1670055
2024-03-04,6.7,7.3,6.56,7.21,5591124
2024-03-05,7.25,7.4,6.69,7.04,3202260
2024-03-06,7.02,7.09,6.4,6.73,2935659
2024-03-07,6.69,6.9,6.62,6.75,1332015
2024-03-08,6.76,7.18,6.66,6.74,1986698
2024-03-11,6.69,6.75,6.55,6.68,1121275
2024-03-12,7.01,8.15,6.7601,7.9,11391829
2024-03-13,7.83,9.2,7.65,8.48,15873306
2024-03-14,8.64,8.7798,7.5,7.73,5947656
2024-03-15,7.75,8.15,7.565,7.72,3598540
2024-03-18,7.74,7.87,7.42,7.625,2143342
2024-03-19,7.65,7.65,7.3101,7.63,1740733
2024-03-20,7.6,8.07,7.56,7.95,3377845
2024-03-21,7.95,8.0299,7.56,7.72,1954487
2024-03-22,7.654,7.8699,7.165,7.29,2582184
2024-03-25,7.4,7.55,7.18,7.46,2560373
2024-03-26,7.6,9.09,7.52,8.61,12510025
2024-03-27,8.68,8.94,8.17,8.5,5454498
2024-03-28,8.0,8.5501,7.6899,8.08,4675709
2024-04-01,7.97,7.98,6.9,7.24,7322501
2024-04-02,7.14,7.4301,7.0,7.32,2854112
2024-04-03,7.2,7.28,6.635,6.68,3989724
2024-04-04,6.79,6.89,6.65,6.67,1734139
2024-04-05,6.65,6.65,6.3,6.43,2686029
2024-04-08,6.47,6.59,6.2,6.53,1541704
2024-04-09,6.55,6.8,6.5077,6.76,1559629
2024-04-10,6.5301,6.985,6.5,6.9,1583606
2024-04-11,6.9,6.9198,6.6325,6.72,893820
2024-04-12,6.62,6.71,6.31,6.36,1317237
2024-04-15,6.33,6.39,6.0157,6.1,1601917
2024-04-16,6.01,6.38,5.96,6.05,1335439
2024-04-17,6.05,6.36,6.04,6.17,1338570
2024-04-18,6.24,6.42,6.055,6.29,1050682
2024-04-19,6.28,6.3199,5.98,6.23,1165446
2024-04-22,6.25,6.32,6.12,6.23,759107
2024-04-23,6.2,6.46,6.12,6.43,973548
2024-04-24,6.48,6.65,6.42,6.54,717152
2024-04-25,6.47,6.59,6.38,6.54,575293
2024-04-26,6.62,6.82,6.51,6.53,779786
2024-04-29,6.57,6.965,6.52,6.93,1355319
2024-04-30,6.87,7.07,6.72,7.06,1177895
2024-05-01,7.02,7.05,6.515,6.7,1577071
2024-05-02,6.85,6.8799,6.63,6.78,784300
2024-05-03,6.92,6.99,6.79,6.98,630661
2024-05-06,6.83,6.99,6.77,6.88,800249
2024-05-07,6.88,7.068,6.81,6.85,1013509
2024-05-08,6.8,6.82,6.66,6.73,709267
2024-05-09,6.64,6.98,6.64,6.89,823008
2024-05-10,6.93,6.965,6.72,6.77,917634
2024-05-13,6.79,7.1,6.7826,6.98,1363107
2024-05-14,6.94,7.4,6.94,7.15,3357576
2024-05-15,6.94,7.25,6.56,7.15,3120835
2024-05-16,7.11,7.295,7.07,7.25,1341508
2024-05-17,7.23,7.39,7.135,7.38,1142606
2024-05-20,7.29,7.67,7.27,7.41,1364264
2024-05-21,7.36,7.5,7.27,7.31,852022
2024-05-22,7.34,7.47,7.01,7.01,893456
2024-05-23,7.0,7.075,6.9028,7.0,913555
2024-05-24,7.09,7.18,6.98,7.04,612337
2024-05-28,7.0,7.015,6.62,6.71,1297093
2024-05-29,6.58,6.645,6.5197,6.56,739364
2024-05-30,6.62,6.65,6.45,6.49,914536
2024-05-31,6.54,6.57,6.275,6.3,2219410
2024-06-03,6.38,6.39,6.0,6.1,2025698
2024-06-04,6.09,6.0999,5.93,6.03,1446937
2024-06-05,6.05,6.235,5.9,6.15,1369445
2024-06-06,6.07,6.175,5.965,6.13,823469
2024-06-07,6.0,6.199,5.98,6.06,639720
2024-06-10,6.04,6.04,5.795,5.81,1137396
2024-06-11,5.75,5.78,5.52,5.69,1302088
2024-06-12,5.76,5.955,5.76,5.81,941051
2024-06-13,5.82,5.82,5.65,5.76,586590
2024-06-14,5.7,5.77,5.59,5.62,850910
2024-06-17,5.59,5.75,5.5,5.68,1179811
2024-06-18,5.67,5.7,5.52,5.57,954554
2024-06-20,5.5,5.54,5.31,5.33,1847473
2024-06-21,5.33,5.36,5.16,5.22,2050434
2024-06-24,5.22,5.52,5.22,5.44,1210678
2024-06-25,5.42,5.53,5.37,5.5,1010852
2024-06-26,5.42,5.6,5.4,5.58,769232
2024-06-27,5.67,5.855,5.54,5.73,2292771
2024-06-28,5.83,5.83,5.535,5.55,1345839
2024-07-01,5.55,5.765,5.52,5.76,736414
2024-07-02,5.75,5.76,5.46,5.68,759299
2024-07-03,5.68,5.8497,5.62,5.75,489889
2024-07-05,5.68,5.715,5.51,5.58,657513
2024-07-08,5.57,5.76,5.48,5.71,640602
2024-07-09,5.68,5.73,5.61,5.62,467443
2024-07-10,5.74,5.74,5.6,5.63,678864
2024-07-11,5.7,5.75,5.515,5.56,696329
2024-07-12,5.62,5.94,5.61,5.94,1450060
