Date,Open,High,Low,Close,Volume
2024-01-02,17.9988,19.2,16.8408,19.2,204.7499999181
2024-01-03,18.0,19.68,15.84,15.84,1205.0833328513002
2024-01-04,15.96,18.2268,15.96,17.16,476.2499998095
2024-01-05,17.16,17.16,16.2,16.6788,303.91666654510004
2024-01-08,16.614,17.934,16.614,17.88,484.5833331395
2024-01-09,16.08,19.3152,16.08,19.3152,901.0833329729
2024-01-10,18.3744,19.68,18.3744,19.2012,1033.4999995866
2024-01-11,18.72,19.7172,18.12,19.68,544.5833331155001
2024-01-12,19.8732,19.9188,19.2,19.2,268.9166665591
2024-01-16,19.566,19.728,18.48,19.2,269.999999892
2024-01-17,18.48,18.48,18.48,18.48,58.33333331000001
2024-01-18,19.2012,19.92,19.2,19.2012,477.8333331422001
2024-01-19,25.8,26.16,19.7544,21.96,3558.5833319099
2024-01-22,23.16,23.16,20.88,21.72,409.166666503
2024-01-23,24.84,24.84,18.6,19.8,177351.8332623926
2024-01-24,18.36,19.2,16.2012,17.28,16333.666660133202
2024-01-25,15.6,16.32,14.16,14.76,8316.749996673301
2024-01-26,14.16,15.72,12.96,14.4,6526.416664056101
2024-01-29,14.3988,15.6,14.0412,15.0,6007.583330930301
2024-01-30,14.4,15.36,13.68,14.88,1959.999999216
2024-01-31,15.36,15.36,13.92,14.76,818.0833330061
2024-02-01,14.16,15.1332,13.92,14.76,857.6666663236001
2024-02-02,14.8788,14.88,14.28,14.52,1624.0833326837
2024-02-05,14.52,15.12,14.064,14.64,406.0833331709
2024-02-06,15.0,15.0,14.0412,14.76,1391.4166661101
2024-02-07,14.9856,14.9856,14.28,14.64,194.3333332556
2024-02-08,15.0648,15.12,13.2,13.2,3608.583331889901
2024-02-09,14.4,14.4,13.2012,13.92,667.4166663997
2024-02-12,13.8,14.4,13.32,14.28,1212.4166661817
2024-02-13,14.1612,18.96,12.96,16.32,35683.2499857267
2024-02-14,17.16,18.2832,15.96,15.96,7947.666663487601
2024-02-15,15.84,17.04,15.6,16.86,2270.1666657586
2024-02-16,17.52,17.52,15.96,16.8,3513.5833319279004
2024-02-20,16.68,17.5188,15.6,16.32,1098.6666662272
2024-02-21,15.72,16.6944,15.7188,16.2,1101.1666662262
2024-02-22,16.32,17.04,16.2,16.32,623.1666664174
2024-02-23,16.8,16.8,15.96,16.5468,342.99999986280005
2024-02-26,17.04,17.04,16.254,16.6032,1121.4166662181
2024-02-27,15.8412,17.04,15.8412,16.68,718.6666663792
2024-02-28,16.3212,16.44,16.3212,16.38,144.2499999423
2024-02-29,16.92,17.64,16.32,17.04,619.4166664189
2024-03-01,16.68,17.1516,16.32,16.4412,378.6666665152
2024-03-04,17.04,17.04,16.0788,16.476,1300.5833328131
2024-03-05,15.96,16.2036,15.744,15.84,1194.4166661889
2024-03-06,15.84,16.0404,15.6,15.96,542.6666664496
