Date,Open,High,Low,Close,Volume
2024-01-02,71.4,76.65,66.85,71.4,38585.7143243
2024-01-03,70.35,71.4,61.6,69.3,34138.0857484238
2024-01-04,69.3,73.85,63.0,72.45,25663.714311378
2024-01-05,71.75,71.925,67.725,71.4,16123.6000161236
2024-01-08,74.13,78.4,65.1,74.9,30775.857173633
2024-01-09,72.8,77.525,72.45,75.6,18078.6285895072
2024-01-10,75.95,77.7,68.6,69.3,27975.6000279756
2024-01-11,68.95,69.3,63.7,67.2,22139.9143078542
2024-01-12,66.15,67.55,58.1,63.0,16462.0857307478
2024-01-16,61.25,63.7,58.8035,62.65,13132.7428702756
2024-01-17,60.55,65.1,57.75,59.85,24636.1143103504
2024-01-18,59.5,59.85,52.85,53.55,25954.7428830976
2024-01-19,52.85,53.55,51.45,52.15,17400.4571602576
2024-01-22,52.5,54.95,50.75,54.25,14690.6571575478
2024-01-23,56.7,60.2,54.789,57.05,12249.5142979638
2024-01-24,57.75,58.8,53.55,53.9,18253.142875396
2024-01-25,53.9,55.6395,52.5,54.6,9989.4571528466
2024-01-26,56.0,60.2,54.95,59.15,21454.9143071692
2024-01-29,58.8,64.05,58.8,59.85,16066.9143017812
2024-01-30,60.2,62.3,56.77,58.45,20593.5143063078
2024-01-31,58.1,60.2,56.35,57.4,13582.0285850106
2024-02-01,57.75,59.5,54.95,56.35,16510.6571593678
2024-02-02,56.0,56.35,51.8,56.0,16998.2571598554
2024-02-05,54.6,57.75,53.2,57.75,11829.714297544
2024-02-06,57.4,61.25,56.875,59.15,15860.8285872894
2024-02-07,59.85,60.2,54.25,56.35,21357.6857356434
2024-02-08,56.7,57.925,54.95,57.05,10418.2285818468
2024-02-09,56.7,59.15,56.35,57.4,11806.571440378
2024-02-12,56.7,59.15,56.175,57.75,11018.8857253046
2024-02-13,55.3,58.45,53.2,54.95,25816.4857401022
2024-02-14,56.0,56.35,53.9,53.9,9698.8285811274
2024-02-15,55.65,59.15,54.25,58.8,18128.4857324142
2024-02-16,57.05,66.5,57.05,65.45,33180.2286046088
2024-02-20,65.8,68.95,61.25,63.35,19966.4857342522
2024-02-21,63.7,64.4,59.5,61.95,13031.285727317
2024-02-22,61.25,63.5215,59.15,60.9,11327.285725613
2024-02-23,60.9,62.125,58.1,61.25,12652.7714412242
2024-02-26,61.6,73.85,61.25,72.45,35428.4571782856
2024-02-27,73.5,84.7,73.5,80.85,35444.428606873
2024-02-28,83.65,85.925,79.975,84.7,24234.5428813774
2024-02-29,84.7,92.05,75.25,79.45,34724.857177582
2024-03-01,53.55,53.9,45.15,46.725,265191.7716937632
2024-03-04,48.3,49.35,45.5,46.9,41298.6857555844
2024-03-05,45.85,46.55,44.1,45.85,35028.6000350286
2024-03-06,46.2,51.8,45.8675,47.6,57436.2000574362
2024-03-07,47.95,49.7,47.6,48.65,16773.8857310596
2024-03-08,48.3,50.75,48.3,49.7,30382.4571732396
2024-03-11,50.05,50.4,47.425,49.0,24232.0285956606
2024-03-12,49.0,49.0,43.0535,46.2,36720.9143224352
2024-03-13,45.85,47.2535,45.85,46.55,17248.000017248
2024-03-14,46.2,49.35,44.1,48.65,32949.0857472348
2024-03-15,49.0,50.4175,47.95,47.95,40711.2000407112
2024-03-18,47.6,49.175,45.5,47.95,28972.5143146868
2024-03-19,47.6,49.7,46.9,47.25,21275.71430699
2024-03-20,47.25,49.0,46.2,47.6,23751.3714523228
2024-03-21,48.3,49.0,46.9,49.0,19494.4571623516
2024-03-22,49.0,52.5,47.6,50.4,31845.0571747022
2024-03-25,50.05,52.15,49.35,51.1,17469.2571603264
2024-03-26,51.45,54.775,50.75,52.85,22746.9143084612
2024-03-27,52.5,58.1,51.8,56.35,22115.9428792588
2024-03-28,56.0,59.5,55.3,55.65,18706.7428758496
2024-04-01,54.95,57.75,54.075,54.95,31747.5428888904
2024-04-02,54.6,56.0,52.85,54.25,22449.0857367348
2024-04-03,54.25,55.3,50.925,53.9,21862.9143075772
2024-04-04,53.55,55.65,53.2,53.55,18501.5143042158
2024-04-05,53.55,54.775,51.8,53.55,14918.57144349
2024-04-08,54.6,54.6,47.25,48.65,37212.4571800696
2024-04-09,49.0,52.85,47.25,47.6,25585.0285970136
2024-04-10,45.85,49.0,44.8,46.9,34927.6571777848
2024-04-11,47.6,47.95,44.975,45.5,16247.9143019622
2024-04-12,44.8,46.725,44.8,46.55,20438.285734724
2024-04-15,46.9,47.95,43.05,44.8,29230.142886373
2024-04-16,44.1,44.1,39.9,40.6,27961.857170819
2024-04-17,41.3,42.7,40.6,40.95,20943.6571638008
2024-04-18,40.6,41.3,29.8725,31.5,81160.4857954462
2024-04-19,31.5,33.726,28.007,31.0625,59953.3143456676
2024-04-22,31.9235,35.7,31.5035,33.299,30594.8286020234
2024-04-23,34.3,36.05,32.9,34.1845,15767.0285871956
2024-04-24,31.325,32.55,29.05,29.75,47773.7714763452
2024-04-25,30.107,31.395,29.4,30.128,20772.85716363
2024-04-26,30.1,32.7285,30.1,30.8175,12144.8285835734
2024-04-29,30.6775,32.753,30.1315,32.2735,12336.3714409078
2024-04-30,32.095,32.214,28.7892,29.862,20261.8857345476
2024-05-01,30.814,31.85,28.7245,29.946,19324.5428764674
2024-05-02,29.862,31.1605,29.218,29.694,12064.2000120642
2024-05-03,30.87,31.2515,29.4035,30.1,10900.0000109
2024-05-06,31.15,31.15,29.407,30.2925,6789.457149646601
2024-05-07,30.625,33.5475,30.4185,32.1055,17653.0571605102
2024-05-08,31.885,32.508,28.77,29.6485,29705.71431542
2024-05-09,29.7045,30.0685,28.357,29.057,13820.0285852486
2024-05-10,29.715,29.8679,25.606,26.089,27014.9428841578
2024-05-13,26.775,29.358,26.775,28.1715,14296.6857285824
2024-05-14,28.525,28.9625,26.992,28.0,17060.6857313464
2024-05-15,28.7,29.75,27.692,28.6405,16932.85715979
2024-05-16,28.7,30.73,28.0,30.45,18013.9714465854
2024-05-17,30.8,33.95,29.75,31.5,32007.8286034364
2024-05-20,34.3,43.75,34.2895,42.35,114234.6286856632
2024-05-21,40.95,41.3,36.925,38.85,34116.3714626878
2024-05-22,40.95,40.95,37.1,40.25,20097.000020097
2024-05-23,39.2,39.375,36.05,38.15,23415.9143091302
2024-05-24,38.85,40.6,37.1,39.55,17859.9143035742
2024-05-28,39.2,39.55,36.75,37.8,15686.4000156864
2024-05-29,36.75,39.9,36.057,39.9,12272.1714408436
2024-05-30,40.25,44.8,38.5,38.85,16822.428588251
2024-05-31,38.85,40.95,37.1,37.8,12715.6571555728
2024-06-03,39.2,42.0,38.15,38.15,15291.3714438628
2024-06-04,38.15,41.3,37.1,38.15,16096.5143018108
2024-06-05,38.15,40.25,37.45,37.8,19189.0857334748
2024-06-06,37.45,41.3,36.75,41.3,41780.00004178
2024-06-07,40.95,42.0,37.1,38.15,28781.2000287812
2024-06-10,38.85,41.3,38.143,39.2,16011.9428731548
2024-06-11,40.25,47.6,39.9,46.55,50687.7714792592
2024-06-12,46.9,54.6,44.8,50.4,85054.1715136256
2024-06-13,51.45,54.775,50.4,52.15,51593.3429087362
2024-06-14,52.5,57.4,50.925,56.35,57932.9714865044
2024-06-17,59.85,80.5,58.45,75.25,162308.4001623084
2024-06-18,75.95,77.0,63.3535,64.05,77097.9429342408
2024-06-20,66.5,71.4,65.1,68.6,61442.6857757284
2024-06-21,69.65,69.65,59.5,61.25,82245.6000822456
2024-06-24,61.6,64.925,61.25,62.475,19172.6857334584
2024-06-25,61.25,62.3,51.45,51.8,36082.6286075112
2024-06-26,53.55,53.9875,51.45,52.5,15352.6857296384
2024-06-27,52.5,64.4,51.8,62.65,42493.05718535021
2024-06-28,60.2,68.2465,59.325,67.55,32332.7714609042
2024-07-01,66.5,68.25,63.0,65.8,24943.714310658
2024-07-02,68.6,73.4685,66.15,67.55,66114.857208972
2024-07-03,73.5,78.05,62.3,63.0,224340.2573671974
2024-07-05,63.0,67.55,60.2,65.8,39764.714325479
2024-07-08,63.35,71.05,63.35,65.8,42417.2286138458
2024-07-09,67.9,71.4,61.95,63.0,41387.5143271018
2024-07-10,64.4,66.85,62.37,64.75,19829.571448401
2024-07-11,65.8,71.4,64.4,68.95,48759.2000487592
2024-07-12,68.6,70.7,65.8,67.9,25014.1143107284
2024-07-15,66.85,67.375,64.05,66.15,20079.571448651
2024-07-16,66.15,70.7,65.1,68.6,22251.2000222512
2024-07-17,66.5,73.5,65.1,68.25,40899.714326614
2024-07-18,67.9,70.175,65.4745,67.2,31860.8000318608
2024-07-19,67.9,67.9,59.85,61.075,45596.20004559621
2024-07-22,63.0,63.0,60.55,60.9,11664.6857259504
2024-07-23,60.2,62.3,58.45,59.85,13301.8000133018
2024-07-24,59.5,63.0,58.45,59.85,19776.2571626334
2024-07-25,58.8,61.2465,58.8,59.5,30283.6571731408
2024-07-26,59.15,59.5,56.525,58.8,15898.9714444704
2024-07-29,59.85,59.85,56.0,56.35,12832.0285842606
2024-07-30,56.0,56.091,52.5,54.25,15271.7428724146
2024-07-31,54.25,57.75,53.375,55.65,27321.2571701784
2024-08-01,54.95,55.3,51.45,52.5,25227.9714537994
2024-08-02,49.7,52.325,49.0,50.4,15448.6571583058
2024-08-05,46.9,49.7,46.9,49.0,16795.8285882244
2024-08-06,47.95,50.4,47.25,47.95,12214.2857265
2024-08-07,48.3,50.4,45.5,46.2,15962.3428731052
2024-08-08,45.85,48.3,45.15,46.2,11011.8000110118
2024-08-09,46.2,47.4705,43.75,44.45,17562.1714461336
2024-08-12,45.5,47.425,44.45,46.2,8369.3142940836
2024-08-13,46.9,49.0,45.5,45.85,17137.0571599942
2024-08-14,47.425,49.0,42.7,43.75,36965.3714655368
2024-08-15,44.1,46.025,43.4,43.4,27240.1714558116
2024-08-16,43.4,46.2,41.65,43.05,25751.9143114662
2024-08-19,44.1,45.5,42.525,44.45,15190.0857294758
2024-08-20,44.1,45.4965,43.05,44.1,9827.6285812562
2024-08-21,44.1,46.2,42.0,43.4,31752.6000317526
2024-08-22,44.1,44.1,41.65,42.7,19274.8857335606
2024-08-23,43.75,45.15,41.65,42.7,33888.6571767458
2024-08-26,43.05,43.05,39.2,39.9,28027.5428851704
2024-08-27,40.25,40.6,38.5,39.2,12172.571440744
2024-08-28,39.55,39.55,37.8,38.85,13011.5428701544
2024-08-29,38.15,39.9,38.15,38.85,18781.8285902104
2024-08-30,39.2,41.65,38.325,40.25,18360.00001836
2024-09-03,42.0,42.525,37.1,38.5,81760.428653189
2024-09-04,37.45,38.5,36.4,38.15,16356.0571592132
2024-09-05,38.5,38.85,37.45,38.85,9956.0857242418
2024-09-06,38.15,38.675,35.525,36.4,14934.8000149348
2024-09-09,37.45,37.45,34.65,35.7,21277.714306992
2024-09-10,36.05,37.8,35.7,37.8,15270.4857295562
2024-09-11,37.45,39.2,35.7,38.15,17729.2285891578
2024-09-12,38.15,38.325,35.525,37.1,29259.8286006884
2024-09-13,36.75,41.3,36.4,40.25,30570.142887713
2024-09-16,39.9,39.9,37.45,38.15,11662.0857259478
2024-09-17,38.15,38.5,35.7,36.4,19090.3714476618
2024-09-18,36.05,38.5,35.0,35.35,38997.6000389976
2024-09-19,35.7,39.725,35.35,36.05,57055.7714856272
2024-09-20,35.7,36.75,33.8625,35.0,42925.4571857826
2024-09-23,33.25,33.25,27.3,27.524,64210.6000642106
2024-09-24,28.007,29.2495,27.909,28.7455,26886.1714554576
2024-09-25,29.4,29.7815,27.51,28.0,18669.857161527
2024-09-26,28.0,31.85,28.0,31.5035,40136.6286115652
2024-09-27,31.85,36.05,31.85,32.921,35626.7714641982
2024-09-30,33.201,34.3,30.5445,32.361,18216.571446788
2024-10-01,31.654,32.1615,28.707,31.115,25548.6857398344
2024-10-02,30.45,32.193,30.1,30.681,21398.6000213986
2024-10-03,30.233,31.773,29.75,29.925,12339.3428694822
2024-10-04,30.45,35.7,30.45,34.3,45778.2571886354
2024-10-07,34.5135,37.8,30.9785,32.053,46067.9143317822
2024-10-08,31.15,31.654,28.875,29.379,27137.857169995
2024-10-09,30.4045,31.3985,27.825,28.63,29777.0857440628
2024-10-10,29.05,29.05,27.3385,27.4785,28452.2000284522
2024-10-11,27.9615,28.0875,27.041,27.6465,21639.2285930678
2024-10-14,28.0,28.0,26.9745,27.538,13226.2000132262
2024-10-15,28.0,29.225,27.5485,28.28,23556.4000235564
2024-10-16,29.75,37.45,29.54,30.45,202163.1144878774
2024-10-17,31.899,34.2265,31.1465,33.131,67479.9429246228
2024-10-18,34.3,39.55,31.2795,33.95,215352.285929638
2024-10-21,34.482,37.1,32.9,34.3,71645.8857859316
2024-10-22,33.95,36.925,31.297,33.964,129556.9715581284
2024-10-23,33.32,34.65,30.604,31.983,52397.4857666832
2024-10-24,31.92,32.4765,30.1,31.2515,38403.7428955466
2024-10-25,30.884,32.2,29.596,30.149,32276.4000322764
2024-10-28,32.655,35.7,32.2,34.384,99636.285813922
2024-10-29,35.7,37.1,33.7015,34.825,52398.4857666842
2024-10-30,35.35,35.7,32.13,32.963,59591.285773877
2024-10-31,32.886,34.3,31.5,33.6105,45139.2000451392
2024-11-01,33.6,35.35,33.25,33.999,59502.9143452172
2024-11-04,34.3,35.35,32.9,33.768,53049.6571959068
2024-11-05,34.3,37.45,33.481,36.75,145883.0572887402
2024-11-06,38.85,39.9,36.05,37.45,208883.571637455
2024-11-07,39.2,39.2,31.157,34.16,147322.143004465
2024-11-08,34.279,34.279,30.373,30.8105,109772.6858240584
2024-11-11,30.338,30.793,28.035,28.035,84031.0286554596
2024-11-12,28.0,28.7,25.3855,26.922,64007.0857782928
2024-11-13,26.8625,28.1505,25.5535,25.9,41736.1714703076
2024-11-14,26.425,26.425,21.8155,23.8,90700.9715192724
2024-11-15,23.45,23.8,18.8195,21.3465,142507.0572853642
2024-11-18,20.9265,25.718,20.65,22.225,75867.000075867
2024-11-19,22.421,23.9365,20.7165,22.7885,56169.4571990266
2024-11-20,21.35,21.525,19.25,19.761,70825.6857851114
2024-11-21,20.3,20.4085,19.0767,19.3025,39771.28575405701
2024-11-22,19.047,19.068,15.9565,18.228,96900.6572397578
2024-11-25,18.9,24.0765,18.9,21.0,87373.1143730874
2024-11-26,21.9625,22.4,18.9595,22.4,41601.285755887
2024-11-27,22.05,22.75,20.3875,21.5215,19752.571448324
2024-11-29,22.4175,23.45,21.91,22.526,19212.3714477838
2024-12-02,23.065,26.075,21.7,22.442,43400.8000434008
2024-12-03,22.4,22.9145,21.63,21.7245,18911.6857331974
2024-12-04,21.7,23.0965,21.035,22.2635,11863.1142975774
2024-12-05,22.12,22.701,20.2405,21.665,35764.1714643356
2024-12-06,22.05,23.2925,21.8767,22.645,19444.428590873
2024-12-09,23.625,25.585,22.75,24.0485,51965.5429091084
2024-12-10,22.4,23.45,19.656,20.1145,137057.1429942
2024-12-11,20.65,20.65,18.62,20.65,50685.9429078288
2024-12-12,18.62,18.627,17.15,18.018,73928.428645357
2024-12-13,18.2,18.2,16.975,17.7625,34393.2000343932
2024-12-16,17.85,17.8675,16.8,17.6575,24438.7428815816
2024-12-17,17.85,18.8965,17.15,17.6575,20112.6857343984
2024-12-18,17.7485,17.8535,15.4385,16.079,41113.0571839702
2024-12-19,16.289,16.8,15.4,15.4105,29725.0857440108
2024-12-20,15.47,15.75,15.05,15.6625,28005.71431372
2024-12-23,16.45,17.8465,15.813,15.988,37693.0857519788
2024-12-24,16.835,16.9295,13.832,14.6895,39326.1143250404
2024-12-26,15.3405,15.3405,13.531,14.35,66998.9429241418
2024-12-27,13.9825,14.245,13.3,13.65,46819.285761105
2024-12-30,14.0,16.632,13.4785,14.7385,64707.8000647078
2024-12-31,15.05,15.2565,14.1785,14.924,30457.4857447432
2025-01-02,15.575,16.261,14.9135,15.274,45297.7714738692
2025-01-03,15.26,16.8,15.0535,16.6005,39214.7714677862
2025-01-06,17.7835,18.025,16.485,17.85,53732.9143394472
2025-01-07,17.9375,17.9375,16.219,16.8105,30251.2286016798
2025-01-08,16.282,16.807,15.148,15.841,37058.5143227728
2025-01-10,15.253,16.1,14.714,15.911,21075.6857353614
2025-01-13,15.8445,17.2515,15.4175,15.512,31916.4000319164
2025-01-14,15.4,16.24,14.0175,15.7325,22291.142879434
2025-01-15,16.73,17.01,15.4,15.603,20882.6000208826
2025-01-16,16.1,18.375,15.4455,16.422,92900.9143786152
2025-01-17,16.583,16.583,15.085,15.715,35395.142892538
2025-01-21,15.785,16.2715,14.756,14.805,60555.3714891268
2025-01-22,14.805,15.6252,14.805,15.4,45435.2286168638
2025-01-23,15.3405,15.4665,14.28,15.05,42162.8286135914
2025-01-24,14.7,15.414,14.7,15.414,24862.5143105768
2025-01-27,16.45,16.7965,15.2005,16.1,70517.285784803
2025-01-28,16.45,16.45,15.05,15.6485,19061.3143047756
2025-01-29,15.925,15.925,14.77,15.75,22095.71430781
2025-01-30,15.4,15.6485,15.05,15.4,11425.2000114252
2025-01-31,15.05,15.12,12.95,14.4165,86370.9715149424
2025-02-03,13.65,14.812,13.412,14.812,36149.9714647214
2025-02-04,14.14,14.651,13.216,14.028,23603.142880746
2025-02-05,13.65,14.2695,13.3,14.0175,20631.571449203
2025-02-06,14.0,14.0,12.25,12.824,70938.714356653
2025-02-07,13.72,13.72,12.6035,12.9045,50965.2571938224
2025-02-10,13.3,13.3,11.851,12.32,36342.285750628
2025-02-11,12.3515,12.3655,11.781,12.3655,28275.857171133
2025-02-12,11.9875,12.355,11.55,11.83,31693.7428888366
2025-02-13,11.8545,12.201,11.83,12.201,29799.000029799
2025-02-14,12.25,12.5825,11.984,12.39,33414.3428905572
2025-02-18,12.425,12.7295,11.998,12.3725,30173.3428873162
2025-02-19,12.145,12.5125,11.8405,12.278,23531.6285949602
2025-02-20,12.425,12.425,11.592,11.7425,24072.6285955012
2025-02-21,11.9,11.97,11.221,11.543,22969.8285943984
2025-02-24,11.69,11.69,10.64,11.0635,29003.3143147176
2025-02-25,10.71,10.85,9.695,9.7965,52930.8286243594
2025-02-26,9.8,10.0275,9.345,9.45,23537.571452109
2025-02-27,9.59,9.618,7.35,7.98,56719.97148529141
2025-02-28,8.015,8.365,7.371,8.26,53825.4857681112
2025-03-03,8.575,10.199,8.47,10.199,167756.143024899
2025-03-04,9.9575,10.997,9.702,10.5245,57719.000057719
2025-03-05,10.6855,11.1475,10.36,10.85,39163.8000391638
2025-03-06,11.438,12.9185,10.8885,11.3365,59210.428630639
2025-03-07,11.634,12.4145,10.9935,12.131,33422.6286048512
2025-03-10,12.4075,13.4365,11.55,12.25,78605.8857928916
2025-03-11,12.285,12.586,10.5,11.2525,28751.142885894
2025-03-12,11.9,11.9,10.5,10.913,12273.9714408454
2025-03-13,10.7905,10.7905,9.8,10.003,25093.6857393794
2025-03-14,9.8035,11.018,9.667,10.437,26825.9143125402
2025-03-17,10.906,10.99,10.192,10.5,25548.142882691
2025-03-18,10.654,11.2,10.3705,10.8255,20897.2000208972
2025-03-19,10.8255,11.9,10.3145,10.3145,33242.8000332428
2025-03-20,10.3915,10.6575,9.8105,9.8105,21608.6857358944
2025-03-21,9.45,10.15,8.792,9.8035,45402.7429025456
2025-03-24,9.863,10.15,9.065,9.66,27951.7428850946
