Date,Open,High,Low,Close,Volume
2025-06-09,2.5,2.55,2.45,2.48,136001.0
2025-06-10,2.38,2.7,2.25,2.56,148001.0
2025-06-11,2.4503,2.56,2.3749,2.38,93222.0
2025-06-12,2.41,2.4138,2.26,2.33,77568.0
2025-06-13,2.32,2.32,2.22,2.22,55276.0
2025-06-16,2.26,2.26,2.15,2.2,41849.0
2025-06-17,2.2375,2.2799,2.16,2.2698,26601.0
2025-06-18,2.2001,2.3099,2.1669,2.26,32694.0
2025-06-20,2.26,2.3293,2.18,2.214,23593.0
2025-06-23,2.36,2.36,2.2101,2.235,11305.0
2025-06-24,2.22,2.38,2.21,2.37,21326.0
2025-06-25,2.46,2.53,2.42,2.52,76751.0
2025-06-26,2.6,2.6,2.3512,2.47,36754.0
2025-06-27,2.46,2.5399,2.25,2.28,45316.0
2025-06-30,2.33,2.33,2.14,2.28,46200.0
2025-07-01,2.4,2.85,2.28,2.49,546446.0
2025-07-02,2.37,2.425,2.12,2.27,336863.0
2025-07-03,2.27,2.36,2.17,2.203,73299.0
2025-07-07,2.19,2.2,2.06,2.15,91604.0
2025-07-08,2.1,2.26,2.1,2.24,45436.0
2025-07-09,2.2398,2.45,2.1517,2.3401,87525.0
2025-07-10,2.315,2.5,2.22,2.3,98669.0
2025-07-11,2.23,2.3399,2.2,2.315,44433.0
2025-07-14,2.27,2.4111,2.2,2.3,200087.0
2025-07-15,2.35,2.35,2.16,2.22,38755.0
2025-07-16,2.13,2.19,2.12,2.16,91388.0
2025-07-17,2.18,2.26,2.11,2.1434,69900.0
2025-07-18,2.14,2.15,2.1,2.15,67119.0
2025-07-21,2.12,2.2,2.12,2.2,34715.0
2025-07-22,2.19,2.34,2.1705,2.32,50533.0
2025-07-23,2.24,2.3791,2.24,2.26,39099.0
2025-07-24,2.275,2.3161,2.11,2.14,42993.0
2025-07-25,2.13,2.15,2.05,2.06,39904.0
2025-07-28,2.1,2.12,2.04,2.05,657263.0
2025-07-29,2.645,3.48,1.86,2.0,56799205.0
2025-07-30,1.72,1.74,1.55,1.61,915177.0
2025-07-31,1.5,1.59,1.41,1.46,390441.0
2025-08-01,1.47,1.5501,1.4,1.47,200635.0
2025-08-04,1.42,1.56,1.42,1.51,140300.0
2025-08-05,1.5,1.6398,1.5,1.6,143577.0
2025-08-06,1.58,1.62,1.52,1.6,112924.0
2025-08-07,1.6,1.62,1.52,1.54,132688.0
2025-08-08,1.58,1.58,1.5,1.52,77742.0
2025-08-11,1.52,1.55,1.43,1.47,108637.0
2025-08-12,1.45,1.4699,1.424,1.43,60264.0
2025-08-13,1.47,1.97,1.42,1.68,1595893.0
2025-08-14,1.96,1.96,1.73,1.82,1538081.0
2025-08-15,1.71,1.765,1.57005,1.59,359754.0
2025-08-18,1.6056,1.6499,1.565,1.59,84913.0
2025-08-19,1.6,1.6192,1.52,1.53,125944.0
2025-08-20,1.55,1.61,1.46,1.54,905259.0
2025-08-21,1.71,1.79,1.58,1.73,552224.0
2025-08-22,1.7,1.72,1.6,1.6,225102.0
2025-08-25,1.6,1.6,1.5,1.54,146746.0
2025-08-26,1.55,1.61,1.5,1.54,109357.0
2025-08-27,1.54,1.5454,1.48,1.48,70479.0
2025-08-28,1.48,1.5293,1.46,1.46,62165.0
2025-08-29,1.47,1.575,1.47,1.53,94136.0
2025-09-02,1.52,1.57,1.47,1.54,120126.0
2025-09-03,1.51,1.68,1.51,1.61,145401.0
2025-09-04,1.56,1.6082,1.5204,1.56,58335.0
2025-09-05,1.58,1.58,1.4806,1.5,84752.0
2025-09-08,1.51,1.56,1.47,1.52,99821.0
2025-09-09,1.52,1.55,1.4806,1.51,77758.0
2025-09-10,1.48,1.62,1.48,1.54,206048.0
2025-09-11,1.54,1.58,1.52,1.58,66699.0
2025-09-12,1.58,1.62,1.53,1.56,73315.0
2025-09-15,1.62,1.64,1.5598,1.63,88824.0
2025-09-16,1.6,1.61,1.56,1.57,70926.0
2025-09-17,1.57,1.64,1.5599,1.595,48392.0
2025-09-18,1.59,1.6148,1.56,1.56,85358.0
2025-09-19,1.58,1.58,1.55,1.57,25382.0
2025-09-22,1.45,1.59,1.45,1.45,189146.0
2025-09-23,1.47,1.47,1.31,1.35,148957.0
2025-09-24,1.35,1.43,1.35,1.42,56553.0
2025-09-25,1.43,1.43,1.34,1.34,49980.0
2025-09-26,1.34,1.38,1.32,1.32,41274.0
2025-09-29,1.32,1.32,1.2,1.2,158456.0
2025-09-30,1.22,1.28,1.2101,1.265,51508.0
2025-10-01,1.28,1.4395,1.28,1.39,161120.0
2025-10-02,1.39,1.4029,1.34,1.36,32072.0
2025-10-03,1.36,1.38,1.32,1.33,32008.0
2025-10-06,1.4,1.45,1.34,1.355,94604.0
2025-10-07,1.43,1.54,1.38,1.46,276481.0
2025-10-08,1.47,1.63,1.4201,1.63,157936.0
2025-10-09,1.58,1.58,1.4801,1.4801,83637.0
2025-10-10,1.46,1.505,1.325,1.37,142090.0
2025-10-13,1.37,1.376,1.32,1.36,50286.0
2025-10-14,1.36,1.4,1.33,1.37,48702.0
2025-10-15,1.38,1.4,1.34,1.38,40758.0
2025-10-16,1.38,1.565,1.37,1.46,354694.0
2025-10-17,1.44,1.4799,1.39,1.4,26543.0
2025-10-20,1.4,1.5,1.39,1.47,69931.0
2025-10-21,1.45,1.525,1.45,1.51,143594.0
2025-10-22,1.46,1.46,1.3801,1.39,58669.0
2025-10-23,1.36,1.4654,1.35,1.42,53118.0
2025-10-24,1.42,1.4827,1.39,1.46,57409.0
2025-10-27,1.46,1.5,1.4299,1.4615,43902.0
2025-10-28,1.4675,1.52,1.4263,1.5,117669.0
2025-10-29,1.48,1.4836,1.45,1.45,30801.0
2025-10-30,1.43,1.54,1.425,1.46,87330.0
2025-10-31,1.45,1.48,1.35,1.4,89514.0
2025-11-03,1.37,1.5499,1.1801,1.27,143658.0
2025-11-04,1.27,1.295,1.13,1.13,108237.0
2025-11-05,1.14,1.181,1.14,1.16,27226.0
2025-11-06,1.17,1.17,1.05,1.06,50991.0
2025-11-07,1.0752,1.09,1.0,1.02,39490.0
2025-11-10,1.03,1.09,1.03,1.05,35839.0
2025-11-11,1.03,1.11,1.03,1.1,18530.0
2025-11-12,1.09,1.13,1.09,1.095,42870.0
2025-11-13,1.085,1.09,0.9809,1.0,42905.0
2025-11-14,1.02,1.03,0.89,0.9785,36026.0
2025-11-17,1.0,1.07,0.9,0.962,32345.0
2025-11-18,0.97,0.9809,0.928,0.9725,53270.0
2025-11-19,0.9725,1.0356,0.953,0.9893,15796.0
2025-11-20,0.9509,0.99,0.911,0.911,15510.0
2025-11-21,0.91,0.91,0.86,0.87,31640.0
2025-11-24,0.89,0.9498,0.8874,0.8946,18161.0
2025-11-25,0.89,0.9235,0.881,0.9235,8743.0
