Date,Open,High,Low,Close,Volume
2024-01-02,27.1,33.0,26.601,30.2,24737.3
2024-01-03,29.9,30.0,27.301,28.9,13963.1
2024-01-04,28.9,30.2,28.3,29.1,6069.8
2024-01-05,28.8,32.463,27.82,31.3,25576.9
2024-01-08,30.6,36.0,30.5,32.5,25155.6
2024-01-09,33.5,33.5,28.206,28.7,17353.6
2024-01-10,28.7,28.9,25.8,26.5,10359.9
2024-01-11,26.8,27.1,23.4,25.5,6910.6
2024-01-12,25.1,27.231,24.555,25.8,5689.3
2024-01-16,24.0,27.171,22.1,25.8,7003.0
2024-01-17,24.3,25.8,23.017,25.8,4276.1
2024-01-18,25.5,27.5,24.01,24.6,4159.4
2024-01-19,24.6,24.792,23.3,23.6,2324.8
2024-01-22,24.3,24.9,22.6,23.3,11233.3
2024-01-23,23.3,25.4,22.8,24.9,8468.9
2024-01-24,24.25,26.168,24.25,24.5,1587.0
2024-01-25,25.0,25.4,23.4,24.0,1094.8
2024-01-26,23.0,23.49,21.655,22.0,2266.9
2024-01-29,22.0,23.7,20.2,22.0,3748.0
2024-01-30,22.0,23.76,21.601,22.076,1839.2
2024-01-31,21.3,22.75,21.3,21.8,1136.3
2024-02-01,21.8,22.362,19.2,19.781,2057.7
2024-02-02,20.0,20.801,19.4,19.509,2624.6
2024-02-05,20.401,21.399,19.6,19.6,2000.2
2024-02-06,20.3,21.378,19.715,20.8,615.5
2024-02-07,20.5,24.5,19.3,21.7,49955.3
2024-02-08,22.4,22.499,18.3,20.3,12385.2
2024-02-09,20.6,23.5,20.4,23.0,5360.3
2024-02-12,23.2,25.585,23.001,24.0,7118.7
2024-02-13,24.9,24.9,21.529,21.529,6887.3
2024-02-14,23.599,23.91,22.5,23.6,3766.2
2024-02-15,23.9,35.6,22.956,26.2,54820.8
2024-02-16,25.1,26.7,24.0,25.9,10010.5
2024-02-20,26.3,26.501,23.626,24.298,3897.2
2024-02-21,23.6,24.2,21.601,23.15,2747.8
2024-02-22,23.2,24.1,22.02,23.3,3153.9
2024-02-23,22.5,23.699,22.401,23.1,935.4
2024-02-26,23.5,24.199,23.002,23.057,814.9
2024-02-27,23.1,24.7,23.0,23.2,1809.1
2024-02-28,22.8,24.736,22.8,23.2,598.4
2024-02-29,22.8,23.2,22.6,22.9,1130.4
2024-03-01,22.9,24.1,22.5,24.0,2891.9
2024-03-04,24.0,26.513,23.0,25.5,7097.7
2024-03-05,24.7,28.2,23.6,26.3,5082.0
2024-03-06,26.8,28.0,24.8,24.8,5108.4
2024-03-07,26.5,26.5,24.7,25.6,1491.2
2024-03-08,25.521,25.999,24.2,25.0,1573.2
2024-03-11,25.5,26.1,24.601,25.8,1756.0
2024-03-12,25.1,26.85,25.1,26.4,946.8
2024-03-13,25.869,26.7,24.712,25.8,387.3
2024-03-14,25.5,26.3,24.5,24.701,1316.5
2024-03-15,24.5,25.9,23.764,23.764,1007.6
2024-03-18,23.951,25.078,23.6,24.0,446.7
2024-03-19,24.0,24.3,22.9,23.3,922.1
2024-03-20,23.3,23.3,21.1,22.4,1149.4
2024-03-21,23.5,23.5,21.919,22.5,629.8
2024-03-22,21.8,22.9,21.418,22.9,421.9
2024-03-25,23.4,23.4,21.0,22.4,342.7
2024-03-26,21.6,23.5,20.0,20.1,3346.6
2024-03-27,21.2,22.4,20.0,20.6,1553.9
2024-03-28,20.5,23.494,20.5,22.3,1803.9
2024-04-01,22.0,22.25,22.0,22.0,249.6
2024-04-02,21.188,22.5,21.1,22.4,1441.3
2024-04-03,21.7,23.956,20.5,22.4,1303.4
2024-04-04,21.6,21.6,21.0,21.4,463.9
2024-04-05,22.7,22.8,21.501,22.118,489.4
2024-04-08,22.5,22.5,21.0,22.0,441.7
2024-04-09,21.9,23.899,21.4,21.6,4590.4
2024-04-10,21.9,22.5,20.2,21.0,6236.7
2024-04-11,20.2,22.299,20.2,21.9,1792.2
2024-04-12,21.9,21.953,20.4,21.8,1350.2
2024-04-15,22.0,22.0,20.2,20.2,737.7
2024-04-16,20.27,20.9,19.33,19.6,1473.6
2024-04-17,19.4,20.85,19.4,19.8,353.8
2024-04-18,19.0,19.9,19.0,19.9,492.0
2024-04-19,18.7,19.68,18.7,18.8,708.6
2024-04-22,19.9,19.9,18.437,19.2,1010.7
2024-04-23,19.9,19.9,19.4,19.4,135.7
2024-04-24,19.2,20.27,18.0,18.6,956.6
2024-04-25,17.65,22.0,16.4,17.6,14388.8
2024-04-26,18.2,18.5,15.98,17.701,1135.3
2024-04-29,17.8,17.9,15.664,17.9,342.8
2024-04-30,18.3,18.3,17.3,17.366,222.8
2024-05-01,15.9,18.2,15.9,18.2,1058.1
2024-05-02,18.2,18.2,16.65,18.0,860.1
2024-05-03,17.8,18.1,17.1,18.1,391.7
2024-05-06,18.5,18.6,18.0,18.0,1225.9
2024-05-07,17.6,18.399,17.5,17.6,613.9
2024-05-08,17.967,17.967,16.117,16.9,977.2
2024-05-09,17.7,18.0,17.0,17.1,447.9
2024-05-10,16.8,17.32,16.1,16.1,858.5
2024-05-13,16.3,17.92,16.0,17.8,41365.9
2024-05-14,18.6,20.0,16.627,17.1,10436.1
2024-05-15,18.019,18.099,16.6,16.8,3426.0
2024-05-16,17.5,19.412,16.7,18.8,8095.0
2024-05-17,18.5,18.5,17.289,18.4,870.4
2024-05-20,17.4,18.8,17.4,18.8,1863.1
2024-05-21,17.6,19.199,17.4,17.7,379.4
2024-05-22,17.7,18.438,17.4,17.8,259.1
2024-05-23,17.4,17.9,17.0,17.245,683.6
2024-05-24,17.3,18.6,17.2,18.276,1513.4
2024-05-28,18.9,18.9,17.9,18.5,958.7
2024-05-29,18.3,19.9,17.618,19.01,1441.3
2024-05-30,18.45,19.1,17.1,17.9,2691.1
2024-05-31,17.6,18.411,17.3,18.4,1079.6
2024-06-03,17.8,19.885,17.3,18.3,1486.8
2024-06-04,17.954,17.954,17.11,17.11,117.1
2024-06-05,17.2,17.5,15.9,17.5,1313.0
2024-06-06,17.1,17.537,15.938,17.5,478.3
2024-06-07,16.3,17.498,16.3,17.396,308.6
2024-06-10,16.7,16.999,16.271,16.9,903.4
2024-06-11,17.0,17.0,16.0,16.5,926.1
2024-06-12,16.498,16.5,16.0,16.5,4144.1
2024-06-13,16.1,16.807,15.9,16.0,541.6
2024-06-14,16.04,16.8,15.5,15.85,1299.8
2024-06-17,15.682,15.7,14.9,14.902,2148.2
2024-06-18,15.0,15.0,14.0,14.0,1592.5
2024-06-20,13.9,13.9,12.2,12.2,7741.1
2024-06-21,13.0,13.0,12.0,12.9,5925.9
2024-06-24,12.205,12.681,10.6,11.2,5749.5
2024-06-25,12.0,12.0,10.4,10.5,4033.3
2024-06-26,10.9,10.9,9.4,10.0,4048.9
2024-06-27,10.1,10.1,8.615,9.2,6388.1
2024-06-28,8.924,9.5,8.25,9.375,5447.8
2024-07-01,9.5,9.7,8.87644,9.625,4567.5
2024-07-02,9.7,9.7,8.5,8.994,3374.3
2024-07-03,8.63,9.0,8.529,9.0,1217.5
2024-07-05,8.96,8.96,8.378,8.799,1623.6
2024-07-08,8.8,8.8,8.4,8.71,1859.1
2024-07-09,8.6,8.999,8.23,8.999,2934.3
2024-07-10,9.2,9.8,9.2,9.686,3199.2
2024-07-11,9.9,10.1,9.167,10.0,5227.7
2024-07-12,10.2,17.6,9.7,13.1,322249.0
2024-07-15,12.1,13.5,10.8,12.6,34564.2
2024-07-16,12.4,13.7,11.5,12.7,10767.4
2024-07-17,12.165,17.4,12.165,14.3,44512.8
2024-07-18,13.6,22.0,13.0,18.1,125211.0
2024-07-19,17.9,21.4,15.8,18.2,50029.7
2024-07-22,17.6,18.199,14.5,15.9,9434.1
2024-07-23,16.0,17.8,14.6,15.3,4780.5
2024-07-24,15.1,15.45,12.1,12.9,11221.2
2024-07-25,13.3,13.307,11.601,12.25,8541.2
2024-07-26,12.4,12.5,11.3,11.4,5756.4
2024-07-29,11.7,12.0,10.3,11.45,11758.6
2024-07-30,11.0,11.2,9.5,9.979,10277.4
2024-07-31,9.9,9.9,9.0,9.7,8181.5
2024-08-01,9.6,10.0,9.5,9.69299,2491.4
2024-08-02,9.513,9.699,9.486,9.688,908.7
2024-08-05,9.5,9.5,8.816,9.317,2200.4
2024-08-06,9.2,9.8,9.199,9.6,2199.9
2024-08-07,9.642,9.795,9.343,9.579,5359.4
2024-08-08,9.75,9.9,9.031,9.79899,4276.7
2024-08-09,9.412,9.9,9.037,9.439,4652.3
2024-08-12,9.299,9.8,8.79999,9.68399,5024.9
2024-08-13,9.3,9.799,8.8,9.48,5314.6
2024-08-14,9.196,11.1,8.6,8.622,44636.9
2024-08-15,8.989,9.0,8.0,8.78,9984.1
2024-08-16,9.003,9.003,8.3,8.402,3634.0
2024-08-19,8.3,8.8,8.181,8.79899,2430.2
2024-08-20,8.301,11.4,7.6,7.82,124755.0
2024-08-21,8.1,8.8,7.7,8.161,19844.8
2024-08-22,8.016,8.085,7.08,7.45,10872.4
2024-08-23,7.5,7.879,7.2,7.55,7051.4
2024-08-26,8.11,8.4,7.601,8.09,5896.0
2024-08-27,8.44,8.449,7.8,7.8,4311.9
2024-08-28,7.8,8.242,7.5,7.538,5633.9
2024-08-29,7.885,7.885,7.54,7.699,1091.4
2024-08-30,7.5,9.0,7.15,7.8,56032.0
2024-09-03,7.896,8.2,7.4,7.451,5834.3
