Date,Open,High,Low,Close,Volume
2025-06-09,2.48,2.48,2.2902,2.34,190500
2025-06-10,2.34,2.44,2.25,2.37,203695
2025-06-11,2.39,2.39,2.12,2.17,282119
2025-06-12,2.19,2.25,2.13,2.17,116823
2025-06-13,2.11,2.15,2.04,2.05,128685
2025-06-16,2.08,2.2,2.04,2.12,92255
2025-06-17,2.11,2.215,2.05,2.07,136068
2025-06-18,2.07,2.16,2.06,2.14,99959
2025-06-20,2.14,2.21,2.115,2.16,290114
2025-06-23,2.37,3.18,2.31,2.87,13682175
2025-06-24,3.19,3.65,2.99,3.62,7300913
2025-06-25,3.69,3.8284,3.25,3.69,2066552
2025-06-26,3.76,4.67,3.52,4.25,2216540
2025-06-27,4.85,5.75,4.1,4.11,7490584
2025-06-30,4.2,5.0,4.09,4.18,2141965
2025-07-01,4.11,4.206,3.41,3.74,1740520
2025-07-02,3.78,4.25,3.68,4.17,871382
2025-07-03,4.18,4.65,4.0602,4.61,947978
2025-07-07,4.59,4.75,4.25,4.39,942750
2025-07-08,4.39,4.44,3.92,4.35,846284
2025-07-09,4.315,4.37,4.151,4.22,496070
2025-07-10,4.2,4.21,3.65,3.94,1180595
2025-07-11,3.87,4.1686,3.87,3.98,398927
2025-07-14,3.96,4.0,3.78,3.93,381815
2025-07-15,3.93,4.08,3.56,3.74,646441
2025-07-16,3.74,3.8311,3.5,3.69,373415
2025-07-17,3.71,3.807,3.65,3.72,237493
2025-07-18,3.78,3.95,3.715,3.89,323231
2025-07-21,3.98,4.11,3.65,3.73,432611
2025-07-22,3.66,4.03,3.46,3.88,544261
2025-07-23,3.93,4.39,3.87,4.36,725872
2025-07-24,4.4,4.4,3.99,4.01,261603
2025-07-25,3.99,4.0388,3.8415,3.91,194387
2025-07-28,4.0,4.0,3.6799,3.74,252433
2025-07-29,3.72,3.74,3.4497,3.61,412980
2025-07-30,3.6,3.74,3.52,3.61,167506
2025-07-31,3.68,3.84,3.5,3.57,258701
2025-08-01,3.44,3.57,3.25,3.41,274507
2025-08-04,3.45,3.705,3.4175,3.63,276792
2025-08-05,3.7,3.82,3.66,3.79,214634
2025-08-06,3.84,4.065,3.58,3.89,437399
2025-08-07,3.96,4.0689,3.54,3.55,443687
2025-08-08,3.5,3.52,3.35,3.52,250174
2025-08-11,3.5,3.7099,3.36,3.51,281878
2025-08-12,3.5,3.56,3.2124,3.25,405820
2025-08-13,3.26,3.27,2.96,3.14,604640
2025-08-14,3.11,3.28,3.11,3.27,231194
2025-08-15,3.31,3.56,3.2153,3.51,395911
2025-08-18,3.5,3.5219,3.35,3.39,169549
2025-08-19,3.39,3.5,3.23,3.33,172880
2025-08-20,3.37,3.5175,3.3,3.5,236688
2025-08-21,3.51,3.7498,3.3601,3.55,300115
2025-08-22,3.61,3.6194,3.27,3.29,488403
2025-08-25,3.4,3.54,3.22,3.54,218095
2025-08-26,3.6,3.6,3.49,3.575,96920
2025-08-27,3.58,3.58,3.43,3.46,91911
2025-08-28,3.45,3.5264,3.33,3.48,190976
2025-08-29,3.46,3.605,3.3899,3.5,159422
2025-09-02,3.54,3.55,3.28,3.38,244849
2025-09-03,3.37,3.44,3.33,3.36,96174
2025-09-04,3.39,3.77,3.3808,3.75,592357
2025-09-05,3.93,4.09,3.76,4.0,566890
2025-09-08,4.07,4.21,3.8313,4.12,412421
2025-09-09,4.24,4.3499,3.83,4.12,373431
2025-09-10,4.12,4.32,4.01,4.13,340613
2025-09-11,4.19,4.35,3.96,4.26,494605
2025-09-12,4.25,4.3,4.118,4.25,242438
2025-09-15,4.22,4.55,4.0,4.07,638572
2025-09-16,4.06,4.1,3.71,3.86,412792
2025-09-17,3.87,4.02,3.8501,3.91,152113
2025-09-18,3.99,4.19,3.85,3.94,295657
2025-09-19,3.94,4.05,3.8684,4.0,314762
2025-09-22,4.06,4.1,3.85,3.89,418236
2025-09-23,3.96,3.96,3.65,3.69,383165
2025-09-24,3.75,3.77,3.5117,3.58,343661
2025-09-25,3.56,3.61,3.36,3.6,289013
2025-09-26,3.6,4.1599,3.505,4.11,772322
2025-09-29,4.13,4.15,3.86,3.88,374025
2025-09-30,4.03,4.11,3.85,3.93,291373
2025-10-01,3.91,4.46,3.88,4.26,606172
