Date,Open,High,Low,Close,Volume
2024-01-02,1.62,1.69,1.57,1.66,127956
2024-01-03,1.63,1.8,1.58,1.76,599138
2024-01-04,1.79,1.87,1.78,1.8,206474
2024-01-05,1.78,1.86,1.7,1.75,243612
2024-01-08,1.73,1.76,1.71,1.74,74151
2024-01-09,1.76,1.76,1.67,1.71,115284
2024-01-10,1.69,1.71,1.63,1.66,72333
2024-01-11,1.66,1.6774,1.6,1.62,134805
2024-01-12,1.63,1.7399,1.61,1.7,298572
2024-01-16,1.67,1.7,1.615,1.63,77335
2024-01-17,1.62,1.67,1.62,1.66,95314
2024-01-18,1.66,1.69,1.6,1.61,183924
2024-01-19,1.64,1.6601,1.535,1.66,287545
2024-01-22,1.69,1.7,1.62,1.64,344420
2024-01-23,1.67,1.69,1.59,1.59,97783
2024-01-24,1.63,1.63,1.49,1.52,196454
2024-01-25,1.54,1.54,1.45,1.49,189501
2024-01-26,1.53,1.55,1.47,1.47,91170
2024-01-29,1.48,1.5,1.42,1.44,125923
2024-01-30,1.43,1.46,1.34,1.45,216582
2024-01-31,1.44,1.575,1.44,1.5,193536
2024-02-01,1.49,1.53,1.41,1.45,164668
2024-02-02,1.42,1.49,1.4,1.45,82777
2024-02-05,1.44,1.53,1.39,1.49,325629
2024-02-06,1.51,1.51,1.4,1.45,114315
2024-02-07,1.45,1.48,1.41,1.47,77548
2024-02-08,1.44,1.57,1.43,1.55,221534
2024-02-09,1.58,1.61,1.5274,1.54,148198
2024-02-12,1.54,1.6704,1.535,1.64,673420
2024-02-13,1.59,1.64,1.45,1.485,265023
2024-02-14,1.47,1.52,1.47,1.505,128989
2024-02-15,1.51,1.58,1.46,1.55,202572
2024-02-16,1.58,1.58,1.46,1.49,234430
2024-02-20,1.48,1.5,1.38,1.49,382313
2024-02-21,1.47,1.49,1.3301,1.39,561405
2024-02-22,1.41,1.42,1.33,1.365,568461
2024-02-23,1.39,1.39,1.25,1.27,803381
2024-02-26,1.27,1.3,1.19,1.29,389972
2024-02-27,1.32,1.33,1.22,1.23,951909
2024-02-28,1.24,1.2581,1.18,1.21,235250
2024-02-29,1.22,1.31,1.2,1.29,695055
2024-03-01,1.27,1.3,1.23,1.27,150949
2024-03-04,1.29,1.29,1.22,1.25,112323
2024-03-05,1.24,1.27,1.2,1.21,192290
2024-03-06,1.25,1.305,1.2,1.25,253472
2024-03-07,1.3,1.3,1.23,1.27,152893
2024-03-08,1.29,1.305,1.21,1.23,174945
2024-03-11,1.29,1.3,1.2,1.29,256530
2024-03-12,1.28,1.3,1.23,1.25,187874
