Date,Open,High,Low,Close,Volume
2024-01-02,1.3,1.305,1.28,1.28,9410
2024-01-03,1.28,1.28,1.2201,1.23,10843
2024-01-04,1.18,1.24,1.17,1.18,39813
2024-01-05,1.23,1.24,1.18,1.2,31981
2024-01-08,1.2,1.24,1.1523,1.19,20713
2024-01-09,1.19,1.2135,1.18,1.18,3832
2024-01-10,1.216,1.2173,1.18,1.19,3284
2024-01-11,1.16,1.2299,1.16,1.17,3748
2024-01-12,1.16,1.19,1.16,1.17,3811
2024-01-16,1.16,1.16,1.12,1.13,93787
2024-01-17,1.13,1.132,1.13,1.13,9099
2024-01-18,1.1433,1.155,1.13,1.13,7052
2024-01-19,1.1344,1.1631,1.13,1.13,2307
2024-01-22,1.13,1.1479,1.13,1.13,5597
2024-01-23,1.16,1.17,1.14,1.14,1593
2024-01-24,1.155,1.155,1.13,1.13,1410
2024-01-25,1.13,1.1315,1.13,1.13,1865
2024-01-26,1.138,1.1423,1.1014,1.12,17936
2024-01-29,1.12,1.14,1.11,1.12,13441
2024-01-30,1.14,1.15,1.12,1.12,25162
2024-01-31,1.12,1.14,1.12,1.13,5907
2024-02-01,1.14,1.14,1.11,1.13,3115
2024-02-02,1.14,1.18,1.13,1.155,30015
2024-02-05,1.1591,1.17,1.13,1.13,1374
2024-02-06,1.14,1.15,1.13,1.14,7162
2024-02-07,1.14,1.14,1.14,1.14,821
2024-02-08,1.14,1.1749,1.14,1.165,4933
2024-02-09,1.16,1.17,1.15,1.15,7481
2024-02-12,1.14,1.1705,1.14,1.16,3608
2024-02-13,1.15,1.17,1.15,1.16,4861
2024-02-14,1.15,1.165,1.15,1.15,12451
2024-02-15,1.15,1.17,1.1,1.12,28956
2024-02-16,1.12,1.16,1.12,1.14,26783
2024-02-20,1.13,1.145,1.13,1.145,40971
2024-02-21,1.14,1.1501,1.14,1.14,24969
2024-02-22,1.14,1.1572,1.14,1.1477,4243
2024-02-23,1.14,1.1487,1.14,1.145,5202
2024-02-26,1.14,1.15,1.14,1.14,3518
2024-02-27,1.14,1.15,1.14,1.14,11452
2024-02-28,1.14,1.16,1.13,1.145,5139
2024-02-29,1.13,1.1499,1.13,1.13,3949
2024-03-01,1.12,1.15,1.12,1.13,8603
2024-03-04,1.15,1.1599,1.12,1.14,6571
2024-03-05,1.13,1.1431,1.13,1.14,2462
2024-03-06,1.15,1.16,1.13,1.1495,4837
2024-03-07,1.14,1.14,1.13,1.1362,9634
2024-03-08,1.13,1.1416,1.13,1.1401,6361
2024-03-11,1.13,1.1402,1.12,1.14,15374
2024-03-12,1.12,1.16,1.12,1.15,39047
2024-03-13,1.1476,1.18,1.14,1.175,10589
2024-03-14,1.24,1.245,1.17,1.23,32868
2024-03-15,1.21,1.24,1.1408,1.1786,9591
2024-03-18,1.16,1.22,1.15,1.22,51340
2024-03-19,1.2,1.21,1.15,1.1699,4068
2024-03-20,1.16,1.2,1.1,1.17,47120
2024-03-21,1.2,1.35,1.1501,1.34,62464
2024-03-22,1.35,1.3635,1.27,1.27,57861
2024-03-25,1.27,1.3399,1.27,1.27,11932
2024-03-26,1.295,1.295,1.27,1.28,4046
2024-03-27,1.28,1.28,1.225,1.25,8560
2024-03-28,1.23,1.255,1.22,1.24,5933
2024-04-01,1.23,1.23,1.19,1.205,13957
2024-04-02,1.17,1.22,1.08,1.17,44863
2024-04-03,1.14,1.19,1.14,1.16,15041
2024-04-04,1.17,1.23,1.17,1.21,1122
2024-04-05,1.1999,1.33,1.19,1.25,61479
2024-04-08,1.2399,1.24,1.2201,1.24,9903
2024-04-09,1.25,1.25,1.2,1.23,7677
2024-04-10,1.22,1.3,1.22,1.285,24420
2024-04-11,1.26,1.3,1.25,1.29,1340
2024-04-12,1.2955,1.4,1.2872,1.35,142098
2024-04-15,1.35,1.43,1.345,1.38,82888
2024-04-16,1.4,1.52,1.39,1.5,63582
2024-04-17,1.55,1.55,1.42,1.42,25007
2024-04-18,1.46,1.46,1.35,1.41,16104
2024-04-19,1.32,1.46,1.3001,1.44,108699
2024-04-22,1.41,1.46,1.41,1.46,142296
2024-04-23,1.4,1.425,1.3101,1.33,22917
2024-04-24,1.35,1.4181,1.33,1.33,12355
2024-04-25,1.35,1.35,1.3,1.3121,1397
2024-04-26,1.37,1.43,1.36,1.43,21456
2024-04-29,1.45,1.46,1.365,1.4099,100608
2024-04-30,1.42,1.43,1.36,1.43,15000
2024-05-01,1.43,1.43,1.39,1.4,3577
2024-05-02,1.37,1.43,1.34,1.43,14756
2024-05-03,1.45,1.45,1.38,1.39,3711
2024-05-06,1.3801,1.41,1.37,1.37,3814
2024-05-07,1.4,1.4,1.36,1.36,3444
2024-05-08,1.42,1.42,1.36,1.36,1823
2024-05-09,1.3974,1.3974,1.33,1.33,5782
2024-05-10,1.35,1.39,1.27,1.27,26877
2024-05-13,1.28,1.4,1.28,1.4,1703
2024-05-14,1.28,1.47,1.28,1.46,85289
2024-05-15,1.43,1.46,1.4,1.45,7720
2024-05-16,1.41,1.45,1.4,1.44,15608
2024-05-17,1.43,1.4996,1.41,1.47,43299
2024-05-20,1.48,1.485,1.42,1.46,16359
2024-05-21,1.45,1.45,1.4301,1.4301,2179
2024-05-22,1.41,1.5,1.41,1.5,16298
2024-05-23,1.49,1.5664,1.49,1.52,23282
2024-05-24,1.52,1.53,1.48,1.48,3515
2024-05-28,1.52,1.57,1.52,1.57,28153
2024-05-29,1.59,1.6,1.536,1.56,65573
2024-05-30,1.56,1.56,1.44,1.45,27996
2024-05-31,1.43,1.48,1.4201,1.46,22807
2024-06-03,1.43,1.45,1.41,1.42,7870
2024-06-04,1.44,1.44,1.4,1.4174,26102
2024-06-05,1.36,1.405,1.36,1.37,14444
2024-06-06,1.34,1.355,1.33,1.35,8937
2024-06-07,1.32,1.38,1.31,1.37,4881
2024-06-10,1.39,1.46,1.35,1.45,11825
2024-06-11,1.41,1.4584,1.41,1.44,12353
2024-06-12,1.45,1.45,1.38,1.38,4907
2024-06-13,1.3641,1.4399,1.335,1.36,25698
2024-06-14,1.4,1.7,1.4,1.68,262049
2024-06-17,1.8,2.19,1.69,1.9,586832
2024-06-18,2.01,2.01,1.78,1.87,49947
2024-06-20,1.81,1.838,1.76,1.775,14915
2024-06-21,1.73,1.76,1.65,1.72,35840
2024-06-24,1.72,1.906,1.72,1.78,41673
2024-06-25,1.75,1.7999,1.62,1.79,34663
2024-06-26,1.721,1.88,1.7,1.88,34819
