Date,Open,High,Low,Close,Volume
2024-01-02,3.55,3.83,3.16,3.74,1456210.0
2024-01-03,3.74,4.54,2.6,2.84,1631613.0
2024-01-04,2.81,3.1,2.5,2.7,212454.0
2024-01-05,2.59,2.7352,2.42,2.42,146432.0
2024-01-08,2.3,2.465,2.13,2.13,81530.0
2024-01-09,4.55,4.66,3.25,3.47,28156797.0
2024-01-10,3.58,3.7,3.22,3.54,673879.0
2024-01-11,3.36,3.4,3.14,3.28,196203.0
2024-01-12,3.08,3.0999,2.6,2.99,125726.0
2024-01-16,2.85,3.4,2.84,3.07,133152.0
2024-01-17,2.94,3.23,2.81,3.12,80783.0
2024-01-18,3.03,3.1,2.94,3.07,44070.0
2024-01-19,3.01,3.1799,2.86,3.09,43326.0
2024-01-22,3.03,3.0911,2.8,2.88,47635.0
2024-01-23,2.82,2.99,2.81,2.89,44362.0
2024-01-24,2.86,2.86,2.6,2.79,82630.0
2024-01-25,2.86,2.86,2.51,2.54,131527.0
2024-01-26,2.46,2.56,2.42,2.42,21758.0
2024-01-29,2.42,2.49,2.33,2.39,38635.0
2024-01-30,2.35,2.37,2.29,2.29,31665.0
2024-01-31,2.21,2.99,2.21,2.73,331539.0
2024-02-01,2.41,2.8,2.41,2.47,43881.0
2024-02-02,2.47,2.54,2.41,2.41,24301.0
2024-02-05,2.4,2.4,2.23,2.27,16908.0
2024-02-06,2.21,2.4877,2.21,2.24,84754.0
2024-02-07,2.34,2.388,2.15,2.28,43796.0
2024-02-08,2.4,2.5899,2.33,2.48,75621.0
2024-02-09,2.41,2.57,2.32,2.49,42104.0
2024-02-12,2.48,2.49,2.34,2.34,18501.0
2024-02-13,2.29,2.3799,2.16,2.27,1843029.0
2024-02-14,2.84,3.74,2.3,2.67,3610398.0
2024-02-15,2.35,2.9,2.34,2.86,250908.0
2024-02-16,2.53,3.4,2.53,3.21,231794.0
2024-02-20,2.92,2.9799,2.66,2.79,68602.0
2024-02-21,2.71,2.83,2.5296,2.66,93406.0
2024-02-22,2.6,2.65,2.35,2.54,123431.0
2024-02-23,2.51,2.51,2.26,2.36,93460.0
2024-02-26,2.38,2.5296,2.37,2.43,23352.0
2024-02-27,2.54,2.62,2.43,2.57,34361.0
2024-02-28,2.57,2.69,2.4337,2.57,33798.0
2024-02-29,2.6204,2.6204,2.4,2.55,13141.0
2024-03-01,2.54,2.58,2.44,2.45,26109.0
2024-03-04,2.5,2.6003,2.44,2.48,36979.0
2024-03-05,2.54,2.6,2.35,2.555,50634.0
2024-03-06,2.56,2.56,2.41,2.44,46509.0
2024-03-07,2.49,2.65,2.41,2.53,52719.0
2024-03-08,2.71,2.8903,2.45,2.46,138153.0
2024-03-11,2.44,2.5235,2.3319,2.51,37859.0
2024-03-12,2.56,2.56,2.35,2.42,6470.0
2024-03-13,2.52,2.54,2.41,2.45,16872.0
2024-03-14,2.57,2.57,2.31,2.35,48772.0
2024-03-15,2.4,2.54,2.36,2.54,9227.0
2024-03-18,2.59,2.59,2.36,2.52,31921.0
2024-03-19,2.47,2.47,2.3249,2.41,37303.0
2024-03-20,2.37,2.37,2.19,2.26,36210.0
2024-03-21,2.28,2.57,2.26,2.5,197624.0
2024-03-22,2.49,2.49,2.3,2.44,25273.0
2024-03-25,2.4,2.4,2.2,2.26,25958.0
2024-03-26,2.26,2.32,2.22,2.22,24380.0
2024-03-27,2.27,2.27,2.22,2.27,5572.0
2024-03-28,2.34,2.46,2.27,2.45,54712.0
2024-04-01,2.37,2.48,2.31,2.38,15376.0
2024-04-02,2.38,2.4,2.33,2.4,4112.0
2024-04-03,2.4,2.4,2.31,2.33,6245.0
2024-04-04,2.4,2.4,2.25,2.27,14290.0
2024-04-05,2.36,2.36,2.23,2.25,5030.0
2024-04-08,2.41,2.41,2.2,2.2,9975.0
2024-04-09,2.28,2.28,2.02,2.1,22024.0
2024-04-10,2.15,2.15,2.03,2.06,21922.0
2024-04-11,2.15,2.26,2.09,2.18,11298.0
2024-04-12,2.16,2.195,2.1001,2.13,5329.0
2024-04-15,2.14,2.14,1.95,2.015,15297.0
2024-04-16,1.9899,1.9899,1.87,1.884,8575.0
2024-04-17,1.8901,1.92,1.8,1.91,19700.0
2024-04-18,1.97,2.1499,1.96,2.04,65186.0
2024-04-19,2.025,2.025,1.91,1.96,17630.0
2024-04-22,1.92,2.0,1.87,1.99,8432.0
2024-04-23,1.92,1.9947,1.89,1.91,16537.0
2024-04-24,1.97,1.99,1.8501,1.89,9516.0
2024-04-25,1.82,1.8999,1.81,1.882,5705.0
2024-04-26,1.8101,1.9656,1.8101,1.96,11994.0
