Date,Open,High,Low,Close,Volume
2024-01-02,2.66,2.8,2.66,2.77,49112.0
2024-01-03,2.67,2.771,2.67,2.73,27772.0
2024-01-04,2.72,2.7204,2.6206,2.68,41783.0
2024-01-05,2.725,2.77,2.725,2.77,11682.0
2024-01-08,2.79,2.8,2.71,2.77,30204.0
2024-01-09,2.79,2.8,2.73,2.74,36264.0
2024-01-10,2.702,2.78,2.7,2.7,25251.0
2024-01-11,2.7239,2.78,2.67,2.76,20206.0
2024-01-12,2.735,2.8,2.73,2.78,44461.0
2024-01-16,2.77,2.8,2.75,2.76,21204.0
2024-01-17,2.64,2.745,2.64,2.73,7385.0
2024-01-18,2.78,2.8,2.74,2.75,49636.0
2024-01-19,2.725,2.8,2.725,2.788,21021.0
2024-01-22,2.7,2.78,2.6,2.75,21213.0
2024-01-23,2.71,2.8,2.7,2.74,25820.0
2024-01-24,2.8,2.8,2.71,2.8,145331.0
2024-01-25,2.58,2.67,2.5,2.62,75300.0
2024-01-26,2.52,2.69,2.5162,2.54,30600.0
2024-01-29,2.51,2.64,2.51,2.53,40110.0
2024-01-30,2.522,2.54,2.38,2.38,53536.0
2024-01-31,2.35,2.59,2.35,2.55,15534.0
2024-02-01,2.53,2.55,2.37,2.38,18916.0
2024-02-02,2.43,2.44,2.385,2.44,7029.0
2024-02-05,2.4,2.4,2.19,2.29,39543.0
2024-02-06,2.3,2.4,2.29,2.4,20291.0
2024-02-07,2.39,2.4,2.36,2.39,29251.0
2024-02-08,2.4,2.75,2.381,2.74,112762.0
2024-02-09,2.6302,2.7128,2.63,2.67,17350.0
2024-02-12,2.67,2.825,2.53,2.71,17257.0
2024-02-13,2.77,2.8,2.65,2.8,13085.0
2024-02-14,2.65,2.81,2.65,2.73,20179.0
2024-02-15,2.84,3.16,2.55,2.94,38308.0
2024-02-16,3.03,3.03,2.7404,2.88,18681.0
2024-02-20,2.95,2.96,2.7991,2.875,18597.0
2024-02-21,4.68,6.7,3.9,4.42,46900666.0
2024-02-22,4.14,4.6825,3.83,4.07,990881.0
