Date,Open,High,Low,Close,Volume
2025-06-09,3.16,3.16,2.85,2.86,22500
2025-06-10,2.93,3.0899,2.93,2.99,51095
2025-06-11,2.95,3.07,2.8614,3.0,238784
2025-06-12,2.9,3.081,2.86,2.9,392585
2025-06-13,2.9,2.91,2.8,2.87,49148
2025-06-16,2.9,3.02,2.8722,2.89,19931
2025-06-17,2.96,3.0298,2.89,2.92,73656
2025-06-18,3.0,3.09,2.9316,3.04,134599
2025-06-20,3.0,3.32,2.59,3.04,1908935
2025-06-23,3.0,3.09,2.89,3.05,51242
2025-06-24,3.08,3.2657,3.0433,3.15,39597
2025-06-25,3.17,3.19,3.01,3.17,39788
2025-06-26,3.2,3.25,3.05,3.1,67619
2025-06-27,3.18,3.18,3.0,3.09,30891
2025-06-30,3.11,3.22,2.99,3.1,41238
2025-07-01,3.06,3.4,3.01,3.29,60667
2025-07-02,3.29,3.4039,3.04,3.04,59218
2025-07-03,3.07,3.25,2.945,2.99,63099
2025-07-07,2.95,3.274,2.81,3.25,159861
2025-07-08,3.29,3.6,3.14,3.56,99614
2025-07-09,3.6,3.75,3.6,3.7,24468
2025-07-10,3.65,3.79,3.65,3.75,42598
2025-07-11,3.69,3.69,3.49,3.49,27392
2025-07-14,3.45,3.59,3.3556,3.46,62804
2025-07-15,3.47,3.5694,3.4601,3.47,7697
2025-07-16,3.61,3.64,3.48,3.62,21654
2025-07-17,3.62,3.75,3.61,3.75,34478
2025-07-18,3.67,3.74,3.6601,3.72,13465
2025-07-21,3.73,3.76,3.44,3.49,50016
2025-07-22,3.55,3.72,3.43,3.43,26369
2025-07-23,3.43,3.61,3.43,3.61,9694
2025-07-24,3.59,3.736,3.51,3.61,16241
2025-07-25,3.62,3.75,3.58,3.6,9362
2025-07-28,3.58,3.7321,3.3,3.36,21766
2025-07-29,3.42,3.4899,3.2301,3.27,33075
2025-07-30,3.24,3.4285,3.18,3.18,8229
2025-07-31,3.18,3.33,3.12,3.13,20488
2025-08-01,3.1,3.2203,3.1,3.16,24042
2025-08-04,3.25,3.56,3.22,3.3,104958
2025-08-05,2.99,3.48,2.92,3.42,1043041
2025-08-06,3.15,3.35,3.14,3.1482,48513
2025-08-07,3.14,3.2772,3.03,3.2,49294
2025-08-08,3.2,3.23,3.1101,3.18,24343
2025-08-11,3.13,3.24,2.96,3.01,59431
2025-08-12,3.02,3.2137,2.97,3.14,55715
2025-08-13,3.17,3.2293,2.99,3.11,65349
2025-08-14,3.03,3.3199,3.03,3.28,71167
2025-08-15,3.2665,3.5,3.26,3.47,36659
2025-08-18,3.44,3.5315,3.4006,3.49,49840
2025-08-19,3.5,3.51,3.3389,3.51,29641
2025-08-20,3.4,3.65,3.4,3.58,39605
2025-08-21,3.42,3.6991,3.42,3.44,42556
2025-08-22,3.585,3.624,3.54,3.61,47145
2025-08-25,3.54,3.6887,3.39,3.45,54175
2025-08-26,3.41,3.6666,3.31,3.38,58272
2025-08-27,3.38,3.4,3.3,3.33,42811
2025-08-28,3.38,3.51,3.28,3.31,58277
2025-08-29,3.2922,3.51,3.2922,3.46,15015
2025-09-02,3.34,3.49,3.24,3.35,46472
2025-09-03,3.36,3.4758,3.36,3.43,18060
2025-09-04,3.42,3.49,3.3616,3.41,8890
2025-09-05,3.39,3.46,3.22,3.24,97528
2025-09-08,3.3,3.45,3.2509,3.32,34620
2025-09-09,3.35,3.35,3.2,3.26,63146
2025-09-10,3.27,3.34,3.16,3.31,51202
2025-09-11,3.25,3.3339,3.2,3.2,17747
2025-09-12,3.1,3.2099,3.1,3.12,15578
2025-09-15,3.12,3.2222,3.12,3.17,14480
2025-09-16,3.16,3.2508,3.15,3.23,20533
2025-09-17,3.23,3.35,3.22,3.23,21866
2025-09-18,3.28,3.359,3.15,3.19,39850
2025-09-19,3.2,3.4,3.15,3.32,43784
2025-09-22,3.24,3.93,3.21,3.93,181981
2025-09-23,3.87,4.02,3.82,3.96,118414
2025-09-24,3.95,3.9825,3.68,3.78,34052
2025-09-25,3.72,3.74,3.3691,3.43,65735
2025-09-26,3.43,4.155,3.41,4.13,226575
2025-09-29,4.1,4.5,3.9,4.43,247890
2025-09-30,4.4,4.9,4.3894,4.76,223143
2025-10-01,4.85,4.8586,4.4213,4.45,102721
2025-10-02,4.42,4.55,4.42,4.47,53319
2025-10-03,4.53,4.53,4.305,4.4,73263
2025-10-06,4.39,4.52,3.91,4.05,199451
2025-10-07,4.02,4.24,4.0,4.16,107213
2025-10-08,4.16,4.64,4.16,4.48,156835
2025-10-09,4.45,4.71,4.3703,4.56,123609
2025-10-10,4.51,4.67,4.17,4.18,113920
