Date,Open,High,Low,Close,Volume
2025-06-09,11.55,12.0,11.3895,11.865,4514.66
2025-06-10,12.15,12.6,11.55,11.985,3103.4
2025-06-11,11.85,12.363,11.625,11.985,3381.93
2025-06-12,11.7,12.225,11.3872,11.628,4948.2
2025-06-13,11.2785,12.0,11.0025,11.43,2923.26
2025-06-16,11.289,11.997,11.1,11.49,1455.73
2025-06-17,11.3985,12.4365,11.1,12.4365,6337.8
2025-06-18,13.0335,13.0335,11.7,12.405,5084.4
2025-06-20,12.183,12.45,11.2665,11.8995,1646.26
2025-06-23,12.0,12.225,11.43,11.781,4693.33
2025-06-24,12.225,12.45,11.25,12.2265,6393.46
2025-06-25,12.45,12.45,11.775,12.27,854.0
2025-06-26,12.015,12.1035,11.865,11.955,952.8
2025-06-27,12.1485,13.2915,11.955,12.51,11404.6
2025-06-30,12.285,12.66,11.343,11.7255,3137.4
2025-07-01,11.6175,12.6765,11.6175,12.429,3155.73
2025-07-02,12.639,12.9,12.114,12.27,4173.4
2025-07-03,12.3,12.75,12.3,12.351,665.666
2025-07-07,12.3015,12.669,11.988,12.4365,1344.86
2025-07-08,12.231,12.42,12.0,12.03,1211.6
2025-07-09,12.03,12.378,11.7,12.15,1086.0
2025-07-10,11.85,12.45,11.85,12.15,1858.0
2025-07-11,11.8515,12.3,11.8515,12.27,2995.46
2025-07-14,12.15,12.3,11.85,12.0,1424.66
2025-07-15,11.925,12.225,11.925,12.0,427.0
2025-07-16,12.66,12.66,11.925,12.2085,2975.4
2025-07-17,12.804,12.804,11.925,12.15,1028.6
2025-07-18,12.15,12.3,11.925,12.0945,1032.46
2025-07-21,11.823,12.093,11.55,12.093,3608.0
2025-07-22,11.985,14.25,11.9827,13.035,42382.4
2025-07-23,13.65,14.55,13.05,13.2,15263.9
2025-07-24,13.503,21.9,13.0515,19.8,1481011.0
2025-07-25,24.6,31.8,21.15,23.25,4145502.0
2025-07-28,21.15,23.85,16.95,17.85,105585.0
2025-07-29,17.4,17.55,14.3265,14.625,50889.5
2025-07-30,14.25,17.2905,14.025,14.025,23132.0
2025-07-31,13.605,14.7,13.5375,14.049,13813.8
2025-08-01,13.6275,14.004,12.444,13.101,13459.5
2025-08-04,12.708,13.65,12.6,13.5015,9672.6
2025-08-05,13.35,13.4565,12.018,12.171,16616.0
2025-08-06,12.0,13.4848,12.0,12.132,4917.13
2025-08-07,11.982,12.1305,11.01,11.817,28926.5
2025-08-08,11.2575,13.3275,11.25,12.195,9825.86
2025-08-11,11.6265,13.65,11.6265,13.275,9269.8
2025-08-12,13.17,15.75,12.5985,14.2065,22523.1
2025-08-13,13.8,14.85,13.5,14.076,5719.6
2025-08-14,13.653,13.653,9.6015,11.34,50043.2
2025-08-15,11.4,11.988,10.266,10.764,25380.2
2025-08-18,10.5915,11.4,9.75,10.485,24515.3
2025-08-19,10.065,10.3395,9.4515,9.8625,13301.4
2025-08-20,9.405,10.05,7.65,8.805,17929.4
2025-08-21,8.541,9.525,8.3835,9.48,6404.8
2025-08-22,9.315,10.29,9.0,10.29,9430.6
2025-08-25,10.62,11.2035,10.065,10.5,4619.0
2025-08-26,10.05,10.725,9.9,10.101,4895.6
2025-08-27,10.05,10.65,9.825,10.383,3271.33
2025-08-28,10.5,10.9485,9.87451,10.65,4347.46
2025-08-29,10.515,11.6895,10.2615,11.4675,7131.93
2025-09-02,11.124,11.4,10.875,11.2605,2023.2
2025-09-03,10.875,11.55,10.752,11.55,1193.4
2025-09-04,11.325,11.5485,10.881,11.3805,1718.13
