Date,Open,High,Low,Close,Volume
2024-08-28,4.0,4.89,4.0,4.27,437700
2024-08-29,4.26,4.45,3.4,4.14,197753
2024-08-30,4.0,4.3,4.0,4.25,92150
2024-09-03,4.3,4.65,4.0,4.24,64439
2024-09-04,4.25,4.6,4.2,4.53,215274
2024-09-05,4.41,4.6,3.78,3.84,279198
2024-09-06,3.83,4.15,3.701,3.88,46662
2024-09-09,3.96,4.0339,3.08,3.08,143416
2024-09-10,3.27,3.35,2.7501,2.935,107137
2024-09-11,2.84,2.95,2.7517,2.86,15981
2024-09-12,2.8618,2.95,2.5,2.8,19311
2024-09-13,2.94,3.04,2.86,3.02,70487
2024-09-16,2.97,3.1,2.712,2.8514,24933
2024-09-17,2.838,3.2,2.82,3.15,63298
2024-09-18,3.41,4.2,3.3,3.43,1173337
2024-09-19,3.45,3.45,2.72,2.93,166204
2024-09-20,3.04,3.12,2.9301,3.019,49799
2024-09-23,3.03,3.084,2.88,2.95,60954
2024-09-24,2.98,3.0619,2.75,2.94,55189
2024-09-25,2.9,2.9304,2.735,2.7828,13465
2024-09-26,3.38,3.95,2.65,2.84,3438185
2024-09-27,2.85,3.0,2.71,2.86,109201
2024-09-30,2.75,2.93,2.72,2.89,48530
2024-10-01,2.87,2.89,2.72,2.73,42069
2024-10-02,2.77,2.8,2.67,2.72,18526
2024-10-03,2.72,2.72,2.55,2.6,43866
2024-10-04,2.62,2.62,1.8,1.93,239891
2024-10-07,2.23,2.7,2.05,2.3399,253025
2024-10-08,2.55,3.09,2.44,2.94,978648
2024-10-09,2.7,2.7,2.35,2.46,110211
2024-10-10,2.44,2.62,2.3521,2.48,67936
2024-10-11,2.55,2.6008,2.33,2.41,80112
2024-10-14,2.5,2.535,2.235,2.333,165782
2024-10-15,2.27,2.38,2.2501,2.32,29064
2024-10-16,2.31,2.4,2.252,2.34,70181
2024-10-17,2.53,2.68,2.4001,2.49,136041
2024-10-18,2.43,2.52,2.2467,2.37,24256
2024-10-21,2.37,2.39,2.25,2.3,29953
2024-10-22,2.32,2.32,2.06,2.06,56925
2024-10-23,2.14,2.26,1.87,1.9501,106300
2024-10-24,2.2,2.2,1.91,1.9399,31677
2024-10-25,1.89,2.0,1.84,1.87,104055
2024-10-28,1.98,2.34,1.98,2.21,211744
2024-10-29,2.29,2.43,2.15,2.37,336453
2024-10-30,2.33,2.335,2.0,2.18,79314
2024-10-31,2.16,2.37,2.16,2.25,30829
2024-11-01,2.19,2.3299,2.15,2.3,58445
2024-11-04,2.24,2.29,2.09,2.1,26687
2024-11-05,2.0665,2.2,2.0,2.084,45894
2024-11-06,2.03,2.137,1.96,1.985,22105
2024-11-07,2.15,2.15,1.975,2.12,59601
2024-11-08,2.05,2.15,2.01,2.14,30773
2024-11-11,2.025,2.24,2.02,2.14,15868
2024-11-12,2.16,2.22,1.9701,2.1,22646
2024-11-13,2.01,2.1768,2.01,2.065,14833
2024-11-14,2.13,2.13,1.98,2.01,24462
2024-11-15,2.01,2.1239,1.91,1.98,15254
2024-11-18,1.99,1.99,1.556,1.76,46135
