Date,Open,High,Low,Close,Volume
2025-07-11,3.51,3.61,3.42,3.57,688692
2025-07-14,3.59,3.89,3.545,3.86,796344
2025-07-15,3.87,4.0,3.72,3.74,1145117
2025-07-16,3.73,3.825,3.525,3.6,1585170
2025-07-17,3.62,3.905,3.56,3.83,1187977
2025-07-18,3.9,3.92,3.65,3.66,521679
2025-07-21,3.68,4.04,3.6242,3.88,1181002
2025-07-22,3.91,4.235,3.85,4.22,1315505
2025-07-23,4.27,4.56,4.18,4.44,1000914
2025-07-24,4.46,4.65,4.35,4.45,810360
2025-07-25,4.43,4.53,4.375,4.49,442659
2025-07-28,4.51,4.59,4.44,4.52,587165
2025-07-29,4.55,4.579942,4.43,4.47,574612
2025-07-30,4.5,4.8204,4.41,4.44,1123253
2025-07-31,4.41,4.69,4.38,4.39,832284
2025-08-01,4.28,4.435,4.17,4.42,657860
2025-08-04,4.47,4.72,4.47,4.66,932569
2025-08-05,4.11,4.8495,3.785,4.545,3934820
2025-08-06,4.55,4.55,4.03,4.245,2212684
2025-08-07,4.185,4.42,4.0,4.005,3232911
2025-08-08,4.0,4.31,3.9192,4.13,1212443
2025-08-11,4.22,4.29,3.9,3.92,684373
2025-08-12,3.92,4.0,3.8,3.86,1557701
2025-08-13,3.88,3.98,3.64,3.87,1589688
2025-08-14,3.85,3.88,3.43,3.56,1162020
2025-08-15,3.56,3.5808,3.335,3.34,1303960
2025-08-18,3.38,3.63,3.315,3.54,1135786
2025-08-19,3.7,3.8,3.36,3.37,1354548
2025-08-20,3.34,3.415,3.2,3.33,1086464
2025-08-21,3.31,3.44,3.27,3.38,732218
2025-08-22,3.38,3.51,3.29,3.4,1904031
2025-08-25,3.38,3.38,3.175,3.2,1554890
2025-08-26,3.21,3.4,3.13,3.38,2357740
2025-08-27,3.36,3.44,3.24,3.36,1247534
2025-08-28,3.4,3.515,3.29,3.44,2685881
2025-08-29,3.46,3.48,3.18,3.33,1472972
2025-09-02,3.29,3.3492,3.13,3.14,1166636
2025-09-03,3.17,3.305,3.07,3.27,1296393
2025-09-04,3.29,3.43,3.17,3.31,1887851
2025-09-05,3.35,3.37,3.0,3.23,1892291
2025-09-08,3.25,3.48,3.12,3.37,2138340
2025-09-09,3.55,3.69,3.406,3.69,2282952
2025-09-10,3.69,3.71,3.4,3.45,1259699
2025-09-11,3.47,3.57,3.4,3.46,781278
