Date,Open,High,Low,Close,Volume
2024-01-02,6.13,6.29,6.03,6.17,39227
2024-01-03,6.15,6.35,6.1,6.16,40480
2024-01-04,6.2,6.31,5.87,5.96,60712
2024-01-05,5.9,6.2,5.9,6.1,86001
2024-01-08,6.15,6.25,5.93,6.02,98058
2024-01-09,5.91,6.19,5.3,5.61,351158
2024-01-10,5.6,5.77,5.37,5.43,186529
2024-01-11,5.43,5.63,5.245,5.56,71190
2024-01-12,5.65,5.73,5.39,5.42,60445
2024-01-16,5.35,5.51,4.96,4.98,96480
2024-01-17,4.9,5.0007,4.76,4.92,82057
2024-01-18,4.91,5.0,4.42,4.655,231698
2024-01-19,4.69,4.69,4.48,4.57,143914
2024-01-22,4.58,4.9,4.58,4.86,66346
2024-01-23,4.94,4.94,4.31,4.4,190007
2024-01-24,4.39,4.45,4.35,4.36,61317
2024-01-25,4.45,4.59,4.1704,4.5,43730
2024-01-26,4.5,4.63,4.44,4.53,39487
2024-01-29,4.49,4.64,4.48,4.61,29399
2024-01-30,4.64,4.675,4.52,4.59,48536
2024-01-31,4.61,4.67,4.37,4.4,67663
2024-02-01,4.41,4.42,4.04,4.18,175880
2024-02-02,4.18,4.18,3.99,4.0,292108
2024-02-05,4.01,4.08,3.815,3.94,124391
2024-02-06,3.93,4.15,3.8886,4.05,104234
2024-02-07,4.07,4.09,3.72,3.98,201795
2024-02-08,3.98,4.03,3.88,3.93,79170
2024-02-09,3.99,4.13,3.86,4.02,76980
2024-02-12,4.05,4.13,4.01,4.1,104842
2024-02-13,3.95,3.97,3.76,3.9,173132
2024-02-14,3.99,4.06,3.85,4.05,136417
2024-02-15,4.11,4.14,3.99,4.09,77054
2024-02-16,4.08,4.08,3.81,3.94,165092
2024-02-20,3.85,3.89,3.75,3.8,110540
2024-02-21,3.79,3.92,3.65,3.72,170406
2024-02-22,3.7,3.85,3.66,3.82,119933
2024-02-23,3.85,3.85,3.76,3.82,34159
2024-02-26,3.83,4.0,3.83,3.99,64914
2024-02-27,4.03,4.12,3.95,4.1,76368
2024-02-28,4.0,4.055,3.91,3.94,82758
2024-02-29,4.04,4.04,3.83,3.91,64480
2024-03-01,3.89,4.16,3.89,4.03,73045
2024-03-04,4.03,4.03,3.63,3.72,187855
2024-03-05,3.65,3.72,3.57,3.61,131430
2024-03-06,3.63,3.6663,3.44,3.5,130523
2024-03-07,3.55,3.65,3.41,3.48,136206
2024-03-08,3.55,3.62,3.4,3.46,208989
2024-03-11,3.535,3.66,3.37,3.59,156115
2024-03-12,3.6,3.635,3.42,3.51,153058
2024-03-13,3.48,3.71,3.48,3.69,71457
2024-03-14,3.68,3.68,3.4435,3.54,274317
2024-03-15,3.5,4.01,3.21,3.97,624144
2024-03-18,4.02,4.27,3.92,4.2,282340
2024-03-19,4.21,4.37,4.15,4.32,122577
2024-03-20,4.41,4.65,4.29,4.575,172293
2024-03-21,4.58,4.6,4.33,4.34,90826
2024-03-22,4.37,4.37,4.01,4.02,89214
2024-03-25,4.0,4.075,3.97,3.98,60651
2024-03-26,3.96,4.08,3.935,4.01,488785
2024-03-27,4.5,5.09,4.5,5.07,2167277
2024-03-28,5.12,5.59,4.93,5.57,665889
2024-04-01,5.59,5.66,5.2685,5.605,316256
2024-04-02,5.61,5.775,5.43,5.73,216079
2024-04-03,5.79,5.84,5.62,5.73,199914
2024-04-04,5.71,5.82,5.602,5.7,236904
2024-04-05,5.61,5.83,5.46,5.71,151742
2024-04-08,5.58,5.82,5.58,5.82,194800
2024-04-09,5.76,5.83,5.54,5.81,126308
2024-04-10,5.71,5.76,5.57,5.65,185629
2024-04-11,5.64,5.73,5.5,5.68,185594
2024-04-12,5.77,5.97,5.41,5.45,202078
2024-04-15,5.39,5.42,5.0767,5.29,174740
2024-04-16,5.17,5.49,5.06,5.43,136203
2024-04-17,5.4,5.49,5.29,5.3,114344
2024-04-18,5.21,5.435,5.21,5.27,149757
2024-04-19,5.23,5.33,5.13,5.19,121603
2024-04-22,5.17,5.315,5.09,5.22,172406
2024-04-23,5.2,5.66,5.2,5.46,177009
2024-04-24,5.43,5.5,5.17,5.33,77095
2024-04-25,5.25,5.36,5.06,5.12,59733
2024-04-26,5.09,5.23,5.09,5.21,59948
2024-04-29,5.21,5.615,5.21,5.59,355192
2024-04-30,5.54,5.64,5.34,5.36,138839
2024-05-01,5.29,5.35,5.075,5.14,156151
2024-05-02,5.2,5.23,5.01,5.11,76447
2024-05-03,5.21,5.37,5.08,5.11,98295
2024-05-06,5.1,5.22,4.79,4.85,226049
2024-05-07,4.79,5.0,4.61,4.8,492603
2024-05-08,4.65,4.7999,4.36,4.63,283174
2024-05-09,4.67,5.85,4.62,5.5,511864
2024-05-10,5.54,5.73,5.28,5.32,161526
2024-05-13,5.41,5.87,5.41,5.73,154429
2024-05-14,5.7,6.1,5.7,5.9,211747
2024-05-15,5.99,5.99,5.58,5.69,145570
2024-05-16,5.63,5.76,5.59,5.75,95736
2024-05-17,5.74,5.8,5.49,5.52,83139
2024-05-20,5.38,5.495,5.1,5.36,177898
2024-05-21,5.23,5.35,5.08,5.29,84082
2024-05-22,5.29,5.37,5.14,5.285,144604
2024-05-23,5.31,5.31,5.11,5.21,151411
2024-05-24,5.31,5.445,5.09,5.42,136002
2024-05-28,5.4,5.55,5.29,5.36,126391
2024-05-29,5.23,5.4,5.14,5.15,72630
2024-05-30,5.14,5.27,5.14,5.25,66474
2024-05-31,5.3,5.39,5.09,5.2,88002
2024-06-03,5.21,5.2447,4.94,5.02,271682
2024-06-04,4.99,5.13,4.91,5.08,115557
2024-06-05,5.16,5.38,5.05,5.36,69633
2024-06-06,5.28,5.36,5.19,5.29,64740
2024-06-07,5.22,5.317,4.91,4.93,73261
2024-06-10,4.83,4.975,4.69,4.95,135620
2024-06-11,4.89,5.02,4.885,4.97,72140
2024-06-12,5.06,5.18,4.96,4.97,46029
2024-06-13,4.96,5.005,4.85,4.93,88543
2024-06-14,4.87,4.9,4.729,4.77,74506
2024-06-17,4.72,4.795,4.72,4.74,57499
2024-06-18,4.72,4.76,4.53,4.56,78497
2024-06-20,4.47,4.625,4.47,4.53,87287
2024-06-21,4.53,4.705,4.43,4.45,111641
2024-06-24,4.45,4.45,4.35,4.385,53687
2024-06-25,4.38,4.42,4.28,4.33,71551
2024-06-26,4.31,4.3356,4.14,4.23,154931
2024-06-27,4.22,4.335,4.13,4.31,66830
2024-06-28,4.38,4.38,4.17,4.25,136525
2024-07-01,4.29,4.38,4.09,4.2,75261
2024-07-02,4.2,4.4,4.055,4.23,105712
2024-07-03,4.23,4.39,4.18,4.33,79748
2024-07-05,4.28,4.285,3.95,4.14,208271
2024-07-08,4.19,4.345,4.11,4.15,90464
2024-07-09,4.12,4.17,4.0,4.06,96262
2024-07-10,4.07,4.1,4.0,4.08,488790
2024-07-11,4.08,4.48,4.08,4.33,129469
2024-07-12,4.43,4.56,4.43,4.49,45645
2024-07-15,4.51,4.73,4.51,4.69,98585
2024-07-16,4.75,5.005,4.75,4.99,120082
2024-07-17,4.96,5.18,4.89,4.99,64305
2024-07-18,4.96,5.08,4.9175,4.96,59510
2024-07-19,4.97,5.09,4.93,4.99,31220
2024-07-22,5.0,5.08,4.8501,5.03,66337
