Date,Open,High,Low,Close,Volume
2024-01-02,4.66,4.66,4.23,4.37,1352281
2024-01-03,4.37,4.405,4.245,4.37,767158
2024-01-04,4.365,4.46,4.3,4.35,968282
2024-01-05,4.36,4.405,4.16,4.35,1311995
2024-01-08,4.2,4.59,4.16,4.51,737736
2024-01-09,4.3,4.36,4.23,4.28,720031
2024-01-10,4.26,4.34,4.225,4.3,463584
2024-01-11,4.27,4.3,4.15,4.19,317245
2024-01-12,4.23,4.29,4.19,4.27,513349
2024-01-16,4.28,4.28,4.115,4.26,783052
2024-01-17,4.17,4.41,4.1318,4.41,776223
2024-01-18,4.46,4.47,4.24,4.27,356272
2024-01-19,4.27,4.415,4.24,4.41,541482
2024-01-22,4.43,4.61,4.41,4.61,443676
2024-01-23,4.69,5.0881,4.69,5.05,2260137
2024-01-24,5.1,5.2794,4.91,4.94,1438617
2024-01-25,5.04,5.135,4.955,4.98,819299
2024-01-26,4.99,5.01,4.785,4.8,478292
2024-01-29,4.8,4.99,4.72,4.99,876381
2024-01-30,5.01,5.29,5.0,5.05,760374
2024-01-31,5.04,5.155,4.93,4.94,574394
2024-02-01,5.03,5.14,4.9,5.06,1092237
2024-02-02,4.99,5.0987,4.835,4.85,543570
2024-02-05,4.8,4.81,4.57,4.71,584233
2024-02-06,4.69,4.8,4.63,4.8,349753
2024-02-07,4.76,4.83,4.69,4.73,715413
2024-02-08,4.71,4.806,4.68,4.77,720845
2024-02-09,4.81,4.95,4.785,4.88,727332
2024-02-12,4.92,5.09,4.86,5.0,1068337
2024-02-13,4.83,4.97,4.72,4.78,995662
2024-02-14,4.88,5.035,4.79,5.0,1896484
2024-02-15,5.0,5.05,4.9,4.97,1897365
2024-02-16,5.0,5.0,4.91,4.97,821040
2024-02-20,4.9,4.99,4.73,4.82,803572
2024-02-21,4.78,4.82,4.7,4.8,596008
2024-02-22,4.8,4.99,4.8,4.91,747375
2024-02-23,4.92,5.13,4.89,5.12,954283
2024-02-26,5.08,5.44,5.07,5.22,946357
2024-02-27,5.28,5.4,5.155,5.3,584350
2024-02-28,5.26,5.31,5.0301,5.09,735026
2024-02-29,5.19,5.2,5.01,5.05,1925460
2024-03-01,5.08,5.25,5.07,5.16,1137375
2024-03-04,5.26,5.57,5.26,5.51,1490143
2024-03-05,5.58,5.7,5.43,5.43,980399
2024-03-06,5.45,5.475,5.33,5.42,514460
2024-03-07,5.49,5.605,5.35,5.59,750672
2024-03-08,5.47,5.59,5.13,5.3,1213502
2024-03-11,5.29,5.3,4.895,4.91,897355
2024-03-12,4.9,4.955,4.78,4.92,609631
2024-03-13,4.93,5.0,4.875,4.89,461501
2024-03-14,4.87,4.885,4.62,4.66,597313
2024-03-15,4.62,4.79,4.6101,4.71,834665
2024-03-18,4.71,4.74,4.52,4.71,614915
2024-03-19,4.71,4.89,4.63,4.86,520247
2024-03-20,4.86,4.92,4.725,4.89,454158
2024-03-21,4.92,4.985,4.88,4.89,365604
2024-03-22,4.91,4.91,4.79,4.8,557186
2024-03-25,4.81,4.905,4.76,4.82,447221
2024-03-26,4.87,4.93,4.83,4.91,647226
2024-03-27,4.96,4.97,4.83,4.85,356280
2024-03-28,4.88,4.995,4.845,4.98,904349
2024-04-01,5.0,5.0,4.8,4.84,632465
2024-04-02,4.8,4.8,4.62,4.67,383626
2024-04-03,4.65,4.82,4.6,4.79,371566
2024-04-04,4.81,4.85,4.59,4.61,378293
2024-04-05,4.59,4.82,4.5201,4.78,376038
2024-04-08,4.79,4.79,4.665,4.685,355139
2024-04-09,4.74,4.925,4.64,4.9,380809
2024-04-10,4.72,4.805,4.68,4.74,543957
2024-04-11,4.77,5.34,4.77,5.34,1675682
2024-04-12,5.31,5.33,4.99,5.07,1175079
2024-04-15,5.01,5.145,4.885,5.04,1857117
2024-04-16,5.0,5.3,4.9139,5.16,2143934
2024-04-17,5.16,5.2,4.92,4.96,2063515
2024-04-18,4.95,5.005,4.79,4.79,1204829
2024-04-19,4.75,4.825,4.6303,4.81,767622
2024-04-22,4.89,5.01,4.69,4.7,684884
2024-04-23,4.68,4.78,4.63,4.69,495675
2024-04-24,4.66,4.72,4.24,4.24,1002259
2024-04-25,4.21,4.46,4.06,4.45,1253568
2024-04-26,4.48,4.51,4.365,4.41,411698
2024-04-29,4.44,4.66,4.44,4.61,541046
2024-04-30,4.57,4.6875,4.52,4.58,591994
2024-05-01,4.68,5.155,4.58,4.95,2608744
2024-05-02,4.98,5.0,4.605,4.68,1406947
2024-05-03,4.78,4.81,4.655,4.705,630574
2024-05-06,4.74,4.95,4.73,4.95,878660
2024-05-07,4.95,5.31,4.93,5.26,1132732
2024-05-08,5.19,5.265,4.845,4.99,1452468
2024-05-09,4.99,5.095,4.955,5.07,587848
2024-05-10,4.91,5.0,4.562,4.655,980090
2024-05-13,4.64,4.745,4.58,4.59,699764
2024-05-14,4.61,4.855,4.61,4.81,685328
2024-05-15,4.87,4.98,4.82,4.83,669384
2024-05-16,4.77,4.84,4.7,4.72,457624
2024-05-17,4.75,4.82,4.45,4.48,827427
2024-05-20,4.47,4.4998,4.15,4.17,1353270
2024-05-21,4.22,4.33,4.2,4.3,888162
2024-05-22,4.37,4.455,4.285,4.33,779740
2024-05-23,4.37,4.41,4.12,4.17,944539
2024-05-24,4.2,4.27,4.075,4.08,719046
2024-05-28,4.13,4.17,4.0,4.15,1085280
2024-05-29,4.1,4.165,4.0,4.15,1005677
2024-05-30,4.16,4.26,4.08,4.11,756351
2024-05-31,4.12,4.26,4.02,4.09,2285637
2024-06-03,4.05,4.125,3.94,4.05,1799668
2024-06-04,4.05,4.05,3.84,4.02,1144148
2024-06-05,4.06,4.24,4.0,4.24,588113
2024-06-06,4.24,4.24,3.98,4.02,510565
2024-06-07,4.02,4.025,3.86,3.96,1152404
2024-06-10,3.92,4.215,3.895,4.17,491164
2024-06-11,4.1,4.17,3.97,4.11,843328
2024-06-12,4.22,4.3,3.995,4.04,667288
2024-06-13,4.07,4.18,3.95,4.06,594715
2024-06-14,4.0,4.11,3.935,4.08,681323
2024-06-17,4.13,4.15,3.85,3.87,1170837
2024-06-18,3.85,3.93,3.78,3.83,896944
2024-06-20,3.81,3.84,3.715,3.72,854988
2024-06-21,3.74,3.97,3.67,3.88,3520063
2024-06-24,3.97,3.97,3.58,3.66,2231460
2024-06-25,3.66,3.85,3.54,3.8,1144302
2024-06-26,4.42,4.51,3.375,3.84,27588521
2024-06-27,3.85,4.025,3.76,3.81,3244637
2024-06-28,4.02,4.15,3.9426,4.03,9177541
