Date,Open,High,Low,Close,Volume
2024-01-02,249.6,252.0,223.2,247.2,401.04999983958
2024-01-03,234.84,249.6,230.4,249.6,339.66249986413504
2024-01-04,249.6,264.0,242.4,261.6,352.38333319238
2024-01-05,266.4,266.4,251.4,266.4,384.204166512985
2024-01-08,266.4,271.176,254.4,261.6,361.912499855235
2024-01-09,266.4,266.4,256.8,259.2,179.94166659469
2024-01-10,259.2,268.776,242.4,254.4,415.29583316721505
2024-01-11,249.6,264.0,233.55,239.052,185.729166592375
2024-01-12,240.0,244.8,232.8,236.4,245.904166568305
2024-01-16,239.04,244.8,231.12,238.836,292.86666654952
2024-01-17,230.4,237.6,216.696,223.992,277.38749988904505
2024-01-18,213.6,220.116,169.776,175.92,658.9208330697501
2024-01-19,170.4,170.4,147.48,150.24,298.654166547205
2024-01-22,157.92,213.36,157.152,180.24,1914.84166590075
2024-01-23,194.4,211.152,183.6,192.0,599.7958330934
2024-01-24,186.0,186.0,144.0,144.0,2008.39583253
2024-01-25,144.264,144.264,117.6,117.624,1735.9583326389502
2024-01-26,120.264,130.368,120.0,120.024,869.5458329855
2024-01-29,120.84,139.032,120.312,124.128,1339.8624994640502
2024-01-30,74.4,78.36,72.0,73.752,10764.516662361
2024-01-31,73.44,75.6,64.8744,67.296,3763.8124984945007
2024-02-01,67.2,71.76,67.2,68.76,2576.24583230285
2024-02-02,69.6,71.952,64.8,69.096,7859.770830189501
2024-02-05,76.488,76.8,67.224,74.136,6235.6499975055
2024-02-06,74.4,75.576,68.424,68.904,3344.99166532865
2024-02-07,67.2,71.952,66.0,66.816,3750.133331833301
2024-02-08,66.0,69.6,63.048,67.68,2376.0083323829504
2024-02-09,64.08,69.576,64.08,69.36,605.55416642445
2024-02-12,68.4,73.44,68.4,70.8,1952.10416588585
2024-02-13,71.04,78.0,69.768,78.0,1883.32083258
2024-02-14,75.648,85.68,72.744,79.2,2019.15833252565
2024-02-15,76.464,79.2,72.264,76.704,810.3583330092001
2024-02-16,76.8,79.2,74.88,77.52,462.104166481825
2024-02-20,76.2,76.8,71.04,74.664,1640.0791660106502
2024-02-21,68.64,74.664,68.64,74.4,934.09999962635
2024-02-22,73.08,74.4,62.4,70.8,2330.20833240125
2024-02-23,69.552,78.48,64.824,69.36,650.6749997397501
2024-02-26,67.224,72.0,64.8,66.72,688.4749997246
2024-02-27,61.92,67.2,61.92,64.32,1292.9041661495005
2024-02-28,63.6,69.6,62.76,68.04,456.36666648412006
2024-02-29,68.04,69.6,64.872,64.872,364.50416652086506
2024-03-01,64.8,70.8,64.8,70.056,760.1833330292501
2024-03-04,67.944,72.0,67.2,69.6,437.62083315828505
2024-03-05,68.4,76.752,68.4,73.2,1789.6541659508
2024-03-06,74.376,74.4,69.84,71.316,415.01666650066
2024-03-07,69.6,71.52,68.64,71.4,264.91666656070004
2024-03-08,69.6,72.0,69.12,69.24,428.55833316191
2024-03-11,69.6,70.32,62.88,64.8,907.97083297015
2024-03-12,64.824,66.0,60.048,62.448,998.7291662672
2024-03-13,64.128,64.8,62.496,63.432,730.6708330410501
2024-03-14,63.216,66.12,53.28,58.8,3435.3791652925
2024-03-15,58.8,61.2,54.0,57.0,948.00833295415
2024-03-18,60.0,62.4,57.6,60.24,235.00833323933003
2024-03-19,60.024,62.328,60.024,60.552,275.16666655660003
2024-03-20,65.52,70.56,60.0,68.4,1555.18333271125
2024-03-21,71.184,74.352,64.8,68.088,727.19583304245
2024-03-22,66.0,69.48,60.48,64.56,1944.05416588905
2024-03-25,65.16,65.16,57.5756,57.888,1235.7624995057
2024-03-26,63.6,63.84,58.56,60.768,1249.1999995003
2024-03-27,60.96,63.552,57.6,63.552,680.41249972785
2024-03-28,62.4,66.96,60.288,62.64,1084.04166623305
2024-04-01,64.776,67.584,62.64,65.28,687.1333330585
2024-04-02,65.28,68.4,64.8,67.584,314.32499987427
2024-04-03,66.168,69.36,66.0,66.624,757.3916663637001
