Date,Open,High,Low,Close,Volume
2025-06-09,7.0912,7.15,6.71,7.04,11666.0
2025-06-10,6.97,7.6,6.6418,6.95,80227.0
2025-06-11,6.75,7.3,6.27,6.9,37081.0
2025-06-12,6.76,7.24,5.82,6.39,51976.0
2025-06-13,6.11,6.3,3.56,4.0157,292171.0
2025-06-16,4.34,4.34,3.89,3.97,81984.0
2025-06-17,4.07,4.16,3.76,4.01,64823.0
2025-06-18,4.0,4.2412,3.9,3.95,28935.0
2025-06-20,4.0,5.36,3.76,3.93,223112.0
2025-06-23,3.7,4.19,3.7,4.08,62926.0
2025-06-24,3.99,4.5,3.9216,4.46,29201.0
2025-06-25,4.47,4.97,4.32,4.73,98746.0
2025-06-26,4.885,4.9997,4.32,4.52,10134.0
2025-06-27,4.5,4.5557,4.24,4.4,18259.0
2025-06-30,4.27,4.3892,4.02,4.06,7793.0
2025-07-01,4.02,4.16,3.7,4.07,21315.0
2025-07-02,4.11,4.52,4.05,4.26,13441.0
2025-07-03,4.28,4.99,4.28,4.48,35799.0
2025-07-07,4.5,4.99,4.44,4.734871,31180.0
2025-07-08,4.79,5.16,4.6518,5.08,58073.0
2025-07-09,4.92,5.19,4.87,5.0599,69570.0
2025-07-10,5.05,5.05,4.85,4.93,35158.0
2025-07-11,4.91,5.125,4.48,4.8245,47159.0
2025-07-14,4.66,5.0865,4.6101,4.7936,5132.0
2025-07-15,4.7,4.9369,4.1664,4.505,29018.0
2025-07-16,4.5101,4.675,4.36,4.5,14192.0
2025-07-17,4.55,4.67,4.3,4.4889,19680.0
2025-07-18,4.45,4.45,4.16,4.31,38676.0
2025-07-21,4.19,4.4299,4.09,4.41,23668.0
2025-07-22,4.33,4.3543,4.15,4.15,12853.0
2025-07-23,4.21,4.43,4.21,4.22,24365.0
2025-07-24,4.22,4.515,4.03,4.2,25730.0
2025-07-25,4.2,4.23,3.8359,4.09,24650.0
2025-07-28,4.09,4.2424,3.6,4.125,22342.0
2025-07-29,4.08,4.6856,4.08,4.36,85103.0
2025-07-30,4.28,4.5064,4.25,4.28,33348.0
2025-07-31,4.15,4.4679,3.663,3.78,25054.0
2025-08-01,3.9,4.0883,3.84,4.06,22914.0
2025-08-04,4.22,4.25,3.745,3.85,70922.0
2025-08-05,3.8,3.99,3.7,3.72,12121.0
2025-08-06,3.74,3.94,3.63,3.79,34987.0
2025-08-07,3.8,3.88,3.5172,3.7305,31043.0
2025-08-08,3.9,4.1321,3.9,3.91,19754.0
2025-08-11,3.81,4.09,3.6201,3.76,13807.0
2025-08-12,3.85,3.89,3.55,3.574,16163.0
2025-08-13,3.656,3.88,3.656,3.88,6516.0
2025-08-14,3.8102,3.99,3.59,3.9223,12982.0
2025-08-15,3.793,3.8989,3.6413,3.7,7899.0
2025-08-18,3.71,3.7996,3.41,3.41,16802.0
2025-08-19,3.45,3.59,3.05,3.05,35398.0
2025-08-20,3.06,3.28,3.06,3.19,5515.0
2025-08-21,3.19,3.279,3.0448,3.12,39589.0
2025-08-22,3.26,3.4238,3.12,3.28,29574.0
2025-08-25,3.48,3.4999,3.22,3.3,6640.0
2025-08-26,3.31,3.48,3.28,3.385,3698.0
2025-08-27,3.3158,3.39,3.15,3.18,15636.0
2025-08-28,3.2389,3.25,3.2,3.2,4945.0
2025-08-29,3.22,3.37,3.22,3.3,1855.0
2025-09-02,3.28,3.35,3.04,3.2,20951.0
