Date,Open,High,Low,Close,Volume
2025-06-09,5.5744,6.3592,5.248,6.1216,86116.2
2025-06-10,6.1936,6.1936,5.552,5.9928,28373.1
2025-06-11,5.7128,6.3,5.7128,5.9208,22205.7
2025-06-12,6.076,6.0848,5.664,5.728,9473.87
2025-06-13,5.664,5.9992,5.5024,5.68,16588.7
2025-06-16,5.7192,6.08,5.68,5.8424,9858.62
2025-06-17,5.9992,6.2976,5.608,6.0768,19050.0
2025-06-18,6.084,6.224,5.7648,5.8256,12387.6
2025-06-20,6.0,6.8,5.88,6.4,39000.3
2025-06-23,6.64,8.56,6.016,6.5296,205967.0
2025-06-24,6.16,6.808,5.6808,6.712,29143.3
2025-06-25,6.8,6.8,6.4,6.5456,7386.5
2025-06-26,6.6416,6.96,6.24,6.76,20556.0
2025-06-27,6.9096,6.9096,6.2648,6.7184,6715.75
2025-06-30,6.7192,6.7192,5.84,6.092,23064.5
2025-07-01,6.0808,6.712,5.84,6.392,19819.5
2025-07-02,6.024,6.2808,5.9256,6.1376,7856.12
2025-07-03,5.928,5.9728,5.4648,5.4648,11261.7
2025-07-07,5.76,5.8,4.8872,5.432,17090.6
2025-07-08,5.168,5.5232,5.04,5.352,7017.0
2025-07-09,5.28,5.528,5.2008,5.296,7372.25
2025-07-10,5.6,5.6,5.208,5.472,5473.25
2025-07-11,5.2976,5.9528,5.2808,5.9208,8962.37
2025-07-14,6.16,6.16,5.4784,5.86,10838.8
2025-07-15,5.572,5.82,5.42,5.64,5137.87
2025-07-16,5.52,5.76,5.4,5.4808,3213.62
2025-07-17,5.68,5.8376,5.44,5.752,9943.87
2025-07-18,5.5792,6.2392,5.46,5.872,16851.3
2025-07-21,6.0176,6.0176,5.5512,5.768,13147.5
2025-07-22,5.2088,6.56,5.2088,6.456,34059.7
2025-07-23,6.4,9.2,6.4,8.96,129829.0
2025-07-24,9.84,10.96,8.08,9.6,175892.0
2025-07-25,10.0,13.2,9.12,12.88,126236.0
2025-07-28,12.0,12.4,10.4,10.56,129689.0
2025-07-29,10.56,11.16,8.16,8.4,47665.1
2025-07-30,8.0,10.0,8.0,9.04,17724.2
2025-07-31,8.72,10.0,8.64,9.2,26544.5
2025-08-01,9.2,9.84,8.56,9.76,18736.1
2025-08-04,9.84,10.3232,9.56,9.68,10569.0
2025-08-05,9.6,10.0,8.72,9.2,76858.5
2025-08-06,8.96,9.36,8.16,8.64,32359.1
2025-08-07,9.12,9.6,8.8,9.2,12462.7
2025-08-08,9.12,11.2,9.12,10.16,31846.3
2025-08-11,10.16,10.24,9.68,9.68,15681.7
2025-08-12,9.6,11.1728,9.3344,11.04,14219.5
2025-08-13,10.56,11.1968,10.2736,10.56,13443.5
2025-08-14,10.16,10.4,9.28,9.36,13259.5
2025-08-15,10.0,10.2456,9.44,9.84,12800.7
2025-08-18,9.6,10.2392,9.44,9.52,6577.0
2025-08-19,9.44,9.6864,8.96,9.44,18513.2
2025-08-20,8.8,9.16,8.4,8.64,15605.6
2025-08-21,8.4,9.6,8.28,9.12,3501.37
2025-08-22,9.36,9.6,8.9656,9.6,10350.3
2025-08-25,9.52,10.388,9.52,10.2064,6847.62
2025-08-26,10.16,10.16,9.44,9.68,6151.25
2025-08-27,9.6,9.8,9.0736,9.2,12839.1
2025-08-28,9.12,9.6,9.12,9.48,19765.3
2025-08-29,9.44,13.2,9.44,11.84,180230.0
2025-09-02,13.12,16.0,12.4,14.64,387697.0
2025-09-03,14.4,14.4,12.4,14.16,37124.5
2025-09-04,13.6,14.24,8.8,9.28,122061.0
2025-09-05,9.6,11.5192,9.6,10.88,83969.1
2025-09-08,10.64,12.0,10.4904,11.68,263917.0
2025-09-09,12.24,13.44,10.1608,12.8,163117.0
2025-09-10,11.6,14.24,11.52,12.96,55234.7
2025-09-11,13.12,13.3592,11.92,12.08,15285.5
2025-09-12,12.08,12.96,11.8,12.32,20903.7
2025-09-15,12.4,14.24,12.36,13.76,25286.8
2025-09-16,13.76,13.92,12.88,13.36,16600.5
2025-09-17,13.28,13.4496,12.56,12.56,6322.12
2025-09-18,12.4,13.024,12.0,12.24,12174.0
2025-09-19,12.16,13.12,11.6152,12.48,22681.3
2025-09-22,12.48,13.28,12.08,13.04,12611.1
2025-09-23,12.64,13.04,12.16,12.32,11908.6
2025-09-24,12.16,12.44,11.44,12.0,14766.0
2025-09-25,11.92,12.3976,11.04,11.84,6448.5
2025-09-26,11.68,12.2848,11.12,12.08,5564.75
2025-09-29,12.56,13.2,12.24,12.72,29676.1
2025-09-30,12.24,13.28,12.24,12.64,6869.5
2025-10-01,12.8,12.8,11.76,12.4,13620.2
2025-10-02,12.72,14.24,12.4008,13.92,13596.7
2025-10-03,13.68,15.12,13.6,13.88,226906.0
2025-10-06,14.88,17.44,14.16,17.04,90735.5
2025-10-07,16.8,18.48,16.1264,16.4,49357.5
2025-10-08,16.4,19.2,16.32,17.04,42810.6
2025-10-09,16.72,17.8352,16.56,16.72,18075.5
2025-10-10,16.48,19.4928,16.48,19.2,57458.7
2025-10-13,7.2,10.8,6.56,9.92,1848698.0
2025-10-14,9.84,10.08,7.76,8.08,237182.0
2025-10-15,9.76,10.08,8.56,8.96,3444981.0
2025-10-16,9.28,9.68,8.64,9.12,281997.0
