Date,Open,High,Low,Close,Volume
2024-01-02,3.07,3.19,3.0469,3.19,89511
2024-01-03,3.19,3.19,2.95,3.03,99457
2024-01-04,3.01,3.07,2.9681,3.0,108950
2024-01-05,3.02,3.1192,2.95,3.0,208235
2024-01-08,2.98,3.02,2.92,2.97,94648
2024-01-09,2.91,2.99,2.91,2.92,55435
2024-01-10,2.95,2.9922,2.8,2.85,75956
2024-01-11,2.8,2.88,2.66,2.87,119140
2024-01-12,2.9,2.925,2.71,2.76,218750
2024-01-16,2.76,2.78,2.5,2.56,317209
2024-01-17,2.51,2.62,2.5,2.54,36807
2024-01-18,2.56,2.62,2.44,2.52,54049
2024-01-19,2.8,3.08,2.76,3.03,393626
2024-01-22,3.08,3.1,2.85,2.95,193245
2024-01-23,3.0,3.18,2.89,3.09,119038
2024-01-24,3.1,3.1064,2.91,3.0,41757
2024-01-25,3.02,3.045,2.91,2.98,48996
2024-01-26,3.0,3.15,2.9619,3.02,206490
2024-01-29,2.97,3.08,2.94,3.06,97806
2024-01-30,3.005,3.1499,2.95,3.1,156212
2024-01-31,3.11,3.3,3.03,3.3,288544
2024-02-01,3.26,3.26,3.02,3.1,92156
2024-02-02,3.15,3.25,3.075,3.08,117974
2024-02-05,3.05,3.1,2.88,3.01,216780
2024-02-06,2.98,3.15,2.95,3.07,70497
2024-02-07,3.07,3.07,2.82,2.91,154962
2024-02-08,2.89,2.93,2.8,2.8,119255
2024-02-09,2.84,2.9099,2.74,2.83,45866
2024-02-12,2.82,3.05,2.82,2.98,308742
2024-02-13,2.91,2.969,2.85,2.89,70413
2024-02-14,2.93,2.95,2.81,2.85,107531
2024-02-15,2.85,2.94,2.8,2.84,60123
2024-02-16,2.84,2.89,2.7657,2.83,164876
2024-02-20,2.82,2.83,2.71,2.75,100117
2024-02-21,2.79,2.8,2.63,2.65,178546
2024-02-22,2.66,2.69,2.55,2.58,100218
2024-02-23,2.54,2.65,2.38,2.61,255056
2024-02-26,2.72,2.72,2.61,2.61,40770
2024-02-27,2.62,2.83,2.62,2.81,65936
2024-02-28,2.81,2.888,2.7813,2.81,117884
2024-02-29,2.86,2.87,2.6,2.67,196501
2024-03-01,2.7,2.75,2.62,2.67,45724
2024-03-04,2.67,2.775,2.6137,2.64,127080
2024-03-05,2.65,2.68,2.62,2.65,58985
2024-03-06,2.64,2.6599,2.6,2.61,55772
2024-03-07,2.64,2.74,2.6,2.69,90340
2024-03-08,2.7,2.8038,2.581,2.68,80487
2024-03-11,2.7,2.76,2.65,2.65,63384
2024-03-12,2.65,2.6622,2.58,2.59,107104
2024-03-13,2.59,2.71,2.58,2.59,104583
2024-03-14,2.59,2.6799,2.505,2.54,120520
2024-03-15,2.6,2.66,2.45,2.46,310396
2024-03-18,2.42,2.5498,2.37,2.5,137925
2024-03-19,2.48,2.53,2.42,2.49,80846
2024-03-20,2.42,2.557,2.4003,2.5,107826
2024-03-21,2.9,3.0,2.5,2.565,806927
2024-03-22,2.56,2.6225,2.5,2.54,394419
2024-03-25,2.62,2.6264,2.3,2.33,351752
2024-03-26,2.33,2.4199,2.32,2.39,203868
2024-03-27,2.39,2.41,2.31,2.36,112527
2024-03-28,2.39,2.4799,2.36,2.41,126702
2024-04-01,2.46,2.47,2.4,2.43,116331
2024-04-02,2.43,2.4414,2.32,2.37,116346
2024-04-03,2.37,2.43,2.33,2.35,91664
2024-04-04,2.38,2.425,2.3,2.33,37634
2024-04-05,2.34,2.34,2.23,2.27,72857
2024-04-08,2.3,2.34,2.25,2.25,123915
2024-04-09,2.27,2.41,2.27,2.34,129106
2024-04-10,2.28,2.36,2.27,2.34,32051
2024-04-11,2.36,2.39,2.291,2.35,135139
2024-04-12,2.38,2.39,2.3,2.34,113870
2024-04-15,2.35,2.35,2.13,2.17,86184
2024-04-16,2.16,2.1914,2.0182,2.05,84398
2024-04-17,2.1,2.11,1.83,1.96,142698
2024-04-18,1.99,1.99,1.9301,1.97,81897
2024-04-19,1.97,1.9957,1.85,1.91,149578
2024-04-22,1.93,1.93,1.85,1.89,41022
2024-04-23,1.89,2.46,1.89,2.27,424306
2024-04-24,2.22,2.29,1.97,1.98,168623
2024-04-25,1.92,2.0,1.89,1.95,286156
2024-04-26,1.98,2.1,1.9,1.94,253221
2024-04-29,1.94,2.08,1.94,1.95,87484
2024-04-30,1.92,1.96,1.88,1.91,109920
2024-05-01,1.92,1.9409,1.8501,1.9,57062
2024-05-02,1.96,1.9899,1.9,1.96,64624
2024-05-03,2.0,2.0,1.91,1.92,161623
2024-05-06,1.93,1.94,1.88,1.92,74733
2024-05-07,1.92,1.95,1.87,1.87,97862
2024-05-08,1.86,1.87,1.8201,1.85,44373
2024-05-09,1.89,1.94,1.85,1.89,57877
2024-05-10,1.9,1.9,1.78,1.82,76689
2024-05-13,1.84,1.88,1.83,1.84,115231
2024-05-14,1.94,1.94,1.84,1.9,330744
2024-05-15,1.91,1.93,1.85,1.85,160619
2024-05-16,1.84,1.91,1.84,1.91,93069
2024-05-17,1.91,1.9453,1.88,1.905,98221
