Date,Open,High,Low,Close,Volume
2024-01-02,11.5,11.65,11.4584,11.6,369422.0
2024-01-03,11.58,11.6,11.36,11.375,1346213.0
2024-01-04,11.44,11.94,11.44,11.89,880140.0
2024-01-05,11.92,11.95,11.77,11.88,474657.0
2024-01-08,11.82,11.97,11.8,11.84,368230.0
2024-01-09,11.81,11.96,11.8,11.85,322999.0
2024-01-10,11.82,11.99,11.82,11.99,216179.0
2024-01-11,11.99,11.99,11.53,11.6,717580.0
2024-01-12,11.56,11.67,11.56,11.63,236149.0
2024-01-16,11.6,11.64,11.38,11.41,525908.0
2024-01-17,11.36,11.55,11.36,11.55,324020.0
2024-01-18,11.55,11.58,11.42,11.54,167911.0
2024-01-19,11.55,11.61,11.43,11.57,183821.0
2024-01-22,11.57,11.66,11.565,11.64,200177.0
2024-01-23,11.66,11.71,11.56,11.62,211793.0
2024-01-24,11.7,11.73,11.62,11.63,226747.0
2024-01-25,11.65,11.73,11.6,11.71,214511.0
2024-01-26,11.7,11.77,11.68,11.73,309788.0
2024-01-29,11.74,11.75,11.52,11.61,232742.0
2024-01-30,11.6,11.67,11.56,11.61,214415.0
2024-01-31,11.58,11.6,11.4746,11.48,286185.0
2024-02-01,11.51,11.58,11.22,11.37,507549.0
2024-02-02,11.31,11.41,11.22,11.24,341481.0
2024-02-05,11.22,11.23,10.97,11.11,385029.0
2024-02-06,11.08,11.08,10.98,11.04,317909.0
2024-02-07,11.04,11.12,10.92,11.04,342928.0
2024-02-08,11.06,11.14,11.03,11.07,222411.0
2024-02-09,11.13,11.13,10.95,11.07,346499.0
2024-02-12,11.11,11.27,11.09,11.23,252050.0
2024-02-13,11.15,11.17,11.0,11.04,398345.0
2024-02-14,11.12,11.209,11.0,11.08,185254.0
2024-02-15,11.12,11.23,11.12,11.22,224956.0
2024-02-16,11.22,11.25,11.11,11.17,188486.0
2024-02-20,11.17,11.26,11.12,11.25,227127.0
2024-02-21,11.31,11.31,11.16,11.2,270883.0
2024-02-22,11.22,11.24,11.12,11.2,246556.0
2024-02-23,11.25,11.26,11.16,11.2,243990.0
2024-02-26,11.24,11.24,11.1,11.12,296644.0
2024-02-27,11.13,11.26,11.07,11.26,336691.0
2024-02-28,11.25,11.25,11.12,11.16,221990.0
2024-02-29,10.98,11.0,10.66,10.72,1060063.0
2024-03-01,10.51,10.63,10.35,10.55,1298019.0
2024-03-04,10.49,10.62,10.41,10.51,487776.0
2024-03-05,10.53,10.62,10.53,10.55,391583.0
2024-03-06,10.5,10.5493,10.38,10.45,751013.0
2024-03-07,10.48,10.555,10.4,10.47,448707.0
2024-03-08,10.55,10.5875,10.458,10.52,506563.0
2024-03-11,10.61,10.78,10.58,10.7,602535.0
2024-03-12,10.76,10.78,10.68,10.76,715782.0
2024-03-13,10.43,10.46,10.34,10.34,587340.0
2024-03-14,10.35,10.35,10.16,10.17,449804.0
2024-03-15,10.17,10.25,10.13,10.15,714625.0
2024-03-18,10.15,10.17,10.06,10.08,361970.0
2024-03-19,10.03,10.115,9.92,10.1,735058.0
2024-03-20,10.078,10.21,9.98,10.19,855787.0
2024-03-21,10.16,10.355,10.16,10.17,1457453.0
2024-03-22,10.15,10.15,9.9,9.9,1235696.0
2024-03-25,9.975,10.17,9.92,10.13,759538.0
2024-03-26,10.16,10.26,10.095,10.25,884315.0
2024-03-27,10.27,10.41,10.25,10.38,947687.0
2024-03-28,10.46,10.46,10.26,10.43,1219566.0
2024-04-01,10.48,10.48,10.155,10.18,700974.0
2024-04-02,10.18,10.22,10.07,10.1,589345.0
2024-04-03,10.11,10.16,10.06,10.1,389918.0
2024-04-04,10.12,10.15,10.02,10.06,497296.0
2024-04-05,10.06,10.14,10.01,10.14,311969.0
2024-04-08,10.14,10.18,10.055,10.12,358645.0
