Date,Open,High,Low,Close,Volume
2024-01-02,5.95,5.99,5.595,5.71,106976
2024-01-03,5.66,6.0,5.55,5.67,113786
2024-01-04,5.76,6.18,5.67,5.79,460143
2024-01-05,5.78,5.96,5.47,5.85,211934
2024-01-08,5.98,6.1,5.76,5.98,216139
2024-01-09,5.85,6.02,5.67,5.89,202114
2024-01-10,5.92,6.17,5.68,5.89,207017
2024-01-11,5.85,6.03,5.795,5.96,82918
2024-01-12,6.05,6.15,5.88,6.0,108416
2024-01-16,5.97,5.97,5.72,5.81,66809
2024-01-17,5.73,5.97,5.65,5.82,97800
2024-01-18,5.88,5.88,5.11,5.26,112725
2024-01-19,5.23,5.47,5.1558,5.39,64253
2024-01-22,5.4,5.4,5.2053,5.22,87606
2024-01-23,5.04,5.4,5.01,5.04,117086
2024-01-24,5.01,5.04,4.71,4.89,111593
2024-01-25,4.9,5.05,4.64,4.98,88551
2024-01-26,4.98,5.21,4.97,5.02,61886
2024-01-29,4.96,5.33,4.96,5.24,51759
2024-01-30,5.2,5.38,4.9548,4.98,41259
2024-01-31,4.99,5.24,4.8101,5.11,112104
2024-02-01,5.11,5.38,5.11,5.15,35861
2024-02-02,5.13,5.25,4.9642,5.24,67682
2024-02-05,5.16,5.73,5.11,5.55,94403
2024-02-06,5.61,6.02,5.56,5.92,203675
2024-02-07,6.01,6.2,5.74,5.8,87851
2024-02-08,5.76,6.05,5.66,6.0,100359
2024-02-09,6.0,6.07,5.7,5.81,92873
2024-02-12,5.73,6.02,5.44,5.94,264528
2024-02-13,5.91,6.05,5.55,5.73,132294
2024-02-14,5.86,5.8877,5.655,5.8,58365
2024-02-15,5.81,5.9852,5.6004,5.74,77103
2024-02-16,5.75,7.1,5.5601,6.78,655770
2024-02-20,6.78,7.87,6.75,7.41,727176
2024-02-21,7.25,7.31,6.735,6.95,236507
2024-02-22,6.95,7.0,6.52,6.82,73810
2024-02-23,6.76,6.8,6.4,6.76,100576
2024-02-26,6.85,7.05,6.6594,6.79,123722
2024-02-27,6.79,6.79,6.15,6.45,183992
2024-02-28,6.41,6.97,6.2201,6.71,342400
2024-02-29,6.84,6.97,6.5,6.75,140443
2024-03-01,6.82,7.67,6.765,7.2,224553
2024-03-04,7.2,7.28,6.94,7.12,97560
2024-03-05,7.08,7.17,6.75,7.03,34948
2024-03-06,6.8,7.35,6.8,7.15,139754
2024-03-07,7.35,7.35,6.98,7.14,103889
2024-03-08,7.17,7.245,6.4,6.55,157969
2024-03-11,6.43,6.875,6.42,6.56,48655
2024-03-12,6.49,6.9,6.43,6.76,65795
2024-03-13,6.6,7.09,6.445,6.71,75479
2024-03-14,6.72,6.89,6.55,6.79,95874
2024-03-15,6.78,7.12,6.56,7.12,347939
2024-03-18,7.27,7.4,6.81,6.83,93403
2024-03-19,6.95,7.19,6.61,6.97,96723
2024-03-20,6.99,7.12,6.84,7.01,86651
2024-03-21,7.01,7.09,6.81,7.01,86931
2024-03-22,7.33,8.0587,7.17,8.02,528338
2024-03-25,8.01,8.42,7.7,7.93,397352
2024-03-26,8.02,8.235,7.91,7.99,226724
2024-03-27,8.11,9.0,7.97,8.3,448974
2024-03-28,8.27,8.29,7.2778,7.94,741662
2024-04-01,8.03,8.155,7.72,8.01,121824
2024-04-02,7.99,7.99,7.14,7.2,126302
2024-04-03,7.14,7.445,7.01,7.16,125171
2024-04-04,7.2,7.33,6.98,7.09,161683
2024-04-05,7.03,7.2,6.9968,7.09,105838
2024-04-08,7.22,7.36,7.03,7.34,70509
2024-04-09,7.45,7.82,7.35,7.45,94960
2024-04-10,7.29,7.41,7.08,7.23,131547
2024-04-11,7.23,7.87,7.21,7.8,168253
2024-04-12,7.84,8.12,7.49,7.75,128946
2024-04-15,7.49,7.924,7.435,7.69,121516
2024-04-16,7.5,7.5537,7.12,7.13,98778
2024-04-17,7.27,7.36,6.58,6.75,1642009
2024-04-18,6.75,7.14,6.65,6.92,250511
2024-04-19,6.82,7.13,6.71,6.79,233636
2024-04-22,6.82,7.24,6.74,7.12,173228
2024-04-23,7.22,7.55,7.02,7.26,208344
2024-04-24,7.28,7.51,7.11,7.38,90771
2024-04-25,7.26,7.4574,7.035,7.29,107354
2024-04-26,7.34,7.46,7.116,7.32,92052
2024-04-29,7.41,7.815,7.41,7.68,205982
2024-04-30,7.56,7.9,7.38,7.72,289874
2024-05-01,7.75,8.7,7.75,8.62,263587
2024-05-02,8.76,8.8102,8.55,8.65,229282
2024-05-03,8.79,9.09,8.55,8.56,88682
2024-05-06,8.6,8.91,8.42,8.81,97441
2024-05-07,8.74,8.9483,8.575,8.67,107057
2024-05-08,8.72,8.724,7.98,8.01,111214
2024-05-09,7.94,7.98,7.34,7.8,238819
2024-05-10,7.88,8.22,7.67,7.73,114185
2024-05-13,7.68,8.17,7.51,8.01,149406
2024-05-14,7.96,8.99,7.96,8.99,225422
2024-05-15,9.08,9.36,8.86,8.93,350461
2024-05-16,8.87,9.09,8.73,8.9,174774
2024-05-17,8.85,9.01,8.735,8.98,177730
2024-05-20,9.02,9.2,8.785,9.19,250731
2024-05-21,9.13,9.69,9.13,9.28,299857
2024-05-22,9.22,9.65,9.165,9.51,195538
2024-05-23,9.67,9.67,8.62,8.7,122477
2024-05-24,8.75,8.75,8.27,8.41,220362
2024-05-28,8.54,8.8,8.31,8.74,260831
2024-05-29,8.74,8.9499,7.885,8.18,274341
2024-05-30,8.18,8.6,8.18,8.29,195270
2024-05-31,8.32,8.7,7.96,8.55,215852
2024-06-03,8.71,9.13,8.24,8.48,160104
2024-06-04,8.48,8.75,8.22,8.42,125438
2024-06-05,8.43,8.94,8.395,8.85,244844
2024-06-06,8.86,8.9,8.39,8.66,209203
2024-06-07,8.6,8.88,8.38,8.38,105308
2024-06-10,8.31,8.75,8.09,8.71,141237
2024-06-11,8.65,8.85,8.44,8.51,114969
2024-06-12,8.56,8.93,8.56,8.88,124126
2024-06-13,8.79,9.29,8.6961,9.0,150493
2024-06-14,8.95,9.0782,8.3501,8.4,129067
2024-06-17,8.35,8.51,7.27,7.44,219976
2024-06-18,7.4,7.5,6.69,6.94,335383
2024-06-20,6.99,7.29,6.65,7.23,333480
2024-06-21,7.29,7.29,6.42,6.5,398147
2024-06-24,6.47,7.22,6.47,6.69,226127
2024-06-25,6.69,6.815,6.01,6.19,515135
2024-06-26,6.12,6.53,5.75,6.11,671515
2024-06-27,6.15,6.6782,5.84,6.24,1132926
2024-06-28,6.18,6.37,5.6,5.85,6045997
2024-07-01,5.86,5.93,5.18,5.93,1328777
2024-07-02,5.89,6.13,5.47,5.73,483502
2024-07-03,5.73,6.12,5.63,5.86,194043
2024-07-05,5.8,5.89,5.51,5.71,287416
2024-07-08,5.74,5.93,5.475,5.82,348041
2024-07-09,5.76,6.01,5.76,5.91,232330
2024-07-10,5.96,6.19,5.9,6.1,190608
2024-07-11,6.25,6.87,6.16,6.83,327842
2024-07-12,6.71,7.09,6.58,6.74,231007
2024-07-15,6.81,7.18,6.81,7.1,235355
