Date,Open,High,Low,Close,Volume
2025-08-28,4.0,4.25,3.22,3.38,5935796
2025-08-29,3.3,3.9399,2.89,3.43,703128
2025-09-02,3.73,3.8,3.3501,3.61,523816
2025-09-03,3.74,3.75,3.5,3.6,344474
2025-09-04,3.68,3.7463,3.42,3.42,142016
2025-09-05,3.3992,3.5925,3.3992,3.515,26729
2025-09-08,3.34,3.5,2.93,3.05,123867
2025-09-09,3.1,3.45,2.21,2.21,390486
2025-09-10,2.54,2.66,2.125,2.13,295053
2025-09-11,2.2,2.44,2.02,2.06,184220
2025-09-12,2.06,2.24,1.8,1.94,246135
2025-09-15,1.99,2.2499,1.88,1.88,330802
2025-09-16,1.99,2.0,1.82,1.93,94400
2025-09-17,1.77,1.97,1.77,1.96,16965
2025-09-18,1.96,1.98,1.85,1.88,54793
2025-09-19,1.91,2.25,1.9,2.0,921357
2025-09-22,1.88,1.95,1.72,1.87,539556
2025-09-23,1.77,1.85,1.7,1.72,173463
2025-09-24,1.7,1.7782,1.68,1.76,46927
2025-09-25,1.72,1.8,1.69,1.76,119812
2025-09-26,1.73,1.7867,1.6,1.66,117691
2025-09-29,1.61,1.72,1.56,1.66,34483
2025-09-30,1.62,1.705,1.62,1.69,34565
2025-10-01,1.64,1.74,1.62,1.7,58522
2025-10-02,1.63,1.73,1.63,1.6701,44463
2025-10-03,1.63,1.7,1.63,1.65,50907
2025-10-06,1.69,1.72,1.63,1.67,51995
2025-10-07,1.67,1.67,1.6,1.62,33826
2025-10-08,1.64,1.685,1.6,1.61,15884
2025-10-09,1.56,1.69,1.55,1.58,145514
2025-10-10,1.55,1.65,1.51,1.52,46614
2025-10-13,1.5,1.5,1.37,1.42,51233
2025-10-14,1.43,1.43,1.2,1.22,216675
2025-10-15,1.23,1.3,1.14,1.18,96267
2025-10-16,1.19,1.35,1.15,1.34,126319
2025-10-17,1.32,1.5,1.28,1.4197,5334872
2025-10-20,0.97,0.9894,0.7761,0.7761,1801061
2025-10-21,0.7687,0.8899,0.66,0.8201,572418
2025-10-22,0.7711,0.8,0.711,0.7121,193880
2025-10-23,0.715,0.75,0.7126,0.7292,65028
2025-10-24,0.69,0.81,0.69,0.766,118982
2025-10-27,0.77,0.8356,0.7661,0.789,206350
2025-10-28,0.79,0.8161,0.7705,0.796,83871
2025-10-29,0.7811,0.8017,0.7501,0.788,81221
2025-10-30,0.7599,0.7786,0.72,0.74,86318
2025-10-31,0.7178,0.75,0.69,0.7,122373
2025-11-03,0.679,0.69,0.6125,0.63,209355
2025-11-04,0.618,0.668,0.6025,0.65,67465
2025-11-05,0.66,0.66,0.62,0.646,22995
2025-11-06,0.64,0.64,0.6006,0.6008,49664
2025-11-07,0.57,0.6199,0.53,0.582,80162
2025-11-10,0.571,0.6597,0.57,0.61,36399
2025-11-11,0.5602,0.68,0.5602,0.68,88175
2025-11-12,0.699,0.699,0.64,0.6496,15499
2025-11-13,0.6348,0.6348,0.61,0.6304,48893
2025-11-14,0.56,0.608,0.557,0.58,30086
2025-11-17,0.5859,0.5963,0.56,0.595,34429
2025-11-18,0.5599,0.585,0.55,0.575,30667
2025-11-19,0.5533,0.589,0.55,0.589,21207
2025-11-20,0.5601,0.6,0.55,0.55,23789
2025-11-21,0.55,0.56,0.53,0.53,36995
2025-11-24,0.53,0.577,0.53,0.5306,9673
2025-11-25,0.53,0.55,0.53,0.54,27473
2025-11-26,0.55,0.5671,0.53,0.53395,19188
2025-11-28,0.5094,0.6086,0.5094,0.5377,35501
2025-12-01,0.549,0.55,0.5104,0.55,17581
2025-12-02,0.5528,0.5528,0.5201,0.5312,8010
2025-12-03,0.544,0.544,0.38,0.44,198848
2025-12-04,0.4262,0.4349,0.2901,0.3945,471328
2025-12-05,0.408,0.49,0.33,0.4667,179064
2025-12-08,0.3901,0.46,0.3901,0.45,53351
2025-12-09,0.429,0.46,0.429,0.4301,24235
2025-12-10,0.421,0.4572,0.4,0.4105,30986
2025-12-11,0.4,0.4427,0.4,0.4427,50016
2025-12-12,0.419,0.44515,0.4052,0.43,59611
2025-12-15,0.41,0.4326,0.4,0.42,66151
2025-12-16,0.4211,0.438713,0.3867,0.3867,82591
2025-12-17,0.395,0.4281,0.356,0.356,16848
2025-12-18,0.35,0.436,0.35,0.36,66273
2025-12-19,0.35,0.3988,0.35,0.3988,39156
2025-12-22,0.374216,0.42,0.3502,0.403,33696
2025-12-23,0.403,0.43,0.366,0.3842,34354
2025-12-24,0.42,0.42,0.3652,0.368,29144
2025-12-26,0.3806,0.3942,0.365,0.365,737207
2025-12-29,0.3655,0.37,0.3311,0.3667,77349
2025-12-30,0.34,0.3655,0.34,0.3441,45522
2025-12-31,0.3498,0.355255,0.33,0.3304,50829
2026-01-02,0.34997,0.39989,0.3304,0.3501,17154
2026-01-05,0.39,0.404,0.37,0.3701,76545
2026-01-06,0.375,0.4004,0.375,0.38,13272
2026-01-07,0.37,0.516,0.37,0.4132,950201
2026-01-08,0.4188,0.4599,0.4,0.427,66015
2026-01-09,0.4406,0.4406,0.3709,0.4032,51524
2026-01-12,0.389,0.4601,0.3701,0.425,109121
2026-01-13,0.458,0.458,0.3933,0.42,31922
2026-01-14,0.412661,0.4567,0.39,0.43,22391
2026-01-15,0.43,0.43,0.39,0.4,21123
2026-01-16,0.3962,0.4346,0.3801,0.42,61772
2026-01-20,0.392,0.436,0.3869,0.3869,37454
2026-01-21,0.41,0.41,0.38,0.4,43649
2026-01-22,0.3675,0.4474,0.3675,0.384,61336
2026-01-23,0.3841,0.4274,0.3841,0.4198,35044
2026-01-26,0.38,0.4299,0.38,0.418,62075
2026-01-27,0.39,0.4472,0.39,0.4,25499
2026-01-28,0.418,0.429,0.4,0.4101,37342
2026-01-29,0.43,0.9557,0.39,0.6598,24191241
2026-01-30,0.62,0.75,0.4901,0.517,4253688
2026-02-02,0.4779,0.4892,0.38,0.389,623205
2026-02-03,0.382,0.4988,0.382,0.4049,398538
2026-02-04,0.4047,0.415899,0.3312,0.35,204427
2026-02-05,0.38,0.38,0.3105,0.3213,182223
2026-02-06,0.3117,0.34,0.3,0.32,110478
2026-02-09,0.3258,0.36,0.3258,0.34,189069
2026-02-10,0.333,0.35,0.3157,0.3208,50863
2026-02-11,0.3101,0.346967,0.303,0.31,33495
2026-02-12,0.3031,0.3412,0.3,0.341,52935
2026-02-13,0.328,0.328,0.301,0.316,68672
2026-02-17,0.3101,0.33,0.3066,0.315,25069
2026-02-18,0.3168,0.3299,0.305,0.3072,21208
2026-02-19,0.3192,0.34,0.3125,0.335,22949
2026-02-20,0.326852,0.330066,0.315,0.328,51320
2026-02-23,0.3115,0.349,0.31,0.3412,75800
2026-02-24,0.34,0.369,0.3211,0.3433,64306
2026-02-25,0.341,0.399,0.329499,0.3703,64500
2026-02-26,0.3703,0.3986,0.3313,0.3982,75425
2026-02-27,0.4099,0.4985,0.3881,0.4,138211
2026-03-02,0.387,0.407,0.3335,0.4029,80021
2026-03-03,0.3843,0.4,0.3695,0.3729,15461
2026-03-04,0.38,0.3903,0.36,0.3698,46078
2026-03-05,0.352,0.385,0.3501,0.3721,8136
2026-03-06,0.36,0.3978,0.36,0.3801,19004
2026-03-09,0.3504,0.370181,0.3503,0.37,8752
2026-03-10,0.36,0.37125,0.3501,0.354,2344
2026-03-11,0.3625,0.3788,0.335,0.3461,3257
2026-03-12,0.3401,0.364583,0.3302,0.3307,15477
2026-03-13,0.3401,0.3582,0.3307,0.3555,77906
2026-03-16,0.377,0.38,0.3389,0.37,32991
2026-03-17,0.38,0.38,0.365,0.3719,17239
2026-03-18,0.365,0.3796,0.34,0.3747,46242
2026-03-19,0.3365,0.365289,0.3365,0.3375,78444
2026-03-20,0.33,0.33,0.32,0.32,1662
2026-03-23,0.3363,0.3363,0.313,0.327,10542
2026-03-24,0.3103,0.32,0.290301,0.2988,18338
2026-03-25,0.3323,0.3323,0.308,0.3082,2272
2026-03-26,0.315,0.35,0.308,0.32,9649
2026-03-27,0.379,0.379,0.31,0.3148,18984
2026-03-30,0.3409,0.3414,0.3,0.3081,23257
2026-03-31,0.3179,0.3179,0.28,0.28,28780
2026-04-01,0.28,0.28,0.2704,0.273,16405
2026-04-02,0.273,0.2799,0.2703,0.276,4631
2026-04-06,0.276,0.2799,0.2705,0.2799,3859
2026-04-07,0.2799,0.35,0.2799,0.3362,1515086
2026-04-08,0.365,0.365,0.315,0.3599,180998
2026-04-09,0.3527,0.359,0.315,0.3337,51629
2026-04-10,0.3525,0.3696,0.35,0.3591,24556
2026-04-13,0.38,0.38,0.3413,0.3741,26550
2026-04-14,0.367307,0.3799,0.352701,0.3799,23189
2026-04-15,0.3715,0.383269,0.3535,0.3817,42477
2026-04-16,0.3601,0.4,0.3601,0.375,85127
2026-04-17,0.38,0.4007,0.38,0.399,37737
2026-04-20,0.39,0.401699,0.3601,0.3999,9874
2026-04-21,0.3799,0.3799,0.3492,0.3499,35956
2026-04-22,0.36,0.3733,0.3301,0.363,33250
2026-04-23,0.367708,0.367708,0.35,0.3567,13443
2026-04-24,0.3567,0.3567,0.321,0.321,23201
2026-04-27,0.33,0.3733,0.33,0.34,35535
2026-04-28,0.3501,0.41,0.35,0.39,117467
2026-04-29,0.38,0.41,0.335,0.3848,43569
2026-04-30,0.385,0.4,0.3583,0.366,13641
2026-05-01,0.3501,0.38005,0.3501,0.3692,8818
2026-05-04,0.3521,0.3989,0.335,0.335,12483
2026-05-05,0.335,0.335,0.335,0.335,698
2026-05-06,0.3559,0.379,0.341,0.35,14695
2026-05-07,0.344,0.3719,0.3401,0.3401,3178
2026-05-08,0.35,0.38,0.34,0.35,40380
2026-05-11,0.34,0.364999,0.3311,0.3649,16754
2026-05-12,0.3545,0.355,0.34,0.3514,6043
2026-05-13,0.3497,0.408,0.3322,0.3699,250374
2026-05-14,0.3647,0.38,0.3489,0.3756,48490
2026-05-15,0.3796,0.385,0.343882,0.363,35656
2026-05-18,0.35,0.3629,0.3107,0.34,57014
2026-05-19,0.332,0.34,0.32,0.321,11822
2026-05-20,0.31311,0.325,0.3006,0.325,38511
2026-05-21,0.3209,0.3565,0.3044,0.3401,24716
2026-05-22,0.324999988079071,0.3400000035762787,0.3149999976158142,0.3210000097751617,1900
2026-05-26,0.3199999928474426,0.324999988079071,0.3100000023841858,0.31700000166893,8200
2026-05-27,0.31700000166893,0.3289999961853027,0.31700000166893,0.3289999961853027,600
2026-05-28,0.33500000834465027,0.3400000035762787,0.3310000002384186,0.3400000035762787,15900
2026-05-29,0.3569999933242798,0.3709999918937683,0.3230000138282776,0.3479999899864197,189600
2026-06-01,2.119999885559082,2.4800000190734863,1.2999999523162842,1.350000023841858,133040100
2026-06-02,0.968999981880188,1.1799999475479126,0.7300000190734863,0.8989999890327454,5998500
2026-06-03,0.8970000147819519,0.9449999928474426,0.7400000095367432,0.8299999833106995,1160600
2026-06-04,0.7699999809265137,0.8700000047683716,0.44699999690055847,0.6110000014305115,1048600
