Date,Open,High,Low,Close,Volume
2025-06-09,32.4,32.626,30.6,31.0,35244.6
2025-06-10,30.8,30.8,24.4,25.8,54425.9
2025-06-11,25.0,26.796,24.6,26.0,15255.9
2025-06-12,26.2,27.2,25.2,27.0,7962.25
2025-06-13,26.4,26.632,25.4,25.4,5990.55
2025-06-16,25.6,26.0,24.6,25.2,12078.3
2025-06-17,24.6,25.398,22.2,22.8,13639.8
2025-06-18,22.4,23.124,22.2,22.2,5158.85
2025-06-20,22.2,22.4,21.4,21.4,5810.05
2025-06-23,21.6,21.6,20.2,20.4,7513.2
2025-06-24,20.2,22.194,20.2,21.6,11006.2
2025-06-25,22.0,22.0,20.8,21.4,6008.65
2025-06-26,21.4,21.4,20.4,21.2,4598.65
2025-06-27,21.2,21.568,20.404,21.0,4813.3
2025-06-30,21.0,22.2,21.0,22.0,8405.65
2025-07-01,22.2,22.602,21.4,22.0,10997.5
2025-07-02,22.0,25.2,21.79,24.6,17740.0
2025-07-03,23.8,27.0,23.8,24.8,11794.7
2025-07-07,24.8,25.4,23.0,23.6,12462.4
2025-07-08,24.2,25.036,23.0,23.4,7629.85
2025-07-09,23.4,24.0,22.0,22.4,8985.35
2025-07-10,22.8,22.8,21.2,21.8,9615.75
2025-07-11,21.8,23.2,20.6,21.8,77022.6
2025-07-14,22.0,22.802,21.6,22.4,14313.1
2025-07-15,22.0,22.2,21.4,21.4,8019.9
2025-07-16,21.4,23.0,21.4,22.8,6281.35
2025-07-17,22.2,22.6,21.6,22.0,9608.75
2025-07-18,22.0,22.6,21.2,22.4,9777.9
2025-07-21,22.0,22.796,21.7,21.8,8532.7
2025-07-22,22.0,22.0,21.2,21.4,5941.05
2025-07-23,21.4,22.2,21.2,21.8,8693.45
2025-07-24,22.6,22.798,20.9,21.8,62951.3
2025-07-25,22.2,26.8,22.0,25.8,72314.0
2025-07-28,25.8,26.184,22.0,22.2,32000.4
2025-07-29,23.6,23.6,20.6,20.8,27385.5
2025-07-30,20.6,20.926,19.4,20.0,17519.2
2025-07-31,20.2,20.8,19.4,19.532,9563.05
2025-08-01,19.436,19.744,17.6,18.672,17287.0
2025-08-04,18.6,20.4,17.802,19.672,12493.7
2025-08-05,19.8,20.4,19.38,20.2,6770.7
2025-08-06,20.0,20.2,19.45,20.2,4538.05
2025-08-07,20.4,20.6,19.4,19.958,4956.2
2025-08-08,19.776,20.8,19.5,20.6,5168.9
2025-08-11,21.2,26.4,20.8269,23.6,106431.0
2025-08-12,24.6,24.6,21.6,22.8,35105.7
2025-08-13,23.0,24.2,22.6,24.2,40334.4
2025-08-14,23.6,25.0,22.8,23.4,33895.6
2025-08-15,24.0,25.798,22.6,25.4,38259.7
2025-08-18,25.8,30.4,25.0,30.0,97732.8
2025-08-19,29.0,29.6,26.2,27.0,167898.0
2025-08-20,27.8,28.0,23.2,25.6,59410.5
2025-08-21,25.4,32.2,22.7,25.4,189136.0
2025-08-22,26.2,26.4,23.6,24.2,70538.1
2025-08-25,24.4,28.286,24.4,27.6,61531.6
2025-08-26,27.4,28.0,26.4,27.0,30345.6
2025-08-27,26.8,28.0,25.0,25.2,38047.6
2025-08-28,26.2,26.2,24.2,24.4,33046.6
2025-08-29,25.0,25.0,20.838,21.6,71476.3
2025-09-02,19.504,20.4,17.6,18.6,53168.8
2025-09-03,17.962,19.532,17.962,18.608,13561.4
2025-09-04,18.59,18.764,16.202,16.8,30356.0
2025-09-05,16.484,17.5,16.412,17.026,10145.4
2025-09-08,17.0,17.13,14.0,14.874,35651.3
2025-09-09,15.01,18.394,14.924,16.85,66880.0
2025-09-10,16.6,18.858,16.6,17.84,948954.0
2025-09-11,29.0,35.6,25.4,25.4,4048557.0
2025-09-12,23.6,25.0,22.6,23.6,125510.0
2025-09-15,23.2,23.8,21.7,22.6,60130.7
2025-09-16,22.4,24.6,21.0,24.0,57852.1
2025-09-17,23.0,25.8,23.0,24.6,41059.5
2025-09-18,24.2,28.5,24.2,25.4,161016.0
2025-09-19,25.6,25.6,23.6,23.8,45804.6
2025-09-22,25.0,25.0,22.8,24.4,42332.0
2025-09-23,23.6,23.614,22.0,22.2,34230.4
2025-09-24,22.8,23.9,22.2,23.0,32172.5
2025-09-25,22.2,22.4,20.8,21.6,30578.0
2025-09-26,20.6,24.0,20.6,23.4,43040.0
2025-09-29,23.2,24.6,22.012,24.0,39981.6
2025-09-30,22.6,23.6,21.6,22.6,21177.3
2025-10-01,21.2,23.0,21.0,22.6,10656.3
2025-10-02,22.2,22.4,21.4,21.8,11590.2
2025-10-03,22.0,23.2,21.8,23.0,17393.3
2025-10-06,23.0,23.2,22.2,23.2,19477.9
2025-10-07,23.0,23.2,21.4,22.0,326201.0
2025-10-08,22.6,22.8,21.6,22.6,71654.5
2025-10-09,22.6,23.0,22.0,22.6,43617.1
2025-10-10,22.0,22.176,20.2,20.6,37223.8
2025-10-13,20.4,21.8,20.0,21.4,15599.9
2025-10-14,20.4,21.6,20.2,21.0,23040.5
2025-10-15,19.0,19.49,16.6,18.24,58840.0
2025-10-16,18.24,18.448,17.094,17.202,21096.7
2025-10-17,17.0,17.5373,15.49,16.222,18223.1
2025-10-20,16.6,17.444,16.44,16.98,11907.7
2025-10-21,16.8,17.396,16.01,16.01,10218.5
2025-10-22,15.48,16.67,14.232,15.12,20266.9
2025-10-23,14.8,16.52,14.8,15.468,25417.9
2025-10-24,15.656,16.0,14.44,14.44,657403.0
2025-10-27,20.9,23.4,16.4,16.4,4043927.0
2025-10-28,14.6,15.666,14.6,14.812,122144.0
2025-10-29,14.62,15.08,14.62,15.0,41369.6
2025-10-30,14.6,16.18,13.632,15.748,69724.1
2025-10-31,15.208,17.4,15.202,17.026,40016.3
2025-11-03,16.4,18.6,16.31,18.24,39195.5
2025-11-04,18.2,18.2,16.882,17.494,18286.6
2025-11-05,16.39,17.225,16.058,16.844,12382.6
2025-11-06,16.4,16.436,15.402,16.032,12797.7
2025-11-07,16.032,16.172,15.408,16.172,6932.3
2025-11-10,16.032,16.754,15.8206,16.754,17344.5
2025-11-11,16.0,16.598,15.66,15.974,7579.9
2025-11-12,15.806,17.8,15.412,16.99,36211.6
2025-11-13,16.422,16.6,15.22,15.562,29995.9
2025-11-14,14.78,17.598,14.5,15.6,214843.0
2025-11-17,14.73,15.2,14.002,14.076,23987.4
2025-11-18,14.152,14.709,13.8,14.654,7024.5
2025-11-19,14.2,14.798,13.602,13.766,16029.2
2025-11-20,13.852,14.588,12.204,12.936,52537.5
2025-11-21,12.8,13.358,12.008,12.528,26806.8
2025-11-24,12.34,12.4,11.308,12.4,22408.9
2025-11-25,12.0,12.002,11.624,11.768,15074.0
2025-11-26,11.61,12.75,11.41,12.588,16897.4
2025-11-28,12.556,13.268,12.104,13.24,4134.35
2025-12-01,13.454,13.962,10.32,10.47,433917.0
2025-12-02,10.47,10.553,9.0,9.198,58010.5
2025-12-03,9.2,9.796,5.45,5.994,161513.0
2025-12-04,5.708,6.8,5.23,6.758,111363.0
2025-12-05,6.82,29.39,6.82,25.44,25611824.0
2025-12-08,51.23,58.0,15.36,19.78,6834467.0
2025-12-09,17.75,26.5,15.3001,15.72,3582566.0
2025-12-10,10.87,11.86,8.71,9.43,1578959.0
2025-12-11,9.05,12.79,8.67,10.18,2356209.0
2025-12-12,9.91,10.22,8.06,8.59,529087.0
2025-12-15,8.29,8.4194,5.905,6.0,645645.0
2025-12-16,5.87,6.15,4.51,6.15,575937.0
2025-12-17,6.26,8.78,5.7,6.09,3057312.0
2025-12-18,6.17,8.0,6.09,6.78,2213653.0
2025-12-19,6.84,8.05,6.61,7.14,998523.0
2025-12-22,7.15,8.25,6.92,7.05,481506.0
