Date,Open,High,Low,Close,Volume
2024-01-02,3.64,4.1,3.62,4.07,462693
2024-01-03,4.03,4.18,3.88,3.92,405101
2024-01-04,3.92,3.965,3.83,3.91,530029
2024-01-05,3.91,4.25,3.86,4.22,463747
2024-01-08,4.22,4.22,3.92,3.94,537986
2024-01-09,3.91,4.16,3.905,4.11,398114
2024-01-10,4.11,4.2985,4.05,4.21,471485
2024-01-11,4.28,4.45,4.12,4.44,498540
2024-01-12,4.5,4.66,4.43,4.65,465791
2024-01-16,4.68,4.68,4.175,4.25,532774
2024-01-17,4.2,4.2,3.98,4.02,575239
2024-01-18,4.03,4.06,3.84,3.97,405726
2024-01-19,4.01,4.0127,3.81,3.95,600511
2024-01-22,4.0,4.38,3.97,4.37,447524
2024-01-23,4.39,4.6,4.3592,4.38,474501
2024-01-24,4.39,4.4737,4.015,4.04,451166
2024-01-25,4.07,4.095,3.92,4.04,311608
2024-01-26,4.07,4.3,4.07,4.22,321332
2024-01-29,4.16,4.24,4.01,4.17,443511
2024-01-30,4.18,4.18,3.905,4.01,821511
2024-01-31,4.01,4.165,3.99,4.04,303186
2024-02-01,4.04,4.11,3.885,3.94,270698
2024-02-02,3.9,3.91,3.7512,3.9,324707
2024-02-05,3.9,3.9,3.72,3.81,292723
2024-02-06,3.81,4.25,3.8,4.25,342624
2024-02-07,4.29,4.29,4.04,4.04,261868
2024-02-08,4.02,4.23,4.02,4.14,307795
2024-02-09,4.17,4.32,4.14,4.29,243878
2024-02-12,4.3,4.43,4.26,4.35,269336
2024-02-13,4.22,4.22,3.9,3.9,261743
2024-02-14,3.95,4.07,3.9,4.04,203070
2024-02-15,4.09,4.09,3.87,4.02,258868
2024-02-16,4.01,4.11,3.925,4.1,379756
2024-02-20,4.0,4.235,4.0,4.18,226172
2024-02-21,4.12,4.12,3.62,3.66,427072
2024-02-22,3.7,3.7017,3.455,3.51,403200
2024-02-23,3.5,3.735,3.45,3.73,424117
2024-02-26,3.75,3.88,3.69,3.76,359914
2024-02-27,3.75,3.76,3.63,3.74,270433
2024-02-28,3.72,3.81,3.615,3.65,253651
2024-02-29,3.73,3.79,3.64,3.67,333831
2024-03-01,3.69,3.82,3.58,3.8,259632
2024-03-04,3.82,3.82,3.64,3.7,220578
2024-03-05,3.68,3.6899,3.54,3.6,243503
2024-03-06,3.67,3.72,3.535,3.55,217353
2024-03-07,3.56,3.63,3.475,3.56,173792
2024-03-08,3.59,3.715,3.57,3.67,175496
2024-03-11,3.64,3.64,3.125,3.32,642808
2024-03-12,3.33,3.38,3.13,3.33,854074
2024-03-13,3.25,3.49,3.25,3.31,334884
2024-03-14,3.29,3.33,3.11,3.15,471405
2024-03-15,3.33,3.98,3.29,3.96,1720396
2024-03-18,4.1,4.5501,3.905,3.93,1133836
2024-03-19,3.9,4.205,3.86,4.14,453465
2024-03-20,4.18,4.44,4.015,4.37,542420
2024-03-21,4.4,4.48,4.1,4.47,1209089
2024-03-22,4.43,4.47,3.98,3.98,469095
2024-03-25,3.98,3.999,3.85,3.95,386641
2024-03-26,3.95,4.12,3.94,4.02,284180
2024-03-27,4.02,4.14,3.99,4.14,250541
2024-03-28,4.13,4.24,4.09,4.16,380653
2024-04-01,4.21,4.295,4.16,4.24,320952
2024-04-02,4.17,4.25,4.105,4.17,269884
2024-04-03,4.18,4.23,4.04,4.14,276537
2024-04-04,4.19,4.26,4.12,4.15,355108
2024-04-05,4.11,4.16,4.06,4.08,320158
2024-04-08,4.1,4.37,4.1,4.37,228250
2024-04-09,4.36,4.435,4.155,4.18,298522
2024-04-10,4.14,4.14,3.96,3.96,320579
2024-04-11,3.97,3.97,3.845,3.88,270515
2024-04-12,3.88,3.88,3.59,3.6,373661
2024-04-15,3.55,3.68,3.35,3.47,501791
2024-04-16,3.45,3.48,3.34,3.35,206042
2024-04-17,3.35,3.39,3.29,3.3,159588
2024-04-18,3.3,3.38,3.2,3.3,254735
2024-04-19,3.28,3.395,3.27,3.31,204409
2024-04-22,3.33,3.4,3.25,3.34,322405
2024-04-23,3.36,3.53,3.36,3.44,239613
2024-04-24,3.45,3.56,3.41,3.49,246765
2024-04-25,3.43,3.53,3.34,3.52,231811
2024-04-26,3.57,3.62,3.53,3.57,163353
2024-04-29,3.57,3.93,3.56,3.6,410194
2024-04-30,3.52,3.555,3.415,3.44,241672
2024-05-01,3.47,3.585,3.462,3.48,226323
2024-05-02,3.5,3.57,3.471,3.51,209894
2024-05-03,3.54,3.64,3.475,3.5,215792
2024-05-06,3.51,3.725,3.51,3.69,253578
2024-05-07,3.71,3.755,3.66,3.67,244935
2024-05-08,3.62,3.62,3.38,3.39,273210
2024-05-09,3.35,3.3998,3.29,3.38,315045
2024-05-10,3.73,3.85,3.36,3.42,1244643
2024-05-13,3.42,3.42,2.96,3.0,615507
2024-05-14,3.0,3.18,3.0,3.17,539690
2024-05-15,3.43,4.04,3.38,3.94,1349737
2024-05-16,3.9,3.91,3.56,3.58,434703
2024-05-17,3.69,3.748,3.515,3.67,291386
2024-05-20,3.82,3.93,3.71,3.8,302730
2024-05-21,3.79,4.03,3.77,4.03,420817
2024-05-22,4.02,4.15,3.88,4.06,505918
2024-05-23,4.24,4.35,3.885,3.91,545224
2024-05-24,3.9,4.02,3.84,3.96,287564
2024-05-28,4.15,4.66,4.07,4.51,938438
2024-05-29,4.4,4.56,4.391,4.485,399664
2024-05-30,4.49,4.58,4.28,4.35,510214
2024-05-31,4.63,4.75,4.35,4.53,789014
2024-06-03,4.69,5.03,4.1,4.18,887817
2024-06-04,4.31,4.355,3.92,3.97,516074
2024-06-05,3.99,4.2,3.92,4.1,330306
2024-06-06,4.06,4.16,3.98,4.06,335378
2024-06-07,4.04,4.12,3.96,4.01,251850
2024-06-10,3.98,4.16,3.92,4.06,274264
2024-06-11,4.02,4.1,3.84,3.86,373791
2024-06-12,3.99,4.31,3.99,4.08,522563
2024-06-13,4.34,4.44,4.2,4.28,341841
2024-06-14,4.2,4.305,4.13,4.16,368153
2024-06-17,4.18,4.2,3.92,3.96,297830
2024-06-18,3.96,4.025,3.75,3.82,399787
2024-06-20,3.8,3.82,3.52,3.53,642841
2024-06-21,3.52,3.58,3.395,3.55,670091
2024-06-24,3.55,3.63,3.375,3.54,482518
2024-06-25,3.53,3.58,3.42,3.49,538447
2024-06-26,3.47,3.64,3.42,3.59,409070
2024-06-27,3.6,4.08,3.6,4.02,908053
2024-06-28,4.11,4.25,3.91,4.02,8421066
2024-07-01,4.0,4.05,3.63,3.73,905544
2024-07-02,3.7,3.82,3.61,3.62,441054
2024-07-03,3.61,3.79,3.59,3.75,234534
2024-07-05,3.75,3.78,3.61,3.63,447273
2024-07-08,3.63,3.75,3.6,3.69,468373
2024-07-09,3.69,3.85,3.68,3.76,343746
2024-07-10,3.77,3.875,3.66,3.7,360597
2024-07-11,3.79,4.03,3.76,3.98,343195
2024-07-12,4.06,4.13,3.91,4.05,435881
2024-07-15,4.13,4.245,4.06,4.19,467016
2024-07-16,4.25,4.41,4.23,4.34,434996
2024-07-17,4.28,4.35,4.1,4.22,502380
2024-07-18,4.17,4.33,3.98,4.02,506585
2024-07-19,4.05,4.07,3.9,4.03,342360
2024-07-22,4.05,4.29,4.045,4.23,310040
2024-07-23,4.2,4.42,4.185,4.28,287902
2024-07-24,4.27,4.41,4.04,4.05,257602
2024-07-25,4.07,4.4,4.06,4.27,306724
2024-07-26,4.39,4.45,4.1,4.24,334873
2024-07-29,4.28,4.355,4.04,4.14,314016
2024-07-30,4.14,4.22,4.08,4.21,191744
2024-07-31,4.22,4.41,4.12,4.3,266901
2024-08-01,4.32,4.35,3.9,4.0,443286
2024-08-02,3.79,3.91,3.71,3.86,483701
2024-08-05,3.56,3.8,3.53,3.76,474829
2024-08-06,3.77,3.88,3.7,3.86,276757
2024-08-07,3.95,4.04,3.73,3.85,520515
2024-08-08,3.9,3.9,3.65,3.77,467052
2024-08-09,3.15,3.28,1.95,2.0,4477908
2024-08-12,2.05,2.77,1.89,2.625,3574909
2024-08-13,2.53,2.5661,2.25,2.435,1280299
2024-08-14,2.4,2.5,2.19,2.195,606993
2024-08-15,2.41,2.7762,2.41,2.77,3119144
2024-08-16,2.73,2.86,2.64,2.82,980866
2024-08-19,2.81,2.94,2.71,2.89,864637
2024-08-20,3.4,3.72,3.15,3.62,5165126
2024-08-21,3.53,3.8699,3.43,3.65,1974800
2024-08-22,3.65,3.68,3.16,3.33,1438988
2024-08-23,3.35,3.5,3.165,3.37,1094266
2024-08-26,3.39,3.39,3.13,3.18,896862
2024-08-27,3.11,3.24,3.0547,3.16,408535
2024-08-28,3.42,3.78,3.33,3.7,2252386
2024-08-29,3.7,3.89,3.68,3.76,690796
2024-08-30,3.8,3.825,3.59,3.65,876417
2024-09-03,3.58,3.66,3.47,3.52,555729
2024-09-04,3.49,3.57,3.44,3.49,269340
2024-09-05,3.48,3.5496,3.35,3.38,650717
2024-09-06,3.37,3.38,3.13,3.18,658667
2024-09-09,3.2,3.225,3.07,3.2,583230
2024-09-10,3.22,3.23,3.065,3.21,1020896
2024-09-11,3.2,3.28,3.17,3.23,377817
