Date,Open,High,Low,Close,Volume
2025-06-09,1.44,1.45,1.37,1.42,219832
2025-06-10,1.41,1.43,1.36,1.37,149739
2025-06-11,1.4,1.46,1.35,1.46,222583
2025-06-12,1.44,1.46,1.37,1.42,141379
2025-06-13,1.52,1.639,1.47,1.55,1054550
2025-06-16,1.56,1.6199,1.51,1.56,222620
2025-06-17,1.58,1.65,1.5347,1.65,177215
2025-06-18,1.65,1.665,1.56,1.6,176096
2025-06-20,1.57,1.6367,1.54,1.56,234341
2025-06-23,1.57,1.6203,1.55,1.55,162938
2025-06-24,1.61,1.6238,1.55,1.58,154765
2025-06-25,1.57,1.75,1.565,1.75,448953
2025-06-26,1.75,1.8,1.7,1.78,262032
2025-06-27,1.8,1.81,1.56,1.6,484155
2025-06-30,1.6,1.61,1.5299,1.58,377517
2025-07-01,1.57,1.61,1.55,1.55,93351
2025-07-02,1.56,1.58,1.54,1.57,118274
2025-07-03,1.56,1.56,1.51,1.51,179781
2025-07-07,1.54,1.56,1.51,1.53,60802
2025-07-08,1.51,1.55,1.43,1.49,211346
2025-07-09,1.47,1.53,1.4501,1.51,80558
2025-07-10,1.49,1.5234,1.45,1.47,141990
2025-07-11,1.49,1.5095,1.43,1.48,156555
2025-07-14,1.49,1.5013,1.4301,1.48,107078
2025-07-15,1.46,1.47,1.43,1.47,106554
2025-07-16,1.45,1.5,1.4423,1.5,106041
2025-07-17,1.5,1.54,1.44,1.51,106498
2025-07-18,1.5,1.557,1.48,1.55,175022
2025-07-21,1.61,1.64,1.53,1.62,309220
2025-07-22,1.6601,1.67,1.57,1.62,198422
2025-07-23,1.74,1.89,1.7388,1.78,1147349
2025-07-24,1.84,1.84,1.62,1.74,310341
2025-07-25,1.75,1.86,1.71,1.86,370729
2025-07-28,1.89,1.96,1.75,1.95,430416
2025-07-29,1.97,1.98,1.88,1.96,200617
2025-07-30,2.03,2.37,2.01,2.37,1436575
2025-07-31,2.42,2.59,2.285,2.5,1139758
2025-08-01,2.55,2.6,2.04,2.38,864591
2025-08-04,2.44,2.5243,2.34,2.45,350939
