Date,Open,High,Low,Close,Volume
2024-01-02,34.53,34.6395,34.07,34.25,142687
2024-01-03,33.87,33.87,33.35,33.5,196960
2024-01-04,33.62,34.07,33.415,34.01,124721
2024-01-05,33.67,34.47,33.61,33.95,225783
2024-01-08,34.04,35.05,33.88,34.98,313245
2024-01-09,34.3,35.025,34.2,34.85,223556
2024-01-10,34.66,35.28,34.27,35.27,100231
2024-01-11,41.93,41.93,38.58,39.66,1399633
2024-01-12,40.0,40.0,34.715,34.81,655145
2024-01-16,34.31,35.74,33.665,34.09,604513
2024-01-17,33.36,33.76,32.675,32.74,196835
2024-01-18,32.93,33.48,31.865,32.39,182234
2024-01-19,32.68,33.08,32.14,33.03,213072
2024-01-22,33.1,34.07,32.53,32.93,195736
2024-01-23,33.54,33.62,32.65,33.62,212150
2024-01-24,34.24,35.47,32.885,33.39,119171
2024-01-25,33.99,34.125,33.6,33.96,108739
2024-01-26,34.16,34.25,33.45,33.64,86478
2024-01-29,33.9,34.78,33.81,34.68,96520
2024-01-30,34.35,34.3865,33.53,33.54,87437
2024-01-31,35.64,35.988,34.165,34.17,136268
2024-02-01,34.49,34.8344,33.88,33.95,105095
2024-02-02,33.54,34.865,33.53,34.07,90286
2024-02-05,33.6,33.6886,33.17,33.45,86492
2024-02-06,33.7,34.61,33.7,34.41,91085
2024-02-07,34.19,34.37,33.205,33.4,128089
2024-02-08,33.71,34.5,31.7044,33.56,211618
2024-02-09,33.56,35.33,33.56,35.03,125544
2024-02-12,35.12,35.78,34.96,35.03,105098
2024-02-13,33.46,34.455,32.35,32.52,124081
2024-02-14,32.62,33.0737,32.2,32.52,161855
2024-02-15,32.57,33.56,32.39,33.18,95763
2024-02-16,32.95,33.0,32.335,32.4,83525
2024-02-20,31.91,32.7519,31.625,32.64,107510
2024-02-21,32.21,32.44,31.68,31.81,97257
2024-02-22,31.76,32.0796,31.44,31.91,83863
2024-02-23,31.87,32.18,31.41,31.71,72322
2024-02-26,31.62,32.3,31.62,31.88,75932
2024-02-27,32.06,32.9403,31.615,31.68,79930
2024-02-28,31.27,31.33,31.02,31.03,63360
2024-02-29,31.63,31.85,31.33,31.71,85481
2024-03-01,31.87,32.1,31.48,31.72,71994
2024-03-04,31.73,32.339,31.35,31.42,83296
2024-03-05,31.19,31.4,30.64,31.04,96557
2024-03-06,31.22,31.2338,30.64,30.9,108526
2024-03-07,31.19,31.33,30.79,30.92,67047
2024-03-08,31.25,31.8981,31.24,31.26,72103
2024-03-11,31.13,31.9999,31.13,31.77,54909
2024-03-12,31.65,31.91,31.06,31.55,62322
2024-03-13,31.37,31.81,30.74,30.97,80368
2024-03-14,30.92,31.1,29.685,29.82,116774
2024-03-15,29.73,30.58,29.4321,30.46,246327
2024-03-18,30.67,30.985,30.2,30.68,114715
2024-03-19,30.49,31.28,30.31,31.24,68081
2024-03-20,31.14,32.7,31.14,32.55,96973
2024-03-21,32.77,32.77,32.33,32.59,146121
2024-03-22,32.65,32.89,32.32,32.64,87680
2024-03-25,32.83,32.8782,32.255,32.29,126338
2024-03-26,32.67,32.67,31.96,31.98,71944
2024-03-27,32.33,32.53,32.11,32.53,98476
2024-03-28,32.48,33.32,32.475,33.08,140966
2024-04-01,33.11,33.735,32.655,33.28,93535
2024-04-02,32.75,32.81,31.82,32.08,146462
2024-04-03,32.02,32.0699,31.4413,31.78,80816
2024-04-04,32.18,32.45,31.0,31.09,70123
2024-04-05,30.97,31.11,30.48,30.69,48322
2024-04-08,31.34,32.19,30.44,31.07,76701
2024-04-09,31.08,31.71,30.87,31.0,80398
2024-04-10,30.32,30.57,29.04,29.25,144846
2024-04-11,29.3,30.14,28.88,29.12,83460
2024-04-12,28.83,28.86,27.795,27.89,85784
2024-04-15,28.09,28.315,27.58,27.86,210443
2024-04-16,27.64,28.405,26.97,27.88,185154
2024-04-17,28.2,28.22,27.43,27.43,122480
2024-04-18,27.48,28.25,27.14,27.25,95615
2024-04-19,27.07,27.64,26.88,27.18,100079
2024-04-22,27.42,27.54,26.77,26.97,97349
2024-04-23,27.04,27.73,27.04,27.27,60363
2024-04-24,27.12,27.83,27.03,27.55,76104
2024-04-25,27.07,28.035,26.88,27.0,92901
