Date,Open,High,Low,Close,Volume
2025-07-11,60.5,61.25,59.0,59.5,3839.96
2025-07-14,61.5,63.5,58.5,63.0,16066.7
2025-07-15,63.0,63.0,60.0,60.0,5628.24
2025-07-16,61.0,62.0,59.0,61.5,6478.72
2025-07-17,61.5,64.0,60.625,62.0,12053.5
2025-07-18,63.0,71.0,59.5,61.5,66396.2
2025-07-21,60.0,60.97,56.5,57.5,20030.0
2025-07-22,57.0,57.75,55.0,55.5,12180.8
2025-07-23,56.0,56.75,54.0,54.0,13358.2
2025-07-24,55.0,55.0,53.5,53.5,6675.36
2025-07-25,53.5,54.5,52.0,53.0,9544.46
2025-07-28,53.0,55.0,52.5,54.0,8763.4
2025-07-29,55.0,55.5,52.0,52.0,6266.5
2025-07-30,52.0,53.97,50.0,51.0,17928.7
2025-07-31,51.0,51.5,48.75,49.465,8962.24
2025-08-01,50.0,51.5,48.75,49.995,7709.78
2025-08-04,50.5,51.25,48.5,49.63,5642.02
2025-08-05,49.35,69.995,49.0,49.925,259067.0
2025-08-06,50.0,51.5,46.5,47.62,59239.6
2025-08-07,47.74,50.5,42.855,43.455,33970.1
2025-08-08,44.1,45.5,41.5,45.025,18500.9
2025-08-11,45.0,51.0,43.5,49.0,49969.9
2025-08-12,48.5,49.85,47.5,48.125,11171.6
2025-08-13,48.0,55.0,47.0,50.5,28061.0
2025-08-14,50.5,51.0,48.505,49.0,14084.8
2025-08-15,48.5,49.4,47.065,47.415,14773.2
2025-08-18,47.255,48.9384,46.5,48.19,7312.7
2025-08-19,48.25,48.375,45.52,46.535,12063.4
2025-08-20,46.26,47.82,44.63,45.955,7059.7
2025-08-21,45.6,46.5,45.0,45.22,4479.04
2025-08-22,44.815,47.195,44.505,46.82,9320.1
2025-08-25,46.64,47.9,45.235,46.0,9464.88
2025-08-26,46.465,46.76,45.0,46.05,10403.1
2025-08-27,46.475,46.955,45.5,45.995,8110.58
2025-08-28,46.42,46.85,44.75,45.13,7496.18
2025-08-29,45.235,46.5,44.615,45.5,8033.82
2025-09-02,45.5,47.5,44.5,44.5,9414.96
2025-09-03,44.205,46.0,44.205,44.5,6537.96
2025-09-04,45.0,45.495,42.67,43.965,18335.0
2025-09-05,43.0,45.34,43.0,43.32,10950.0
2025-09-08,45.65,49.5,43.08,43.96,25389.3
2025-09-09,43.48,46.495,42.77,44.24,19014.8
2025-09-10,44.0,44.875,43.005,43.625,8254.22
2025-09-11,43.5,44.685,43.005,44.185,6262.84
2025-09-12,44.115,44.135,42.715,43.285,5732.34
2025-09-15,42.65,43.08,42.09,42.105,9256.3
2025-09-16,42.145,42.86,42.03,42.5,3869.78
2025-09-17,42.05,43.315,42.0,42.0,7360.04
2025-09-18,43.0,43.07,40.475,41.075,9954.74
2025-09-19,41.01,41.2975,37.6,37.92,29182.4
2025-09-22,37.92,42.15,37.92,41.77,13069.9
2025-09-23,41.77,41.96,40.0,40.0,5109.42
2025-09-24,39.785,40.495,38.23,38.685,5288.22
2025-09-25,43.66,43.66,39.0,39.25,12134.6
2025-09-26,40.23,40.23,38.155,39.815,6039.74
2025-09-29,40.0,40.605,39.25,39.38,8622.34
2025-09-30,40.45,40.45,39.04,39.265,4175.38
2025-10-01,39.5,40.0,38.755,39.85,5246.64
2025-10-02,39.58,39.83,38.0,38.97,9134.0
2025-10-03,38.0,39.5,32.56,33.695,35204.7
2025-10-06,33.475,33.5,32.015,32.44,18623.8
2025-10-07,32.025,38.0,32.025,37.095,21860.7
2025-10-08,36.265,36.9845,35.435,36.195,6297.7
2025-10-09,36.06,37.135,36.06,36.905,5585.2
2025-10-10,37.0,37.0,34.905,35.755,10040.0
2025-10-13,35.5,36.0,34.88,35.77,8207.68
2025-10-14,35.5,35.525,33.75,35.16,5818.6
2025-10-15,35.155,37.875,34.97,37.735,18160.7
2025-10-16,37.775,39.0,35.5,36.09,6434.38
2025-10-17,35.5,36.52,34.505,35.08,5359.88
2025-10-20,35.0,35.2195,34.0,35.065,6686.22
2025-10-21,34.75,34.99,33.5,33.695,5957.16
2025-10-22,33.5,33.69,30.5,31.46,14004.6
2025-10-23,31.28,31.985,31.26,31.8,2894.98
2025-10-24,32.0,33.315,32.0,33.315,4487.64
2025-10-27,31.65,32.895,31.1,31.39,4627.72
2025-10-28,31.835,31.835,30.105,30.24,5616.64
2025-10-29,30.24,31.815,29.155,30.795,11108.9
2025-10-30,30.0,31.665,29.48,30.025,11489.7
2025-10-31,29.875,31.68,29.03,31.42,6624.86
2025-11-03,31.41,31.45,29.13,29.405,8760.56
2025-11-04,28.55,29.5,27.61,27.755,6900.44
2025-11-05,27.65,32.5,25.565,26.25,59993.9
2025-11-06,27.415,27.415,23.01,23.46,25546.2
2025-11-07,24.0,25.05,23.505,24.955,18912.8
2025-11-10,25.115,25.115,23.665,23.995,8423.46
2025-11-11,23.305,23.665,22.75,23.5,3974.48
2025-11-12,24.0,24.1125,23.15,23.285,5622.4
2025-11-13,23.045,23.99,21.835,22.215,5316.32
2025-11-14,21.385,21.825,20.775,20.855,8586.42
2025-11-17,21.0,21.0,18.95,19.345,12814.2
2025-11-18,19.5,21.7,19.5,20.455,11078.4
2025-11-19,20.36,22.97,20.0675,22.47,6809.24
2025-11-20,23.0,23.29,20.615,20.665,6755.98
2025-11-21,20.915,22.985,20.255,22.545,14963.2
2025-11-24,22.75,22.75,21.2,21.2,5520.12
2025-11-25,21.495,22.0,21.295,21.935,4132.52
2025-11-26,21.845,24.9075,21.83,24.05,15729.1
2025-11-28,24.85,24.85,22.0,22.06,6578.1
2025-12-01,22.55,22.6,20.05,20.215,9956.64
2025-12-02,20.64,21.5,19.26,19.26,7134.8
2025-12-03,19.405,21.38,19.405,21.38,5197.56
2025-12-04,20.74,21.71,20.51,21.085,4837.24
2025-12-05,21.655,22.4,20.0,20.03,6561.36
2025-12-08,20.385,22.0,19.87,21.795,11579.4
2025-12-09,21.795,23.32,20.8675,22.55,366513.0
2025-12-10,21.64,22.32,19.51,21.89,24538.5
2025-12-11,21.225,21.915,20.835,21.5,15580.0
2025-12-12,20.925,21.43,19.27,20.175,16252.7
2025-12-15,20.0,20.25,19.75,19.915,7052.76
2025-12-16,19.435,20.0,18.615,19.2,9502.78
2025-12-17,19.5,19.5,18.285,18.45,7497.66
2025-12-18,18.1,19.385,18.1,19.035,7285.32
2025-12-19,19.0,19.975,18.515,18.985,20971.6
2025-12-22,19.0,19.6,19.0,19.255,7065.7
2025-12-23,19.655,19.945,18.655,18.755,7546.96
2025-12-24,19.925,20.4,18.675,19.795,7365.22
2025-12-26,19.9,19.9,18.915,19.035,6279.24
2025-12-29,18.66,18.66,17.0,17.425,15356.3
2025-12-30,16.96,17.26,14.95,16.94,24591.5
