Date,Open,High,Low,Close,Volume
2025-06-09,3.5,4.5,3.3401,4.02,1177053.0
2025-06-10,3.87,4.34,3.83,4.25,229218.0
2025-06-11,4.28,4.3,4.0,4.04,113834.0
2025-06-12,4.04,4.2,3.9277,4.03,67591.0
2025-06-13,3.89,3.9,3.52,3.6,63545.0
2025-06-16,3.78,3.99,3.701,3.97,45024.0
2025-06-17,3.99,3.99,3.6,3.64,44545.0
2025-06-18,3.56,4.0588,3.56,3.99,39814.0
2025-06-20,4.09,4.09,3.8055,3.87,48503.0
2025-06-23,3.8,4.13,3.3,3.37,92559.0
2025-06-24,3.51,3.67,3.32,3.4699,52525.0
2025-06-25,3.46,3.5,3.14,3.2794,68702.0
2025-06-26,3.4274,3.4274,3.0601,3.1999,50002.0
2025-06-27,3.18,3.2288,3.0406,3.1,59938.0
2025-06-30,3.33,3.75,3.12,3.73,113966.0
2025-07-01,3.55,4.345,3.34,4.32,502115.0
2025-07-02,4.36,4.49,4.1101,4.36,132330.0
2025-07-03,4.4,4.99,4.33,4.64,170438.0
2025-07-07,4.7,5.09,4.5178,4.9,147612.0
2025-07-08,4.82,4.9388,4.401,4.55,112743.0
2025-07-09,4.5126,4.71,4.4248,4.71,55077.0
2025-07-10,4.71,4.97,4.54,4.62,152453.0
2025-07-11,4.54,4.9499,4.53,4.85,49709.0
2025-07-14,4.98,5.099,4.48,4.5,78284.0
2025-07-15,4.49,4.5391,3.8,4.39,212653.0
2025-07-16,4.67,5.09,4.02,4.98,168035.0
2025-07-17,5.09,5.4,4.74,5.09,146268.0
2025-07-18,5.11,5.4,5.05,5.32,228662.0
2025-07-21,5.48,5.5,4.86,4.98,139239.0
2025-07-22,4.97,5.3,4.57,5.225,143103.0
2025-07-23,5.15,5.175,4.59,4.71,78386.0
2025-07-24,4.83,4.98,4.322,4.49,51680.0
2025-07-25,4.46,4.65,4.0,4.16,57929.0
2025-07-28,4.15,4.3,3.65,4.04,70038.0
2025-07-29,4.04,4.04,3.69,3.74,54709.0
2025-07-30,3.77,3.9,3.77,3.89,17501.0
2025-07-31,4.0,4.0,3.71,3.73,30607.0
2025-08-01,3.72,3.72,3.35,3.465,76154.0
2025-08-04,3.47,3.58,3.32,3.44,101609.0
2025-08-05,3.36,3.66,3.36,3.53,80433.0
2025-08-06,3.51,3.7582,3.39,3.48,86710.0
2025-08-07,3.51,3.65,3.28,3.41,126936.0
2025-08-08,3.36,3.49,3.17,3.38,61276.0
2025-08-11,3.37,3.58,3.33,3.5,91705.0
2025-08-12,3.53,3.8,3.48,3.8,110416.0
2025-08-13,3.85,3.885,3.69,3.88,108055.0
2025-08-14,3.88,3.889,3.55,3.69,83786.0
2025-08-15,3.6,3.68,3.3001,3.39,81641.0
2025-08-18,3.43,3.5,3.2909,3.41,25749.0
2025-08-19,3.3601,3.42,2.922,3.06,115988.0
2025-08-20,3.13,3.13,2.44,2.93,258988.0
2025-08-21,2.85,3.0799,2.8,3.04,27537.0
2025-08-22,3.07,3.51,2.908,3.5,88973.0
2025-08-25,3.4,3.4,3.1501,3.33,47589.0
2025-08-26,3.25,3.3,3.15,3.204,46095.0
2025-08-27,3.2,3.2881,3.12,3.24,11204.0
2025-08-28,3.34,3.34,2.91,3.04,73639.0
2025-08-29,3.07,3.12,2.88,2.89,72852.0
2025-09-02,2.95,2.99,2.751,2.89,56290.0
2025-09-03,2.89,2.93,2.64,2.7,69618.0
2025-09-04,2.69,2.7997,2.43,2.67,117255.0
2025-09-05,2.58,2.8,2.51,2.61,93984.0
2025-09-08,2.61,2.74,2.58,2.72,63295.0
2025-09-09,2.66,2.88,2.64,2.815,98948.0
2025-09-10,2.86,2.99,2.81,2.965,82574.0
2025-09-11,2.85,2.9958,2.82,2.82,95726.0
2025-09-12,2.82,2.965,2.6764,2.76,84261.0
2025-09-15,2.77,2.9,2.7,2.75,48780.0
2025-09-16,2.69,2.76,2.05,2.39,283538.0
2025-09-17,2.44,2.78,2.44,2.69,131848.0
2025-09-18,2.77,3.14,2.6,3.03,313425.0
2025-09-19,2.97,3.13,2.93,3.07,110724.0
2025-09-22,3.03,3.05,2.83,2.94,52021.0
2025-09-23,2.95,3.0,2.855,2.9,65477.0
2025-09-24,2.91,3.0,2.82,2.92,63003.0
2025-09-25,2.89,2.97,2.66,2.73,57153.0
2025-09-26,2.9206,2.9206,2.46,2.66,62125.0
2025-09-29,2.68,2.77,2.485,2.5905,86764.0
2025-09-30,2.63,2.75,2.5001,2.58,40592.0
2025-10-01,2.6,2.7436,2.58,2.7,31756.0
2025-10-02,2.7,2.8239,2.6201,2.77,52945.0
2025-10-03,2.77,2.87,2.62,2.65,82512.0
2025-10-06,2.65,2.8,2.62,2.77,57243.0
2025-10-07,2.8,2.89,2.45,2.49,112494.0
2025-10-08,2.59,2.7018,2.55,2.61,35898.0
2025-10-09,2.62,2.75,2.54,2.62,105891.0
2025-10-10,2.79,2.79,2.4609,2.56,118951.0
2025-10-13,2.69,2.8,2.39,2.79,212660.0
2025-10-14,2.81,2.99,2.65,2.96,208670.0
2025-10-15,2.93,2.99,2.715,2.85,30669.0
2025-10-16,2.84,2.95,2.63,2.66,61260.0
2025-10-17,2.64,2.8593,2.56,2.83,105315.0
2025-10-20,2.88,3.15,2.85,3.05,157164.0
2025-10-21,2.99,3.05,2.8,2.97,64658.0
2025-10-22,2.925,3.08,2.72,2.78,56418.0
2025-10-23,2.76,3.08,2.71,2.93,80354.0
2025-10-24,2.95,3.03,2.871,2.96,62234.0
2025-10-27,3.03,3.07,2.78,2.87,56995.0
2025-10-28,2.91,3.0,2.87,2.97,47836.0
2025-10-29,3.0,3.015,2.77,2.82,30569.0
2025-10-30,2.79,2.91,2.79,2.82,17032.0
2025-10-31,2.82,3.21,2.75,3.05,69056.0
2025-11-03,3.15,3.16,2.84,2.9,33003.0
2025-11-04,2.86,2.89,2.57,2.58,86182.0
2025-11-05,2.69,2.78,2.63,2.73,26005.0
2025-11-06,2.655,2.655,2.51,2.57,56752.0
