Date,Open,High,Low,Close,Volume
2025-07-11,12.492,13.266,11.898,12.906,27696.7
2025-07-14,12.807,12.834,12.276,12.411,15044.5
2025-07-15,12.159,13.212,11.745,12.915,130026.0
2025-07-16,11.97,13.086,11.97,12.519,18690.4
2025-07-17,14.229,15.75,11.07,11.07,162249.0
2025-07-18,10.512,10.512,9.54,9.639,52658.8
2025-07-21,8.61,8.75,5.81,6.35,507886.0
2025-07-22,7.35,7.45,6.0997,7.0,1439885.0
2025-07-23,6.91,7.2,6.6,6.82,158391.0
2025-07-24,6.42,6.7056,6.05,6.25,133442.0
2025-07-25,6.5,8.3,6.3019,7.81,356963.0
2025-07-28,7.9,8.15,7.27,8.08,151516.0
2025-07-29,7.98,8.0756,7.25,7.71,37063.0
2025-07-30,7.585,10.2,7.4901,9.97,275734.0
2025-07-31,9.52,9.9599,9.0,9.65,41079.0
2025-08-01,9.29,9.29,7.6,8.1,32377.0
2025-08-04,7.54,8.505,7.54,7.93,20018.0
2025-08-05,7.69,8.21,7.6684,7.79,42019.0
2025-08-06,7.89,8.18,7.72,7.79,28753.0
2025-08-07,7.71,7.88,7.3,7.66,16569.0
2025-08-08,7.59,7.98,7.4,7.665,10500.0
2025-08-11,7.62,7.65,7.25,7.57,5367.0
2025-08-12,7.3,7.96,7.3,7.6,14040.0
2025-08-13,7.6,7.85,7.57,7.73,13618.0
2025-08-14,7.6,7.735,7.5601,7.63,4207.0
2025-08-15,7.6,7.6,7.4,7.4,2942.0
2025-08-18,7.612,7.612,7.1,7.1808,10779.0
2025-08-19,7.33,7.4686,6.02,6.03,44975.0
2025-08-20,6.42,6.5099,5.6001,5.75,36300.0
2025-08-21,6.05,6.05,4.69,5.23,33812.0
2025-08-22,5.23,5.497,5.1,5.4142,70618.0
2025-08-25,5.99,5.99,5.11,5.27,166353.0
2025-08-26,5.25,5.47,5.1,5.25,36659.0
2025-08-27,5.3,5.48,5.2,5.2895,33417.0
2025-08-28,5.19,5.4,5.19,5.38,7793.0
2025-08-29,5.28,5.332,4.95,5.28,24236.0
2025-09-02,5.1,5.27,5.01,5.04,59735.0
2025-09-03,5.02,5.175,4.955,5.12,69748.0
2025-09-04,5.27,5.56,5.0,5.56,97686.0
2025-09-05,5.47,5.6692,4.9,4.92,76072.0
2025-09-08,5.02,5.0274,4.25,4.96,76611.0
2025-09-09,5.15,5.19,4.9,5.1733,62154.0
2025-09-10,5.21,5.2999,5.02,5.02,88921.0
2025-09-11,6.08,6.2499,4.77,5.4,2740211.0
2025-09-12,5.52,5.7699,4.92,5.44,115494.0
2025-09-15,5.28,5.9439,5.1614,5.71,74636.0
2025-09-16,5.65,6.34,5.362,5.76,307743.0
2025-09-17,5.34,6.0,5.25,5.89,68110.0
2025-09-18,5.735,6.04,5.735,5.85,68110.0
2025-09-19,5.7,6.1899,5.639,5.99,46074.0
2025-09-22,5.74,6.74,5.74,6.35,99105.0
2025-09-23,6.25,6.5425,6.15,6.28,41555.0
2025-09-24,6.29,6.74,6.29,6.42,37469.0
2025-09-25,6.6,6.6,5.9,6.12,57020.0
2025-09-26,5.9,6.78,5.9,6.7,78606.0
2025-09-29,6.38,7.07,6.3679,6.78,54017.0
2025-09-30,6.71,7.01,6.645,6.87,2489716.0
2025-10-01,8.36,8.369,6.56,6.73,708658.0
2025-10-02,6.93,7.32,6.26,7.09,138389.0
2025-10-03,6.8,7.7674,6.8,7.09,82210.0
2025-10-06,6.76,7.47,6.76,7.08,122910.0
2025-10-07,6.7,7.01,6.7,6.72,68452.0
2025-10-08,6.7,7.1381,6.7,6.88,37475.0
2025-10-09,6.6,6.85,6.6,6.78,26622.0
2025-10-10,6.7,6.81,6.3,6.31,57742.0
2025-10-13,6.44,6.52,5.8601,6.22,25005.0
2025-10-14,6.215,6.4953,6.21,6.35,36839.0
2025-10-15,6.16,6.5,6.16,6.5,555357.0
2025-10-16,6.11,6.44,5.7665,5.89,90823.0
2025-10-17,5.9,6.2,5.83,5.899,16947.0
2025-10-20,5.95,6.5,5.8607,6.4459,37089.0
2025-10-21,6.1242,6.5,6.1242,6.26,25235.0
2025-10-22,6.2,6.2499,5.83,6.2499,29741.0
2025-10-23,5.84,6.09,5.7184,5.9999,55927.0
2025-10-24,5.7114,6.1056,5.71,5.78,27554.0
2025-10-27,5.76,5.85,5.37,5.55,24179.0
2025-10-28,5.55,5.65,5.36,5.46,28425.0
2025-10-29,5.52,5.645,5.33,5.58,20049.0
2025-10-30,5.36,5.54,5.15,5.2,20310.0
2025-10-31,5.35,5.42,5.2101,5.3799,11572.0
2025-11-03,5.23,5.69,5.23,5.5,8994.0
2025-11-04,5.48,5.48,5.2,5.2025,17243.0
2025-11-05,5.26,5.68,5.16,5.6,20263.0
2025-11-06,5.62,5.8,5.61,5.77,14301.0
2025-11-07,5.72,5.76,5.24,5.445,14483.0
2025-11-10,5.3,5.45,5.2001,5.42,12053.0
2025-11-11,5.42,5.84,5.34,5.5,14839.0
2025-11-12,5.84,5.84,5.25,5.61,5779.0
2025-11-13,5.25,5.56,5.17,5.4,7857.0
2025-11-14,5.215,5.6,5.14,5.3,23501.0
2025-11-17,5.3,5.3,5.1,5.24,8199.0
2025-11-18,5.0,5.15,5.0,5.11,3045.0
2025-11-19,5.12,5.4,5.12,5.26,4898.0
2025-11-20,5.1198,5.26,5.08,5.08,4243.0
2025-11-21,5.1,5.31,5.1,5.165,12647.0
2025-11-24,5.3,5.3,5.185,5.2099,15172.0
2025-11-25,5.36,5.44,5.2,5.3,21979.0
2025-11-26,5.34,5.58,5.23,5.23,21286.0
2025-11-28,5.38,5.695,5.38,5.64,36120.0
2025-12-01,5.5925,5.74,5.5323,5.74,32142.0
2025-12-02,5.74,5.94,5.46,5.85,61613.0
2025-12-03,5.83,5.95,5.63,5.89,55584.0
2025-12-04,5.95,6.6759,5.71,6.0,101088.0
2025-12-05,6.5,6.5,5.285,6.01,7563722.0
2025-12-08,9.51,26.36,8.62,22.01,24251498.0
2025-12-09,6.75,7.0,6.0,6.0,4562321.0
2025-12-10,5.98,5.98,4.65,4.95,819371.0
2025-12-11,4.71,5.4,4.4,4.65,556732.0
2025-12-12,4.72,4.74,4.41,4.42,174859.0
2025-12-15,4.49,4.49,3.9011,3.91,158319.0
2025-12-16,3.95,3.95,3.2501,3.53,112177.0
2025-12-17,3.5,3.95,3.49,3.71,141475.0
2025-12-18,3.7,4.28,3.6366,4.04,193759.0
2025-12-19,4.06,4.1994,3.8,3.82,140615.0
2025-12-22,3.89,4.2,3.855,3.96,88554.0
2025-12-23,3.9,3.92,3.55,3.69,80813.0
2025-12-24,3.62,3.79,3.56,3.74,44874.0
2025-12-26,3.73,3.79,3.56,3.64,110204.0
2025-12-29,3.59,3.71,3.46,3.6,110603.0
2025-12-30,3.56,3.66,3.51,3.51,48589.0
2025-12-31,3.5,3.6899,3.29,3.29,87914.0
2026-01-02,3.34,3.69,3.34,3.52,147557.0
2026-01-05,3.55,3.6,3.36,3.45,82954.0
2026-01-06,3.46,3.5,3.38,3.49,50310.0
2026-01-07,3.44,3.99,3.44,3.689,118621.0
2026-01-08,3.56,3.7745,3.56,3.71,49470.0
2026-01-09,3.72,3.755,3.54,3.56,65448.0
2026-01-12,3.56,3.6592,3.53,3.55,74108.0
2026-01-13,3.55,3.7,3.39,3.5,74497.0
2026-01-14,3.42,3.48,3.38,3.43,101243.0
2026-01-15,3.47,3.49,3.36,3.44,67495.0
2026-01-16,3.44,3.69,3.4,3.48,131648.0
2026-01-20,8.0,8.18,4.68,5.37,49362299.0
2026-01-21,4.29,4.7199,3.9,4.41,1004475.0
