Date,Open,High,Low,Close,Volume
2024-01-02,2.27,2.3648,2.25,2.33,12041.0
2024-01-03,2.32,2.32,2.26,2.3,10957.0
2024-01-04,2.3,2.36,2.27,2.28,11783.0
2024-01-05,2.26,2.32,2.26,2.28,18326.0
2024-01-08,2.28,2.36,2.28,2.36,22916.0
2024-01-09,2.33,2.36,2.2901,2.36,12873.0
2024-01-10,2.36,2.37,2.288,2.37,21064.0
2024-01-11,2.35,2.36,2.32,2.34,10268.0
2024-01-12,2.36,2.3681,2.28,2.28,20562.0
2024-01-16,2.28,2.31,2.26,2.28,12458.0
2024-01-17,2.27,2.3,2.27,2.28,12420.0
2024-01-18,2.29,2.29,2.26,2.27,16702.0
2024-01-19,2.31,2.31,2.13,2.231,27408.0
2024-01-22,2.12,2.3,2.12,2.24,20876.0
2024-01-23,2.24,2.34,2.24,2.31,39461.0
2024-01-24,2.29,2.34,2.2201,2.29,8176.0
2024-01-25,2.29,2.32,2.28,2.3,11601.0
2024-01-26,2.28,2.3102,2.2614,2.27,5792.0
2024-01-29,2.27,2.3104,2.27,2.3,12588.0
2024-01-30,2.3,2.32,2.27,2.2927,6644.0
2024-01-31,2.27,2.32,2.26,2.26,8126.0
2024-02-01,2.29,2.29,2.26,2.26,10574.0
2024-02-02,2.26,2.33,2.26,2.27,10060.0
2024-02-05,2.25,2.29,2.25,2.29,6958.0
2024-02-06,2.26,2.31,2.26,2.29,16108.0
2024-02-07,2.28,2.28,2.22,2.27,12905.0
2024-02-08,2.217,2.29,2.217,2.29,6322.0
2024-02-09,2.23,2.29,2.2208,2.29,12718.0
2024-02-12,2.23,2.3,2.23,2.25,13848.0
2024-02-13,2.23,2.28,2.23,2.24,7361.0
2024-02-14,2.25,2.29,2.2301,2.29,8823.0
2024-02-15,2.27,2.28,2.23,2.24,9623.0
2024-02-16,2.28,2.28,2.23,2.26,12478.0
2024-02-20,2.26,2.2801,2.22,2.27,20524.0
2024-02-21,2.24,2.27,2.2243,2.26,8213.0
2024-02-22,2.25,2.27,2.23,2.26,16711.0
2024-02-23,2.23,2.25,2.2207,2.25,16591.0
2024-02-26,2.24,2.3,2.24,2.29,29600.0
2024-02-27,2.2347,2.36,2.22,2.35,27188.0
2024-02-28,2.35,2.39,2.2711,2.37,20167.0
2024-02-29,2.38,2.4078,2.29,2.4,13315.0
2024-03-01,2.4,2.59,2.24,2.54,72820.0
2024-03-04,2.59,2.66,2.5454,2.635,50582.0
2024-03-05,2.64,2.72,2.6201,2.69,26684.0
2024-03-06,2.74,2.75,2.38,2.45,37247.0
2024-03-07,2.31,2.49,2.1427,2.29,37432.0
2024-03-08,2.36,2.44,2.26,2.33,18487.0
2024-03-11,2.32,2.5116,2.23,2.23,45428.0
2024-03-12,2.24,2.4,2.23,2.385,14376.0
2024-03-13,2.34,2.48,2.34,2.38,14673.0
2024-03-14,2.36,2.43,2.32,2.36,24784.0
2024-03-15,2.3,2.4,2.3,2.4,14469.0
2024-03-18,2.43,2.6148,2.21,2.3,54609.0
2024-03-19,2.3,2.41,2.24,2.29,20854.0
2024-03-20,2.32,2.3999,2.2701,2.35,8125.0
2024-03-21,2.36,2.4,2.3,2.3,8102.0
2024-03-22,2.36,2.3935,2.26,2.29,36752.0
2024-03-25,2.34,2.34,2.24,2.29,14714.0
2024-03-26,2.3,2.3,2.24,2.25,12228.0
2024-03-27,2.26,2.3,2.2101,2.25,12752.0
2024-03-28,2.26,2.31,2.25,2.29,12332.0
2024-04-01,2.35,2.3798,2.28,2.32,20452.0
2024-04-02,2.31,2.37,2.2423,2.245,12911.0
2024-04-03,2.23,2.2735,2.22,2.225,44449.0
2024-04-04,2.25,2.28,2.2247,2.24,53919.0
2024-04-05,2.26,2.26,2.205,2.205,12991.0
2024-04-08,2.15,2.24,2.15,2.16,46013.0
2024-04-09,2.16,2.34,2.03,2.15,88600.0
2024-04-10,2.16,2.24,2.074,2.11,19434.0
2024-04-11,2.1,2.11,2.05,2.08,28125.0
2024-04-12,2.08,2.08,1.96,1.9899,32038.0
2024-04-15,1.99,2.05,1.95,1.95,38139.0
2024-04-16,2.02,2.02,1.86,1.9,45679.0
2024-04-17,1.95,2.0225,1.88,1.89,29032.0
2024-04-18,1.96,1.9897,1.8801,1.89,5739.0
2024-04-19,1.8801,1.982,1.86,1.86,10302.0
2024-04-22,1.87,1.93,1.86,1.88,19137.0
2024-04-23,1.87,1.89,1.86,1.88,20731.0
2024-04-24,1.89,1.93,1.86,1.92,14863.0
2024-04-25,1.88,1.91,1.87,1.87,10593.0
2024-04-26,1.87,1.9,1.86,1.86,6236.0
2024-04-29,1.88,1.93,1.86,1.89,31793.0
2024-04-30,1.91,1.95,1.85,1.88,15720.0
2024-05-01,1.89,1.9095,1.8535,1.885,9225.0
2024-05-02,1.87,1.92,1.87,1.895,7151.0
2024-05-03,1.9,1.92,1.84,1.88,24634.0
2024-05-06,1.9,1.98,1.86,1.96,14792.0
2024-05-07,1.98,2.01,1.89,1.96,16667.0
2024-05-08,1.99,2.03,1.9851,2.03,7152.0
2024-05-09,2.02,2.03,1.97,2.03,14775.0
2024-05-10,2.01,2.03,2.0,2.03,7485.0
2024-05-13,2.02,2.08,2.0,2.08,10194.0
2024-05-14,2.07,2.1,2.031,2.04,14885.0
2024-05-15,2.05,2.1,2.0316,2.09,10244.0
2024-05-16,2.07,2.13,2.05,2.12,19904.0
2024-05-17,2.13,2.25,2.09,2.22,22150.0
2024-05-20,2.17,2.19,2.13,2.14,15555.0
2024-05-21,2.14,2.14,2.05,2.09,5446.0
2024-05-22,2.1,2.1722,2.064,2.14,6005.0
2024-05-23,2.0601,2.14,2.06,2.11,18525.0
2024-05-24,2.08,2.14,2.08,2.14,8092.0
2024-05-28,2.14,2.2,2.081,2.2,11461.0
2024-05-29,2.09,2.19,2.09,2.18,5665.0
2024-05-30,2.18,2.2,2.1201,2.13,11406.0
2024-05-31,2.11,2.22,2.1,2.22,10453.0
2024-06-03,2.22,2.22,2.1201,2.21,12085.0
2024-06-04,2.2,2.2,2.11,2.17,7702.0
2024-06-05,2.14,2.2183,2.05,2.1,26434.0
2024-06-06,2.1,2.11,2.0391,2.1,7822.0
2024-06-07,2.06,2.14,2.0208,2.1,6731.0
2024-06-10,2.09,2.17,2.05,2.08,11611.0
2024-06-11,2.06,2.085,2.0001,2.08,13307.0
2024-06-12,2.07,2.0931,2.02,2.05,10893.0
2024-06-13,2.03,2.0499,1.96,1.98,14674.0
2024-06-14,1.98,2.05,1.98,2.03,10661.0
2024-06-17,2.03,2.04,1.96,1.99,14772.0
2024-06-18,1.97,2.0,1.86,1.86,19245.0
2024-06-20,1.95,1.96,1.85,1.85,16753.0
2024-06-21,1.84,1.925,1.84,1.92,36355.0
2024-06-24,1.91,1.915,1.81,1.81,25537.0
2024-06-25,1.81,1.87,1.81,1.81,8222.0
2024-06-26,1.82,1.8615,1.72,1.72,12369.0
2024-06-27,1.71,1.84,1.67,1.74,62506.0
2024-06-28,1.75,1.83,1.61,1.61,37799.0
2024-07-01,1.69,1.8232,1.66,1.71,26150.0
2024-07-02,1.71,1.75,1.65,1.66,33884.0
2024-07-03,1.65,1.745,1.57,1.57,10542.0
2024-07-05,1.57,1.57,1.4302,1.51,50942.0
2024-07-08,1.5,1.73,1.4769,1.7003,33411.0
2024-07-09,1.79,1.8411,1.755,1.78,27135.0
2024-07-10,1.81,1.81,1.6969,1.75,8889.0
2024-07-11,1.77,1.83,1.7088,1.78,12067.0
2024-07-12,1.83,1.87,1.79,1.85,32524.0
2024-07-15,1.85,1.85,1.8,1.83,12755.0
2024-07-16,1.85,1.9053,1.82,1.87,7967.0
2024-07-17,1.85,1.9,1.771,1.801,9859.0
2024-07-18,1.77,1.89,1.77,1.81,5162.0
2024-07-19,1.81,1.88,1.81,1.84,6836.0
2024-07-22,1.88,1.88,1.75,1.78,17423.0
2024-07-23,1.74,1.82,1.723,1.79,8913.0
2024-07-24,1.81,1.8133,1.78,1.8,10094.0
2024-07-25,1.8,1.8,1.711,1.79,8156.0
2024-07-26,1.83,1.8438,1.72,1.83,7528.0
2024-07-29,1.79,1.8394,1.73,1.73,8446.0
2024-07-30,1.75,1.79,1.75,1.775,3978.0
2024-07-31,1.77,1.77,1.74,1.75,6719.0
2024-08-01,1.73,1.75,1.66,1.68,15729.0
2024-08-02,1.63,1.75,1.58,1.6,12040.0
2024-08-05,1.54,1.8794,1.5101,1.69,51301.0
2024-08-06,1.79,1.81,1.5661,1.74,34171.0
2024-08-07,1.77,1.77,1.7063,1.73,3711.0
2024-08-08,1.6439,1.8308,1.6439,1.8308,23395.0
2024-08-09,1.74,1.7698,1.7,1.73,10728.0
2024-08-12,1.74,1.749,1.65,1.67,11369.0
2024-08-13,1.75,1.818,1.68,1.71,11313.0
2024-08-14,1.69,1.69,1.61,1.626,11048.0
2024-08-15,1.66,1.68,1.6,1.61,8576.0
2024-08-16,1.6,1.6708,1.6,1.66,9559.0
2024-08-19,1.65,1.67,1.61,1.65,8527.0
2024-08-20,1.65,1.71,1.6101,1.645,26042.0
2024-08-21,1.64,1.71,1.64,1.685,17585.0
2024-08-22,1.71,1.8,1.6482,1.75,24154.0
2024-08-23,1.79,1.82,1.73,1.77,17533.0
2024-08-26,1.75,1.9,1.75,1.89,51358.0
2024-08-27,1.93,1.95,1.88,1.92,12451.0
2024-08-28,1.92,1.94,1.8774,1.94,5578.0
2024-08-29,1.94,1.95,1.835,1.88,6990.0
2024-08-30,1.88,1.95,1.8704,1.885,5322.0
