Date,Open,High,Low,Close,Volume
2025-06-09,1.15,1.15,1.14,1.15,44568.0
2025-06-10,1.14,1.19,1.14,1.17,161200.0
2025-06-11,1.16,1.25,1.16,1.19,248002.0
2025-06-12,1.19,1.24,1.17,1.19,41579.0
2025-06-13,1.18,1.18,1.14,1.15,44005.0
2025-06-16,1.14,1.168,1.14,1.14,39026.0
2025-06-17,1.13,1.16,1.13,1.15,64581.0
2025-06-18,1.15,1.16,1.14,1.15,33535.0
2025-06-20,1.15,1.35,1.13,1.26,1003508.0
2025-06-23,1.25,1.3,1.17,1.26,311414.0
2025-06-24,1.26,1.31,1.2234,1.27,164816.0
2025-06-25,1.29,1.33,1.28,1.3,118039.0
2025-06-26,1.31,1.315,1.28,1.31,71716.0
2025-06-27,1.3,1.33,1.2806,1.32,126174.0
2025-06-30,1.31,1.33,1.2801,1.29,69549.0
2025-07-01,1.29,1.3294,1.26,1.26,76850.0
2025-07-02,1.25,1.279,1.2401,1.27,65824.0
2025-07-03,1.27,1.295,1.26,1.26,44350.0
2025-07-07,1.26,1.29,1.26,1.27,48458.0
2025-07-08,1.27,1.29,1.27,1.27,69765.0
2025-07-09,1.27,1.28,1.26,1.26,73270.0
2025-07-10,1.27,1.28,1.2688,1.27,60526.0
2025-07-11,1.27,1.5,1.26,1.4,305115.0
2025-07-14,1.41,1.5,1.38,1.49,182200.0
2025-07-15,1.5,1.54,1.47,1.52,179151.0
2025-07-16,1.51,1.8,1.4902,1.62,341227.0
2025-07-17,1.66,1.6785,1.59,1.59,161804.0
2025-07-18,1.6,1.6,1.52,1.55,144951.0
2025-07-21,1.57,1.62,1.55,1.55,64829.0
2025-07-22,1.54,1.58,1.53,1.56,84277.0
2025-07-23,1.57,1.5863,1.56,1.57,75923.0
2025-07-24,1.57,1.6263,1.57,1.6,75356.0
2025-07-25,1.6,1.63,1.58,1.61,79015.0
2025-07-28,1.63,1.6399,1.6,1.6,94259.0
2025-07-29,1.6,1.62,1.4788,1.5,105281.0
2025-07-30,1.51,1.53,1.4201,1.43,89442.0
2025-07-31,1.45,1.45,1.33,1.34,128420.0
2025-08-01,1.3,1.35,1.29,1.33,64363.0
2025-08-04,1.33,1.41,1.3,1.4,82987.0
2025-08-05,1.36,1.55,1.33,1.5,1429887.0
2025-08-06,1.45,1.48,1.38,1.39,135247.0
2025-08-07,1.42,1.445,1.35,1.36,133310.0
2025-08-08,1.37,1.39,1.37,1.38,35493.0
2025-08-11,1.38,1.38,1.26,1.26,142397.0
2025-08-12,1.25,1.28,1.2,1.27,100366.0
2025-08-13,1.26,1.28,1.25,1.26,65713.0
2025-08-14,1.24,1.28,1.225,1.27,62001.0
2025-08-15,1.25,1.27,1.23,1.25,96877.0
2025-08-18,1.25,1.26,1.2137,1.24,46122.0
2025-08-19,1.26,1.26,1.21,1.21,20505.0
2025-08-20,1.24,1.24,1.21,1.22,31746.0
2025-08-21,1.2,1.24,1.18,1.21,54953.0
2025-08-22,1.21,1.2516,1.2001,1.24,32518.0
2025-08-25,1.24,1.2443,1.205,1.23,51629.0
2025-08-26,1.22,1.26,1.2,1.2,71847.0
2025-08-27,1.2,1.2465,1.2,1.22,21595.0
2025-08-28,1.228,1.2461,1.18,1.18,34076.0
2025-08-29,1.19,1.22,1.14,1.15,63121.0
2025-09-02,1.14,1.17,1.14,1.16,53693.0
2025-09-03,1.14,1.18,1.14,1.16,15397.0
2025-09-04,1.19,1.38,1.17,1.37,160109.0
2025-09-05,1.4,1.4,1.2805,1.29,79674.0
2025-09-08,1.33,1.33,1.28,1.28,53195.0
2025-09-09,1.28,1.3099,1.2573,1.28,52801.0
2025-09-10,1.28,1.305,1.22,1.22,89711.0
2025-09-11,1.21,1.25,1.2,1.2,48399.0
2025-09-12,1.2,1.22,1.19,1.21,44473.0
2025-09-15,1.22,1.3261,1.205,1.27,45978.0
2025-09-16,1.26,1.29,1.19,1.21,22775.0
2025-09-17,1.19,1.55,1.19,1.45,1363769.0
2025-09-18,1.54,1.54,1.41,1.47,492369.0
2025-09-19,1.47,1.5,1.41,1.41,172323.0
2025-09-22,1.53,1.58,1.42,1.55,625652.0
2025-09-23,1.58,1.58,1.4801,1.5,227132.0
2025-09-24,1.52,1.54,1.46,1.47,115767.0
2025-09-25,1.45,1.49,1.4,1.43,113239.0
2025-09-26,1.45,1.4709,1.41,1.43,61636.0
2025-09-29,1.45,1.46,1.39,1.4,87565.0
2025-09-30,1.42,1.44,1.3994,1.41,38725.0
2025-10-01,1.4,1.46,1.4,1.44,97392.0
2025-10-02,1.43,1.54,1.43,1.53,113280.0
2025-10-03,1.53,1.53,1.4,1.4,271128.0
2025-10-06,1.41,1.475,1.41,1.41,154594.0
2025-10-07,1.43,1.44,1.36,1.37,104439.0
2025-10-08,1.38,1.4181,1.37,1.38,65356.0
2025-10-09,1.43,1.4499,1.38,1.41,59431.0
2025-10-10,1.4,1.44,1.35,1.37,86745.0
2025-10-13,1.38,1.3857,1.35,1.355,102096.0
2025-10-14,1.35,1.35,1.31,1.32,61921.0
2025-10-15,1.32,1.35,1.31,1.32,65270.0
2025-10-16,1.415,1.5,1.35,1.48,530309.0
2025-10-17,1.5,1.73,1.48,1.69,1140207.0
2025-10-20,1.76,1.88,1.7,1.87,925897.0
2025-10-21,1.89,1.92,1.65,1.68,590706.0
2025-10-22,1.66,1.78,1.6262,1.67,242925.0
2025-10-23,1.68,1.7699,1.57,1.63,222433.0
2025-10-24,1.66,1.68,1.595,1.62,184622.0
2025-10-27,1.57,1.64,1.51,1.62,1220499.0
2025-10-28,1.63,1.71,1.58,1.67,1255603.0
2025-10-29,1.74,1.81,1.65,1.77,1363793.0
2025-10-30,1.78,1.7999,1.5901,1.69,724507.0
2025-10-31,1.7,1.7199,1.6,1.61,581678.0
2025-11-03,1.64,1.6516,1.55,1.6,280170.0
2025-11-04,1.58,1.5963,1.5,1.505,402541.0
2025-11-05,1.51,1.5812,1.45,1.47,267882.0
2025-11-06,1.45,1.48,1.4,1.47,266003.0
2025-11-07,1.44,1.525,1.4,1.52,336509.0
2025-11-10,1.52,1.57,1.487,1.51,206599.0
2025-11-11,1.51,1.52,1.42,1.43,165027.0
2025-11-12,1.44,1.54,1.44,1.53,142187.0
2025-11-13,1.47,1.5196,1.35,1.355,322374.0
2025-11-14,1.36,1.45,1.36,1.42,140349.0
2025-11-17,1.45,1.49,1.38,1.47,301264.0
2025-11-18,1.48,1.5,1.36,1.41,262090.0
2025-11-19,1.43,1.435,1.35,1.37,169846.0
2025-11-20,1.37,1.47,1.34,1.35,256461.0
2025-11-21,1.34,1.36,1.28,1.32,164396.0
2025-11-24,1.3,1.3499,1.29,1.32,144787.0
2025-11-25,1.31,1.32,1.25,1.32,166710.0
2025-11-26,1.31,1.4,1.3,1.36,348880.0
2025-11-28,1.375,1.39,1.36,1.36,51109.0
2025-12-01,1.36,1.4,1.33,1.33,80208.0
2025-12-02,1.35,1.36,1.33,1.34,37361.0
2025-12-03,1.36,1.4,1.3406,1.4,91572.0
2025-12-04,1.4,1.4299,1.38,1.41,104409.0
2025-12-05,1.43,1.4699,1.393,1.4,93517.0
2025-12-08,1.42,1.48,1.41,1.45,161108.0
2025-12-09,1.45,1.535,1.44,1.52,221666.0
2025-12-10,1.48,1.55,1.48,1.48,216954.0
2025-12-11,1.48,1.495,1.39,1.39,274418.0
2025-12-12,1.4,1.44,1.34,1.35,191990.0
2025-12-15,1.35,1.4,1.34,1.35,94884.0
2025-12-16,1.4,1.4715,1.3789,1.41,298091.0
2025-12-17,1.45,1.4899,1.35,1.35,276555.0
2025-12-18,1.39,1.45,1.3747,1.38,195122.0
2025-12-19,1.36,1.46,1.36,1.39,494228.0
2025-12-22,1.41,1.455,1.38,1.44,320177.0
2025-12-23,1.42,1.42,1.36,1.37,220569.0
2025-12-24,1.36,1.41,1.3,1.33,129777.0
2025-12-26,1.35,1.35,1.25,1.27,304600.0
2025-12-29,1.25,1.26,1.22,1.25,243176.0
2025-12-30,1.23,1.2512,1.21,1.23,251522.0
2025-12-31,1.24,1.26,1.18,1.23,338040.0
2026-01-02,1.23,1.285,1.215,1.27,96030.0
2026-01-05,1.26,1.3299,1.25,1.26,56485.0
2026-01-06,1.24,1.285,1.24,1.26,89448.0
2026-01-07,1.26,1.32,1.26,1.29,127730.0
2026-01-08,1.28,1.3299,1.2718,1.31,117595.0
2026-01-09,1.3,1.33,1.2887,1.33,78754.0
2026-01-12,1.33,1.3454,1.27,1.28,130305.0
2026-01-13,1.27,1.3499,1.25,1.28,86179.0
2026-01-14,1.28,1.33,1.26,1.27,72894.0
2026-01-15,1.27,1.3,1.25,1.26,155903.0
2026-01-16,1.26,1.28,1.231,1.27,75554.0
2026-01-20,1.31,1.439,1.31,1.36,798134.0
2026-01-21,1.41,1.55,1.395,1.51,1696162.0
2026-01-22,1.54,1.57,1.44,1.47,582719.0
2026-01-23,1.48,1.496,1.435,1.48,191240.0
2026-01-26,1.47,1.47,1.3,1.38,949353.0
2026-01-27,1.43,1.43,1.36,1.38,226663.0
2026-01-28,1.38,1.51,1.37,1.49,1412746.0
2026-01-29,1.53,1.545,1.38,1.51,1285886.0
2026-01-30,1.49,1.51,1.39,1.39,607966.0
2026-02-02,1.42,1.49,1.4,1.47,435994.0
2026-02-03,1.49,1.49,1.38,1.4,412250.0
2026-02-04,1.39,1.4,1.27,1.32,490747.0
2026-02-05,1.28,1.3,1.23,1.23,343046.0
2026-02-06,1.24,1.29,1.23,1.26,221872.0
2026-02-09,1.28,1.305,1.26,1.29,145946.0
2026-02-10,1.29,1.31,1.26,1.26,186219.0
2026-02-11,1.26,1.2688,1.18,1.25,531683.0
2026-02-12,1.24,1.25,1.16,1.17,307510.0
2026-02-13,1.18,1.22,1.17,1.18,118706.0
2026-02-17,1.2,1.29,1.2,1.26,357650.0
2026-02-18,1.27,1.34,1.26,1.3,320661.0
2026-02-19,1.3,1.3187,1.2605,1.3,245848.0
2026-02-20,1.32,1.33,1.2739,1.3,402604.0
2026-02-23,1.29,1.31,1.2201,1.25,285642.0
2026-02-24,1.26,1.285,1.24,1.271,42100.0
2026-02-25,1.28,1.2824,1.24,1.27,166200.0
2026-02-26,1.26,1.269,1.23,1.25,108811.0
2026-02-27,1.23,1.25,1.22,1.2214,101680.0
2026-03-02,1.21,1.2455,1.2,1.22,150430.0
2026-03-03,1.21,1.215,1.16,1.19,250339.0
2026-03-04,1.2,1.23,1.17,1.175,168486.0
2026-03-05,1.18,1.19,1.15,1.15,186434.0
2026-03-06,1.15,1.214,1.15,1.17,557.0
2026-03-09,1.15,1.1859,1.15,1.165,116795.0
2026-03-10,1.17,1.2,1.165,1.17,104732.0
2026-03-11,1.18,1.1887,1.14,1.14,200538.0
2026-03-12,1.15,1.15,1.075,1.11,290308.0
2026-03-13,1.11,1.15,1.1,1.1,115689.0
2026-03-16,1.15,1.26,1.13,1.22,431042.0
2026-03-17,1.23,1.25,1.21,1.21,281569.0
2026-03-18,1.24,1.24,1.15,1.17,105047.0
2026-03-19,1.15,1.1778,1.11,1.15,232834.0
2026-03-20,1.15,1.22,1.1,1.16,742199.0
2026-03-23,1.18,1.24,1.1656,1.18,148353.0
