Date,Open,High,Low,Close,Volume
2025-06-09,1.235,1.28,1.19,1.19,1309155
2025-06-10,1.2,1.21,1.13,1.14,1187325
2025-06-11,1.15,1.2,1.11,1.13,712609
2025-06-12,1.11,1.1506,1.08,1.14,741829
2025-06-13,1.12,1.14,1.05,1.065,1053318
2025-06-16,1.06,1.085,1.045,1.06,681103
2025-06-17,1.04,1.09,1.04,1.08,361269
2025-06-18,1.08,1.1,1.06,1.08,286685
2025-06-20,1.09,1.1,1.04,1.05,392819
2025-06-23,1.07,1.08,1.025,1.05,375877
2025-06-24,1.05,1.08,1.03,1.05,389120
2025-06-25,1.04,1.1,0.9801,1.035,1169485
2025-06-26,1.01,1.14,1.01,1.12,842983
2025-06-27,1.11,1.14,1.0601,1.07,419629
2025-06-30,1.1,1.11,1.07,1.1,288536
2025-07-01,1.11,1.165,1.1,1.14,478449
2025-07-02,1.16,1.25,1.142,1.24,1242741
2025-07-03,1.25,1.28,1.22,1.27,615121
2025-07-07,1.25,1.28,1.24,1.25,749713
2025-07-08,1.26,1.35,1.25,1.32,1061836
2025-07-09,1.34,1.44,1.3306,1.39,1127275
2025-07-10,1.44,1.47,1.28,1.3,1977297
2025-07-11,1.29,1.38,1.28,1.36,816689
2025-07-14,1.36,1.3994,1.3,1.32,742394
2025-07-15,1.32,1.33,1.27,1.29,590529
2025-07-16,1.29,1.3099,1.265,1.29,509409
2025-07-17,1.29,1.35,1.29,1.35,481186
2025-07-18,1.37,1.38,1.31,1.33,346075
2025-07-21,1.33,1.39,1.3207,1.38,622003
2025-07-22,1.38,1.405,1.34,1.39,594472
2025-07-23,1.41,1.41,1.37,1.4,354169
2025-07-24,1.41,1.4188,1.36,1.41,528593
2025-07-25,1.41,1.53,1.38,1.52,1302363
2025-07-28,1.52,1.52,1.41,1.47,939226
2025-07-29,1.47,1.4793,1.36,1.38,1055391
2025-07-30,1.37,1.44,1.37,1.37,631517
2025-07-31,1.39,1.47,1.37,1.42,630133
2025-08-01,1.4,1.54,1.38,1.54,1168270
2025-08-04,1.57,1.67,1.52,1.65,1794788
2025-08-05,1.65,1.7,1.595,1.69,1274338
2025-08-06,1.7,1.72,1.631,1.71,1024037
2025-08-07,1.69,1.72,1.64,1.67,985774
2025-08-08,1.68,1.72,1.61,1.72,1218818
2025-08-11,2.27,2.45,1.93,2.31,23251850
2025-08-12,2.345,2.6899,2.34,2.48,6537044
2025-08-13,2.52,2.64,2.49,2.6,2509464
2025-08-14,2.6,2.905,2.54,2.82,3594522
2025-08-15,2.85,2.9,2.55,2.57,2928816
2025-08-18,2.52,2.95,2.52,2.9,3679272
2025-08-19,2.93,2.93,2.63,2.74,2871888
2025-08-20,2.71,2.8792,2.57,2.86,2716662
2025-08-21,2.82,2.92,2.7401,2.88,1492428
2025-08-22,2.89,3.05,2.8,2.96,2020400
2025-08-25,2.99,3.11,2.86,2.92,2638449
2025-08-26,2.92,3.005,2.87,2.96,1997398
2025-08-27,2.97,3.08,2.8805,3.03,1709671
2025-08-28,3.08,3.22,2.965,3.15,2774767
2025-08-29,3.15,3.39,3.0601,3.27,3226347
2025-09-02,3.16,3.18,2.62,2.72,7507503
2025-09-03,2.655,2.825,2.525,2.58,5332084
2025-09-04,2.51,2.72,2.17,2.66,6885567
2025-09-05,2.67,2.7901,2.55,2.67,2164513
2025-09-08,2.65,2.7,2.509,2.55,2107759
2025-09-09,2.53,2.645,2.5,2.6,1241932
2025-09-10,2.59,2.6261,2.51,2.52,990583
2025-09-11,2.44,2.5688,2.38,2.5,1588509
2025-09-12,2.49,2.685,2.47,2.64,1122660
2025-09-15,2.62,2.72,2.5171,2.64,1194801
2025-09-16,2.69,2.7207,2.56,2.63,1104442
2025-09-17,2.61,2.67,2.502,2.57,1324146
2025-09-18,2.57,2.75,2.5356,2.71,1847743
2025-09-19,2.77,2.8,2.56,2.63,2291187
2025-09-22,2.66,2.92,2.66,2.89,2483639
2025-09-23,2.89,2.9,2.74,2.74,1723414
2025-09-24,2.75,2.86,2.67,2.82,1407799
2025-09-25,2.75,2.8,2.7,2.76,868582
2025-09-26,2.77,2.7969,2.61,2.64,1364773
2025-09-29,3.07,3.43,3.0,3.33,8407257
2025-09-30,3.34,3.34,3.06,3.13,2103169
2025-10-01,3.1,3.1,2.85,2.93,3226550
2025-10-02,2.99,2.99,2.76,2.83,2320993
2025-10-03,2.84,3.01,2.8,2.84,3090273
2025-10-06,3.0,3.4399,3.0,3.27,7613735
