Date,Open,High,Low,Close,Volume
2025-07-10,3.64,3.64,3.52,3.52,2584
2025-07-11,3.6274,3.6274,3.5,3.5,2690
2025-07-14,3.51,3.6,3.5,3.6,8865
2025-07-15,3.48,3.65,3.36,3.49,13053
2025-07-16,3.39,3.55,3.37,3.37,4349
2025-07-17,3.3149,3.48,3.3149,3.32,5492
2025-07-18,3.36,3.4199,3.22,3.22,6146
2025-07-21,3.3,3.3448,3.24,3.24,3155
2025-07-22,3.31,3.53,3.2194,3.28,5316
2025-07-23,3.4265,3.4499,3.23,3.23,5478
2025-07-24,3.25,3.29,3.19,3.19,5781
2025-07-25,3.18,3.24,3.03,3.03,6820
2025-07-28,3.0958,3.14,2.95,3.0,8153
2025-07-29,3.2444,3.3499,2.75,2.93,72913
2025-07-30,3.09,3.2999,2.89,2.89,76329
2025-07-31,2.92,3.3099,2.92,2.94,68585
2025-08-01,3.108,3.24,2.8,2.88,91461
2025-08-04,2.95,2.975,2.78,2.83,6537
2025-08-05,2.8217,2.86,2.76,2.86,6515
2025-08-06,2.8,2.945,2.77,2.77,3331
2025-08-07,2.7753,2.7753,2.75,2.75,6480
2025-08-08,2.9325,2.9325,2.75,2.75,6314
2025-08-11,2.7,2.7,2.56,2.69,19681
2025-08-12,2.7,2.96,2.6999,2.88,6704
2025-08-13,2.87,2.9,2.72,2.72,5884
2025-08-14,2.78,2.8503,2.68,2.68,4227
2025-08-15,2.7,2.71,2.66,2.66,2943
2025-08-18,2.63,2.66,2.5389,2.55,5468
2025-08-19,2.55,2.5579,2.55,2.55,2189
2025-08-20,2.5001,2.85,2.5,2.83,17444
2025-08-21,2.85,2.85,2.64,2.64,4599
2025-08-22,2.76,2.96,2.76,2.96,4735
2025-08-25,2.96,3.22,2.82,2.82,12270
2025-08-26,2.875,3.15,2.85,3.01,5920
2025-08-27,3.03,3.17,2.81,2.99,9356
2025-08-28,2.97,2.98,2.91,2.91,5014
2025-08-29,2.85,2.9,2.85,2.9,2464
2025-09-02,2.78,2.95,2.78,2.8,4064
2025-09-03,2.78,2.9,2.78,2.9,5312
2025-09-04,3.0,3.0,2.99,2.99,2178
2025-09-05,2.859,2.99,2.859,2.99,1695
2025-09-08,3.0,3.0,2.85,2.86,4341
2025-09-09,2.9796,3.09,2.975,3.09,4295
2025-09-10,3.0876,3.21,2.78,2.89,10275
2025-09-11,2.855,3.1,2.855,3.1,3894
2025-09-12,3.025,3.1345,2.86,2.9,4794
2025-09-15,3.0,3.0,2.77,2.83,2912
2025-09-16,2.7835,3.25,2.7835,3.25,22608
2025-09-17,3.35,3.39,3.0,3.09,10536
2025-09-18,3.22,3.28,3.22,3.28,3398
2025-09-19,3.11,3.13,3.03,3.04,26247
2025-09-22,3.13,3.14,3.11,3.14,4196
2025-09-23,3.0702,3.0702,3.05,3.05,2783
2025-09-24,2.96,3.27,2.96,3.16,2276
2025-09-25,3.09,3.1,3.075,3.08,1484
2025-09-26,3.19,3.19,3.1,3.1,6463
2025-09-29,3.04,3.11,2.91,3.11,2313
2025-09-30,3.11,3.11,3.05,3.05,2836
2025-10-01,3.22,3.22,3.0001,3.09,1797
2025-10-02,3.0591,3.0591,3.03,3.03,1702
2025-10-03,3.03,3.2376,3.03,3.11,16780
2025-10-06,3.1343,3.15,3.1343,3.14,2927
2025-10-07,3.24,3.24,3.04,3.04,2794
2025-10-08,3.09,3.1217,3.0,3.0,2997
2025-10-09,2.99,3.057,2.91,2.91,1788
2025-10-10,2.9,3.06,2.79,2.79,5354
2025-10-13,2.95,3.07,2.81,3.07,4802
2025-10-14,3.055,3.08,3.02,3.02,5675
2025-10-15,2.9654,3.09,2.9654,3.09,5702
2025-10-16,3.13,3.21,3.045,3.1,4595
2025-10-17,3.05,3.21,3.04,3.2,7900
2025-10-20,3.16,3.34,3.16,3.34,1086
2025-10-21,3.33,3.33,3.23,3.23,2208
2025-10-22,3.1,3.23,3.045,3.23,5519
2025-10-23,3.18,3.28,3.029,3.28,7552
2025-10-24,3.29,3.35,3.245,3.35,2714
2025-10-27,3.29,3.33,3.22,3.33,4417
2025-10-28,3.32,3.32,3.32,3.32,1174
2025-10-29,3.27,3.295,3.23,3.23,3170
2025-10-30,3.31,3.35,3.225,3.35,3116
2025-10-31,3.326,3.35,3.32,3.32,5274
2025-11-03,3.35,3.35,3.1795,3.34,3924
2025-11-04,3.363,3.363,3.18,3.18,2423
2025-11-05,3.14,3.33,3.13,3.33,4142
2025-11-06,3.3499,3.35,3.2018,3.22,4007
2025-11-07,3.35,3.35,3.35,3.35,1060
2025-11-10,3.35,3.35,3.08,3.22,9894
2025-11-11,3.16,3.24,3.0825,3.21,3952
2025-11-12,3.1605,3.1605,3.14,3.14,1850
2025-11-13,3.14,3.14,3.055,3.06,16114
2025-11-14,3.1,3.14,3.06,3.06,2743
2025-11-18,3.17,3.17,2.97,3.04,12720
2025-11-19,3.04,3.04,2.89,2.89,6465
2025-11-20,2.95,3.0901,2.9301,2.95,12864
2025-11-21,2.96,3.02,2.777,2.9,7953
2025-11-24,2.9,2.9,2.77,2.77,11691
2025-11-25,2.8331,2.8331,2.75,2.79,8853
2025-11-26,2.8,3.0363,2.54,2.56,33237
2025-11-28,2.7,2.7,2.62,2.62,2259
2025-12-01,2.5,2.99,2.5,2.78,17911
2025-12-02,2.81,2.81,2.55,2.55,1970
2025-12-03,2.56,2.61,2.49,2.6,5848
2025-12-04,2.695,2.7855,2.51,2.51,9617
2025-12-05,2.65,2.69,2.54,2.61,14725
2025-12-08,2.68,2.73,2.5773,2.67,5438
