Date,Open,High,Low,Close,Volume
2024-01-02,1.77,1.99,1.77,1.8701,70856.0
2024-01-03,1.81,1.8498,1.79,1.8,16970.0
2024-01-04,1.82,1.82,1.739,1.7732,19086.0
2024-01-05,1.75,1.915,1.75,1.87,33701.0
2024-01-08,1.93,1.99,1.81,1.87,40301.0
2024-01-09,1.85,1.934,1.8198,1.84,19996.0
2024-01-10,1.89,2.075,1.78,2.06,95391.0
2024-01-11,2.18,2.67,2.11,2.1777,1150577.0
2024-01-12,1.94,1.99,1.68,1.7,181692.0
2024-01-16,1.78,1.78,1.57,1.6,58733.0
2024-01-17,1.55,1.63,1.18,1.2,144362.0
2024-01-18,1.18,1.18,1.02,1.08,72610.0
2024-01-19,1.08,1.1299,1.0211,1.11,25374.0
2024-01-22,1.22,1.22,1.1227,1.19,12369.0
2024-01-23,1.255,1.27,1.1846,1.27,11217.0
2024-01-24,1.26,1.29,1.1249,1.23,22616.0
2024-01-25,1.21,1.3,1.18,1.27,10773.0
2024-01-26,1.26,1.34,1.18,1.29,7739.0
2024-01-29,1.3,1.35,1.2399,1.35,16849.0
2024-01-30,1.33,1.39,1.2499,1.2639,25069.0
2024-01-31,1.33,1.3784,1.2,1.36,38017.0
2024-02-01,1.34,1.3899,1.3349,1.35,7493.0
2024-02-02,1.34,1.39,1.31,1.31,11767.0
2024-02-05,1.35,1.3983,1.32,1.36,22243.0
2024-02-06,1.37,1.3762,1.3001,1.37,6842.0
2024-02-07,1.39,1.5985,1.37,1.54,54821.0
2024-02-08,1.56,1.642,1.56,1.62,31659.0
2024-02-09,1.66,1.7199,1.46,1.6,25791.0
2024-02-12,1.54,1.55,1.46,1.4708,22512.0
2024-02-13,1.47,1.499,1.41,1.44,24176.0
2024-02-14,1.42,1.57,1.3189,1.42,34181.0
2024-02-15,1.44,1.44,1.3906,1.44,7242.0
2024-02-16,1.44,1.5194,1.428,1.49,10255.0
2024-02-20,1.46,1.5199,1.4,1.45,14961.0
2024-02-21,1.45,1.62,1.45,1.51,18216.0
2024-02-22,1.5101,1.5716,1.45,1.45,4702.0
2024-02-23,1.43,1.445,1.39,1.4,6380.0
2024-02-26,1.4,1.4,1.38,1.4,8666.0
2024-02-27,1.41,1.45,1.393,1.43,7910.0
2024-02-28,1.3905,1.395,1.255,1.29,35762.0
2024-02-29,1.27,1.38,1.27,1.3371,14362.0
2024-03-01,1.45,1.47,1.36,1.47,41298.0
2024-03-04,1.47,1.73,1.46,1.7,73471.0
2024-03-05,1.68,1.7299,1.59,1.66,59703.0
2024-03-06,1.74,1.78,1.6,1.6588,8459.0
2024-03-07,1.6001,1.685,1.55,1.6,16599.0
2024-03-08,1.65,1.66,1.57,1.6,21294.0
2024-03-11,1.68,1.7111,1.5394,1.57,5082.0
2024-03-12,1.56,1.66,1.5459,1.5459,8371.0
2024-03-13,1.55,1.62,1.55,1.58,5626.0
2024-03-14,1.56,1.5713,1.48,1.535,11328.0
2024-03-15,1.5398,1.6,1.4966,1.57,2767.0
2024-03-18,1.61,1.61,1.51,1.51,4678.0
2024-03-19,1.55,1.5799,1.52,1.52,5823.0
2024-03-20,1.5001,1.73,1.4813,1.49,38723.0
2024-03-21,1.46,1.57,1.46,1.53,7534.0
2024-03-22,1.5113,1.57,1.47,1.48,9544.0
2024-03-25,1.46,1.47,1.45,1.46,4585.0
2024-03-26,1.45,1.6,1.45,1.48,8456.0
2024-03-27,1.485,1.485,1.411,1.42,12433.0
2024-03-28,1.42,1.42,1.375,1.375,6141.0
2024-04-01,1.37,1.58,1.37,1.45,50071.0
2024-04-02,4.68,7.75,4.16,5.9,120972074.0
2024-04-03,9.07,9.9,6.18,6.41,47998819.0
2024-04-04,6.66,6.95,5.64,6.4,4950536.0
2024-04-05,5.72,5.9951,5.09,5.69,1176003.0
2024-04-08,6.27,6.45,5.07,5.6,2788899.0
2024-04-09,5.59,5.6,4.53,4.98,509817.0
2024-04-10,4.76,4.92,4.6,4.66,545538.0
2024-04-11,4.56,4.56,3.75,3.98,454836.0
2024-04-12,3.86,4.13,3.852,4.02,120493.0
2024-04-15,3.95,4.21,3.83,4.07,115312.0
2024-04-16,3.99,4.07,3.71,3.96,217344.0
2024-04-17,3.98,3.98,3.7,3.92,192713.0
2024-04-18,3.75,3.95,3.567,3.61,138113.0
2024-04-19,3.51,3.64,3.15,3.3258,168825.0
2024-04-22,3.25,3.8,3.25,3.54,122500.0
2024-04-23,3.47,3.7499,3.47,3.6,111017.0
2024-04-24,3.55,3.69,3.52,3.55,103734.0
2024-04-25,3.48,3.8,3.3606,3.72,111784.0
2024-04-26,3.79,3.79,3.53,3.64,108134.0
2024-04-29,3.62,4.0694,3.62,3.94,164202.0
2024-04-30,3.86,4.1,3.67,3.93,138049.0
2024-05-01,3.71,3.8371,3.3999,3.46,161668.0
2024-05-02,3.42,3.71,3.3054,3.71,136768.0
2024-05-03,3.82,4.05,3.62,3.76,244882.0
2024-05-06,3.9,4.63,3.5691,3.6,768480.0
2024-05-07,3.63,3.66,3.2,3.5,88834.0
2024-05-08,3.45,3.61,3.45,3.55,27870.0
2024-05-09,3.48,3.62,3.48,3.58,38208.0
2024-05-10,3.51,3.61,3.45,3.52,19490.0
2024-05-13,3.48,3.585,3.46,3.475,31200.0
2024-05-14,3.45,3.4596,3.31,3.37,49695.0
2024-05-15,3.48,3.48,3.31,3.39,16757.0
2024-05-16,3.35,3.39,3.15,3.21,49891.0
2024-05-17,3.24,3.24,3.0,3.21,59677.0
2024-05-20,3.12,3.395,3.12,3.31,37810.0
2024-05-21,3.41,3.5,3.26,3.5,39043.0
2024-05-22,3.31,3.625,3.31,3.43,37972.0
2024-05-23,3.47,3.65,3.23,3.37,109741.0
2024-05-24,3.43,3.43,3.23,3.28,29210.0
2024-05-28,3.27,3.28,3.12,3.16,28871.0
2024-05-29,3.2,3.2,2.8606,2.96,226893.0
2024-05-30,3.0,3.0099,2.79,2.89,34677.0
2024-05-31,2.91,2.94,2.82,2.93,17791.0
