Date,Open,High,Low,Close,Volume
2024-01-02,13.2,13.8,13.0812,13.44,5739.749997704101
2024-01-03,13.44,15.24,13.32,14.04,47454.583314351505
2024-01-04,14.4,14.4,13.2,13.5,14592.5833274963
2024-01-05,13.44,13.7988,13.2,13.56,5282.5833312203
2024-01-08,13.2,13.68,13.2,13.44,4478.0833315421005
2024-01-09,13.2,14.52,13.2,13.68,33279.4999866882
2024-01-10,13.56,13.8,13.2,13.32,8376.499996649402
2024-01-11,13.32,13.44,12.72,13.08,8784.083329819701
2024-01-12,12.84,13.08,12.6012,12.72,3181.0833320609004
2024-01-16,12.84,12.96,12.6,12.84,4349.6666649268
2024-01-17,12.84,12.96,12.7212,12.9,2993.9166654691003
2024-01-18,12.84,12.8532,12.12,12.48,8879.9166631147
2024-01-19,12.36,12.4848,12.0,12.0,7149.583330473501
2024-01-22,12.24,12.6,12.0,12.24,5143.3333312760005
2024-01-23,12.48,12.72,12.12,12.24,3273.3333320240004
2024-01-24,12.48,12.48,12.12,12.36,3048.8333321138
2024-01-25,12.24,12.36,12.12,12.12,11930.2499952279
2024-01-26,12.24,12.5016,12.1212,12.2412,2868.7499988525
2024-01-29,12.12,12.84,12.12,12.84,3957.0833317505
2024-01-30,12.48,12.96,12.24,12.36,2236.4999991054
2024-01-31,12.48,12.6,12.24,12.24,1759.2499992963
2024-02-01,12.48,12.48,12.0012,12.48,3236.4999987054
2024-02-02,12.24,12.6,12.1212,12.36,3755.0833318313
2024-02-05,12.0,12.36,12.0,12.24,3720.4999985118
2024-02-06,12.12,12.48,12.12,12.42,2124.3333324836003
2024-02-07,12.48,12.48,11.4,11.64,8714.083329847701
2024-02-08,11.28,12.12,11.28,12.0,3381.4999986474004
2024-02-09,12.48,12.48,10.6932,10.8,6945.7499972217
2024-02-12,10.872,14.04,10.872,13.44,91216.2499635135
2024-02-13,12.36,13.0884,11.5656,12.12,20243.0833252361
2024-02-14,12.12,12.72,12.12,12.72,5156.5833312707
2024-02-15,12.0,12.48,12.0,12.24,5201.166664586201
2024-02-16,12.12,12.48,12.0,12.24,2842.3333321964
2024-02-20,12.12,12.36,12.12,12.3468,3133.4999987466003
2024-02-21,12.12,12.36,12.0,12.0,3411.2499986355
2024-02-22,12.12,12.96,12.0012,12.12,22174.083324463703
2024-02-23,12.24,12.36,12.0,12.0012,3812.9999984748
2024-02-26,12.0,12.24,11.76,11.832,4783.583331419901
2024-02-27,11.7036,12.24,11.52,11.76,5086.1666646322
2024-02-28,11.76,12.12,11.76,12.12,2518.5833323259003
2024-02-29,12.0,12.36,11.88,12.24,4330.5833316011
2024-03-01,12.24,12.522,12.12,12.24,2840.4166655305003
2024-03-04,12.48,12.48,12.0,12.36,2587.8333322982003
2024-03-05,12.12,12.36,11.772,12.36,3952.916665085501
2024-03-06,12.12,12.48,11.88,12.24,5053.499997978601
2024-03-07,12.12,12.24,11.88,12.12,2696.1666655882004
2024-03-08,12.0,12.6,11.8872,12.24,5775.833331023
2024-03-11,12.36,12.48,12.0,12.1212,1692.1666659898
2024-03-12,11.88,12.36,11.88,12.12,1678.3333326620002
2024-03-13,12.0,12.36,12.0,12.12,1082.5833329003
2024-03-14,12.12,12.36,11.88,11.88,4295.3333316152
2024-03-15,12.48,13.08,12.0,12.6,19659.083325469703
2024-03-18,12.96,14.88,12.6012,13.32,71233.7499715065
2024-03-19,13.32,13.44,12.6,12.6,8134.166663413001
2024-03-20,12.84,13.2,12.0,12.36,8003.583330131901
2024-03-21,12.48,12.5184,12.24,12.36,3740.4999985038
2024-03-22,11.88,12.24,11.88,12.24,5466.416664480101
2024-03-25,12.0,14.4,12.0,12.36,71537.0833047185
2024-03-26,12.12,13.08,11.88,12.6,13374.8333279834
2024-03-27,12.6,12.72,12.12,12.12,5496.5833311347005
2024-03-28,12.12,12.6,12.12,12.36,3655.833331871
2024-04-01,12.36,12.36,12.12,12.36,2194.0833324557
2024-04-02,12.12,12.36,12.12,12.36,2268.333332426
2024-04-03,12.36,12.6,12.0,12.3612,2154.3333324716
2024-04-04,12.12,12.684,12.12,12.6,2488.5833323379
2024-04-05,12.48,12.48,12.12,12.24,3078.9999987684
2024-04-08,12.24,12.6,12.24,12.48,2078.3333325020003
2024-04-09,12.48,12.6,12.36,12.5748,1932.5833325603
2024-04-10,12.0,12.48,12.0,12.36,1134.6666662128
2024-04-11,12.24,12.4788,12.12,12.3612,927.499999629
2024-04-12,12.24,12.48,12.0,12.1212,4425.7499982297
2024-04-15,19.92,20.88,14.4,16.2,4482121.414873819
2024-04-16,15.36,15.6,13.2,13.8,161788.6666019512
2024-04-17,13.32,14.52,12.6,13.44,45905.5833149711
2024-04-18,13.2,15.48,13.08,13.8,48250.4999806998
2024-04-19,13.8,14.28,13.2,13.44,22964.249990814304
2024-04-22,12.84,13.44,12.144,12.36,24825.4999900698
2024-04-23,12.0,12.72,12.0,12.0,10594.6666624288
2024-04-24,11.88,12.36,11.88,12.0,9749.3333294336
2024-04-25,11.76,12.24,11.76,11.8572,6077.249997569101
2024-04-26,11.8572,12.3072,11.7612,12.0,11614.4999953542
2024-04-29,11.88,12.72,11.88,12.48,9320.1666629386
2024-04-30,12.6,13.08,12.3072,12.84,6223.166664177401
2024-05-01,11.76,12.24,11.166,11.1732,32144.499987142204
2024-05-02,11.16,11.5332,11.16,11.4048,7355.999997057601
2024-05-03,11.4,14.04,11.4,12.36,92543.5832963159
2024-05-06,11.7804,12.12,11.4,11.4,18117.749992752902
2024-05-07,11.4,11.52,10.7988,10.92,16132.4166602137
2024-05-08,11.4,11.88,10.68,11.52,25529.583323121504
2024-05-09,10.56,11.8332,10.2,11.8332,42629.0833162817
2024-05-10,11.7,11.7,10.794,11.088,12437.6666616916
2024-05-13,11.28,11.412,10.8,11.412,7125.666663816401
2024-05-14,11.52,11.9988,11.04,11.88,20708.1666583834
2024-05-15,11.9988,13.2,11.94,12.36,30212.499987915
2024-05-16,12.24,12.72,12.0,12.48,8670.833329865001
2024-05-17,12.24,12.6,12.24,12.36,4012.999998394801
2024-05-20,12.6,13.2,12.36,12.96,12784.2499948863
2024-05-21,12.96,12.96,12.24,12.36,4172.3333316644
2024-05-22,12.6,12.72,12.12,12.48,4249.4166649669005
2024-05-23,12.36,12.48,11.88,11.892,5714.0833310477
2024-05-24,12.0,12.36,11.82,11.9688,6487.499997405001
2024-05-28,12.12,12.24,11.52,12.0,17010.749993195703
2024-05-29,12.0,12.24,11.52,11.64,9783.2499960867
2024-05-30,11.52,11.88,11.52,11.7324,2484.5833323395
2024-05-31,11.76,12.0,11.6412,11.7984,3640.5833318771
2024-06-03,12.0,13.2,11.76,12.48,35484.5833191395
2024-06-04,11.76,12.1188,11.76,11.94,4768.9999980924
2024-06-05,11.88,12.36,11.6952,11.9412,6637.7499973449
2024-06-06,11.8428,11.88,11.28,11.4456,9787.6666627516
2024-06-07,11.52,11.7948,11.04,11.5224,5631.0833310809
2024-06-10,11.64,13.08,11.16,11.52,40159.0833172697
2024-06-11,11.6076,11.8788,11.16,11.3964,9831.7499960673
2024-06-12,11.28,11.28,10.8,11.0388,12560.6666616424
2024-06-13,10.896,11.5176,10.7124,11.4,5077.916664635501
2024-06-14,11.4,11.64,10.68,10.8696,7087.2499971651005
2024-06-17,10.8,11.1348,10.752,10.9368,8660.9166632023
2024-06-18,10.68,10.9188,10.3212,10.3812,8939.499996424202
2024-06-20,10.44,10.5612,10.08,10.08,4807.999998076801
2024-06-21,10.32,10.44,9.384,9.7008,10654.2499957383
2024-06-24,9.618,9.84,9.48,9.48,7632.0833302805
2024-06-25,9.48,9.48,8.7,9.0,7931.833330160601
