Date,Open,High,Low,Close,Volume
2025-07-11,490.05,670.0,490.05,609.95,631.916
2025-07-14,615.0,845.0,610.0,715.0,997.008
2025-07-15,740.0,740.0,645.05,715.05,269.714
2025-07-16,692.9,755.0,692.9,710.5,106.858
2025-07-17,732.5,824.95,732.0,785.0,174.452
2025-07-18,820.0,910.0,820.0,900.0,241.968
2025-07-21,945.0,1045.0,900.0,900.0,733.628
2025-07-22,915.0,940.0,810.0,835.0,145.572
2025-07-23,830.0,915.0,830.0,830.0,64.69600000000001
2025-07-24,825.0,855.0,695.0,720.0,117.476
2025-07-25,725.0,754.95,635.0,635.0,162.448
2025-07-28,635.0,675.0,600.0,645.0,300.516
2025-07-29,635.0,666.55,622.1,635.0,109.482
2025-07-30,615.0,710.0,595.0,625.0,167.886
2025-07-31,628.3,720.0,615.0,680.0,247.19000000000003
2025-08-01,700.0,754.95,680.0,695.0,342.15200000000004
2025-08-04,700.0,730.0,655.0,712.75,303.296
2025-08-05,685.0,745.0,685.0,725.0,67.89800000000001
2025-08-06,735.0,875.0,735.0,830.05,357.23600000000005
2025-08-07,840.0,950.0,840.0,875.0,211.08400000000003
2025-08-08,880.0,895.0,825.0,870.0,104.82
2025-08-11,875.0,951.55,813.05,895.0,105.128
2025-08-12,850.0,940.0,832.5,857.1,240.348
2025-08-13,900.0,910.0,820.0,840.0,180.362
2025-08-14,815.0,875.0,775.0,810.0,323.972
2025-08-15,785.0,860.0,785.0,800.0,173.80200000000002
2025-08-18,780.0,830.0,780.0,830.0,28.506
2025-08-19,820.0,855.0,780.0,805.0,174.26600000000002
2025-08-20,790.0,847.95,790.0,835.0,36.41
2025-08-21,844.0,924.9,820.0,840.0,157.032
2025-08-22,912.1,965.0,830.05,930.0,223.058
2025-08-25,990.0,990.0,885.0,937.5,116.488
2025-08-26,940.0,995.0,895.0,950.0,79.104
2025-08-27,950.0,970.0,905.0,945.0,35.168
2025-08-28,975.0,975.0,905.0,932.5,23.294
2025-08-29,950.0,955.0,925.5,940.0,22.652
2025-09-02,935.0,975.0,935.0,955.05,25.02
2025-09-03,960.0,995.0,954.95,990.0,102.696
2025-09-04,1000.0,1050.0,975.0,1050.0,88.542
2025-09-05,1075.0,1195.0,1020.8,1060.0,164.47400000000002
2025-09-08,1095.0,1199.95,975.0,1199.95,374.25
2025-09-09,1200.0,1568.8,1195.0,1500.0,773.796
2025-09-10,1575.0,1595.0,1500.0,1532.5,414.666
2025-09-11,1600.0,1840.0,1600.0,1724.95,442.012
2025-09-12,1740.0,2067.25,1705.0,2005.0,337.59000000000003
2025-09-15,2100.0,2120.35,1125.0,1250.0,1018.88
2025-09-16,1320.0,1500.0,1280.0,1307.5,318.23400000000004
2025-09-17,1480.0,1500.0,1320.0,1465.0,197.358
2025-09-18,1625.0,1750.0,1335.05,1545.0,283.868
2025-09-19,1620.0,1620.0,1462.55,1525.0,163.44600000000003
2025-09-22,1580.0,1580.0,1458.85,1510.0,111.902
2025-09-23,1515.85,1610.0,1500.0,1580.0,85.142
2025-09-24,1625.0,1625.0,1555.0,1565.0,95.67000000000002
2025-09-25,1565.0,1570.0,1510.0,1540.0,46.984
2025-09-26,1690.0,1690.0,1565.0,1590.0,64.584
2025-09-29,1600.0,1705.0,1590.1,1635.0,76.842
2025-09-30,1675.0,1950.0,1648.8,1720.0,407.78
2025-10-01,1455.0,1680.0,630.0,1595.0,16054.3
2025-10-02,1595.0,1735.0,1330.0,1650.0,2099.58
2025-10-03,1565.0,1638.25,1395.0,1500.0,427.882
2025-10-06,1490.0,1555.6,1432.65,1475.0,257.182
2025-10-07,1460.0,1725.0,1400.0,1405.0,485.778
2025-10-08,1430.0,1525.0,1305.05,1410.0,189.248
2025-10-09,1465.0,1530.0,1358.6,1390.0,98.44
2025-10-10,1450.0,1720.0,1400.0,1460.0,268.212
2025-10-13,1485.0,1560.0,1435.0,1530.0,124.102
2025-10-14,1530.0,1650.0,1477.9,1650.0,96.94
2025-10-15,1635.0,1635.0,1505.0,1505.0,57.946000000000005
2025-10-16,1530.0,1565.0,1422.5,1430.0,116.078
2025-10-17,1465.0,1477.7,1335.0,1355.0,123.536
2025-10-20,1365.0,1470.0,1330.05,1420.0,158.886
2025-10-21,1470.0,1545.0,1435.0,1470.0,153.054
2025-10-22,1445.0,1475.0,1325.0,1390.0,140.268
2025-10-23,1460.85,1475.85,1371.7,1380.05,13.66
2025-10-24,1440.0,1480.0,1335.0,1390.0,79.626
2025-10-27,1430.0,1500.0,1395.0,1450.0,81.01
2025-10-28,1470.0,1470.05,1405.0,1435.0,36.636
2025-10-29,1393.25,1417.5,1335.0,1366.15,98.984
2025-10-30,1340.1,1345.0,1180.0,1250.0,213.158
2025-10-31,1215.0,1315.0,1042.65,1080.0,565.362
2025-11-03,1145.0,1525.0,1105.0,1275.0,436.5220000000001
2025-11-04,1210.0,1295.0,1200.0,1202.4,60.116
2025-11-05,1160.0,1247.5,1125.0,1245.0,86.68
2025-11-06,1185.0,1245.0,1095.0,1095.0,104.54200000000002
2025-11-07,1075.0,1075.0,870.0,915.0,268.574
2025-11-10,880.0,944.95,855.0,855.0,97.278
2025-11-11,880.0,900.0,475.6,650.0,524.67
2025-11-12,160.75,160.95,122.0,145.0,62406.7
2025-11-13,154.95,155.0,100.0,115.5,54490.2
2025-11-14,103.25,107.975,89.0,102.85,25900.1
2025-11-17,102.0,102.0,94.95,97.5,12843.3
2025-11-18,97.5,97.5,82.5,85.0,10203.5
2025-11-19,94.3,94.85,84.05,87.55,46199.600000000006
2025-11-20,90.7,150.0,86.05,139.25,56116.8
2025-11-21,119.55,124.3,91.05,91.15,15186.2
2025-11-24,100.85,106.35,93.3,94.15,188194.4
2025-11-25,82.5,82.5,65.8,72.7,100058.8
2025-11-26,65.0,68.5,59.4,62.3,42362.100000000006
2025-11-28,67.2,67.2,56.05,57.75,22671.1
2025-12-01,59.0,59.0,51.55,54.85,26127.9
2025-12-02,53.5,53.5,45.05,48.3,23917.1
2025-12-03,49.95,51.05,46.05,46.4,17483.3
2025-12-04,49.85,49.85,45.05,47.05,31369.6
2025-12-05,47.9,50.0,44.0,45.9,30641.2
2025-12-08,46.5,51.3,46.35,51.0,25124.1
2025-12-09,47.5,50.7,46.3,47.25,18297.2
2025-12-10,48.35,50.35,40.1,43.95,18439.3
2025-12-11,43.25,57.0,41.85,53.5,35523.0
2025-12-12,49.8,51.25,46.25,51.25,12385.4
2025-12-15,48.7,56.95,46.7,54.85,17782.8
2025-12-16,51.0,51.2,45.8,50.55,4461.32
2025-12-17,50.25,50.35,47.25,47.6,4413.830000000001
2025-12-18,47.05,48.6,25.0,35.05,46098.4
2025-12-19,35.0,35.25,30.8,35.25,19956.800000000003
2025-12-22,33.9,39.1,31.776,36.7,15639.2
2025-12-23,33.6,34.0,31.105,31.9,10355.1
2025-12-24,30.8,30.8,26.5,27.6,7395.8
2025-12-26,26.8,29.3,26.5,27.0,5073.0
2025-12-29,26.7,29.0,26.7,27.6,4301.6
2025-12-30,27.25,28.158,25.0,25.7,3994.3
2025-12-31,26.5,26.5,23.704,24.3,5879.1
2026-01-02,23.8,25.5,23.71,24.6,4179.2
2026-01-05,24.3,26.175,24.2,24.9,3112.4
2026-01-06,23.7,24.799,22.3,22.7,4642.7
2026-01-07,22.6,24.6,21.8,24.1,3123.3
2026-01-08,23.5,25.5,23.3,23.4,3621.9
2026-01-09,24.0,24.0,23.4,23.4,1460.0
2026-01-12,22.85,24.5,22.2,23.5,2002.8
2026-01-13,23.2,23.5,23.0,23.2,2492.8
2026-01-14,23.1,24.239,22.6,23.0,1941.4
2026-01-15,22.501,27.15,22.501,26.2,6579.200000000001
2026-01-16,25.0,28.4,25.0,26.5,4835.0
2026-01-20,27.8,31.8,25.389,25.4,9417.5
