Date,Open,High,Low,Close,Volume
2025-07-11,6.72,7.95,6.44,6.82,1265306.0
2025-07-14,6.75,7.4,6.3,6.95,523033.0
2025-07-15,6.92,7.03,6.59,6.74,205410.0
2025-07-16,6.66,6.73,5.9,6.07,493691.0
2025-07-17,6.21,6.4562,5.71,5.73,299149.0
2025-07-18,5.58,5.95,5.26,5.82,269289.0
2025-07-21,5.8,5.8,5.17,5.44,340581.0
2025-07-22,5.43,5.7,5.3001,5.5,106008.0
2025-07-23,5.54,5.9427,5.42,5.61,103040.0
2025-07-24,5.55,5.6,5.33,5.42,127860.0
2025-07-25,5.39,5.5765,5.22,5.24,96435.0
2025-07-28,5.18,5.24,4.68,4.725,135291.0
2025-07-29,4.67,4.88,4.3987,4.46,143005.0
2025-07-30,4.3,4.71,4.3,4.52,69564.0
2025-07-31,4.44,4.5008,4.15,4.33,132548.0
2025-08-01,4.15,5.6899,4.1,5.18,982995.0
2025-08-04,5.17,5.21,4.65,4.76,183324.0
2025-08-05,4.78,5.0199,4.7,4.93,77280.0
2025-08-06,4.9,5.06,4.51,4.63,140945.0
2025-08-07,4.55,4.8762,4.31,4.52,56427.0
2025-08-08,4.51,4.6742,4.3282,4.4,95859.0
2025-08-11,4.45,4.715,4.31,4.58,107436.0
2025-08-12,4.6,4.83,4.48,4.75,108430.0
2025-08-13,4.7,4.8,4.601,4.61,53181.0
2025-08-14,4.5,4.8053,4.5,4.61,121884.0
2025-08-15,4.33,4.35,3.7229,4.11,339384.0
2025-08-18,4.12,4.525,4.0,4.45,142735.0
2025-08-19,4.44,4.57,4.21,4.27,108091.0
2025-08-20,4.1,4.25,3.54,4.13,366933.0
2025-08-21,4.16,4.6,4.0201,4.6,92267.0
2025-08-22,4.49,4.495,4.1622,4.2,163651.0
2025-08-25,4.2,4.8399,4.1,4.625,257162.0
2025-08-26,4.64,5.12,4.51,4.69,245201.0
2025-08-27,4.71,4.8214,4.585,4.595,52436.0
2025-08-28,4.58,4.93,4.5117,4.64,63312.0
2025-08-29,4.7,4.9339,4.23,4.33,96881.0
2025-09-02,4.33,4.5095,4.15,4.23,87882.0
2025-09-03,4.19,4.625,4.155,4.53,78856.0
2025-09-04,4.57,4.57,4.2004,4.4,49684.0
2025-09-05,4.34,4.4124,3.95,4.12,124046.0
2025-09-08,4.11,4.1343,3.8,3.83,183869.0
2025-09-09,3.83,4.02,3.8109,3.865,61643.0
2025-09-10,3.84,3.9789,3.71,3.81,76075.0
2025-09-11,3.7,3.8217,3.6,3.64,124656.0
2025-09-12,3.65,3.6694,3.46,3.47,98919.0
2025-09-15,3.55,3.66,3.34,3.38,134134.0
2025-09-16,3.43,3.5101,3.37,3.4,72455.0
2025-09-17,3.37,3.7,3.17,3.52,5430057.0
2025-09-18,3.51,3.545,3.34,3.34,513936.0
2025-09-19,3.33,3.5699,3.3058,3.44,249764.0
2025-09-22,3.4,3.61,3.38,3.38,365348.0
2025-09-23,3.4,3.49,3.36,3.36,160665.0
2025-09-24,3.33,3.5264,3.33,3.48,74706.0
2025-09-25,3.45,3.5797,3.32,3.35,110322.0
2025-09-26,3.33,3.4088,3.12,3.12,185211.0
2025-09-29,3.12,3.29,3.0641,3.13,105749.0
2025-09-30,3.17,3.45,3.0,3.1,921033.0
2025-10-01,3.12,3.2,2.95,3.19,248309.0
2025-10-02,3.19,3.34,3.125,3.2,172108.0
2025-10-03,3.14,3.3,3.14,3.19,121599.0
2025-10-06,3.2,3.42,3.1001,3.25,553521.0
2025-10-07,3.3,3.35,3.06,3.1,168634.0
2025-10-08,3.06,3.25,3.06,3.2,102511.0
2025-10-09,3.21,3.27,3.1,3.13,104817.0
2025-10-10,3.1,3.22,3.07,3.12,366857.0
2025-10-13,3.07,3.28,3.02,3.17,402549.0
2025-10-14,3.16,3.2347,3.1,3.18,277237.0
2025-10-15,3.22,3.2793,3.1,3.15,179065.0
2025-10-16,3.16,3.21,2.83,2.89,671450.0
2025-10-17,2.94,2.99,2.8,2.9,418612.0
2025-10-20,2.935,2.99,2.83,2.85,210318.0
2025-10-21,2.82,2.8899,2.6,2.76,370273.0
2025-10-22,2.77,2.79,2.585,2.67,239993.0
2025-10-23,2.65,3.0,2.65,2.97,326818.0
2025-10-24,2.98,3.105,2.95,3.01,90384.0
2025-10-27,3.05,3.05,2.6678,2.72,294353.0
2025-10-28,2.69,2.7499,2.5802,2.6,181303.0
2025-10-29,2.62,2.88,2.52,2.67,181412.0
2025-10-30,2.61,2.68,2.57,2.58,94783.0
2025-10-31,2.56,2.63,2.55,2.58,77878.0
2025-11-03,2.55,2.57,2.45,2.47,112168.0
2025-11-04,2.41,2.58,2.35,2.36,241735.0
2025-11-05,2.36,2.525,2.36,2.43,87978.0
2025-11-06,2.44,2.5396,2.3,2.32,133354.0
2025-11-07,2.36,2.58,2.3,2.57,207794.0
2025-11-10,2.58,2.6,2.47,2.54,38445.0
2025-11-11,2.54,2.67,2.535,2.59,48731.0
2025-11-12,2.62,2.72,2.5,2.52,105726.0
2025-11-13,2.51,2.51,2.36,2.42,113027.0
2025-11-14,2.38,2.4389,2.3,2.34,72137.0
2025-11-17,2.39,2.4783,2.3,2.39,92725.0
2025-11-18,2.4311,2.47,2.36,2.47,34252.0
2025-11-19,2.41,2.5,2.33,2.36,77063.0
2025-11-20,2.26,2.4799,2.115,2.12,273681.0
2025-11-21,2.14,2.23,2.1,2.2,81522.0
2025-11-24,2.23,2.23,2.03,2.15,268038.0
2025-11-25,2.16,2.23,2.1241,2.2,97966.0
2025-11-26,2.17,2.28,2.1501,2.24,113671.0
2025-11-28,2.28,2.33,2.24,2.26,108296.0
2025-12-01,2.26,2.2752,2.1,2.13,111011.0
2025-12-02,2.16,2.165,2.05,2.05,119287.0
2025-12-03,2.04,2.1,1.98,2.07,192549.0
2025-12-04,2.04,2.155,2.04,2.15,76057.0
2025-12-05,2.16,2.16,2.04,2.07,70169.0
2025-12-08,2.1,2.2,2.05,2.16,259520.0
2025-12-09,2.18,2.2103,2.12,2.16,54857.0
2025-12-10,2.13,2.28,2.12,2.19,162059.0
2025-12-11,2.22,2.22,2.11,2.11,94406.0
2025-12-12,2.18,2.1834,2.04,2.07,116559.0
2025-12-15,2.13,2.13,1.98,2.02,221865.0
2025-12-16,2.04,2.075,2.01,2.02,141848.0
2025-12-17,2.06,2.06,1.925,1.95,148009.0
2025-12-18,2.0,2.05,1.97,1.98,142432.0
2025-12-19,2.0,2.0692,1.97,1.97,84162.0
2025-12-22,2.0,2.0741,1.9892,2.05,79909.0
2025-12-23,2.03,2.07,2.0,2.04,75609.0
2025-12-24,2.04,2.07,2.0,2.06,43418.0
2025-12-26,2.03,2.07,2.0,2.03,80317.0
2025-12-29,2.04,2.04,1.94,2.03,118529.0
2025-12-30,1.99,2.075,1.9823,2.06,54291.0
2025-12-31,2.06,2.07,2.0101,2.03,113199.0
2026-01-02,2.07,2.57,2.0654,2.53,402192.0
2026-01-05,2.53,2.69,2.46,2.47,292415.0
2026-01-06,2.5,2.5399,2.36,2.38,89156.0
2026-01-07,2.4,2.4099,2.22,2.275,89004.0
2026-01-08,2.28,2.3084,2.17,2.22,58539.0
2026-01-09,2.26,2.3363,2.03,2.06,154354.0
2026-01-12,2.1,2.1713,2.0,2.07,134934.0
2026-01-13,2.07,2.0751,1.94,1.95,203614.0
2026-01-14,2.0,2.15,1.9601,2.09,115811.0
2026-01-15,2.13,2.18,2.0789,2.14,89066.0
2026-01-16,2.11,2.15,2.0,2.07,140588.0
2026-01-20,2.07,2.09,1.94,1.97,86319.0
2026-01-21,1.97,2.01,1.78,1.83,333015.0
