Date,Open,High,Low,Close,Volume
2025-07-11,1.38,1.46,1.34,1.42,671052.0
2025-07-14,1.42,1.46,1.28,1.33,645048.0
2025-07-15,1.32,1.37,1.28,1.29,265829.0
2025-07-16,1.32,1.34,1.245062,1.26,292387.0
2025-07-17,1.29,1.38,1.18,1.2,492038.0
2025-07-18,1.21,1.25,1.13,1.16,754898.0
2025-07-21,1.15,1.265,1.1,1.21,1082056.0
2025-07-22,1.22,1.23,1.12,1.12,541468.0
2025-07-23,1.14,1.49,1.14,1.45,1973684.0
2025-07-24,1.46,1.4601,1.32,1.34,464756.0
2025-07-25,1.36,1.4607,1.2961,1.46,412316.0
2025-07-28,1.5,1.595,1.4102,1.45,643903.0
2025-07-29,1.47,1.4893,1.39,1.44,291955.0
2025-07-30,0.38,0.4447,0.36,0.3981,38450972.0
2025-07-31,0.4,0.4099,0.3403,0.3656,6452892.0
2025-08-01,0.3436,0.365,0.3436,0.3529,2957691.0
2025-08-04,0.37,0.3775,0.335,0.3652,4093887.0
2025-08-05,0.38,0.39,0.36,0.3601,4831505.0
2025-08-06,0.36,0.376,0.345,0.365,2947872.0
2025-08-07,0.37,0.4037,0.3543,0.3771,4672625.0
2025-08-08,0.37,0.37,0.345,0.3569,2715077.0
2025-08-11,0.3578,0.3578,0.33,0.3409,2029335.0
2025-08-12,0.335,0.348,0.33,0.3475,1434003.0
2025-08-13,0.3341,0.36,0.3341,0.3475,946978.0
2025-08-14,0.3475,0.354,0.3315,0.3499,1453328.0
2025-08-15,0.34,0.3979,0.332,0.3508,3616800.0
2025-08-18,0.3555,0.3649,0.3391,0.344,2098677.0
2025-08-19,0.344,0.3498,0.3311,0.333,1888851.0
2025-08-20,0.339,0.3396,0.3212,0.3271,1726233.0
2025-08-21,0.3227,0.336499,0.32,0.3228,1347551.0
2025-08-22,0.3185,0.335,0.3176,0.334,1482939.0
2025-08-25,0.34,0.34,0.3218,0.3252,1112878.0
2025-08-26,0.3222,0.3275,0.3126,0.3175,3747664.0
2025-08-27,0.32,0.3375,0.313,0.3262,2207272.0
2025-08-28,0.3172,0.3388,0.315,0.3295,1066485.0
2025-08-29,0.3276,0.3276,0.3162,0.3205,682036.0
2025-09-02,0.3229,0.3263,0.3102,0.3225,2577454.0
2025-09-03,0.321,0.3268,0.31,0.3175,1271044.0
