Date,Open,High,Low,Close,Volume
2024-01-02,10.09,10.36,10.0725,10.15,190877
2024-01-03,10.17,10.2,9.92,10.14,249760
2024-01-04,10.22,10.26,9.85,9.86,146946
2024-01-05,9.78,9.965,9.6771,9.75,155686
2024-01-08,9.71,9.95,9.71,9.92,91201
2024-01-09,9.92,10.075,9.81,9.84,192227
2024-01-10,9.77,10.08,9.7,10.06,143211
2024-01-11,10.0,10.21,9.9,10.06,685562
2024-01-12,10.0,10.13,9.91,10.03,185444
2024-01-16,10.0,10.0,9.79,9.86,129579
2024-01-17,9.72,9.89,9.72,9.87,113494
2024-01-18,9.85,10.17,9.84,10.16,224126
2024-01-19,10.21,10.21,9.9,10.16,154181
2024-01-22,10.16,10.53,10.16,10.52,167438
2024-01-23,10.64,10.85,10.45,10.45,145983
2024-01-24,10.49,10.53,10.33,10.51,107875
2024-01-25,10.62,10.71,10.46,10.54,170406
2024-01-26,10.57,10.67,10.41,10.455,101500
2024-01-29,10.44,10.8,10.35,10.78,275520
2024-01-30,10.8,10.83,10.68,10.77,171402
2024-01-31,10.78,10.88,10.34,10.36,376416
2024-02-01,10.35,10.53,10.12,10.46,318346
2024-02-02,10.36,10.67,10.08,10.58,164826
2024-02-05,10.54,10.54,10.18,10.19,148702
2024-02-06,10.22,10.45,10.18,10.29,134844
2024-02-07,10.35,10.35,10.11,10.14,112600
2024-02-08,10.11,10.2699,10.04,10.09,146468
2024-02-09,10.18,10.32,10.08,10.3,115014
2024-02-12,10.35,10.73,10.345,10.56,163664
2024-02-13,10.37,10.43,10.25,10.36,128905
2024-02-14,10.46,10.82,10.3763,10.7,134434
2024-02-15,10.77,11.205,10.77,11.13,207393
2024-02-16,11.21,11.21,10.27,10.91,297738
2024-02-20,10.79,10.83,10.28,10.39,210880
2024-02-21,10.28,10.43,10.09,10.13,158030
2024-02-22,10.05,10.14,9.9,10.06,146479
2024-02-23,10.08,10.2562,9.955,10.0,214394
2024-02-26,9.94,10.03,9.47,9.495,179836
2024-02-27,9.51,9.89,9.51,9.84,176716
2024-02-28,9.75,9.9693,9.73,9.82,93275
2024-02-29,9.93,10.2,9.93,10.12,298903
2024-03-01,10.13,10.13,9.74,9.91,139226
2024-03-04,9.9,9.94,9.78,9.85,126112
2024-03-05,9.79,9.86,9.59,9.61,120612
2024-03-06,9.74,9.78,9.44,9.47,205049
2024-03-07,9.58,9.64,9.29,9.31,282695
2024-03-08,9.42,9.695,9.27,9.42,377626
2024-03-11,9.4,9.55,9.03,9.05,153012
2024-03-12,9.16,9.34,8.86,9.14,249495
2024-03-13,8.86,10.52,8.86,10.44,659044
2024-03-14,10.4,10.45,9.6909,9.88,320942
2024-03-15,9.8,9.95,9.49,9.6,369565
2024-03-18,9.7,9.99,9.66,9.75,252290
2024-03-19,9.75,10.03,9.75,9.83,136985
2024-03-20,9.92,10.195,9.79,10.06,189174
2024-03-21,10.09,10.33,10.01,10.09,130716
2024-03-22,10.09,10.22,9.85,9.95,98271
2024-03-25,9.97,10.18,9.83,9.93,125741
2024-03-26,9.98,10.12,9.88,9.91,109670
2024-03-27,9.99,10.29,9.9375,10.24,230879
2024-03-28,10.14,10.46,10.13,10.33,134408
2024-04-01,10.37,10.43,10.13,10.31,126384
2024-04-02,10.16,10.29,10.08,10.22,109863
2024-04-03,10.14,10.25,10.12,10.21,110141
2024-04-04,10.24,10.3,10.03,10.09,126829
2024-04-05,10.07,10.15,9.98,10.13,94238
2024-04-08,10.17,10.345,10.1,10.33,125075
2024-04-09,10.33,10.426,10.21,10.37,121436
2024-04-10,10.15,10.17,9.925,10.07,188637
2024-04-11,10.09,10.09,9.95,10.02,143497
2024-04-12,9.99,10.02,9.76,9.99,125435
2024-04-15,10.05,10.07,9.85,9.98,111948
2024-04-16,9.97,10.09,9.91,10.02,72910
2024-04-17,10.08,10.25,10.03,10.055,142910
2024-04-18,10.09,10.219,10.0498,10.05,106440
2024-04-19,10.0,10.22,9.985,10.22,82863
2024-04-22,10.3,10.3,10.08,10.1,82038
2024-04-23,10.1,10.1225,9.95,9.98,124605
2024-04-24,9.92,10.015,9.83,9.99,82332
2024-04-25,9.93,10.07,9.83,9.93,100207
2024-04-26,10.0,10.09,9.92,10.03,93837
2024-04-29,10.1,10.25,10.06,10.25,155378
2024-04-30,10.25,10.27,10.13,10.14,86713
2024-05-01,10.16,10.57,10.1,10.43,157962
2024-05-02,10.51,10.5695,10.29,10.48,120024
2024-05-03,10.6,10.6384,10.43,10.52,134297
2024-05-06,10.58,10.62,10.41,10.59,294009
2024-05-07,10.7,10.71,10.58,10.62,230352
2024-05-08,10.48,10.7,10.46,10.59,187433
2024-05-09,10.64,10.735,10.545,10.67,248491
2024-05-10,10.47,10.6,10.25,10.5,217351
2024-05-13,10.63,10.75,10.53,10.67,167633
2024-05-14,10.7,10.99,10.61,10.75,269824
2024-05-15,10.79,10.87,10.68,10.74,199201
2024-05-16,10.7,10.82,10.61,10.65,92304
2024-05-17,10.65,10.69,10.5,10.59,118579
2024-05-20,10.6,10.67,10.52,10.59,171905
2024-05-21,10.58,10.72,10.52,10.65,105971
2024-05-22,10.65,10.66,10.5,10.52,170250
2024-05-23,10.5,10.648,10.45,10.56,183245
2024-05-24,10.57,10.73,10.52,10.705,150239
2024-05-28,10.77,10.77,10.26,10.46,238737
2024-05-29,10.33,10.55,10.25,10.31,152147
2024-05-30,10.34,10.5,10.26,10.29,100338
2024-05-31,10.37,10.47,10.3,10.38,96742
2024-06-03,10.5,10.51,10.35,10.41,150666
2024-06-04,10.41,10.49,10.25,10.41,157203
2024-06-05,10.45,10.53,10.31,10.5,147882
2024-06-06,10.46,10.58,10.46,10.5,122187
2024-06-07,10.37,10.505,10.3,10.34,118643
2024-06-10,10.31,10.31,10.01,10.13,156243
2024-06-11,10.12,10.12,9.95,10.06,167518
2024-06-12,10.24,10.24,9.89,9.9,201037
2024-06-13,9.88,9.88,9.61,9.73,165916
2024-06-14,9.7,9.92,9.64,9.9,150271
2024-06-17,9.85,10.03,9.845,9.97,144548
2024-06-18,9.99,10.02,9.85,9.88,159741
2024-06-20,9.6,10.01,9.6,9.97,144886
2024-06-21,10.04,10.105,9.95,10.07,243339
2024-06-24,10.1,10.2,10.05,10.05,120364
2024-06-25,10.06,10.11,10.01,10.1,111142
2024-06-26,10.09,10.43,10.05,10.39,151633
2024-06-27,10.39,10.41,10.23,10.28,168084
2024-06-28,10.36,10.4,10.2098,10.23,780295
2024-07-01,10.22,10.25,9.98,10.0,154581
2024-07-02,9.96,10.15,9.895,10.14,137055
2024-07-03,10.16,10.19,10.06,10.06,37421
2024-07-05,10.03,10.07,9.95,10.0,107986
2024-07-08,10.1,10.1,9.98,10.02,207695
2024-07-09,10.01,10.01,9.56,9.59,264311
