Date,Open,High,Low,Close,Volume
2025-06-09,1.0,1.0,0.95,0.9999,77122
2025-06-10,0.9838,1.01,0.947,0.95,50789
2025-06-11,0.95,1.0,0.94,0.95,50194
2025-06-12,0.96,0.9996,0.94,0.9475,62438
2025-06-13,0.954949,0.9699,0.9375,0.968,36293
2025-06-16,0.96,0.975,0.9206,0.9538,90546
2025-06-17,0.9204,0.9689,0.861,0.9027,50190
2025-06-18,0.9027,0.9474,0.9005,0.9201,15119
2025-06-20,0.7743,0.92,0.7743,0.8999,74102
2025-06-23,0.90025,0.9205,0.86,0.91,25439
2025-06-24,0.91,0.9205,0.87,0.92,42429
2025-06-25,0.8719,0.91,0.86,0.9,22032
2025-06-26,0.92,0.92,0.862,0.92,32508
2025-06-27,0.8999,1.08,0.8999,0.99,175304
2025-06-30,1.05,1.05,0.9205,0.9498,112971
2025-07-01,0.99,0.99,0.92,0.94,31285
2025-07-02,0.9399,0.964999,0.89,0.96,22948
2025-07-03,0.9245,0.9705,0.9013,0.9125,25384
2025-07-07,0.99,0.99,0.9001,0.92,33074
2025-07-08,0.92,0.96,0.91,0.93,8780
2025-07-09,0.97,1.01,0.9312,0.99,64651
2025-07-10,0.98,1.05,0.95,0.992,28229
2025-07-11,0.99,0.99,0.8905,0.93,34507
2025-07-14,0.9401,0.9689,0.903458,0.932,28338
2025-07-15,0.9301,0.989,0.9,0.9596,108255
2025-07-16,0.9308,1.03,0.900401,0.9472,177801
2025-07-17,0.904,0.9705,0.903,0.9525,57711
2025-07-18,0.92,0.9568,0.901,0.949999,68221
2025-07-21,0.915,0.9497,0.895,0.895,30874
2025-07-22,0.89,0.9705,0.86,0.9,220008
2025-07-23,0.9,0.9205,0.88,0.92,20334
2025-07-24,0.9099,0.9205,0.88,0.91,26614
2025-07-25,0.91,0.94,0.86,0.8975,144576
2025-07-28,0.9,0.92,0.8725,0.92,22195
2025-07-29,0.87,0.899899,0.86,0.8601,40181
2025-07-30,0.85,0.97,0.85,0.87,273567
2025-07-31,0.84545,0.9205,0.822,0.890499,20126
2025-08-01,0.855,0.88,0.825,0.856,31188
2025-08-04,0.856,0.856,0.7899,0.839999,117784
2025-08-05,0.8,0.828,0.7821,0.7951,31198
2025-08-06,0.8,0.87,0.79,0.854,218814
2025-08-07,0.854,0.88,0.8259,0.88,166159
2025-08-08,0.885,0.885,0.8001,0.83,143295
2025-08-11,0.842,0.8677,0.7901,0.81645,102772
2025-08-12,0.821,0.869999,0.8,0.84,16223
2025-08-13,0.821,0.86,0.821,0.86,12656
