Date,Open,High,Low,Close,Volume
2025-06-09,4.53,4.65,4.33,4.53,53119549
2025-06-10,4.575,4.63,4.4,4.52,35109958
2025-06-11,4.54,4.5699,4.3,4.41,45890120
2025-06-12,4.36,4.47,4.24,4.26,29969518
2025-06-13,4.13,4.27,3.97,4.02,41394173
2025-06-16,4.14,4.4,4.06,4.33,36858306
2025-06-17,4.189,4.23,3.875,3.95,41651821
2025-06-18,3.93,4.045,3.82,3.84,37880153
2025-06-20,3.97,4.01,3.7,3.74,47698461
2025-06-23,3.61,3.665,3.395,3.57,41500687
2025-06-24,3.66,3.94,3.63,3.84,43686199
2025-06-25,3.93,4.14,3.79,3.8,48368376
2025-06-26,3.77,4.53,3.7,4.39,87547213
2025-06-27,4.39,4.41,4.13,4.22,55550402
2025-06-30,4.29,4.6,4.23,4.38,52733383
2025-07-01,4.27,4.68,4.24,4.44,72066374
2025-07-02,4.53,5.07,4.53,5.04,90051294
2025-07-03,5.1,5.47,5.01,5.26,53225733
2025-07-07,4.99,5.03,4.52,4.8,62650951
2025-07-08,4.95,5.18,4.79,4.82,30670932
2025-07-09,4.965,4.995,4.73,4.93,44003045
2025-07-10,4.93,5.16,4.87,5.13,64018370
2025-07-11,5.23,5.34,4.82,4.89,69314449
2025-07-14,4.93,5.23,4.905,5.11,88409357
2025-07-15,5.04,5.05,4.815,4.87,41575857
2025-07-16,4.99,5.37,4.98,5.25,48748770
2025-07-17,5.23,5.44,5.14,5.36,43088589
2025-07-18,5.43,5.63,5.0,5.13,46881152
2025-07-21,5.18,5.48,4.97,4.99,32811782
2025-07-22,5.09,5.27,4.835,5.26,69573490
2025-07-23,5.2401,5.26,4.97,5.2,59704160
2025-07-24,5.205,5.45,5.17,5.32,48041008
2025-07-25,5.27,5.27,5.0,5.17,30149188
2025-07-28,5.29,5.3799,5.03,5.1,25493347
2025-07-29,5.165,5.44,5.0801,5.22,35281253
2025-07-30,5.255,5.465,4.89,5.01,30732399
2025-07-31,5.07,5.38,5.025,5.16,40444478
2025-08-01,4.96,4.96,4.64,4.76,31024409
2025-08-04,4.83,4.92,4.72,4.89,20787451
2025-08-05,4.93,5.06,4.78,5.06,32413039
2025-08-06,5.05,5.2,5.02,5.15,31283102
2025-08-07,5.17,5.28,4.77,4.94,35252910
2025-08-08,5.18,5.21,4.67,5.03,42214851
2025-08-11,5.03,5.77,5.02,5.4,52992623
2025-08-12,5.45,5.51,5.18,5.24,24933233
2025-08-13,5.48,5.69,5.26,5.46,38876096
2025-08-14,7.2,8.76,6.74,8.71,289277452
2025-08-15,8.53,9.23,8.141,8.97,108160043
2025-08-18,10.01,10.7099,9.3,9.38,161975800
2025-08-19,9.145,9.36,8.68,8.78,105256730
2025-08-20,8.83,9.3,8.6,9.28,66973665
2025-08-21,9.3,9.44,8.845,9.19,54342039
2025-08-22,9.27,10.25,9.11,9.16,72453171
2025-08-25,8.99,9.1,8.71,8.93,39878723
2025-08-26,8.84,9.37,8.7994,9.24,36027100
2025-08-27,9.26,9.4,9.03,9.13,29942098
2025-08-28,9.28,9.64,9.14,9.44,41332648
2025-08-29,9.46,9.775,9.1,9.45,35705428
2025-09-02,9.2,9.82,8.97,9.63,42554805
2025-09-03,9.68,9.75,8.92,8.98,35246668
2025-09-04,9.0,9.0,8.6,8.87,28234213
2025-09-05,9.08,9.1901,8.7,9.13,26967521
2025-09-08,9.12,9.52,8.935,9.2,31990963
2025-09-09,9.58,10.32,9.13,10.3,69371879
2025-09-10,10.54,11.04,10.24,10.55,62191929
2025-09-11,10.45,11.23,10.18,10.64,45284475
2025-09-12,10.675,11.08,10.48,10.76,28100140
2025-09-15,10.84,10.935,10.0431,10.49,36073124
2025-09-16,10.54,11.0,10.25,10.94,37077343
2025-09-17,10.79,11.53,10.565,11.35,39866502
2025-09-18,11.605,11.63,10.9602,11.17,33612275
2025-09-19,11.22,11.44,10.9,10.98,54584426
2025-09-22,10.98,11.77,10.72,11.49,45648540
2025-09-23,11.55,11.79,11.01,11.24,31845116
2025-09-24,11.37,11.715,11.04,11.4,37364681
2025-09-25,11.105,11.78,10.43,10.97,50279767
2025-09-26,11.035,11.13,10.55,10.83,23318203
2025-09-29,11.06,11.79,10.94,11.6,30376693
2025-09-30,11.69,12.06,11.39,11.42,28701440
2025-10-01,11.53,11.93,11.25,11.47,22983631
2025-10-02,11.85,12.27,11.56,11.58,38274482
2025-10-03,11.805,12.5,11.63,11.92,37026767
2025-10-06,12.39,12.645,11.92,11.97,30065140
2025-10-07,12.16,12.365,11.25,12.1,30522420
2025-10-08,12.09,12.7,11.89,12.3,27693290
2025-10-09,12.915,13.7399,12.64,13.59,44520459
2025-10-10,14.455,15.51,13.18,13.51,70877445
2025-10-13,14.35,14.35,13.33,14.0,36954749
2025-10-14,13.85,16.19,13.31,15.46,77015249
2025-10-15,15.98,16.18,14.97,15.47,45596822
2025-10-16,15.525,15.65,13.8101,13.86,39052969
2025-10-17,13.26,13.98,12.73,13.93,32136380
2025-10-20,14.45,14.7422,13.74,13.85,23362931
2025-10-21,13.85,13.89,12.8775,13.14,24538033
2025-10-22,12.97,13.53,11.78,12.615,41497226
2025-10-23,12.77,13.32,12.4,12.88,20010619
2025-10-24,13.94,14.17,13.5,13.71,27325197
2025-10-27,14.19,14.22,13.47,13.64,17835909
2025-10-28,14.64,17.05,14.63,15.94,114842751
2025-10-29,15.19,16.2299,14.37,14.5,81297684
2025-10-30,14.35,15.55,14.01,14.82,69667692
2025-10-31,15.02,15.7,14.8,15.5,48808077
2025-11-03,16.19,16.38,14.6901,16.1,61777099
2025-11-04,15.16,16.3699,14.82,15.01,43491658
2025-11-05,15.08,15.6699,14.85,15.36,39879107
2025-11-06,15.125,15.28,14.16,14.28,34181758
2025-11-07,13.78,14.07,13.195,13.94,42694562
2025-11-10,14.5,15.2,13.92,14.3,43168116
2025-11-11,13.87,13.89,11.875,12.37,52651296
2025-11-12,12.545,13.35,12.26,12.64,50640212
2025-11-13,12.17,12.45,11.42,11.68,43557325
2025-11-14,11.23,12.075,10.955,10.99,55215325
2025-11-17,10.655,11.6682,10.6,11.05,41533816
2025-11-18,10.94,12.5,10.86,12.0,53481122
2025-11-19,11.865,12.945,11.85,12.23,43240122
2025-11-20,13.44,14.75,11.51,11.56,74052573
2025-11-21,11.44,11.78,10.47,11.29,50142805
2025-11-24,11.61,12.695,11.51,12.63,37689308
2025-11-25,12.385,14.35,11.8522,13.94,45618219
2025-11-26,14.47,14.97,13.805,14.84,47733769
2025-11-28,15.13,16.13,15.12,15.51,31145332
2025-12-01,14.855,15.76,14.802,15.3,30037313
2025-12-02,15.57,15.65,14.2,14.22,32297263
