Date,Open,High,Low,Close,Volume
2025-09-10,504.0,510.0,483.0,507.0,776.0
2025-09-11,507.0,544.5,495.0,540.0,625.0
2025-09-12,555.0,558.9000244140625,534.0,540.0,351.0
2025-09-15,537.0,546.0,516.0,516.0,330.0
2025-09-16,519.0,537.0,504.2999877929688,525.0,497.0
2025-09-17,528.0,537.0,516.0,522.0,382.0
2025-09-18,525.0,528.0,522.0,528.0,21262.0
2025-09-19,610.5,621.0,543.0,591.0,73576.0
2025-09-22,510.0,510.0,468.0,477.0,7061.0
2025-09-23,468.0,492.0,465.0,474.0,2198.0
2025-09-24,471.0,472.5,453.0,453.0,35590.0
2025-09-25,549.0,646.5,516.0,594.0,70924.0
2025-09-26,540.0,552.0,465.0,468.0,8771.0
2025-09-29,480.0,510.0,468.0,489.0,5177.0
2025-09-30,480.0,522.0,471.0,507.0,3182.0
2025-10-01,501.0,535.5,498.0,516.0,2205.0
2025-10-02,516.0,525.0,477.0,489.0,1896.0
2025-10-03,489.0,531.0,489.0,504.0,1944.0
2025-10-06,495.0,508.2000122070313,481.5,495.0,1488.0
2025-10-07,495.0,498.0,480.0,483.0,1141.0
2025-10-08,480.0,484.5,474.0,474.0,843.0
2025-10-09,474.0,480.6000061035156,468.0,468.0,903.0
2025-10-10,471.0,475.2000122070313,438.0,456.0,2471.0
2025-10-13,453.0,480.0,450.0,480.0,805.0
2025-10-14,459.0,479.3999938964844,456.0,468.0,1208.0
2025-10-15,474.0,474.0,462.0,465.0,592.0
2025-10-16,471.0,474.0,444.0,444.0,725.0
2025-10-17,435.0,453.0,432.0,444.0,777.0
2025-10-20,447.0,464.7000122070313,447.0,462.0,359.0
2025-10-21,465.0,465.0,448.5,453.0,512.0
2025-10-22,444.0,450.0,429.0,444.0,1122.0
2025-10-23,438.0,468.0,438.0,459.0,1808.0
2025-10-24,462.0,483.0,450.0,477.0,818.0
2025-10-27,486.0,486.0,450.0,456.0,650.0
2025-10-28,462.0,465.0,441.0,453.0,19203.0
2025-10-29,519.0,540.0,468.0,483.0,43837.0
2025-10-30,435.0,462.0,429.0,435.0,4185.0
