Date,Open,High,Low,Close,Volume
2024-12-20,326.4,340.0,278.4,316.0,8315.0
2024-12-23,312.8,316.0,264.0,276.0,2323.53
2024-12-24,279.2,286.4,264.0,268.0,2033.66
2024-12-26,271.2,293.6,263.2,268.0,920.4
2024-12-27,273.6,280.0,264.0,264.0,626.225
2024-12-30,280.0,298.4,256.0,290.56,343.737
2024-12-31,295.224,335.784,295.224,322.112,2190.83
2025-01-02,320.0,327.2,296.8,312.8,1283.61
2025-01-03,320.0,320.0,308.0,309.6,223.15
2025-01-06,321.016,321.016,284.0,304.8,1525.56
2025-01-07,315.2,315.2,288.016,297.6,417.975
2025-01-08,298.4,299.064,286.4,286.4,417.212
2025-01-10,286.4,290.4,280.0,288.0,473.237
2025-01-13,280.8,284.0,268.8,277.6,328.55
2025-01-14,288.0,310.4,272.688,299.84,1775.1
2025-01-15,304.0,308.8,284.8,300.0,519.237
2025-01-16,300.0,300.0,284.0,299.2,419.537
2025-01-17,293.6,293.6,293.6,293.6,85.875
2025-01-21,296.0,296.0,268.0,292.0,167.462
2025-01-22,274.4,313.776,274.4,308.8,5868.77
2025-01-23,298.4,319.2,296.8,307.2,383.112
2025-01-24,304.8,308.8,296.0,308.8,1335.95
2025-01-27,296.0,303.2,288.0,303.2,1327.7
2025-01-28,293.76,316.792,288.0,296.0,526.725
2025-01-29,290.4,304.0,290.4,304.0,1812.77
2025-01-30,296.0,312.0,295.36,304.8,1142.21
2025-01-31,304.0,312.0,284.008,308.8,787.45
2025-02-03,304.0,304.0,292.8,292.8,96.5375
2025-02-04,288.8,294.44,281.672,290.4,147.262
2025-02-05,284.0,302.4,271.2,302.4,434.662
2025-02-06,285.6,300.0,280.0,294.4,1561.16
2025-02-07,288.8,300.8,264.8,276.8,1829.77
2025-02-10,272.0,291.2,272.0,291.2,996.287
2025-02-11,280.0,284.0,268.8,268.8,315.337
2025-02-12,264.8,271.2,248.0,259.2,2202.17
2025-02-13,256.0,259.2,240.8,244.0,607.287
2025-02-14,240.0,289.6,228.0,241.84,2270.33
2025-02-18,252.0,252.0,206.4,222.4,1014.71
2025-02-19,237.6,237.6,160.96,193.504,1931.05
2025-02-20,204.8,221.6,183.2,183.2,502.975
2025-02-21,192.8,219.488,191.2,209.6,1573.08
2025-02-24,194.4,217.6,191.2,210.4,512.7
2025-02-25,196.0,215.2,196.0,204.0,90.775
2025-02-26,202.4,214.4,199.2,200.8,435.725
2025-02-27,184.0,212.952,184.0,192.8,53.0
2025-02-28,192.8,192.8,190.984,190.984,30.2375
2025-03-03,185.6,185.6,180.0,184.8,95.375
2025-03-04,181.736,208.0,176.0,180.8,1080.12
2025-03-05,192.8,204.0,166.4,166.4,2551.91
2025-03-06,173.6,190.4,154.4,159.2,574.525
2025-03-07,152.0,156.8,136.0,146.4,456.975
2025-03-10,136.8,146.4,126.4,132.0,189.275
2025-03-11,133.6,152.8,132.0,149.6,720.137
2025-03-12,136.8,196.0,136.8,188.48,1559.56
2025-03-13,188.8,204.8,177.6,180.8,1763.07
2025-03-14,188.8,207.864,183.504,204.8,351.762
2025-03-17,210.8,210.8,183.2,184.8,318.55
2025-03-18,192.0,203.2,188.0,192.0,375.562
2025-03-19,204.8,216.0,174.44,184.8,1327.53
2025-03-20,188.0,196.0,175.2,185.6,140.9
2025-03-21,190.544,199.176,188.0,196.8,154.375
2025-03-24,193.6,194.4,192.0,192.0,39.75
2025-03-25,188.8,200.0,188.8,191.52,246.9
2025-03-26,190.864,200.0,190.864,192.8,54.425
2025-03-27,193.072,196.0,188.0,193.12,339.812
2025-03-28,196.0,204.8,192.0,192.0,81.9625
2025-04-01,181.6,195.2,168.8,176.0,566.4
2025-04-02,178.8,191.2,170.4,172.8,435.725
2025-04-03,179.2,184.8,165.6,168.0,1212.22
2025-04-04,172.8,176.8,164.8,168.8,781.162
2025-04-07,172.0,189.744,167.2,185.6,207.875
2025-04-08,175.2,188.8,166.4,166.4,583.425
2025-04-09,170.4,172.0,168.0,172.0,60.2125
2025-04-10,168.0,185.6,160.824,162.4,174.5
2025-04-11,164.0,173.6,144.8,145.6,463.937
2025-04-14,148.0,165.6,148.0,165.6,141.4
2025-04-15,151.2,163.2,150.4,154.4,160.762
2025-04-16,147.208,154.384,144.0,144.0,115.55
2025-04-17,144.0,145.6,128.84,140.0,329.037
2025-04-21,140.0,168.8,140.0,149.6,242.287
2025-04-22,142.4,172.0,142.4,155.2,181.212
2025-04-23,149.6,156.8,149.6,156.0,134.7
2025-04-24,142.4,200.0,140.0,178.4,1114.27
