Date,Open,High,Low,Close,Volume
2024-01-02,82.0,85.0,76.0,84.9999,124.8
2024-01-03,85.04,85.04,80.36,83.0,8.83
2024-01-04,72.2501,83.99,72.2501,83.99,23.04
2024-01-05,83.99,84.84,74.72,84.84,48.44
2024-01-08,84.84,84.84,80.81,84.0,24.71
2024-01-09,80.81,81.0,76.0,76.0,28.46
2024-01-10,76.0,85.0,75.0,83.3889,148.65
2024-01-11,83.0,83.0,83.0,83.0,5.42
2024-01-12,82.2,82.29,70.0,82.29,155.06
2024-01-16,72.02,80.0,72.02,72.98,49.61
2024-01-17,79.0,79.0,73.0,73.95,10.93
2024-01-18,72.5401,76.16,72.5401,76.16,11.37
2024-01-19,70.9301,76.0,70.9301,74.01,18.31
2024-01-24,70.0,70.0,70.0,70.0,3.92
2024-01-25,70.01,71.0,70.01,71.0,5.54
2024-01-29,64.12,68.32,64.12,68.32,4.99
2024-01-30,78.8,99.0,68.32,77.04,942.09
2024-01-31,77.04,84.63,72.61,74.02,49.31
2024-02-01,73.0,73.0,73.0,73.0,6.41
2024-02-02,72.24,72.24,72.24,72.24,13.97
2024-02-05,71.12,84.15,71.12,84.15,20.55
2024-02-06,78.25,83.9799,73.26,73.28,56.8
2024-02-07,68.11,91.01,68.11,73.8,225.84
2024-02-08,84.0,84.0,74.0,74.0,16.240000000000002
2024-02-09,75.1,84.16,73.36,79.1,15.24
2024-02-12,85.01,87.0,74.51,75.0,66.56
2024-02-13,76.1,78.7401,70.0,73.5,74.89
2024-02-14,83.0,83.0,71.0,74.65,78.23
2024-02-15,83.9899,169.01,75.0,115.0,16592.35
2024-02-16,119.0,122.0,105.0,122.0,1170.41
2024-02-20,111.0,123.0,87.2,101.0,853.83
2024-02-21,90.0,99.0,90.0,96.6,155.37
2024-02-22,91.0,91.0,73.31,81.8,194.51
2024-02-23,77.65,84.01,73.5001,78.01,62.77
2024-02-26,74.2,95.0,74.2,83.44,75.13
2024-02-27,82.0,84.07,79.38,80.01,73.45
2024-02-28,87.98,138.0,81.46,111.0,5961.04
2024-02-29,111.0,118.0,105.07,113.96,429.66
2024-03-01,112.0,115.0,111.0,112.0,167.52
2024-03-04,108.0,143.0,108.0,141.36,1190.41
2024-03-05,139.0,142.39,112.0,115.0,732.85
2024-03-06,113.0,142.0,113.0,120.0,427.3
2024-03-07,121.0,160.0,121.0,134.0,838.15
2024-03-08,144.0,144.0,111.0,130.0,207.81
2024-03-11,141.0,143.0,135.0,143.0,588.97
2024-03-12,142.0,143.32,122.0,126.0,286.1
2024-03-13,124.0,135.82,117.62,125.0,129.11
2024-03-14,125.0,131.0,125.0,125.0,120.88
2024-03-15,125.0,130.0,119.0,130.0,72.45
2024-03-18,124.0,124.0,113.0,113.0,83.75
2024-03-19,113.0,120.0,111.0,120.0,41.71
2024-03-20,116.0,118.0,110.0,111.0,304.41
2024-03-21,109.0,118.0,109.0,114.5,200.66
2024-03-22,118.0,119.54,110.0,114.06,165.99
2024-03-25,118.8,126.0,112.89,125.0,67.46000000000001
2024-03-26,123.0,174.0,120.65,165.0,5076.82
2024-03-27,160.0,195.0,155.0,166.0,2510.02
2024-03-28,172.0,172.0,148.0,155.0,628.62
2024-04-01,154.0,156.0,132.0,155.0,235.68
2024-04-02,142.0,155.0,133.0,150.0,166.57
2024-04-03,135.0,145.0,134.0,145.0,60.4
2024-04-04,135.0,145.0,135.0,144.0,207.57
2024-04-05,144.68,174.0,144.68,168.0,682.66
2024-04-08,161.0,172.0,145.0,170.0,1560.67
2024-04-09,174.0,185.0,162.0,171.0,290.55
2024-04-10,186.0,186.0,163.0,170.5,125.16
2024-04-11,170.0,180.0,161.16,174.0,364.66
2024-04-12,173.0,177.0,165.42,169.0,93.88
2024-04-15,168.0,169.0,151.0,151.0,86.69
2024-04-16,145.0,153.0,123.0,127.0,95.57
2024-04-17,133.0,159.0,133.0,136.0,40.39
2024-04-18,130.0,133.0,125.7,133.0,35.85
2024-04-19,129.0,135.0,122.0,122.0,23.57
2024-04-22,131.0,133.0,114.0,116.0,65.43
2024-04-23,119.0,128.0,117.0,124.0,55.88
2024-04-24,130.36,130.36,125.0,129.0,13.05
2024-04-25,124.0,131.5,118.0,131.5,50.28
2024-04-26,133.0,136.0,132.0,132.0,59.2
2024-04-29,147.0,147.0,116.0,121.0,64.67
2024-04-30,120.2,121.0,116.0,116.0,40.26
2024-05-01,116.19,122.0,116.0,122.0,22.81
2024-05-02,120.0,120.0,120.0,120.0,14.21
2024-05-03,120.0,137.0,116.0,116.0,82.49
2024-05-06,110.0,114.99,103.0,108.0,34.71
2024-05-07,103.0,103.0,103.0,103.0,4.83
2024-05-08,107.0,112.0,107.0,112.0,16.28
2024-05-09,106.0,109.21,106.0,109.21,35.43
2024-05-10,106.0,106.0,104.0,104.0,27.81
2024-05-13,102.0,108.0,102.0,108.0,12.38
2024-05-14,102.0,102.0,95.0,99.99,93.15
2024-05-15,103.6,104.0,100.0,103.0,58.65
2024-05-16,112.0,112.0,100.0,105.99,68.61
2024-05-17,109.0,109.0,104.0,104.0,14.61
2024-05-20,103.0,109.0,103.0,109.0,54.99
2024-05-21,112.5,112.5,102.0,104.2,197.94
2024-05-23,105.0,113.8,105.0,106.83,25.7
2024-05-28,119.0,119.0,119.0,119.0,7.35
2024-05-29,113.0,113.0,108.0,108.0,3.23
2024-05-30,107.69,107.69,107.69,107.69,3.5500000000000003
2024-05-31,108.0,108.0,108.0,108.0,9.97
2024-06-03,105.0,113.0,105.0,113.0,38.87
2024-06-04,105.0,105.01,104.0,105.0,40.44
2024-06-05,104.0,107.0,99.0,104.01,502.28
2024-06-06,110.01,110.25,103.5,103.5,16.21
2024-06-11,105.63,105.63,104.0,104.0,30.28
2024-06-12,102.5,111.5,102.0,103.01,45.5
2024-06-14,113.13,119.0,104.0,105.0,93.53
2024-06-17,102.0,118.0,102.0,105.92,45.16
2024-06-18,104.0,104.0,104.0,104.0,12.17
2024-06-20,104.0,104.02,102.0,102.0,64.14
2024-06-21,102.2,106.0,102.0,106.0,4.33
2024-06-24,111.0,111.0,106.0,106.08,34.480000000000004
2024-06-25,102.0,103.0,102.0,103.0,3.79
2024-06-26,103.0,103.0,103.0,103.0,3.8
2024-06-27,112.0,114.0,104.0,104.03,78.2
2024-06-28,112.0,114.0,105.0,108.0,362.76
2024-07-01,109.0,109.0,105.0,105.0,26.28
2024-07-02,105.0,106.0,105.0,105.0,11.55
2024-07-03,105.0,109.0,102.0,102.0,157.27
2024-07-05,103.0,103.0,103.0,103.0,6.68
2024-07-08,99.97,102.0,99.5,101.0,100.67
2024-07-09,101.0,101.0,101.0,101.0,2.19
2024-07-10,101.01,101.01,100.0,100.0,40.0
2024-07-11,100.0,101.5,100.0,100.0,21.51
2024-07-12,100.0,102.0,100.0,101.0,42.05
2024-07-15,100.0,101.0,100.0,101.0,15.88
2024-07-16,101.0,102.5,100.0,102.5,12.05
2024-07-17,100.0,102.0,100.0,102.0,10.71
2024-07-18,101.0,101.0,101.0,101.0,8.38
2024-07-19,101.0,101.0,101.0,101.0,2.49
2024-07-22,100.0,101.0,100.0,101.0,11.84
2024-07-23,101.0,101.0,101.0,101.0,6.0
2024-07-24,101.63,101.63,100.0,100.0,17.3
2024-07-25,100.0,112.0,99.0,105.01,435.96
2024-07-26,110.0,136.0,105.0,136.0,196.61
2024-07-29,136.0,181.0,134.5,180.0,1519.79
2024-07-30,180.0,220.0,178.96,220.0,1015.72
2024-07-31,185.0,200.0,142.0,176.0,1780.42
2024-08-01,160.0,207.0,159.0,200.89,4230.78
2024-08-02,180.0,269.99,180.0,241.0,4631.150000000001
2024-08-05,242.0,242.0,223.0,239.0,7151.08
2024-08-06,240.0,290.0,38.0,44.31,121863.38
2024-08-07,47.0,51.34,32.0,36.92,70707.45
2024-08-08,35.0,36.0,30.15,34.0,14767.75
2024-08-09,33.6,33.6,27.03,27.24,10706.69
2024-08-12,29.97,33.99,28.1,30.61,7627.610000000001
2024-08-13,32.05,34.345,26.01,28.44,5621.9400000000005
2024-08-14,27.74,27.995,26.0,26.21,2453.69
2024-08-15,26.0,29.9,26.0,28.875,3510.05
2024-08-16,29.9,32.0,26.0,27.33,4112.2
2024-08-19,30.92,32.44,29.3,30.0,3377.25
2024-08-20,30.95,35.5,29.9,31.9,5571.57
2024-08-21,31.84,33.69,30.8,33.3,2517.74
2024-08-22,34.8,34.8,30.9,30.9,1712.97
